dqt_id ,Count
1, 49527
2, 42835
3, 60820
4, 31709
5, 19895
6, 1165
7, 1782
8, 6754
9, 6445
10, 429
11, 1290
12, 2168
13, 2655
14, 1864
15, 709
16, 2730
17, 1734
18, 610
19, 1432
20, 755
21, 639
22, 1062
23, 2881
24, 1335
25, 360
26, 875
27, 986
28, 1182
29, 331
30, 1201
31, 545
32, 500
33, 1061
34, 44173
35, 269
36, 7912
37, 620
38, 1940
39, 41453
40, 5122
41, 45906
42, 2045
43, 37242
44, 40269
45, 643
46, 1077
47, 103
48, 255
49, 65
50, 24
51, 265
52, 153
53, 27
54, 55
55, 62
56, 42
57, 283
58, 47
59, 314
60, 198
61, 295
62, 139
63, 60
64, 65
65, 79
66, 221
67, 49
68, 65
69, 181
70, 50
71, 122
72, 104
73, 38
74, 47
75, 30
76, 47
77, 114
78, 86
79, 6842
80, 88
81, 84
82, 114
83, 671
84, 262
85, 29891
86, 377
87, 421
88, 602
89, 346
90, 309
91, 552
92, 8107
93, 693
94, 671
95, 490
96, 97
97, 631
98, 362
99, 2290
100, 641
101, 1651
102, 610
103, 18
104, 8
105, 21
106, 119
107, 1517
108, 583
109, 9080
110, 3590
111, 352
112, 67
113, 270
114, 311
115, 75
116, 131
117, 45
118, 57
119, 330
120, 34
121, 89
122, 373
123, 129
124, 220
125, 69
126, 348
127, 207
128, 81
129, 162
130, 238
131, 96
132, 94
133, 221
134, 73
135, 163
136, 53
137, 230
138, 162
139, 69
140, 97
141, 166
142, 156
143, 120
144, 129
145, 179
146, 174
147, 288
148, 30
149, 82
150, 57
151, 54
152, 281
153, 56
154, 360
155, 134
156, 137
157, 134
158, 58
159, 892
160, 150
161, 61
162, 27
163, 440
164, 142
165, 66
166, 195
167, 89
168, 586
169, 355
170, 77
171, 35
172, 248
173, 78
174, 374
175, 111
176, 242
177, 107
178, 79
179, 371
180, 116
181, 233
182, 19
183, 86
184, 132
185, 172
186, 44
187, 1047
188, 134
189, 37
190, 405
191, 110
192, 35
193, 160
194, 25
195, 189
196, 201
197, 29
198, 60
199, 18
200, 76
201, 20
202, 52
203, 146
204, 175
205, 73
206, 88
207, 114
208, 50
209, 70
210, 58
211, 63
212, 117
213, 179
214, 93
215, 64
216, 95
217, 27
218, 141
219, 39
220, 113
221, 26
222, 87
223, 33
224, 52
225, 39
226, 1001
227, 161
228, 149
229, 23352
230, 14509
231, 4015
232, 4029
233, 5268
234, 10716
235, 2761
236, 1537
237, 32802
238, 281
239, 3230
240, 1325
241, 419
242, 2744
243, 14
244, 707
245, 658
246, 363
247, 66
248, 3
249, 100
250, 35
251, 2740
252, 204
253, 565
254, 247
255, 249
256, 106
257, 451
258, 249
259, 285
260, 186
261, 831
262, 208
263, 631
264, 453
265, 124
266, 142
267, 294
268, 307
269, 252
270, 212
271, 190
272, 472
273, 214
274, 146
275, 2377
276, 124
277, 173
278, 332
279, 240
280, 321
281, 311
282, 53
283, 167
284, 133
285, 195
286, 605
287, 403
288, 96
289, 423
290, 247
291, 127
292, 357
293, 348
294, 53
295, 195
296, 142
297, 118
298, 212
299, 106
300, 27
301, 3366
302, 2511
303, 69175
304, 9140
305, 59985
306, 5174
307, 621
308, 106
309, 14
310, 238
311, 766
312, 1413
313, 14609
314, 88692
315, 6532
316, 511
317, 30
318, 51
319, 80
320, 8
321, 158
322, 1
323, 106
324, 91
325, 27
326, 253
327, 83
328, 24
329, 133
330, 79
331, 13
332, 12
333, 35
334, 72
335, 852
336, 75
337, 136
338, 238
339, 92
340, 1039
341, 266
342, 81
343, 826
344, 1903
345, 274
346, 380
347, 150
348, 746
349, 683
350, 252
351, 185
352, 355
353, 481
354, 385
355, 203
356, 214
357, 44
358, 258
359, 6755
360, 13
361, 154
362, 15
363, 106
364, 149
365, 148
366, 3253
367, 9
368, 40
369, 126
370, 155
371, 3646
372, 20
373, 1352
374, 21407
375, 1453
376, 524
377, 1710
378, 780
379, 2015
380, 54
381, 323
382, 371
383, 307
384, 260
385, 58
386, 390
387, 121
388, 81
389, 80
390, 306
391, 57
392, 182
393, 293
394, 300
395, 152
396, 349
397, 303
398, 148
399, 551
400, 150
401, 291
402, 29
403, 51
404, 86
405, 77
406, 44
407, 615
408, 43895
409, 202
410, 9141
411, 41860
412, 395
413, 109
414, 131
415, 199
416, 72
417, 63
418, 42
419, 70
420, 168
421, 75
422, 1730
423, 112
424, 100
425, 2795
426, 80
427, 1
428, 9
429, 9
430, 2
431, 49
432, 32
433, 106
434, 3
435, 1
436, 147
437, 22
438, 26
439, 2
