height ,Count
120, 33
128, 1
135, 2
136, 1
144, 1
150, 1
151, 1
160, 1
176, 1
180, 3
181, 1
183, 1
192, 2
197, 1
200, 5
208, 1
210, 1
216, 1
217, 1
222, 2
231, 1
232, 2
236, 1
239, 1
240, 612
241, 1
248, 10
250, 1
251, 2
256, 1
260, 1
266, 4
272, 7
275, 1
282, 1
288, 4
293, 1
297, 1
299, 2
300, 14
301, 1
304, 3
307, 2
312, 1
313, 2
314, 2
316, 3
320, 164
322, 3
324, 1
330, 1
331, 1
332, 1
333, 6
334, 3
336, 8
337, 5
338, 5
342, 1
343, 2
344, 1
345, 2
346, 1
348, 2
349, 1
350, 5
351, 2
352, 3
354, 1
355, 2
356, 6
358, 2
359, 2
360, 82
361, 3
362, 1
363, 1
364, 1
366, 2
367, 1
368, 12
370, 1
371, 2
372, 2
373, 1
374, 1
375, 103
376, 1
377, 2
379, 1
380, 1
381, 1
383, 1
384, 246
385, 1
386, 3
389, 1
390, 4
392, 1
393, 1
394, 4
396, 1
397, 1
398, 14
399, 8
400, 80
402, 6
403, 2
405, 2
406, 2
408, 28
411, 1
412, 13
413, 6
415, 2
416, 75
417, 3
418, 1
420, 3
421, 5
422, 7
423, 1
424, 9
425, 10
426, 32
427, 24
428, 16
429, 1
430, 6
431, 1
432, 89
433, 6
435, 2
436, 5
437, 2
438, 4
439, 4
440, 2
441, 1
442, 2
443, 1
444, 2
445, 1
446, 3
447, 15
448, 31
449, 13
450, 147
451, 2
452, 6
453, 2
456, 4
457, 1
458, 2
460, 3
461, 6
463, 3
464, 32
465, 1
466, 1
467, 10
468, 7
469, 4
471, 2
472, 5
473, 1
474, 7
475, 3
476, 2
477, 1
478, 88
479, 213
480, 14547
483, 4
484, 1
485, 2
486, 4
487, 3
488, 27
490, 3
491, 1
493, 3
494, 2
495, 2
496, 3
497, 1
498, 3
499, 3
500, 81
501, 1
502, 92
504, 6
505, 1
506, 10
507, 25
508, 4
509, 6
510, 12
511, 2
512, 42
513, 1
514, 3
515, 3
516, 2
517, 2
518, 15
519, 4
520, 1
521, 1
522, 6
523, 3
524, 13
525, 103
526, 7
527, 15
528, 7
529, 15
530, 8
531, 3
532, 39
533, 91
534, 11
535, 11
536, 21
537, 7
538, 3
539, 5
540, 4
542, 7
543, 7
544, 607
545, 2
546, 5
547, 3
548, 2
549, 2
550, 4
551, 13
552, 2
553, 2
555, 5
556, 3
557, 1
558, 4
559, 2
560, 34
561, 24
562, 13
563, 73
564, 3
565, 36
566, 4
567, 5
569, 3
570, 6
571, 4
572, 3
573, 4
574, 2
575, 6
576, 23
577, 4
578, 5
579, 2
580, 3
581, 13
582, 1
583, 9
584, 5
585, 18
586, 6
587, 4
588, 2
589, 1
590, 3
591, 2
592, 8
593, 3
594, 3
595, 3
596, 3
597, 7
598, 14
599, 7
600, 1418
601, 7
602, 24
603, 42
604, 6
605, 10
606, 19
607, 2
608, 15
609, 15
610, 2
612, 3
613, 16
614, 16
615, 11
616, 1
617, 3
618, 2
619, 2
620, 11
621, 2
622, 5
623, 4
624, 126
625, 8
626, 1
627, 5
628, 2
629, 1
630, 119
631, 1
632, 2
633, 4
634, 4
635, 1
636, 3
637, 2
638, 4
639, 5
640, 1285
641, 4
642, 1
643, 2
644, 2
646, 2
648, 6
650, 14
651, 3
652, 4
653, 4
654, 2
655, 1
656, 1
657, 2
658, 5
659, 1
660, 6
661, 1
662, 27
663, 1
664, 15
665, 347
666, 12
667, 41
668, 4
669, 5
670, 4
671, 1
672, 19
673, 9
674, 3
675, 59
676, 3
677, 1
678, 11
679, 1
680, 28
681, 9
682, 15
683, 87
684, 15
685, 23
686, 1
687, 4
688, 4
689, 3
690, 1
691, 45
692, 6
693, 14
694, 3
695, 3
696, 1
697, 1
698, 88
699, 5
700, 71
701, 3
703, 1
704, 7
705, 2
706, 5
707, 1
708, 12
709, 10
710, 4
712, 3
713, 3
714, 8
715, 4
716, 115
717, 2
718, 6
719, 10
720, 508
721, 1
723, 4
724, 2
725, 5
726, 120
727, 3
728, 2
729, 2
730, 215
732, 2
733, 9
734, 1
735, 2
736, 120
737, 2
738, 2
739, 1
740, 26
741, 17
742, 2
743, 4
744, 7
746, 1
748, 1
749, 2
750, 103
751, 2
752, 4
753, 3
755, 4
756, 10
757, 2
758, 1
759, 2
760, 19
761, 4
762, 3
763, 2
764, 2
765, 3
766, 2
767, 5
768, 10518
769, 21
770, 2
771, 3
772, 2
773, 3
774, 3
775, 1
776, 5
777, 9
778, 10
779, 4
780, 30
781, 4
782, 1
783, 2
784, 3
785, 1
786, 2
787, 4
788, 1
789, 1
790, 24
791, 3
792, 5
793, 2
794, 5
795, 8
796, 11
797, 3
798, 5
799, 7
800, 291
801, 7
802, 2
803, 26
804, 160
805, 3
806, 2
807, 8
808, 4
809, 9
810, 101
812, 4
814, 2
815, 2
816, 5
817, 1
818, 6
819, 2
820, 10
822, 2
823, 14
824, 2
825, 3
826, 71
827, 3
828, 19
829, 3
831, 1
832, 19
833, 11
835, 1
836, 3
837, 3
838, 3
839, 17
840, 420
841, 4
842, 24
843, 4
844, 3
845, 9
846, 11
847, 7
848, 6
850, 6
851, 59
852, 11
853, 22
854, 19
855, 3
856, 4
857, 2
858, 4
859, 1
860, 3
861, 4
862, 8
863, 5
864, 291
865, 1
866, 1
867, 17
868, 2
869, 3
870, 3
871, 3
872, 1
873, 2
874, 3
875, 2
876, 5
877, 1
878, 43
879, 2
880, 4
881, 2
882, 1
883, 3
884, 6
885, 2
886, 2
887, 4
888, 14
890, 5
891, 2
892, 2
893, 8
894, 2
895, 2
896, 2
897, 1
898, 1
899, 71
900, 148
901, 2
902, 8
903, 8
904, 4
905, 3
906, 6
907, 4
908, 4
909, 3
910, 2
911, 2
912, 25
913, 3
914, 4
915, 3
916, 3
917, 1
918, 4
919, 2
920, 4
921, 9
922, 7
923, 4
924, 3
926, 3
927, 1
928, 9
929, 3
930, 2
931, 4
932, 1
933, 3
934, 4
935, 1
936, 3
937, 5
938, 6
939, 2
940, 5
941, 1
942, 1
943, 1
944, 7
945, 4
946, 1
947, 1
948, 1
949, 1
950, 6
951, 1
952, 4
953, 1
954, 3
955, 2
956, 11
957, 3
958, 1
959, 3
960, 7452
961, 7
962, 3
963, 3
964, 6
965, 3
966, 1
967, 1
968, 172
969, 7
970, 5
971, 1
972, 5
973, 4
974, 3
975, 10
976, 10
977, 2
978, 3
979, 2
980, 4
983, 1
984, 5
985, 4
986, 2
987, 115
988, 2
989, 3
990, 1
991, 3
992, 5
993, 2
994, 10
995, 2
996, 6
997, 1
998, 3
999, 6
1000, 241
1001, 2
1002, 1
1003, 4
1004, 1
1005, 2
1006, 2
1007, 2
1008, 37
1009, 4
1010, 5
1011, 1
1012, 5
1013, 1
1014, 3
1015, 1
1016, 4
1017, 5
1018, 2
1019, 3
1020, 6
1021, 3
1022, 2
1023, 4
1024, 7650
1025, 5
1026, 5
1027, 55
1028, 21
1029, 4
1030, 2
1031, 2
1032, 22
1033, 2
1034, 3
1035, 1
1036, 9
1037, 124
1038, 3
1039, 3
1040, 94
1042, 1
1043, 3
1044, 30
1045, 5
1046, 9
1047, 1
1048, 11
1049, 1
1050, 78
1051, 2
1052, 6
1053, 4
1054, 10
1055, 2
1056, 22
1057, 3
1058, 4
1059, 1
1060, 23
1061, 129
1062, 48
1063, 626
1064, 13
1065, 262
1066, 1674
1067, 808
1068, 226
1069, 3
1070, 6
1071, 419
1072, 113
1073, 2
1074, 72
1075, 258
1076, 6
1077, 5
1078, 159
1079, 4
1080, 9140
1081, 60
1082, 8
1083, 9
1084, 21
1086, 209
1087, 3
1088, 111
1089, 1
1090, 4
1091, 2
1092, 34
1093, 1
1094, 42
1095, 41
1096, 5
1097, 2
1098, 7
1099, 2
1100, 2
1102, 12
1103, 2
1104, 31
1105, 2
1106, 11
1107, 3
1108, 4
1109, 5
1110, 8
1111, 5
1112, 6
1113, 4
1114, 7
1116, 1
1117, 45
1118, 6
1119, 4
1120, 40
