ifd0_ExifOffset ,Count
, 1129
@ 0x0008, 2870
@ 0x003E, 66
@ 0x0044, 28
@ 0x0048, 9
@ 0x004A, 111
@ 0x004C, 1798
@ 0x0050, 117
@ 0x0054, 7
@ 0x0056, 1
@ 0x005A, 416
@ 0x0060, 2
@ 0x0062, 156
@ 0x0063, 32
@ 0x0066, 3
@ 0x0069, 22
@ 0x006A, 93
@ 0x006C, 24
@ 0x006E, 940
@ 0x006F, 83
@ 0x0070, 33
@ 0x0072, 34
@ 0x0073, 419
@ 0x0074, 285
@ 0x0076, 276
@ 0x0077, 1619
@ 0x0078, 188
@ 0x007A, 1644
@ 0x007B, 106
@ 0x007C, 561
@ 0x007D, 1
@ 0x007E, 1964
@ 0x0080, 1238
@ 0x0082, 497
@ 0x0083, 112
@ 0x0084, 12285
@ 0x0085, 24
@ 0x0086, 5288
@ 0x0088, 860
@ 0x008A, 4314
@ 0x008B, 10
@ 0x008C, 3038
@ 0x008D, 61
@ 0x008E, 1051
@ 0x008F, 187
@ 0x0090, 4115
@ 0x0091, 131
@ 0x0092, 5368
@ 0x0093, 1
@ 0x0094, 821
@ 0x0095, 3
@ 0x0096, 675
@ 0x0097, 20
@ 0x0098, 642
@ 0x0099, 9
@ 0x009A, 244
@ 0x009B, 14
@ 0x009C, 380
@ 0x009D, 684
@ 0x009E, 6475
@ 0x009F, 579
@ 0x00A0, 642
@ 0x00A1, 157
@ 0x00A2, 435
@ 0x00A3, 247
@ 0x00A4, 839
@ 0x00A5, 215
@ 0x00A6, 1249
@ 0x00A7, 29
@ 0x00A8, 1519
@ 0x00A9, 102
@ 0x00AA, 4384
@ 0x00AB, 970
@ 0x00AC, 1267
@ 0x00AD, 104
@ 0x00AE, 1247
@ 0x00AF, 505
@ 0x00B0, 4434
@ 0x00B1, 61
@ 0x00B2, 2784
@ 0x00B3, 415
@ 0x00B4, 2592
@ 0x00B5, 171
@ 0x00B6, 2014
@ 0x00B7, 53
@ 0x00B8, 2484
@ 0x00B9, 276
@ 0x00BA, 7137
@ 0x00BB, 839
@ 0x00BC, 3594
@ 0x00BD, 214
@ 0x00BE, 5165
@ 0x00BF, 383
@ 0x00C0, 20236
@ 0x00C1, 16
@ 0x00C2, 17699
@ 0x00C3, 177
@ 0x00C4, 200319
@ 0x00C5, 263
@ 0x00C6, 15283
@ 0x00C7, 546
@ 0x00C8, 4314
@ 0x00C9, 193
@ 0x00CA, 1949
@ 0x00CB, 188
@ 0x00CC, 49885
@ 0x00CD, 320
@ 0x00CE, 5549
@ 0x00CF, 429
@ 0x00D0, 12483
@ 0x00D1, 216
@ 0x00D2, 3258
@ 0x00D3, 222
@ 0x00D4, 2130
@ 0x00D5, 100
@ 0x00D6, 4616
@ 0x00D7, 284
@ 0x00D8, 54501
@ 0x00D9, 86
@ 0x00DA, 13867
@ 0x00DB, 9
@ 0x00DC, 4098
@ 0x00DD, 48
@ 0x00DE, 2414
@ 0x00DF, 102
@ 0x00E0, 16021
@ 0x00E1, 142
@ 0x00E2, 7324
@ 0x00E3, 21
@ 0x00E4, 37228
@ 0x00E5, 321
@ 0x00E6, 5621
@ 0x00E7, 32
@ 0x00E8, 4531
@ 0x00E9, 5
@ 0x00EA, 5546
@ 0x00EB, 118
@ 0x00EC, 8487
@ 0x00ED, 65
@ 0x00EE, 4355
@ 0x00EF, 29
@ 0x00F0, 39772
@ 0x00F1, 552
@ 0x00F2, 3730
@ 0x00F3, 116
@ 0x00F4, 4613
@ 0x00F5, 20
@ 0x00F6, 2213
@ 0x00F7, 54
@ 0x00F8, 2826
@ 0x00F9, 144
@ 0x00FA, 3169
@ 0x00FB, 41
@ 0x00FC, 5596
@ 0x00FD, 125
@ 0x00FE, 3885
@ 0x00FF, 229
@ 0x0100, 72843
@ 0x0102, 50122
@ 0x0103, 6
@ 0x0104, 1226
@ 0x0105, 263
@ 0x0106, 966
@ 0x0107, 11
@ 0x0108, 2893
@ 0x0109, 398
@ 0x010A, 20131
@ 0x010B, 21
@ 0x010C, 9116
@ 0x010D, 6
@ 0x010E, 7687
@ 0x010F, 15
@ 0x0110, 4483
@ 0x0111, 4
@ 0x0112, 3340
@ 0x0113, 126
@ 0x0114, 7152
@ 0x0115, 12
@ 0x0116, 2092
@ 0x0117, 31
@ 0x0118, 4609
@ 0x0119, 1
@ 0x011A, 19271
@ 0x011B, 45
@ 0x011C, 39965
@ 0x011D, 18
@ 0x011E, 14297
@ 0x011F, 140
@ 0x0120, 6686
@ 0x0121, 19
@ 0x0122, 12325
@ 0x0123, 242
@ 0x0124, 2550
@ 0x0125, 4
@ 0x0126, 16472
@ 0x0127, 10
@ 0x0128, 690
@ 0x0129, 18
@ 0x012A, 13162
@ 0x012B, 4
@ 0x012C, 6539
@ 0x012D, 4
@ 0x012E, 7846
@ 0x012F, 4
@ 0x0130, 201
@ 0x0131, 6
@ 0x0132, 1648
@ 0x0133, 47
@ 0x0134, 674
@ 0x0135, 2
@ 0x0136, 5487
@ 0x0137, 59
@ 0x0138, 6027
@ 0x0139, 98
@ 0x013A, 2833
@ 0x013C, 275
@ 0x013D, 111
@ 0x013E, 1405
@ 0x0140, 3382
@ 0x0141, 7
@ 0x0142, 484
@ 0x0144, 168
@ 0x0146, 130
@ 0x0147, 7
@ 0x0148, 3939
@ 0x014A, 6165
@ 0x014C, 693
@ 0x014E, 1852
@ 0x0150, 3470
@ 0x0151, 11
@ 0x0152, 1094
@ 0x0154, 4322
@ 0x0155, 10
@ 0x0156, 2397
@ 0x0157, 2
@ 0x0158, 1315
@ 0x015A, 529
@ 0x015C, 28215
@ 0x015D, 2
@ 0x015E, 3010
@ 0x015F, 33
@ 0x0160, 2786
@ 0x0161, 2
@ 0x0162, 5060
@ 0x0163, 5
@ 0x0164, 3591
@ 0x0165, 2
@ 0x0166, 1626
@ 0x0167, 54
@ 0x0168, 41833
@ 0x016A, 623
@ 0x016B, 7
@ 0x016C, 2170
@ 0x016E, 1352
@ 0x016F, 14
@ 0x0170, 180
@ 0x0171, 45
@ 0x0172, 331
@ 0x0174, 458
@ 0x0176, 865
@ 0x0178, 5370
@ 0x0179, 1
@ 0x017A, 4014
@ 0x017B, 6
@ 0x017C, 128
@ 0x017E, 2534
@ 0x017F, 1
@ 0x0180, 1988
@ 0x0182, 468
@ 0x0184, 23
@ 0x0186, 9890
@ 0x0188, 123
@ 0x018A, 5044
@ 0x018C, 3996
@ 0x018D, 7
@ 0x018E, 1975
@ 0x018F, 2
@ 0x0190, 416
@ 0x0192, 390
@ 0x0193, 19
@ 0x0194, 723
@ 0x0196, 3423
@ 0x0198, 72
@ 0x019A, 999
@ 0x019C, 328
@ 0x019E, 1554
@ 0x019F, 1
@ 0x01A0, 1592
@ 0x01A1, 20
@ 0x01A2, 16784
@ 0x01A3, 2
@ 0x01A4, 6360
@ 0x01A6, 74
@ 0x01A8, 74
@ 0x01AA, 89
@ 0x01AB, 7
@ 0x01AC, 76
@ 0x01AD, 31
@ 0x01AE, 215
@ 0x01B0, 103
@ 0x01B1, 18
@ 0x01B2, 21
@ 0x01B3, 2
@ 0x01B4, 43
@ 0x01B5, 97
@ 0x01B6, 95
@ 0x01B7, 1
@ 0x01B8, 32
@ 0x01B9, 1
@ 0x01BA, 26
@ 0x01BB, 8
@ 0x01BC, 197
@ 0x01BE, 42
@ 0x01C0, 30
@ 0x01C2, 30
@ 0x01C3, 3
@ 0x01C4, 145
@ 0x01C6, 256
@ 0x01C7, 1865
@ 0x01C8, 2106
@ 0x01C9, 242
@ 0x01CA, 6724
@ 0x01CC, 15
@ 0x01CD, 2
@ 0x01CE, 1205
@ 0x01D0, 23
@ 0x01D2, 124
@ 0x01D3, 4
@ 0x01D4, 83
@ 0x01D6, 153
@ 0x01D8, 2625
@ 0x01D9, 35
@ 0x01DA, 1173
@ 0x01DC, 4
@ 0x01DD, 16
@ 0x01DE, 48
@ 0x01E0, 761
@ 0x01E2, 209
@ 0x01E3, 1
@ 0x01E4, 3404
@ 0x01E5, 66
@ 0x01E6, 18
@ 0x01E8, 102
@ 0x01E9, 2
@ 0x01EA, 7
@ 0x01EB, 45
@ 0x01EC, 9
@ 0x01ED, 120
@ 0x01EE, 4217
@ 0x01EF, 5
@ 0x01F0, 6216
@ 0x01F1, 1
@ 0x01F2, 59
@ 0x01F4, 1329
@ 0x01F5, 5
@ 0x01F6, 322
@ 0x01F7, 1
@ 0x01F8, 2772
@ 0x01F9, 21
@ 0x01FA, 5688
@ 0x01FB, 1
@ 0x01FC, 108
@ 0x01FD, 52
@ 0x01FE, 171
@ 0x01FF, 75
@ 0x0200, 28
@ 0x0201, 1
@ 0x0202, 607
@ 0x0206, 57
@ 0x0207, 1
@ 0x0208, 163
@ 0x0209, 5
@ 0x020A, 24
@ 0x020B, 24
@ 0x020C, 16
@ 0x020E, 92
@ 0x020F, 1
@ 0x0210, 99
@ 0x0212, 378
@ 0x0213, 1
@ 0x0214, 703
@ 0x0215, 8
@ 0x0216, 731
@ 0x0217, 2
@ 0x0218, 458
@ 0x021A, 177
@ 0x021C, 598
@ 0x021E, 37
@ 0x021F, 74
@ 0x0220, 69
@ 0x0221, 2
@ 0x0222, 112
@ 0x0224, 99
@ 0x0226, 7477
@ 0x0228, 11
@ 0x0229, 2
@ 0x022A, 3
@ 0x022C, 45
@ 0x022D, 1
@ 0x022E, 29
@ 0x0230, 10
@ 0x0232, 2
@ 0x0234, 24
@ 0x0236, 411
@ 0x0237, 28
@ 0x0238, 104
@ 0x023A, 576
@ 0x023C, 2
@ 0x023D, 12
@ 0x023E, 5
@ 0x023F, 4
@ 0x0240, 6
@ 0x0242, 3600
@ 0x0243, 1
@ 0x0244, 70
@ 0x0246, 8
@ 0x0248, 18
@ 0x0249, 38
@ 0x024A, 1301
@ 0x024B, 57
@ 0x024C, 23
@ 0x024E, 1293
@ 0x0250, 1681
@ 0x0252, 1
@ 0x0253, 125
@ 0x0254, 66
@ 0x0255, 18
@ 0x0256, 3327
@ 0x0258, 33
@ 0x025A, 3790
@ 0x025B, 1
@ 0x025C, 316
@ 0x025E, 16
@ 0x025F, 1
@ 0x0260, 341
@ 0x0262, 68
@ 0x0263, 1
@ 0x0264, 4378
@ 0x0266, 346
@ 0x0268, 98
@ 0x0269, 1
@ 0x026A, 3
@ 0x026B, 1
@ 0x026C, 23
@ 0x026D, 1
@ 0x026E, 6
@ 0x0270, 313
@ 0x0272, 147
@ 0x0273, 1
@ 0x0274, 26
@ 0x0275, 1
@ 0x0276, 370
@ 0x0278, 111
@ 0x0279, 9
@ 0x027A, 18102
@ 0x027B, 13
@ 0x027C, 14829
@ 0x027D, 3
@ 0x027E, 133
@ 0x027F, 2
@ 0x0280, 24
