ifd0_GPSOffset ,Count
, 1098318
@ 0x0000, 41
@ 0x0081, 5
@ 0x009A, 3
@ 0x00A0, 89
@ 0x00B2, 1
@ 0x00B8, 3
@ 0x00BA, 31
@ 0x00BB, 1
@ 0x00C4, 1
@ 0x00C6, 9
@ 0x00CC, 2
@ 0x00CD, 6
@ 0x00CF, 4
@ 0x00D0, 48
@ 0x00D1, 7
@ 0x00D2, 1
@ 0x00D3, 19
@ 0x00D4, 5
@ 0x00D7, 11
@ 0x00D8, 9
@ 0x00D9, 12
@ 0x00DA, 10
@ 0x00DB, 16
@ 0x00DC, 1
@ 0x00DD, 8
@ 0x00DE, 22
@ 0x00DF, 11
@ 0x00E0, 35
@ 0x00E1, 3
@ 0x00E2, 37
@ 0x00E3, 5
@ 0x00E4, 166
@ 0x00E5, 3
@ 0x00E6, 17
@ 0x00E8, 11
@ 0x00E9, 91
@ 0x00EA, 122
@ 0x00EB, 2
@ 0x00EC, 29
@ 0x00ED, 7
@ 0x00EE, 8
@ 0x00EF, 2
@ 0x00F0, 23
@ 0x00F2, 6
@ 0x00F4, 3
@ 0x00F6, 11
@ 0x00F7, 6
@ 0x00F8, 7
@ 0x00FA, 17
@ 0x00FC, 42
@ 0x00FE, 34
@ 0x0100, 69
@ 0x0102, 36
@ 0x0104, 26
@ 0x0106, 61
@ 0x0108, 28
@ 0x010A, 20
@ 0x010C, 49
@ 0x010E, 16
@ 0x0110, 24
@ 0x0112, 9
@ 0x0114, 17
@ 0x011C, 4
@ 0x011E, 1
@ 0x0120, 9
@ 0x0126, 69
@ 0x0128, 1
@ 0x012A, 4
@ 0x012C, 16
@ 0x012E, 21
@ 0x0130, 22
@ 0x0132, 225
@ 0x0134, 1
@ 0x0138, 5
@ 0x013A, 9
@ 0x013C, 4
@ 0x013D, 808
@ 0x013E, 43
@ 0x0142, 137
@ 0x0143, 1
@ 0x0144, 146
@ 0x0146, 1
@ 0x0148, 380
@ 0x014A, 36
@ 0x014C, 317
@ 0x014E, 289
@ 0x0150, 8
@ 0x0152, 100
@ 0x0154, 2
@ 0x0156, 10
@ 0x0158, 26
@ 0x015A, 762
@ 0x015C, 779
@ 0x015E, 243
@ 0x0160, 468
@ 0x0162, 422
@ 0x0163, 10
@ 0x0164, 638
@ 0x0166, 235
@ 0x0168, 143
@ 0x016A, 492
@ 0x016B, 1
@ 0x016C, 343
@ 0x016E, 75
@ 0x0170, 276
@ 0x0172, 636
@ 0x0174, 155
@ 0x0176, 167
@ 0x0178, 64
@ 0x017A, 214
@ 0x017B, 156
@ 0x017C, 69
@ 0x017E, 25
@ 0x017F, 44
@ 0x0180, 32
@ 0x0182, 10
@ 0x0183, 1
@ 0x0184, 48
@ 0x0185, 6
@ 0x0186, 908
@ 0x0188, 8
@ 0x018A, 10
@ 0x018B, 1
@ 0x018E, 125
@ 0x0190, 12
@ 0x0192, 162
@ 0x0193, 6
@ 0x0194, 2
@ 0x0196, 81
@ 0x0198, 27
@ 0x019A, 44
@ 0x019C, 54
@ 0x019E, 1081
@ 0x01A0, 27
@ 0x01A2, 469
@ 0x01A4, 299
