ifd0_ImageDescription ,Count
, 1194250
(C) 2003 Gateway,Inc., 4
+M+M+M+M+M+M+M+M+M+M+M+M+M+M+, 28
., 380
.... .... .... .@ ......@...., 1
.... ....... .@ ...........+ , 1
.... ...@@..... .@ .....,. 0H, 1
........., 4
............*U*U*U*U*U*U*U*U*, 3
............................., 711
........................w...., 1
.............{..............., 1
.........._.................., 3
.........._.......o.........., 6
.........w..{................, 1
.........w..{...~.w......{..., 3
.........w..}.........._....., 1
....[{...........}.......?..., 1
....{........................, 2
....{{.....~.....}.......?.}., 1
....~........................, 3
....~......................}., 1
....~.......}..............}., 1
....~.....w.}...w....o.....}., 4
....~.....w.}_..w....o.....}., 1
...H.....@., 1
.@*.........!.@..*.. ...., 1
.D....H=h..5.@T...$R..EH..aA., 1
.D....H=h.5.@T...$R..DH.AA..L, 1
.D....H=h.5.@T...$R..EH.aA..L, 1
.D....L=h..5.@U...$V..EN..aA., 7
.Sonntag, 26. Mai 2013  17:35, 1
.Sonntag, 8. Juni 2008  10:04, 1
.Sonntag, 8. Juni 2008  11:30, 1
.Sonntag, 8. Juni 2008  13:56, 1
.w..[{...}..........o....?.}., 4
.w..~{....w.}_..w....o.....}., 1
.w..~{....w.}_?.w....o...?.m., 1
.w}.z{....w.}_?.w....o...?.m., 2
.w}.~{....w.}_?.w....o}..?}m., 4
.zw-i..G_}W=*].O*Q......+U.V., 1
02120006, 1
03300001, 1
040826_2346~01, 1
041008_1007~01, 1
041204_1712~01, 1
04280001, 1
050206_2144~01, 1
050228_1020~01, 1
050709_1727~01, 1
050916_1251~01, 1
050917_1453~01, 1
050920_1924~01, 1
050923_1214~01, 1
050926_2022~01, 1
060305_1319~02, 1
060421_1802~01, 1
061203_1652~01, 1
0624,1,0,0,257,256,668,1,0,97, 1
070813_1541~01, 1
070813_1546~01, 1
070901_1438~01, 1
071006_0254~01, 1
080104_1928~01, 1
080106_1224~01, 1
080106_1325~01, 1
080106_1502~01, 1
080106_1647~01, 1
080106_1654~02, 1
080106_1932~02, 1
080106_2111~01, 1
080114_1031~01, 1
080130_1431~01, 1
08020001, 1
080201_0055~01, 1
080203_0746~03, 1
080206_1555~01, 1
080217_1544~01, 1
080222_1953~01, 1
080223_1612~01, 1
080227_2100~01, 1
080228_1501~01, 1
080302_1604~01, 1
080320_1622~01, 1
080323_1350~01, 1
080705_2130~01, 1
090809_0053~01, 1
090809_0103~01, 1
10020001, 1
10110001, 1
12050001, 1
20060325194009, 1
20060326124019, 1
20060327191115, 1
20060329190027, 1
20060402131734, 1
20060402133228, 1
20060402133319, 1
20060402134054, 1
20060907133550, 1
20060907133955, 1
20060918164250, 1
20060918164449, 1
20060918164554, 1
20061203165009, 1
20061203165120, 1
20061203165207, 1
20061203170958, 1
20070319160920, 1
20070328181821, 1
20070407224338, 1
20070407224511, 1
20070421133814, 1
200708282326001, 1
200709042019000, 1
200709171841000, 1
20071011014621, 1
20071014135102, 1
20071030070420, 1
200711272122000, 1
200711302110000, 1
20071202194955, 1
200712181345000, 1
20071222221925, 1
200712261331000, 1
20071230141015, 1
200801071348000, 1
200801111348000, 1
200801121722000, 1
200801142057000, 1
200801192032000, 1
200801231007000, 1
200801231111000, 1
20080123151727, 1
200801271418000, 1
200801311128000, 1
20080202210521, 1
200802031139000, 1
20080203135653, 1
20080203174554, 1
200802041331000, 1
20080323164033, 1
200803251744000, 1
20080327115616, 1
200803291552000, 1
20080405144412, 1
200805201850000, 1
200806031132000, 1
200806041527000, 1
200806131201000, 1
200806131218000, 1
200806151546000, 1
