ifd0_Make ,Count
1, 3749
2, 9
3, 106871
4, 99788
5, 48918
6, 106920
7, 215859
8, 67742
9, 49285
10, 38311
11, 16758
12, 327
13, 3989
14, 331201
15, 21590
16, 2532
17, 8247
18, 19621
19, 5162
20, 6708
21, 4885
22, 91
23, 156
24, 41183
25, 10597
26, 31786
27, 4912
28, 11
29, 31
30, 7282
31, 1834
32, 4135
33, 20379
34, 116
35, 89
36, 245
37, 33
38, 3927
39, 7974
40, 169
41, 5133
42, 51
43, 5891
44, 596
45, 10
46, 6
47, 5
48, 20080
49, 335
50, 1600
51, 405
52, 346
53, 312
54, 9012
55, 8
56, 151
57, 175
58, 6
59, 85
60, 137
61, 2161
62, 3711
63, 440
64, 90
65, 82
66, 18
67, 92
68, 21
69, 5
70, 24
71, 11
72, 70
73, 6698
74, 2166
75, 1410
76, 255
77, 9
78, 53
79, 39
80, 13
81, 10
82, 11
83, 8
84, 7
85, 13
86, 1835
87, 598
88, 6
89, 1667
90, 31
91, 933
92, 137
93, 679
94, 14
95, 382
96, 355
97, 349
98, 112
99, 15
100, 32
101, 16
102, 505
103, 136
104, 118
105, 13
106, 218
107, 43
108, 122
109, 1056
110, 153
111, 6
112, 48
113, 435
114, 42
115, 132
116, 148
117, 118
118, 7
119, 74
120, 35
121, 64
122, 7
123, 53
124, 16
125, 18
126, 7
127, 39
128, 53
129, 29
130, 93
131, 7
132, 4
133, 10
134, 101
135, 16
136, 1390
137, 98
138, 72
139, 370
140, 5
141, 5
142, 423
143, 217
144, 42
145, 39
146, 48
147, 12
148, 59
149, 376
150, 232
151, 173
152, 110
153, 248
154, 1321
155, 8
156, 469
157, 173
158, 34
159, 666
160, 36
161, 8
162, 313
163, 105
164, 59
165, 12
166, 131
167, 226
168, 107
169, 161
170, 7
171, 24
172, 8
173, 18
174, 1
175, 7
176, 39
177, 7
178, 21
179, 252
180, 3
181, 60
182, 15
183, 28
184, 44
185, 11
186, 16
187, 137
188, 12
189, 10
190, 9
191, 18
192, 19
193, 379
194, 50
195, 62
196, 13
197, 11
198, 15
199, 45
200, 67
201, 5
202, 56
203, 45
204, 86
205, 187
206, 21
207, 1
208, 6
209, 5
210, 7
211, 131
212, 144
213, 31
214, 278
215, 12
216, 5
217, 400
218, 22
219, 3
220, 4
221, 5
222, 1
223, 1
224, 2
225, 3
226, 11
227, 22
228, 11
229, 19
230, 9
231, 12
232, 1
233, 2
234, 1
235, 2
236, 7
237, 3
238, 2
239, 1
240, 2
241, 2
242, 1
243, 3
244, 2
245, 2
246, 3
247, 6
248, 1
249, 1
250, 3
251, 1
252, 1
253, 3
254, 93
255, 4
256, 2
257, 9
258, 1
259, 14
260, 1
261, 2301
262, 2
263, 1
264, 6
265, 1
266, 1
267, 645
268, 1
269, 2
270, 7
271, 1
272, 1
273, 9
274, 4
275, 2
276, 1
277, 9
278, 1
279, 10
280, 13
281, 1
282, 550
283, 3
284, 52
285, 1
286, 2
287, 1
288, 1
289, 1
290, 2
291, 1
292, 1
293, 1
294, 1
295, 3
296, 1
297, 2
298, 6
299, 2
300, 7
301, 5
302, 1
303, 1
304, 1
305, 3
306, 1
307, 8
308, 1
309, 5
310, 2
311, 90
312, 8
313, 1
314, 3
315, 1
316, 1
317, 1
318, 1
319, 25
320, 1
321, 19
322, 1
323, 1
324, 1
325, 1
326, 1
327, 1
328, 1
329, 3
330, 1
331, 1
332, 1
