ifd0_Software ,Count
1, 593981
2, 3943
3, 5017
4, 4994
5, 65069
6, 320
7, 52166
8, 1664
9, 1641
10, 9372
11, 37
12, 22402
13, 22152
14, 2498
15, 2101
16, 2855
17, 583
18, 7650
19, 398
20, 1225
21, 949
22, 654
23, 257
24, 422
25, 133
26, 178
27, 38
28, 89
29, 49
30, 156
31, 320
32, 2225
33, 3425
34, 1
35, 3979
36, 2843
37, 498
38, 3
39, 126
40, 2139
41, 4650
42, 890
43, 65
44, 528
45, 64
46, 5118
47, 10
48, 1332
49, 407
50, 287
51, 706
52, 228
53, 690
54, 7
55, 3
56, 2
57, 462
58, 714
59, 529
60, 5185
61, 554
62, 671
63, 359
64, 487
65, 1
66, 12
67, 294
68, 70
69, 242
70, 275
71, 183
72, 22
73, 173
74, 10
75, 225
76, 29
77, 13339
78, 25
79, 8869
80, 91
81, 1279
82, 802
83, 56
84, 174
85, 21
86, 1191
87, 203
88, 71
89, 51
90, 958
91, 169
92, 142
93, 1602
94, 590
95, 4062
96, 707
97, 3397
98, 241
99, 1923
100, 1221
101, 4315
102, 1220
103, 3636
104, 33
105, 124
106, 4
107, 10
108, 46
109, 3
110, 5
111, 1
112, 224
113, 46
114, 302
115, 30
116, 4396
117, 237
118, 126
119, 524
120, 9338
121, 1466
122, 5059
123, 2161
124, 46
125, 730
126, 192
127, 34
128, 1198
129, 1561
130, 544
131, 1646
132, 441
133, 800
134, 99
135, 59
136, 22
137, 50
138, 98
139, 222
140, 223
141, 386
142, 244
143, 110
144, 7
145, 434
146, 156
147, 359
148, 535
149, 308
150, 25
151, 183
152, 609
153, 35
154, 68
155, 5004
156, 575
157, 29
158, 781
159, 36
160, 116
161, 87
162, 1636
163, 26
164, 46
165, 345
166, 242
167, 54
168, 17
169, 192
170, 953
171, 204
172, 3
173, 213
174, 10318
175, 157
176, 25
177, 6
178, 3
179, 161
180, 66
181, 1844
182, 38
183, 658
184, 8
185, 56
186, 4
187, 183
188, 231
189, 383
190, 335
191, 352
192, 406
193, 273
194, 1
195, 90
196, 225
197, 179
198, 237
199, 733
200, 131
201, 7
202, 6
203, 25
204, 22
205, 563
206, 3724
207, 16
208, 197
209, 231
210, 70
211, 783
212, 5820
213, 301
214, 752
215, 215
216, 38
217, 217
218, 213
219, 735
220, 816
221, 661
222, 1851
223, 3839
224, 6
225, 24
226, 10
227, 10
228, 1
229, 55
230, 176
231, 107
232, 245
233, 1
234, 1
235, 1
236, 1
237, 1
238, 1
239, 2
240, 1
241, 1
242, 1
243, 1
244, 1
245, 1
246, 1
247, 1
248, 5
250, 162
251, 38
252, 20
253, 5
254, 36
255, 90
256, 16
257, 15
258, 24
259, 351
260, 67
261, 600
262, 489
263, 212
264, 3
265, 16191
