ifd0_XResolution ,Count
, 22150
0/0, 587
0/1, 7
0/10, 6
0/1240240, 4
0/1240612, 70
0/1240904, 26
0/82017904, 1
0/82019376, 1
0/82022312, 1
0/82023624, 1
0/82031784, 1
0/82032688, 1
0/82035608, 1
0/82041992, 1
0/82043536, 1
0/82045568, 1
0/82048032, 1
0/82055112, 1
0/82091744, 1
0/87256792, 1
0/87259088, 1
0/87261808, 1
0/87270056, 1
0/87272072, 1
0/87275224, 1
0/87276264, 1
0/87281600, 1
1/1, 10
10/1, 3
100/1, 18
1000/1, 2
1006632960/2097152, 1
1012924416/2097152, 1
102/1, 1
105/1, 1
108/1, 2
114/1, 3
1193195776/16777216, 30
1200/1, 1
1207959552/16777216, 601
1207959552/2097152, 6
133/1, 1
1350/1, 1
139/1, 1
144/1, 2502
150/1, 700
1500/1, 5
160/1, 452
1600/1, 4
1610612736/16777216, 4
16455700/4, 1
1677721600/16777216, 1
170/1, 1
178/1, 1
180/1, 264809
18000/100, 2
18002404/4, 9
192/1, 602
194/1, 1
200/1, 718
2000/1, 13
20000/1, 1
214/1, 1
216/1, 21
224/1, 1
225/1, 2
230/1, 10727
235/1, 1
240/1, 759
2400/1, 1
241/1, 1
25/1, 1
2500/1, 155
256/1, 21
2560/1, 1
265/1, 3
273/1, 10
288/3, 47573
294/27310, 1
300/0, 29
300/1, 211729
301/1, 24
30818868/4, 4
314/1, 35515
314000/1000, 1
317/1, 1
320/1, 2
3200/1, 5
3264/1, 3
336/1, 1
336860180/336860180, 6
341/1, 1
350/1, 66035
360/1, 9
361/1, 1
371/1, 2
375/1, 7
377487360/2097152, 34
384/1, 1
385/1, 4
40/1, 66
400/1, 64
407/1, 2
414/1, 4
416/1, 6
426/1, 1
427/1, 1
432/1, 2
434/1, 3
437/1, 1
438/1, 6
441/1, 7
442/1, 3
443/1, 1
450/1, 8
453/1, 5
454/1, 3
456/1, 4
459/1, 6
46/1, 1
4608/125, 4
462/1, 6
465/1, 5
469/1, 2
471/1, 6
474/1, 4
476/1, 1
477/1, 5
480/1, 6862
480/7, 14
483/1, 1
486/1, 4
487/1, 1
490/1, 7
492/1, 1
500/1, 1
501/1, 7
505/1, 1
510/1, 6
512/9, 32
520/1, 1
531/1, 5
533/1, 1
534/1, 7
535/1, 1
536/1, 1
536870912/2097152, 538
538976288/808464896, 1
543/1, 2
554/1, 1
558/1, 3
563/1, 2
565/1, 3
570/1, 9
573/1, 1
5803/1, 1
583/1, 1
584/1, 1
59/1, 1
593/1, 1
596/1, 6
600/1, 556
6000/1, 1
613/1, 1
629145600/2097152, 216
640/1, 2
645922816/2097152, 12
658505728/2097152, 38
6885/121, 67
700/1, 2
72/0, 11
72/1, 699340
720/10, 219
7200/100, 18
720000/10000, 4716
7200000/100000, 20
72000000/1000000, 14
730/1, 1
734003200/2097152, 158
738263040/16777216, 3
75/1, 3
754974720/2097152, 106
768/1, 1
79/1, 1
800/1, 1
805306368/2097152, 5
809500672/2097152, 22
81/1, 3
817/1, 1
85/1, 1
905969664/2097152, 78
95/1, 1
96/1, 1529
97/1, 1
99/1, 1
999/1, 2
9999/1, 19
