ifd0_bit ,Count
000000000000000000000000000, 1
000011100000011010000000000, 39
011000000000000000000000000, 133
011000000000000010000000000, 393
011000000000000011000000000, 9
011000000000000110000000000, 242
011000000000010010000000000, 325
011000000000110010000000000, 1
011000001000000000000000000, 85
011000001000000010000000000, 246
011000001000000011000000000, 90
011000001000010010000000000, 1308
011000001000010010000000111, 10
011000001000010010000001111, 50
011000001000010010000100000, 197
011000001000010010001000000, 2
011000001000010010001001111, 14
011000001000010010001101111, 7
011000001000010010010000000, 113
011000001000010010101010000, 3
011000001000010010110110011, 1
011000001000010010111110000, 7
011000001000010010111110011, 22
011000001000010011000000000, 13
011000001011110010000000000, 34
011000001100000010000000000, 1
011000001100010110000000000, 111
011000001100010111000000000, 39
011000010000000010000000000, 150
011000010000000011000001010, 20
011000010000010010000000000, 2
011000011000000010000000000, 71
011000011000010010000000000, 1669
011000011000010010000000111, 18
011000011000010010000001111, 3
011000011000010010000100000, 3
011000011000010010001000000, 1
011000011000010010001001111, 19
011000011000010010001101111, 1
011000011000010010010000000, 4
011000011000010010101010000, 23
011000011000010010101111111, 6
011000011000010011000000000, 296
011000011000010110000000000, 435
011000011000010110000001111, 1
011000011011110010000000000, 7
011000011011110011000000000, 3
011000011100010010000000000, 1
011000011100010111000000000, 2
011000011111110111000000000, 12
011000100000010010000000000, 1
011000100000010011000000000, 20
011000101000000010000000000, 242
011000101000010010000001111, 3
011000111000000010000000000, 1
011000111000010010000001111, 1
011011001000000010000000000, 6
011011001000010010000000000, 156
011011001000010010000000100, 3
011011100000000010000000000, 89
011011100000010010000000000, 6478
011011100000010010000001111, 422
011011100000010011000000000, 9179
011011100000010011000001111, 3
011011100000010110000000000, 16
011011100000011010000000000, 59
011011100000011011000000000, 10
011011100000110010000000000, 7
011011101000000010000000000, 634
011011101000000010000001111, 13
011011101000000011000000000, 226
011011101000000110000000000, 1
011011101000010010000000000, 1437
011011101000010010000000011, 1
011011101000010010000000111, 10
011011101000010010000001011, 1
011011101000010010000001111, 12242
011011101000010010000101111, 55
011011101000010010001001111, 17
011011101000010010010001111, 2
011011101000010010011001111, 1
