ifd1_ImageLength ,Count
, 1337371
0x[00000000] / 0, 1275
0x[0000003C] / 60, 4
0x[0000005A] / 90, 519
0x[00000060] / 96, 50
0x[00000065] / 101, 1
0x[00000068] / 104, 7
0x[0000006A] / 106, 5
0x[0000006B] / 107, 2
0x[0000006C] / 108, 1
0x[0000006D] / 109, 1
0x[0000006E] / 110, 12
0x[00000070] / 112, 26
0x[00000072] / 114, 1
0x[00000075] / 117, 2
0x[00000077] / 119, 15
0x[00000078] / 120, 12271
0x[00000079] / 121, 8
0x[0000007A] / 122, 1
0x[0000007B] / 123, 1
0x[0000007E] / 126, 92
0x[0000007F] / 127, 1
0x[00000080] / 128, 46
0x[00000090] / 144, 397
0x[000000A0] / 160, 382
0x[000000B4] / 180, 62
0x[000000D5] / 213, 22
0x[000000F0] / 240, 12609
0x[00000120] / 288, 10035
0x[00000138] / 312, 112
0x[00000140] / 320, 222
0x[00000168] / 360, 13
0x[00000180] / 384, 2104
0x[000001E0] / 480, 471
0x[BFFFB364] / 3221205860, 1
0x[FFFFFFFF] / 4294967295, 148
102, 148
112, 31
120, 301
136, 1
144, 4
160, 201
180, 1
192, 13
200, 150
230, 454
240, 292
256, 1
288, 45
306, 17
320, 4
384, 17
408, 239
480, 41
512, 95
64, 324
72, 95
96, 230
