ifd1_ImageWidth ,Count
, 1337351
0x[00000000] / 0, 1275
0x[00000050] / 80, 4
0x[0000006C] / 108, 1
0x[00000077] / 119, 15
0x[00000078] / 120, 177
0x[00000080] / 128, 242
0x[00000083] / 131, 1
0x[00000098] / 152, 26
0x[0000009F] / 159, 1
0x[000000A0] / 160, 12705
0x[000000A5] / 165, 12
0x[000000C8] / 200, 204
0x[000000E0] / 224, 91
0x[000000F0] / 240, 222
0x[00000100] / 256, 396
0x[00000140] / 320, 12486
0x[00000190] / 400, 168
0x[000001A0] / 416, 112
0x[00000200] / 512, 12139
0x[00000280] / 640, 493
0x[000004B0] / 1200, 1
0x[00000600] / 1536, 1
0x[000006B0] / 1712, 1
0x[00000840] / 2112, 15
0x[00000900] / 2304, 2
0x[9F4BED44] / 2672553284, 1
0x[FFFFFFFF] / 4294967295, 148
112, 12
120, 201
144, 2
156, 148
160, 301
184, 1
192, 33
200, 150
230, 231
240, 4
256, 1
288, 87
306, 8
320, 293
384, 8
408, 471
512, 62
64, 175
640, 41
72, 55
84, 1
96, 419
