ifd1_JpegIFByteCount ,Count
, 63387
0x[00000000] / 0, 198
0x[00000337] / 823, 1
0x[00000376] / 886, 1
0x[00000399] / 921, 1
0x[0000039A] / 922, 1
0x[0000039E] / 926, 1
0x[000003AA] / 938, 1
0x[000003BB] / 955, 1
0x[000003C3] / 963, 2
0x[000003C8] / 968, 9
0x[000003C9] / 969, 1
0x[000003CA] / 970, 2
0x[000003CC] / 972, 1
0x[000003CD] / 973, 1
0x[000003CE] / 974, 4
0x[000003CF] / 975, 1
0x[000003D4] / 980, 1
0x[000003D6] / 982, 2
0x[000003D7] / 983, 1
0x[000003D8] / 984, 1
0x[000003D9] / 985, 1
0x[000003DA] / 986, 2
0x[000003DB] / 987, 1
0x[000003DC] / 988, 1
0x[000003DD] / 989, 2
0x[000003E0] / 992, 2
0x[000003E1] / 993, 2
0x[000003E6] / 998, 1
0x[000003E7] / 999, 1
0x[000003E9] / 1001, 3
0x[000003EE] / 1006, 1
0x[000003EF] / 1007, 2
0x[000003F1] / 1009, 2
0x[000003F2] / 1010, 3
0x[000003F4] / 1012, 1
0x[000003F5] / 1013, 1
0x[000003F6] / 1014, 1
0x[000003F9] / 1017, 1
0x[000003FB] / 1019, 1
0x[000003FD] / 1021, 1
0x[000003FF] / 1023, 2
0x[00000400] / 1024, 3
0x[00000401] / 1025, 4
0x[00000402] / 1026, 2
0x[00000403] / 1027, 1
0x[00000404] / 1028, 2
0x[00000405] / 1029, 1
0x[00000406] / 1030, 2
0x[00000407] / 1031, 1
0x[00000409] / 1033, 8
0x[0000040B] / 1035, 1
0x[0000040C] / 1036, 2
0x[0000040E] / 1038, 1
0x[00000410] / 1040, 1
0x[00000411] / 1041, 1
0x[00000413] / 1043, 1
0x[00000414] / 1044, 2
0x[00000415] / 1045, 5
0x[00000417] / 1047, 4
0x[00000418] / 1048, 2
0x[00000419] / 1049, 1
0x[0000041A] / 1050, 1
0x[0000041B] / 1051, 1
0x[0000041C] / 1052, 2
0x[0000041D] / 1053, 1
0x[0000041E] / 1054, 2
0x[0000041F] / 1055, 3
0x[00000420] / 1056, 2
0x[00000421] / 1057, 2
0x[00000422] / 1058, 2
0x[00000425] / 1061, 3
0x[00000426] / 1062, 1
0x[00000427] / 1063, 2
0x[00000428] / 1064, 3
0x[00000429] / 1065, 2
0x[0000042A] / 1066, 1
0x[0000042B] / 1067, 1
0x[0000042D] / 1069, 6
0x[0000042E] / 1070, 1
0x[0000042F] / 1071, 2
0x[00000431] / 1073, 4
0x[00000432] / 1074, 3
0x[00000433] / 1075, 3
0x[00000435] / 1077, 1
0x[00000436] / 1078, 3
0x[00000438] / 1080, 1
0x[00000439] / 1081, 3
0x[0000043B] / 1083, 1
0x[0000043C] / 1084, 1
0x[0000043D] / 1085, 2
0x[0000043E] / 1086, 1
0x[0000043F] / 1087, 4
0x[00000440] / 1088, 3
0x[00000441] / 1089, 2
0x[00000442] / 1090, 1
0x[00000443] / 1091, 1
0x[00000444] / 1092, 4
0x[00000445] / 1093, 2
0x[00000446] / 1094, 1
0x[00000447] / 1095, 4
0x[00000448] / 1096, 3
0x[00000449] / 1097, 3
0x[0000044A] / 1098, 2
0x[0000044B] / 1099, 2
0x[0000044C] / 1100, 2
0x[0000044D] / 1101, 1
0x[0000044E] / 1102, 1
0x[0000044F] / 1103, 3
0x[00000451] / 1105, 7
0x[00000452] / 1106, 1
0x[00000453] / 1107, 3
0x[00000454] / 1108, 2
0x[00000455] / 1109, 3
0x[00000456] / 1110, 2
0x[00000457] / 1111, 2
0x[00000458] / 1112, 3
0x[00000459] / 1113, 6
0x[0000045A] / 1114, 2
0x[0000045B] / 1115, 4
0x[0000045C] / 1116, 4
0x[0000045D] / 1117, 5
0x[0000045E] / 1118, 3
0x[0000045F] / 1119, 1
0x[00000460] / 1120, 2
0x[00000461] / 1121, 2
0x[00000462] / 1122, 2
0x[00000463] / 1123, 2
0x[00000465] / 1125, 7
0x[00000466] / 1126, 3
0x[00000467] / 1127, 4
0x[00000468] / 1128, 3
