ifd1_JpegIFOffset ,Count
, 63387
@ +0x0008 = @ 0x0014, 318
@ +0x00AD = @ 0x00B9, 1
@ +0x00B0 = @ 0x00BC, 1
@ +0x00B6 = @ 0x00C2, 99
@ +0x00BA = @ 0x00C6, 29
@ +0x00C7 = @ 0x00D3, 5
@ +0x00CC = @ 0x00D8, 7
@ +0x00D6 = @ 0x00E2, 6
@ +0x00D8 = @ 0x00E4, 24
@ +0x00EA = @ 0x0108, 51
@ +0x00EC = @ 0x00F8, 1
@ +0x00ED = @ 0x00F9, 60
@ +0x00EE = @ 0x010C, 15
@ +0x00EF = @ 0x00FB, 2
@ +0x00F0 = @ 0x00FC, 2
@ +0x00F2 = @ 0x0110, 2
@ +0x00F6 = @ 0x0102, 2
@ +0x0102 = @ 0x010E, 6
@ +0x0106 = @ 0x0112, 1
@ +0x010E = @ 0x012C, 5
@ +0x0110 = @ 0x011C, 3
@ +0x0117 = @ 0x0123, 17
@ +0x0118 = @ 0x0124, 1
@ +0x011C = @ 0x0128, 1
@ +0x011D = @ 0x0129, 2
@ +0x011E = @ 0x012A, 1
@ +0x0124 = @ 0x0130, 1
@ +0x0127 = @ 0x0133, 8
@ +0x0128 = @ 0x0134, 1
@ +0x012A = @ 0x0136, 1
@ +0x012C = @ 0x014A, 12
@ +0x012E = @ 0x013A, 3
@ +0x0136 = @ 0x0142, 17
@ +0x013C = @ 0x0148, 19
@ +0x013E = @ 0x014A, 70
@ +0x013F = @ 0x014B, 3
@ +0x0140 = @ 0x014C, 210
@ +0x0142 = @ 0x014E, 166
@ +0x0146 = @ 0x0152, 3
@ +0x0148 = @ 0x0154, 1
@ +0x0149 = @ 0x0155, 466
@ +0x0149 = @ 0x0167, 1
@ +0x014A = @ 0x0156, 1
@ +0x014B = @ 0x0157, 1593
@ +0x014B = @ 0x0169, 14
@ +0x014D = @ 0x0159, 21
@ +0x014E = @ 0x015A, 71
@ +0x014E = @ 0x7084, 1
@ +0x014E = @ 0x7B94, 1
@ +0x014E = @ 0x892C, 1
@ +0x014E = @ 0x9BE4, 1
@ +0x014E = @ 0xA2EA, 1
@ +0x014E = @ 0xA508, 1
@ +0x014E = @ 0xA512, 1
@ +0x014E = @ 0xA656, 1
@ +0x014E = @ 0xA694, 1
@ +0x014E = @ 0xA74C, 1
@ +0x014E = @ 0xA7FE, 1
@ +0x014E = @ 0xA808, 1
@ +0x014E = @ 0xA834, 1
@ +0x014E = @ 0xA83A, 1
@ +0x014E = @ 0xA860, 1
@ +0x014E = @ 0xA86E, 1
@ +0x014E = @ 0xA938, 1
@ +0x014E = @ 0xA9EA, 1
@ +0x014E = @ 0xC729, 21
@ +0x0150 = @ 0x015C, 12
