ifd1_RowsPerStrip ,Count
, 1379560
0x[0000003C] / 60, 4
0x[00000060] / 96, 50
0x[00000065] / 101, 1
0x[00000066] / 102, 148
0x[00000068] / 104, 7
0x[0000006A] / 106, 5
0x[0000006B] / 107, 2
0x[0000006C] / 108, 1
0x[0000006D] / 109, 1
0x[00000070] / 112, 26
0x[00000072] / 114, 1
0x[00000075] / 117, 2
0x[00000078] / 120, 302
0x[00000079] / 121, 8
0x[0000007A] / 122, 1
0x[0000007B] / 123, 1
0x[0000007E] / 126, 1
0x[0000007F] / 127, 1
0x[00000080] / 128, 46
0x[000000A0] / 160, 146
0x[000000D5] / 213, 22
0x[000000F0] / 240, 8
112, 1
64, 324
72, 95
96, 230
