ifd1_StripByteConunts ,Count
, 1379559
0x[000009F0] / 2544, 1
0x[00000CFD] / 3325, 1
0x[00000D3E] / 3390, 1
0x[00000D94] / 3476, 1
0x[00000E9C] / 3740, 1
0x[00000F1E] / 3870, 1
0x[00000F86] / 3974, 1
0x[0000104F] / 4175, 1
0x[0000108E] / 4238, 1
0x[000010EA] / 4330, 1
0x[00001149] / 4425, 1
0x[00001274] / 4724, 1
0x[0000134F] / 4943, 1
0x[00001409] / 5129, 1
0x[000014DF] / 5343, 1
0x[0000155F] / 5471, 1
0x[000015D1] / 5585, 1
0x[000015EE] / 5614, 1
0x[00001630] / 5680, 1
0x[000017F2] / 6130, 1
0x[000018A0] / 6304, 1
0x[000018C2] / 6338, 1
0x[000019CD] / 6605, 1
0x[00001B77] / 7031, 1
0x[00001B83] / 7043, 1
0x[00001BCD] / 7117, 1
0x[00001D1C] / 7452, 1
0x[00001EB6] / 7862, 1
0x[00001F7D] / 8061, 1
0x[00002188] / 8584, 1
0x[00002279] / 8825, 1
0x[000022F2] / 8946, 1
0x[00002459] / 9305, 1
0x[0000247C] / 9340, 1
0x[000024D0] / 9424, 1
0x[00002580] / 9600, 2
0x[00002993] / 10643, 1
0x[000037C8] / 14280, 1
0x[00003840] / 14400, 2
0x[00009000] / 36864, 50
0x[0000BA78] / 47736, 148
0x[0000BD60] / 48480, 1
0x[0000C300] / 49920, 7
0x[0000C6C0] / 50880, 5
0x[0000C780] / 51072, 26
0x[0000C8A0] / 51360, 2
0x[0000CA80] / 51840, 1
0x[0000CC60] / 52320, 1
0x[0000D5C0] / 54720, 1
0x[0000DB60] / 56160, 2
0x[0000E100] / 57600, 407
0x[0000E2E0] / 58080, 8
0x[0000E4C0] / 58560, 1
0x[0000E6A0] / 59040, 1
0x[0000EC40] / 60480, 1
0x[0000EE20] / 60960, 1
0x[0000F000] / 61440, 80
0x[0000F5A0] / 62880, 1
18432, 499
20736, 150
28224, 1
