ifd1_YResolution ,Count
, 73511
-1013988492/-930232458, 1
-1031421571/-1031355523, 2
-1035573826/-1895619366, 1
-1065303940/-1082081412, 1
-12582921/2080374766, 1
-1550881648/-1517129838, 1
-1603901338/-1553832856, 1
-1606352828/1107296256, 1
-1606352828/1107312640, 1
-1751419495/-1784842598, 1
-1804307852/-1804307852, 1
-1926072797/-1992984286, 1
-1951434809/-2100593480, 1
-1965457449/-2015854888, 4
-1988723851/-2022147977, 1
-2016183853/-1982563372, 1
-2023161852/1, 1
-2050851391/-2034074173, 3
-2096075760/-2087574637, 2
-2101903689/-2085191752, 1
-2143059903/-2143190972, 1
-41878144/-25166208, 1
-536870913/-8241, 1
-645212289/-662185858, 4
-654376960/-1576942337, 40
-712190852/-695413123, 1
0, 1
0/0, 627
0/1, 53
0/2, 10
0/20972034, 1
0/33554434, 1
0/512, 2
0/514, 2
0/536870912, 2
0/8388608, 1
1/0, 1
1/1, 47008
1/96, 912
10/1, 3
10/65540, 116
100/1, 1
1000/1, 2
1002516/10000, 1
1008517/10000, 1
102/1, 1
1024/-2147418096, 1
1024/2, 1
1024/33554434, 1
1024/512, 3
1053738/10000, 1
1065350873/-76812609, 1
1073626863/-268965889, 1
1073626863/-805836801, 1
1098987653/1148863109, 1
117901317/134809863, 776
120/0, 44
1207959552/16777216, 1888
128/524288, 1
134251520/101123590, 9
1349537404/1332694653, 1
1350006/10000, 1
1393333/10000, 1
144/1, 1
1440000/10000, 74
150/1, 548
1500/1, 5
1589333/10000, 1
1621326239/1621259426, 1
1660978176/1124598272, 1
16843009/16843009, 1
16908545/16908802, 3
16908802/33686018, 1
16908802/33751554, 1
178/1, 1
180/1, 262042
1800000/10000, 353
1837922154/1671001252, 1
1949444/10000, 1
1954123388/2053738604, 1
1955886194/1955886194, 1
1988719995/2022143864, 2
200/1, 1
2000/1, 13
2000000/10000, 13
20054018/20, 20
2048000/10000, 1
2082898727/2099085865, 1
2083416878/2100259120, 1
2097216/135170, 1
2097216/2, 1
2097220/2, 1
2134890998/1803272166, 2
2134890998/1811660774, 1
2138535797/2087876469, 1
2144502/10000, 1
2160000/10000, 1
2228288/131586, 2
2228292/21139970, 5
2228324/29528578, 1
2228328/21139970, 1
2228332/21139970, 1
2246784/-2101346302, 1
2250000/10000, 2
230/1, 1
2300000/10000, 5
2354666/10000, 1
2374666/10000, 1
240/0, 7
240/1, 181
2410000/10000, 1
24576/-1879047664, 2
2468499/10000, 1
2490439/-1753219070, 1
256/0, 1
256/1, 2
2650000/10000, 3
268435488/538976256, 2
268435488/543170560, 2
277024876/-1836870877, 1
300/1, 173839
3000000/10000, 172
301/1, 24
314/1, 11
314000/1000, 1
3140000/10000, 16
32/0, 6
32/2097152, 1
32/2105344, 2
32768/142606848, 2
32774/-2004876672, 1
34799619/1, 168
350/1, 5794
3500000/10000, 5
35705860/-2139085310, 16
360/1, 6
371/1, 2
384/1, 40
385/1, 4
4/2, 1
40/1, 1
400/1, 2
4000000/10000, 1
407/1, 2
414/1, 4
416/1, 5
427/1, 1
432/1, 2
434/1, 3
438/1, 6
441/1, 7
442/1, 3
45000/10000, 16
453/1, 5
454/1, 3
456/1, 4
459/1, 6
462/1, 6
465/1, 4
471/1, 6
474/1, 4
477/1, 5
480/1, 809
4800000/10000, 1
486/1, 4
487/1, 1
490/1, 7
500/1, 1
501/1, 7
505/1, 1
510/1, 6
520/1, 1
531/1, 5
534/1, 7
536/1, 1
536887296/512, 2
536888320/512, 1
537003220/-2139094490, 15
543/1, 1
545467263/411437699, 1
554/1, 1
558/1, 3
563/1, 2
565/1, 3
570/1, 9
570434560/1107362450, 1
570442752/1107362450, 5
570443520/1507840, 1
570449920/1107296914, 1
570449920/1107362450, 1
570449920/33555090, 1
570449920/33620626, 1
570449920/66066, 2
570450944/-1040121198, 1
570450944/1107362450, 4
570450944/33555090, 1
570450944/33620626, 4
570452992/-1040121198, 3
570452992/1107362450, 2
5803/1, 1
583/1, 1
600/1, 10
613/1, 1
637552384/-2137587200, 1
663168382/612772477, 1
708951/10000, 1
719990/10000, 1
72/0, 1
72/1, 804393
720/10, 190
720000/10000, 6643
795619531/795488203, 1
800/1, 1
810000/10000, 1
8192/0, 2
8192/536870944, 2
896808308/1014381426, 1
932122/10000, 1
95/1, 1
96/1, 174
96/9441282, 1
960000/10000, 53
970000/10000, 1
