ifd_order ,Count
0:2:1:4:3:5, 2083
0:2:3:4:5:1, 30
0:2:4:1:3:5, 6169
0:2:5:3:1:4, 1
0:2:5:3:4:1, 120662
0:2:5:4:3, 36
0:2:5:4:3:1, 24826
0:4:2:5:3:1, 168
0:5:2:3:4:1, 123
0:5:2:4:1:3, 2
1:0:2:5:3:4, 935
1:0:2:5:4:3, 36
2:5:3:1:0:4, 10
3:0:2:4:1:5, 11
3:0:2:4:5, 10
3:0:2:4:5:1, 32
3:0:2:5:1, 2
3:0:2:5:1:4, 2
3:0:2:5:4, 3129
3:0:2:5:4:1, 40015
3:0:5:2:4, 31
3:2:5:0:1:4, 1
3:5:0:2:4:1, 4
3:5:2:0:1:4, 64
3:5:2:0:4:1, 9
3:5:2:4:0:1, 8
4:0:1:2:5, 8
4:0:1:2:5:3, 58
4:0:1:3:2:5, 47
4:0:1:3:5:2, 161
4:0:1:5:2:3, 71
4:0:2:1:3:5, 123282
4:0:2:1:5, 148
4:0:2:1:5:3, 555
4:0:2:3:1:5, 6353
4:0:2:3:5, 2
4:0:2:3:5:1, 452
4:0:2:5, 10038
4:0:2:5:1, 84930
4:0:2:5:1:3, 5552
4:0:2:5:3, 2363
4:0:2:5:3:1, 757555
4:0:3:2:5, 4
4:0:3:5:2:1, 168
4:0:5:1:2:3, 5
4:0:5:2:1, 1
4:0:5:2:3:1, 15
4:0:5:3:1:2, 221
4:2:5:1:3:0, 53
4:2:5:3:0:1, 2788
4:3:1:5:2:0, 1
4:3:5:0:1, 72
4:3:5:0:2:1, 21
4:5:0:1:2:3, 1
4:5:0:2, 3
4:5:0:2:1, 189
4:5:0:2:3, 7
4:5:0:2:3:1, 1139
4:5:2:0, 2
4:5:2:0:1, 110
4:5:2:0:1:3, 1
4:5:2:1, 11
4:5:3:0:2:1, 18
5:0, 1088
5:0:1:2, 370
5:0:1:2:3, 47
5:0:1:2:4:3, 33
5:0:2, 20412
5:0:2:1, 31487
5:0:2:1:3, 2093
5:0:2:1:3:4, 327
5:0:2:3, 1569
5:0:2:3:1, 44486
5:0:2:3:1:4, 7
5:0:2:3:4, 1323
5:0:2:3:4:1, 17408
5:0:2:4, 18949
5:0:2:4:1, 44654
5:0:2:4:1:3, 104
5:0:2:4:3, 20
5:0:2:4:3:1, 271
5:0:3:2:4:1, 2
5:0:4:2, 639
5:0:4:2:1, 402
5:0:4:2:3, 3
5:2:0, 234
5:2:0:1, 39
5:2:0:1:3, 125
5:2:0:1:3:4, 58
5:2:0:1:4, 4
5:2:0:1:4:3, 2
5:2:0:3, 1
5:2:0:4:1, 10
5:2:1:0, 3
5:2:1:0:4:3, 1
5:2:4:0:1, 7
5:4:0:2, 12
