ifd_size ,Count
0:1007:234:102, 1
0:10314:138:354:30, 1
0:10342:138:426:30, 1
0:10346:126:462:30, 1
0:10549:306:138:114, 1
0:1090:6080:316:774:54, 1
0:10936:270:138:114:185, 1
0:109:210:370:54:30, 1
0:1130:30:49499:154:78, 21
0:11374:126:462:30, 1
0:11546:138:186:133:30, 1
0:11662:306:138:114, 1
0:11680:282:114, 1
0:11822:126:462:30, 1
0:11870:270:138:114:185, 1
0:11969:270:138:114:185, 1
0:11:9:174:394, 26
0:11:9:178:394, 161
0:11:9:186:394:98, 3
0:12070:126:462:30, 1
0:12090:126:462:30, 1
0:12301:270:138:114:185, 1
0:12584:270:138:113:177, 1
0:12654:126:462:30, 1
0:12674:138:354:30, 1
0:12798:126:462:30, 1
0:12822:138:354:30, 1
0:130:142:30:72:162, 168
0:13201:294:138:114, 1
0:1354:72:232:174:30, 1
0:13678:138:354:30, 2
0:13908:270:138:113:177, 1
0:1405:234:102, 1
0:14123:270:138:114:185, 1
0:14224:270:138:114:185, 1
0:14421:138:186:244:30, 1
0:14544:270:138:114:185, 1
0:14578:270:138:114:185, 1
0:14685:270:138:114:185, 1
0:14717:270:138:114:185, 1
0:14836:270:138:114:185, 1
0:14857:270:138:114:185, 1
0:14885:270:138:114:185, 1
0:148:96:142:174:30, 178
0:14:6:246:358, 2
0:150:96:142:174:30, 134
0:152:84:142:162:30, 292
0:152:96:142:174:30, 402
0:15330:194:746:2066:30, 1
0:15835:270:138:114:185, 1
0:158:753:368:136, 2
0:16512:270:138:113:177, 1
0:16668:270:138:114:185, 1
0:166:84:142:162:30, 13
0:166:96:142:174:30, 58
0:17173:270:138:113:177, 1
0:17353:270:138:113:177, 1
0:17410:282:138:113:177, 1
0:17422:270:138:114:185, 1
0:17517:270:138:114:185, 1
0:17597:270:138:113:177, 1
0:17641:270:138:114:185, 1
0:18866:232:406:450:30, 1
0:19054:270:138:114:185, 1
0:19085:126:114:123, 1
0:19120:222:286:78:171, 1
0:19175:270:138:113:177, 1
0:19520:270:138:114:185, 1
0:1955:234:102, 1
0:19563:270:138:114:185, 1
0:19662:270:138:114:185, 1
0:19687:222:286:78:171, 1
0:19788:270:138:113:177, 1
0:19805:126:114:123, 1
0:19969:222:286:78:171, 1
0:20, 231
0:200:6754:522:310:11424, 1
0:200:6754:522:310:15062, 1
0:200:6754:522:310:5910, 1
0:200:6754:522:310:6124, 1
0:200:6754:522:310:6252, 1
0:200:6754:522:310:7386, 1
0:200:6754:522:310:9366, 1
0:20158:270:138:114:185, 1
0:20165:270:138:114:185, 1
0:20193:222:286:78:171, 1
0:202:42:12976, 1
0:20349:222:286:78:171, 1
0:20492:270:138:114:185, 1
0:20762:270:138:113:177, 1
0:20770:194:746:2066:30, 1
0:207:286:566:366:30, 1
0:20962:194:746:2066:30, 1
0:20:1014:370:1204, 1
0:20:102, 1
0:20:102:102:30, 470
0:20:102:246:30:224, 44
0:20:102:258:30:244, 7
0:20:102:282:180, 30
0:20:102:282:188, 2
0:20:102:294:30, 2
0:20:102:390:30:252, 339
0:20:103, 8
0:20:1038:370:3198, 6
0:20:103:122, 64
0:20:103:18, 5
0:20:103:314, 1
0:20:104, 2
0:20:1046:370:6774, 1
0:20:1048:338:10770, 2
0:20:1048:470:12138:30, 8
0:20:104:118, 1
0:20:104:42, 2
0:20:1052:370:2092, 26
0:20:1054:370:1204, 1
0:20:1054:370:2092, 10
0:20:1056:370:1110, 4
0:20:1056:370:2092, 11
0:20:1058:370:1204, 48
0:20:1058:370:2122, 46
0:20:1060:370:2092, 42
0:20:1064:370:1204, 1
0:20:1065:492:963:35, 1
0:20:1068:338:10054, 1
0:20:1068:338:10134, 17
0:20:1068:338:10798, 2
0:20:1068:338:2324, 9
0:20:1068:338:2480, 1
0:20:106:418, 3
0:20:1070:370:1204, 10
0:20:1076:370:2134, 13
0:20:1076:370:2146, 1
0:20:107:264:161, 156
0:20:107:299:161, 262
0:20:107:454:8864, 1
0:20:108, 18
0:20:1084:410:870, 1
0:20:1088:370:2134, 1
0:20:108:162, 13
0:20:108:454, 39
0:20:1092:370:2134, 2
0:20:1092:370:2146, 19
0:20:1092:370:260, 3
0:20:1092:370:3198, 64
0:20:1092:370:6206, 28
0:20:1092:370:7234, 6
0:20:1104:342:138:78, 1
0:20:1104:370:260, 3
0:20:1104:370:3198, 2
0:20:1104:370:3492, 10
0:20:1104:370:4016, 7
0:20:1104:370:4048, 8
0:20:1104:370:4824, 1
0:20:1106:370:10884:216, 1
0:20:111:146, 1588
0:20:111:94, 17
0:20:112:166:30, 150
0:20:112:97:418:34, 1
0:20:1134:482:11372:30, 1
0:20:1134:616:11238:30, 1
0:20:1134:616:11374:30, 14
0:20:1134:616:6192:30, 24
0:20:1134:616:6240:30, 150
0:20:1136:370, 1
0:20:114, 10
0:20:114:102, 1
0:20:114:114:30, 6
0:20:114:146, 70
0:20:114:166:30, 247
0:20:114:186, 115
0:20:114:186:30, 491
0:20:114:198:30, 9
0:20:114:278:6:180, 7
0:20:114:278:6:188, 2
0:20:114:282:208:648, 1
0:20:114:294:200, 9
0:20:114:294:206, 8
0:20:114:294:208, 1
0:20:114:294:230:580, 4
0:20:114:300, 22
0:20:114:342:174:8648, 2
0:20:114:342:184:8620, 7
0:20:114:342:188:5156, 1
0:20:114:378:222:1168, 11
0:20:114:378:222:1182, 1
0:20:114:378:222:1548, 25
0:20:114:378:222:1552, 1
0:20:114:378:222:894, 1
0:20:114:402:672:34, 425
0:20:114:418, 15
0:20:114:462:30:594, 6
0:20:114:498:30:566, 43
0:20:114:560:1166, 5
0:20:114:772, 1
0:20:1154:516:1096:35, 3
0:20:115:130:47, 82
0:20:1162:338:10770, 1
0:20:1164:338:10770, 4
0:20:1164:484:1273:59, 1
0:20:116:154:30, 16
0:20:116:166, 31
0:20:116:166:30, 148
0:20:116:186, 24
0:20:116:186:30, 183
0:20:116:418, 26
0:20:116:430, 1
0:20:1172:338:10770, 1
0:20:117:62:197, 1
0:20:118, 2
0:20:118:154, 2
0:20:118:154:30, 45
0:20:118:166:30, 679
0:20:118:174, 7
0:20:118:174:30, 9
0:20:118:186, 133
0:20:118:186:30, 1063
0:20:118:454:7966, 3
0:20:120, 20
0:20:120:126, 208
0:20:120:154:30, 2
0:20:120:166:30, 196
0:20:120:174, 5
0:20:120:174:30, 26
0:20:120:186, 92
0:20:120:186:30, 492
0:20:120:218:30, 24
0:20:120:418, 78
0:20:120:454, 13
0:20:122, 55
0:20:122:126, 34
0:20:122:166:30, 69
0:20:122:174, 6
0:20:122:174:30, 6
0:20:122:186:30, 84
0:20:1238:338:11514, 1
0:20:123:154, 112
0:20:1244:338:11514, 1
0:20:124:154, 54
0:20:124:154:30, 144
0:20:124:166:30:256, 26
0:20:124:174, 2
0:20:124:174:30, 8
0:20:124:186:30, 7
0:20:124:278:30:66, 6
0:20:124:294, 2069
0:20:124:346, 619
0:20:124:358, 404
0:20:124:362:1096, 39
0:20:124:362:1448, 905
0:20:124:362:2488, 7830
0:20:124:410:2488, 7
0:20:125, 6
0:20:126, 12
0:20:126:11145:338, 1
0:20:126:11492:338, 1
0:20:126:154, 4
0:20:126:154:30, 138
0:20:126:162, 1
0:20:126:166:30:256, 34
0:20:126:174:30:6, 8
0:20:126:186, 70
0:20:126:186:30, 226
0:20:126:186:30:250, 100
0:20:126:186:30:254, 86
0:20:126:186:34, 49
0:20:126:189, 1
0:20:126:206:30, 8
0:20:126:206:30:146, 1
0:20:126:206:30:150, 1
0:20:126:206:30:158, 3
0:20:126:206:30:162, 1
0:20:126:206:30:182, 3
0:20:126:206:30:186, 5
0:20:126:206:30:218, 187
0:20:126:206:30:222, 193
0:20:126:206:30:6, 6
0:20:126:206:30:66, 16
0:20:126:206:30:82, 1
0:20:126:208, 1
0:20:126:222:30:222, 1
0:20:126:226:30, 4
0:20:126:226:30:218, 112
0:20:126:226:30:222, 5
0:20:126:226:30:249, 220
0:20:126:226:30:251, 132
0:20:126:226:30:253, 199
0:20:126:226:30:6, 11
0:20:126:226:30:66, 4
0:20:126:226:30:97, 152
0:20:126:258, 1
0:20:126:258:30:66, 25
0:20:126:270:30, 16
0:20:126:278:30, 2
0:20:126:278:30:249, 34
0:20:126:278:30:253, 34
0:20:126:278:30:38, 9
0:20:126:282:30:218, 16
0:20:126:282:30:236, 5
0:20:126:282:30:258, 85
0:20:126:282:30:260, 430
0:20:126:282:30:262, 251
0:20:126:290:90:206, 2
0:20:126:294:22:30, 1
0:20:126:294:30:266, 12
0:20:126:294:30:268, 620
0:20:126:294:30:270, 2
0:20:126:298:30, 25
0:20:126:298:30:218, 1
0:20:126:298:30:220, 1
0:20:126:298:30:222, 1
0:20:126:298:30:249, 143
0:20:126:298:30:251, 483
0:20:126:298:30:253, 171
0:20:126:298:30:38, 373
0:20:126:298:30:6, 164
0:20:126:327:30:219, 15
0:20:126:327:30:251, 11
0:20:126:330, 8
0:20:126:354, 1
0:20:126:354:212:1386, 1
0:20:126:378:652:12000, 1
0:20:126:378:654:3084, 3
0:20:126:3935:338, 1
0:20:126:474:192:21704, 1
0:20:126:538, 1
0:20:126:646:302:30, 1
0:20:126:662:2980:30, 1
0:20:126:662:3004:30, 2
0:20:126:8454:338, 1
0:20:126:9017:338, 1
0:20:126:9138:338, 1
0:20:126:9403:338, 1
0:20:126:9436:338, 1
0:20:128, 10
0:20:1288:516:1230:35, 1
0:20:128:148:30, 2
0:20:128:154, 9
0:20:128:160:30, 2
0:20:128:166:30, 11
0:20:128:166:30:250, 8
0:20:128:166:30:254, 120
0:20:128:186:30, 173
0:20:128:186:30:226, 71
0:20:128:186:30:250, 83
0:20:128:186:30:254, 216
0:20:128:206, 10
0:20:128:206:30, 71
0:20:128:370, 1
0:20:1308:516:1250:35, 1
0:20:130:154:30, 1
0:20:130:154:30:256, 136
0:20:130:166:30:256, 74
0:20:130:174, 12
0:20:130:174:250, 2
0:20:130:174:30, 183
0:20:130:186:30, 45
0:20:130:186:30:226, 12
0:20:130:186:30:250, 167
0:20:130:186:30:254, 149
0:20:130:230, 2
0:20:130:230:30, 8
0:20:130:238:30:114, 5
0:20:130:238:30:6, 4
0:20:130:258:30:66, 29
0:20:130:294, 1174
0:20:130:346, 4
0:20:130:358, 498
0:20:130:362:1448, 848
0:20:130:362:648, 17
0:20:130:398:11992, 18
0:20:130:398:12118, 327
0:20:130:398:12120, 70
0:20:130:398:12230, 9
0:20:130:398:12232, 11
0:20:130:398:12234, 9
0:20:130:398:12332, 362
0:20:130:398:13016, 36
0:20:131:226:30:38, 1
0:20:131:339:30:251, 1
0:20:132, 4
0:20:132:166:30:256, 2
0:20:132:174:30:186, 8
0:20:132:174:30:218, 1
0:20:132:174:30:66, 3
