ifdg_GPSAltitude ,Count
, 1238835
0:0:0.00, 6735
0:0:0.80, 3
0:0:10.80, 2
0:0:12.00, 1
0:0:14.00, 1
0:0:14.10, 1
0:0:14.80, 2
0:0:14.97, 2
0:0:15.32, 1
0:0:17.80, 1
0:0:19.80, 1
0:0:20.00, 1
0:0:20.80, 1
0:0:21.80, 1
0:0:22.00, 1
0:0:23.00, 1
0:0:23.39, 1
0:0:23.80, 1
0:0:25.80, 1
0:0:27.00, 2
0:0:27.80, 1
0:0:28.00, 2
0:0:28.91, 1
0:0:29.29, 1
0:0:3.00, 2
0:0:3.73, 1
0:0:3.80, 1
0:0:30.80, 1
0:0:31.80, 1
0:0:32.80, 1
0:0:33.63, 1
0:0:34.00, 1
0:0:36.00, 1
0:0:36.80, 1
0:0:37.80, 1
0:0:38.66, 1
0:0:38.80, 2
0:0:39.80, 1
0:0:4.58, 1
0:0:4.80, 1
0:0:40.00, 1
0:0:40.80, 1
0:0:40.98, 1
0:0:42.20, 1
0:0:42.92, 1
0:0:43.71, 1
0:0:43.80, 1
0:0:45.20, 1
0:0:46.00, 1
0:0:47.80, 2
0:0:4728.00, 1
0:0:48.00, 1
0:0:48.80, 1
0:0:48.83, 1
0:0:5.80, 3
0:0:50.00, 2
0:0:51.00, 3
0:0:51.80, 1
0:0:52.00, 1
0:0:52.80, 2
0:0:5239.00, 1
0:0:53.80, 1
0:0:5541.00, 1
0:0:56.61, 1
0:0:57.80, 1
0:0:58.91, 1
0:0:7.80, 1
0:0:768.00, 1
0:0:9.69, 1
0:10:10.17, 1
0:10:11.09, 1
0:10:11.16, 1
0:10:12.00, 1
0:10:13.26, 1
0:10:14.00, 1
0:10:16.00, 2
0:10:16.30, 1
0:10:18.30, 1
0:10:2.16, 1
0:10:22.00, 1
0:10:22.73, 1
0:10:2257.00, 1
0:10:24.00, 1
0:10:25.00, 1
0:10:27.00, 1
0:10:29.00, 1
0:10:3.44, 1
0:10:3.47, 1
0:10:31.80, 1
0:10:33.00, 1
0:10:35.01, 1
0:10:36.33, 1
0:10:38.00, 2
0:10:38.90, 1
0:10:3834.00, 1
0:10:39.00, 1
0:10:4.00, 1
0:10:4.75, 1
0:10:40.00, 2
0:10:43.40, 1
0:10:43.80, 1
0:10:43.91, 1
0:10:45.20, 1
0:10:49.00, 2
0:10:49.08, 1
0:10:5.00, 1
0:10:51.16, 1
0:10:54.60, 1
0:10:7.24, 1
0:10:781.00, 1
0:11:0.30, 1
0:11:0.48, 1
0:11:11.00, 1
0:11:12.00, 1
0:11:12.55, 1
0:11:13.22, 1
0:11:15.08, 1
0:11:16.08, 1
0:11:19.30, 1
0:11:2.42, 2
0:11:23.00, 1
0:11:23.31, 1
0:11:24.81, 8
0:11:2441.00, 1
0:11:25.00, 1
0:11:25.42, 1
0:11:26.80, 1
0:11:28.69, 1
0:11:29.00, 2
0:11:3.80, 1
0:11:30.57, 1
0:11:30.58, 1
0:11:30.97, 1
0:11:32.48, 1
0:11:34.00, 1
0:11:34.01, 1
0:11:34.52, 1
0:11:35.00, 1
0:11:36.00, 1
0:11:36.18, 1
0:11:39.00, 2
0:11:3946.00, 1
0:11:4.00, 1
0:11:42.42, 1
0:11:43.70, 1
0:11:463.00, 1
0:11:47.00, 1
0:11:48.91, 1
0:11:51.92, 1
0:11:53.93, 1
0:11:55.00, 1
0:11:5549.00, 1
0:11:56.03, 1
0:11:56.72, 1
0:11:58.78, 1
0:11:6.00, 1
0:11:7.80, 1
0:11:8.07, 1
0:11:9.25, 1
0:12:0.65, 1
0:12:1.00, 1
0:12:10.00, 1
0:12:13.03, 1
0:12:14.57, 2
0:12:14.80, 1
0:12:16.72, 2
0:12:19.03, 1
0:12:2.24, 1
0:12:20.00, 2
0:12:20.49, 1
0:12:22.00, 1
0:12:23.00, 1
0:12:23.64, 1
0:12:24.03, 1
0:12:25.03, 1
0:12:25.68, 1
0:12:28.00, 3
0:12:28.11, 1
0:12:28.78, 1
0:12:29.00, 2
0:12:3.80, 1
0:12:30.00, 1
0:12:30.55, 1
0:12:32.82, 1
0:12:37.04, 1
0:12:37.40, 1
0:12:37.63, 1
0:12:42.45, 1
0:12:43.00, 1
0:12:43.72, 1
0:12:48.04, 1
0:12:48.24, 1
0:12:50.59, 1
0:12:5043.00, 1
0:12:6.78, 1
0:12:7.00, 1
0:12:8.03, 1
0:12:9.11, 1
0:13:13.00, 1
0:13:2.00, 1
0:13:2.06, 1
0:13:2.62, 2
0:13:21.19, 1
0:13:21.79, 1
0:13:25.05, 2
0:13:29.00, 6
0:13:29.36, 1
0:13:3.00, 1
0:13:30.00, 1
0:13:30.45, 1
0:13:32.85, 1
0:13:34.05, 1
0:13:36.80, 1
0:13:38.04, 1
0:13:38.52, 1
0:13:41.66, 1
0:13:43.05, 1
0:13:44.48, 1
0:13:447.00, 1
0:13:55.98, 1
0:13:5525.00, 1
0:13:56.22, 1
0:13:9.47, 1
0:14:0.00, 1
0:14:1.00, 1
0:14:1.80, 3
0:14:10.41, 1
0:14:13.00, 1
0:14:14.02, 1
0:14:1794.00, 1
0:14:19.00, 1
0:14:19.64, 1
0:14:20.58, 1
0:14:2059.00, 1
0:14:23.36, 1
0:14:23.61, 1
0:14:25.87, 2
0:14:27.06, 1
0:14:28.00, 1
0:14:29.39, 1
0:14:3.00, 1
0:14:31.04, 1
0:14:31.08, 1
0:14:34.55, 1
0:14:36.00, 1
0:14:38.00, 1
0:14:39.17, 1
0:14:40.04, 1
0:14:42.05, 1
0:14:42.70, 1
0:14:43.41, 1
0:14:43.86, 1
0:14:44.77, 1
0:14:45.00, 1
0:14:45.45, 1
0:14:49.04, 1
0:14:50.96, 1
0:14:52.00, 2
0:14:54.09, 1
0:14:54.66, 1
0:14:54.81, 1
0:14:58.08, 1
0:14:59.00, 2
0:14:8.38, 1
0:15:1.39, 1
0:15:1000.00, 1
0:15:107.00, 1
0:15:11.00, 1
0:15:14.65, 1
0:15:16.90, 1
0:15:17.33, 1
0:15:19.00, 1
0:15:2.00, 1
0:15:20.00, 1
0:15:22.00, 1
0:15:22.27, 1
0:15:22.62, 1
0:15:23.97, 1
0:15:24.00, 1
0:15:24.17, 1
0:15:25.00, 1
0:15:25.92, 1
0:15:26.99, 1
0:15:28.49, 1
0:15:2908.00, 1
0:15:3.98, 1
0:15:34.08, 1
0:15:36.21, 1
0:15:37.75, 1
0:15:39.61, 1
0:15:39.68, 1
0:15:40.00, 1
0:15:41.20, 1
0:15:4206.00, 1
0:15:43.00, 1
0:15:45.40, 1
0:15:47.00, 1
0:15:5.59, 1
0:15:5080.00, 1
0:15:54.00, 1
0:15:55.64, 1
0:15:56.39, 1
0:15:56.55, 1
0:15:5632.00, 1
0:15:57.00, 1
0:15:6.16, 1
0:15:7.00, 1
0:16:1.00, 1
0:16:10.04, 1
0:16:10.39, 1
0:16:10.97, 1
0:16:11.56, 1
0:16:14.00, 1
0:16:15.99, 1
0:16:16.90, 2
0:16:1647.00, 1
0:16:19.00, 1
0:16:23.00, 1
0:16:25.07, 1
0:16:25.26, 1
0:16:27.80, 1
0:16:3.66, 1
0:16:31.56, 1
0:16:3284.00, 1
0:16:34.00, 1
0:16:35.36, 1
