ifdg_GPSAreaInformation ,Count
, 1376253
0x[00000000 00000000 00000000, 1586
0x[00000000 00000000 01E382A2, 1
0x[00000000 00000000 01E382A8, 22
0x[00000000 00000000 01E382AB, 12
0x[00000000 00000000 01E382B2, 4
0x[00000000 00000000 01E69DB1, 3
0x[0000], 4
0x[00], 14
0x[41534349 49000000 2D2D2D], 1
0x[41534349 49000000], 2
0x[554E4943 4F444500 00000000, 186
0x[554E4943 4F444500 41004200, 1
0x[554E4943 4F444500 41004C00, 5
0x[554E4943 4F444500 41004D00, 1
0x[554E4943 4F444500 41005300, 5
0x[554E4943 4F444500 41005500, 5
0x[554E4943 4F444500 4100D000, 3
0x[554E4943 4F444500 42004100, 14
0x[554E4943 4F444500 42004800, 1
0x[554E4943 4F444500 42004900, 7
0x[554E4943 4F444500 42004F00, 5
0x[554E4943 4F444500 42005500, 6
0x[554E4943 4F444500 43004100, 13
0x[554E4943 4F444500 43004500, 3
0x[554E4943 4F444500 43004900, 7
0x[554E4943 4F444500 43004F00, 80
0x[554E4943 4F444500 44004100, 1
0x[554E4943 4F444500 44004500, 1
0x[554E4943 4F444500 44004F00, 1
0x[554E4943 4F444500 44005500, 5
0x[554E4943 4F444500 4400D300, 3
0x[554E4943 4F444500 45004700, 7
0x[554E4943 4F444500 45004C00, 8
0x[554E4943 4F444500 45005300, 1
0x[554E4943 4F444500 45005600, 3
0x[554E4943 4F444500 46004F00, 1
0x[554E4943 4F444500 46005500, 2
0x[554E4943 4F444500 47004100, 7
0x[554E4943 4F444500 47004500, 12
0x[554E4943 4F444500 47004900, 1
0x[554E4943 4F444500 47005200, 4
0x[554E4943 4F444500 47005500, 1
0x[554E4943 4F444500 48004100, 11
0x[554E4943 4F444500 48004500, 1
0x[554E4943 4F444500 48004F00, 5
0x[554E4943 4F444500 49004700, 3
0x[554E4943 4F444500 4A004100, 2
0x[554E4943 4F444500 4B004F00, 1
0x[554E4943 4F444500 4C004500, 7
