ifdg_GPSDOP ,Count
, 1352241
-0.0000, 1
0.0000, 1298
0.0001, 35
0.0002, 4
0.0003, 11
0.0004, 3
0.0006, 2
0.0007, 1
0.0008, 1
0.0012, 2
0.0014, 4
0.0017, 6
0.0018, 1
0.0024, 6
0.0026, 5
0.0028, 6
0.0050, 7
0.0058, 1
0.0060, 1
0.0061, 2
0.0066, 1
0.0068, 7
0.0071, 2
0.0074, 1
0.0082, 1
0.0093, 2
0.0101, 2
0.0116, 1
0.0132, 1
0.0133, 1
0.0135, 2
0.0137, 1
0.0143, 1
0.0145, 2
0.0147, 6
0.0149, 2
0.0156, 1
0.0159, 2
0.0161, 2
0.0164, 2
0.0169, 4
0.0175, 2
0.0179, 8
0.0182, 23
0.0185, 2
0.0189, 6
0.0204, 2
0.0208, 3
0.0213, 8
0.0217, 3
0.0222, 8
0.0227, 1
0.0233, 5
0.0238, 3
0.0244, 3
0.0250, 3
0.0256, 5
0.0263, 2
0.0270, 8
0.0286, 5
0.0294, 3
0.0303, 6
0.0313, 1
0.0323, 2
0.0333, 8
0.0345, 5
0.0357, 11
0.0370, 7
0.0385, 7
0.0400, 8
0.0417, 8
0.0435, 6
0.0455, 15
0.0476, 14
0.0500, 44
0.0526, 38
0.0556, 49
0.0588, 42
0.0625, 35
0.0667, 39
0.0714, 38
0.0769, 32
0.0833, 18
0.0909, 30
0.1000, 32
0.1111, 26
0.1250, 25
0.1429, 17
0.1667, 7
0.2000, 18
0.2500, 15
0.3333, 19
0.4000, 2
0.5000, 124
0.6000, 145
0.7000, 183
0.8000, 414
0.8200, 1
0.8300, 1
0.8649, 1
0.8800, 1
0.9000, 543
0.9100, 1
0.9339, 1
0.9546, 1
0.9607, 1
0.9746, 1
0.9756, 1
0.9757, 1
0.9761, 1
0.9799, 1
0.9826, 5
0.9900, 2
0.9945, 1
1.0000, 1070
1.0023, 1
1.0039, 1
1.0041, 1
1.0042, 1
1.0045, 1
1.0046, 1
1.0063, 2
1.0065, 1
1.0066, 2
1.0068, 1
1.0172, 1
1.0174, 1
1.0188, 1
1.0190, 1
