ifdg_GPSDateStamp ,Count
, 1308735
........:....:...., 1
0000:00:00, 773
0000:01:01, 1006
0111:00:12, 1
0111:00:22, 1
0111:00:23, 2
0111:01:02, 2
0111:01:12, 2
0111:01:13, 2
0111:01:15, 1
0111:01:26, 1
0111:05:08, 1
0111:05:18, 3
0111:05:19, 2
0111:05:20, 3
0111:06:02, 1
0111:06:04, 4
0111:06:06, 1
0111:06:08, 7
0111:06:12, 4
0111:06:14, 6
0111:06:22, 2
0111:06:31, 3
0111:07:06, 1
0111:07:09, 1
0111:07:17, 1
0111:07:20, 1
0111:07:21, 1
0111:08:13, 5
0111:08:14, 5
0111:08:15, 7
0111:08:16, 3
0111:08:17, 2
0111:08:23, 4
0111:09:06, 8
0111:09:18, 1
0111:11:01, 5
0112:00:09, 1
0112:00:24, 7
0112:00:26, 2
0112:01:03, 1
0112:01:04, 1
0112:01:09, 1
0112:01:10, 1
0112:01:11, 3
0112:01:12, 1
0112:01:17, 1
0112:01:18, 4
0112:01:26, 1
0112:01:28, 1
0112:02:11, 1
0112:02:17, 2
0112:02:31, 2
0112:03:01, 2
0112:03:03, 3
0112:03:27, 1
0112:05:07, 15
0112:05:09, 1
0112:05:20, 2
0112:06:06, 1
0112:06:25, 1
0112:07:31, 1
0113:03:01, 1
0113:05:02, 42
0113:05:03, 15
0113:05:04, 23
0113:05:05, 38
0113:05:06, 22
0113:05:07, 29
0113:05:08, 6
0113:05:10, 1
0113:05:11, 14
0113:05:12, 13
0113:05:13, 7
0113:05:14, 13
0113:05:15, 79
0113:05:16, 6
0113:05:17, 11
0113:05:18, 34
0113:05:19, 38
0113:05:20, 25
0113:05:21, 31
0113:05:22, 13
0113:05:23, 7
0113:05:24, 1
0113:05:25, 46
0113:05:26, 6
0113:05:27, 63
0113:05:29, 130
0113:05:30, 10
0113:06:01, 30
0113:06:02, 20
0113:06:03, 18
0113:06:04, 10
0113:06:05, 41
0113:06:06, 13
0113:06:07, 2
0113:06:08, 5
0113:06:09, 12
0113:06:10, 4
0113:06:11, 11
0113:06:12, 6
0113:06:15, 9
0113:06:16, 6
0113:06:17, 9
0113:06:18, 11
0113:06:19, 21
0113:06:20, 5
0113:06:21, 5
0113:06:22, 1
0113:06:23, 1
0113:06:24, 5
0113:06:25, 1
0113:06:26, 1
0113:06:29, 17
0113:06:30, 4
0113:06:31, 16
0113:07:01, 25
0113:07:02, 16
0113:07:03, 17
0113:07:04, 10
0113:07:05, 14
0113:07:06, 7
0113:07:07, 12
0113:07:08, 13
0113:07:09, 16
0113:07:10, 4
0113:07:11, 14
0113:07:12, 7
0113:07:13, 9
0113:07:14, 17
0113:07:15, 14
0113:07:16, 80
0113:07:17, 10
0113:07:18, 17
0113:07:19, 60
0113:07:20, 10
0113:07:21, 2
0113:07:22, 2
0113:07:23, 3
0113:07:24, 34
0113:07:25, 87
0113:07:26, 66
0113:07:27, 10
0113:07:28, 19
0113:07:29, 9
0113:07:30, 31
0113:07:31, 71
0113:08:01, 58
0113:08:02, 11
0113:08:03, 22
0113:08:04, 31
0113:08:05, 61
0113:08:06, 29
0113:08:07, 16
0113:08:08, 95
0113:08:09, 40
0113:08:10, 20
0113:08:11, 60
0113:08:12, 35
0:00:00,T., 1
1907:04:26, 1
1908:03:10, 1
1910:03:01, 1
1910:06:08, 2
1911:03:18, 1
1911:11:16, 1
1912:02:22, 1
1913:02:20, 1
1917:01:28, 2
1920:02:13, 1
1923:03:03, 1
1927:01:07, 1
1932:06:02, 1
1935:10:18, 1
1936:04:28, 1
1936:11:21, 1
1939:09:29, 1
1940:11:30, 1
1943:09:04, 1
1944:10:23, 1
1945:11:14, 1
1946:09:07, 2
1948:11:28, 1
1949:07:15, 1
1950:05:02, 1
1952:03:18, 1
1952:10:04, 1
1954:10:12, 1
1955:08:29, 2
1955:10:16, 1
1955:12:11, 1
1955:12:20, 1
1956:02:13, 1
1956:04:21, 1
1957:05:05, 1
1957:05:20, 1
1957:12:03, 1
1958:06:16, 1
1958:06:29, 1
1958:07:06, 1
1960:06:08, 1
1962:08:05, 1
1963:04:09, 1
1963:11:03, 1
1965:08:07, 1
1966:11:03, 1
1970:01:08, 7
1970:01:09, 18
1970:01:19, 53
1970:01:20, 18
1970:06:17, 1
1971:05:19, 1
1971:06:07, 1
1971:09:02, 1
1971:09:26, 1
1971:10:14, 1
1973:05:15, 1
1974:06:02, 1
1975:02:09, 2
1975:04:12, 1
1976:07:09, 1
1980:01:05, 20
1980:01:06, 92
1980:01:07, 1
1980:01:08, 4
1980:01:10, 3
1980:02:29, 1
1980:03:24, 1
1985:11:21, 1
1985:12:10, 1
1987:07:06, 2
1987:08:19, 1
1987:11:08, 1
1990:05:18, 1
1990:09:25, 1
1991:03:09, 2
1991:03:20, 1
1994:03:23, 1
1997:09:26, 1
1998:02:04, 1
1998:06:19, 1
1999:06:17, 1
1999:06:25, 1
2000:00:00, 1
2000:09:16, 1
2001:03:08, 1
2001:07:29, 1
2002:12:08, 52
2003:01:25, 1
2004:07:27, 1
2004:09:07, 1
2004:09:26, 1
2004:11:03, 1
2004:12:30, 2
2005:03:16, 2
2005:04:23, 1
2005:09:13, 3
2006:03:17, 1
2006:12:26, 1
2006:12:27, 3
2007:05:30, 110
2007:05:31, 10
2007:06:01, 15
2007:07:05, 1
2007:07:07, 2
2007:07:17, 1
2007:07:23, 2
2007:07:24, 7
2007:08:01, 5
