ifdg_GPSDestBearing ,Count
, 1371909
0/0, 8
0/1, 7
0/1000000, 8
10005/173, 1
100078/343, 1
100126/519, 1
100177/323, 1
100183/520, 1
100191/373, 1
10029/1186, 1
10030/1713, 1
100309/1207, 1
100339/315, 1
100379/1027, 1
10038/103, 1
10039/30, 1
10039/60, 1
10042/815, 1
10044/137, 1
100450/753, 1
100481/464, 1
100514/357, 1
10054/111, 1
100543/440, 1
100565/287, 1
10060/581, 1
1006251/4096, 2
100631/327, 1
100634/313, 1
100647/302, 1
100725/959, 1
100793/669, 1
100893/382, 1
10091/44, 1
10093/32, 1
101039/374, 1
101060/369, 1
101063/442, 1
10108/439, 1
10109/62, 1
101164/307, 1
101208/419, 1
101219/652, 1
101232/631, 1
101240/559, 1
101283/400, 1
10135/46, 1
101362/291, 1
10140/509, 1
101483/340, 1
101503/359, 1
10151/108, 1
10165/34, 1
101777/2974, 1
10183/36, 1
101845/316, 1
10190/209, 1
10192/223, 1
10194/101, 1
101970/331, 1
10200/41, 1
102052/287, 1
102056/339, 1
10217/915, 1
10222/113, 1
10223/610, 1
102233/304, 1
102241/456, 1
10230/59, 1
10231/150, 1
10235/42, 1
102350/293, 1
10237/664, 1
102386/407, 1
102414/983, 1
102473/327, 2
10249/61, 1
10259/30, 1
10261/1832, 1
10263/160, 1
10265/1522, 1
102687/484, 1
10273/853, 1
10276/149, 1
10283/81, 1
10286/467, 1
10289/342, 1
10294/149, 1
102971/310, 1
10298/573, 1
102995/317, 1
103107/425, 1
103117/428, 1
103142/475, 1
103157/391, 2
103211/323, 2
10323/38, 1
10328/263, 1
103286/663, 1
10333/897, 1
103351/356, 1
103366/503, 1
103427/573, 1
103437/1238, 1
10344/53, 1
103491/958, 1
103506/469, 1
103611/367, 1
103702/495, 1
103826/1121, 1
10387/281, 1
103951/400, 1
103996/355, 1
10402/1333, 1
10403/378, 1
10405/72, 1
10413/625, 1
104185/461, 2
10421/33, 1
104223/466, 1
104225/306, 1
104344/295, 3
104367/1411, 1
10441/50, 1
104427/527, 1
10445/38, 1
10446/41, 1
10448/269, 1
104497/481, 1
104519/301, 1
10453/121, 1
104589/338, 1
10461/1024, 1
10472/141, 1
104739/2825, 1
10487/115, 1
10489/2048, 1
10489/269, 1
104935/944, 1
104951/613, 1
104963/424, 1
104977/301, 1
10499/32, 1
105029/465, 1
105140/303, 1
105161/627, 1
10521/124, 1
10524/53, 1
105283/342, 1
105311/302, 1
10532/1371, 1
10539/3658, 1
105425/822, 1
105428/561, 1
10543/61, 1
10547/125, 1
10547/66, 1
105483/299, 1
105483/475, 1
10549/103, 1
105523/458, 1
10557/44, 2
10567/171, 1
105708/937, 1
105713/466, 1
105767/306, 1
10577/656, 1
105943/315, 1
10597/32, 1
105986/339, 1
10601/300, 1
106037/410, 1
106055/624, 1
10606/801, 1
10608/215, 1
106127/486, 1
1063/63, 1
106313/472, 1
10636/341, 1
10637/172, 1
10640/41, 1
10645/341, 1
106509/622, 1
106519/409, 1
106555/382, 1
10660/789, 1
106613/405, 1
10670/593, 1
10671/1099, 1
106877/512, 1
106885/402, 1
10691/230, 1
106948/645, 1
10695/172, 1
10697/66, 1
10699/1093, 1
10703/101, 1
10717/617, 1
10719/44, 1
10720/2237, 1
107231/745, 1
10726/101, 1
10726/501, 1
10739/41, 2
10739/751, 1
107401/407, 1
10745/452, 1
10745/52, 1
107455/2322, 1
10746/211, 1
107519/333, 1
10753/686, 1
10758/31, 1
107748/551, 1
10776/43, 1
107763/338, 1
10785/187, 1
10787/248, 1
10787/31, 1
10801/1154, 1
108031/347, 1
10807/827, 1
108163/475, 1
108164/407, 1
10817/170, 1
108226/563, 1
108261/934, 1
108399/680, 1
108415/1362, 1
10846/75, 1
108473/362, 1
10849/183, 1
108490/429, 1
108517/841, 1
1086/1265, 1
108609/587, 1
108631/2683, 1
10873/658, 1
10874/2291, 1
108818/573, 1
10885/253, 1
10885/309, 1
10887/2209, 1
108919/1024, 1
10892/107, 1
108940/557, 1
10895/71, 1
10902/139, 1
10907/315, 1
10917/1229, 1
109255/469, 1
109286/655, 1
10929/40, 1
10931/82, 1
109340/571, 1
109351/487, 1
10942/261, 1
109432/429, 1
10946/839, 1
10957/114, 1
109577/527, 1
10959/554, 1
10961/182, 1
10961/205, 1
109612/1079, 1
10964/769, 1
109651/368, 1
10967/337, 1
109752/401, 1
10977/106, 1
109801/756, 1
10988/107, 1
10997/82, 1
10999/64, 1
11005/303, 1
11007/290, 1
110109/454, 1
110183/351, 1
11021/77, 1
11034/127, 1
110385/356, 1
11046/283, 1
110515/701, 1
110550/1417, 1
11071/256, 1
110787/511, 1
110795/326, 1
110827/2326, 1
111047/708, 1
111059/477, 1
111071/323, 1
11117/40, 1
11120/100, 1
11123/37, 1
111291/521, 1
111305/327, 1
11132/475, 1
111497/328, 1
111517/342, 1
11166/9287, 1
111770/399, 1
111787/339, 1
111823/455, 1
111852/311, 1
11189/279, 1
111899/331, 1
11195/396, 1
1120184/3273, 1
112022/333, 1
112169/326, 1
11223/674, 2
112358/2233, 1
11239/431, 1
11249/268, 1
11253/65, 1
11264/71, 1
112681/436, 1
112726/703, 1
112729/412, 1
112733/477, 1
11282/101, 1
112840/459, 1
11285/1354, 1
11289/134, 1
11301/938, 1
113013/1105, 1
11303/43, 1
113040/599, 1
11309/530, 1
113111/697, 1
113128/329, 1
113347/425, 1
113359/363, 1
113410/421, 1
113416/507, 1
11350/37, 1
11352/2833, 1
113674/345, 1
113690/573, 1
113719/3628, 1
113749/481, 1
11375/2934, 1
11380/171, 1
11381/203, 1
113833/456, 1
113849/856, 1
11389/394, 1
113896/363, 1
113916/323, 1
11396/1777, 1
113964/599, 2
11400/313, 1
114032/343, 1
11404/673, 1
114133/707, 1
114248/345, 1
11430/47, 1
114325/517, 1
114443/577, 1
114518/371, 1
114524/765, 1
11453/944, 1
114611/412, 1
11474/309, 1
114782/605, 1
11481/284, 1
11487/40, 1
11489/1103, 1
114946/329, 1
114967/423, 1
11501/39, 1
11508/151, 1
11513/69, 1
115218/661, 1
11525/63, 1
1153/471, 1
115355/443, 1
11539/120, 1
11540/213, 1
115444/2041, 1
115502/469, 1
115519/329, 1
11556/301, 1
11575/581, 1
11581/8121, 1
115816/329, 1
115889/573, 1
115966/537, 1
115982/689, 1
11625/49, 1
116266/485, 1
116275/373, 1
116289/1585, 1
116380/399, 1
116393/400, 1
11643/314, 1
116492/5439, 1
11653/33, 1
116546/757, 1
11656/51, 1
116646/461, 1
11668/273, 1
11684/33, 1
116870/327, 1
116874/397, 1
116921/349, 1
11694/71, 1
116974/669, 1
116999/403, 1
11706/191, 1
11707/99, 1
117077/420, 1
11727/62, 1
11734/101, 1
11742/367, 1
117443/608, 1
11746/367, 1
117498/383, 3
11750/579, 3
117537/6205, 1
117553/2519, 1
117568/475, 1
11766/2033, 1
117676/761, 1
11771/233, 1
117725/1076, 1
11773/742, 1
11775/202, 1
11789/85, 3
117894/457, 1
1179/1373, 1
117905/346, 1
117930/457, 1
11794/1261, 1
118/1, 1
118011/683, 1
118165/964, 1
118262/341, 1
11830/433, 1
11833/688, 1
11833/89, 1
118367/435, 1
11840/641, 1
11846/815, 1
11854/243, 1
11854/419, 1
11857/70, 1
11861/118, 1
118645/629, 1
118661/353, 1
118663/374, 1
11871/308, 1
11878/331, 1
11879/1089, 1
118797/796, 1
118817/408, 1
11882/137, 1
118855/349, 1
11891/67, 1
11893/349, 1
119/1, 1
11902/69, 1
11907/274, 1
11908/233, 1
11911/111, 1
119154/331, 1
11921/298, 1
11922/143, 1
11929/243, 1
11930/413, 1
11932/83, 1
119325/614, 1
11948/121, 1
11950/111, 1
119537/664, 1
119636/669, 1
119717/373, 1
11972/59, 1
11976/563, 1
11979/2048, 1
11986/231, 1
11989/567, 1
1199/521, 1
11993/878, 1
120079/351, 1
12011/158, 1
12011/521, 1
12014/653, 1
120254/627, 1
12029/126, 1
120317/405, 1
120332/505, 1
120345/421, 1
120367/493, 1
12037/60, 1
12040/117, 1
120421/598, 1
12043/469, 1
120472/667, 1
12048/113, 2
120525/424, 1
120533/555, 1
120557/379, 1
120703/513, 1
120813/452, 1
12083/150, 1
12083/220, 1
12083/74, 1
12085/579, 1
12094/453, 1
12094/91, 1
12095/113, 1
120956/681, 1
12101/36, 1
12109/133, 1
121173/508, 1
12118/37, 1
12126/391, 1
12127/48, 1
12139/207, 1
12140/51, 2
12164/161, 1
121673/1538, 1
12173/114, 1
121861/803, 1
121869/409, 1
12193/39, 1
12199/381, 1
122036/2947, 1
12204/59, 1
122152/489, 1
12223/651, 1
122285/458, 1
122314/1305, 1
12232/129, 1
122385/724, 1
12249/314, 1
122491/556, 1
12250/100, 1
122521/422, 1
12256/57, 1
122589/425, 1
12264/107, 1
12278/3891, 1
12281/214, 1
12281/37, 1
122859/955, 1
12287/203, 1
12290/113, 1
12297/281, 1
12304/99, 1
12305/398, 1
123073/430, 1
123131/372, 1
12315/146, 1
12316/587, 1
1232/57, 1
12326/51, 2
12326/59, 1
123298/849, 1
123325/566, 1
12341/58, 1
123411/2048, 1
123452/797, 1
12347/278, 1
12349/171, 1
123541/387, 1
123606/1109, 1
12361/111, 1
12361/148, 1
12361/74, 1
12365/148, 1
12371/144, 1
12379/707, 1
123805/344, 1
12401/284, 1
12409/699, 1
124166/587, 1
12421/1092, 1
124223/419, 1
124258/425, 1
124287/557, 1
12433/1403, 1
124357/511, 1
12436/305, 1
12436/495, 1
1244/63, 1
12441/128, 1
124420/453, 1
124422/427, 1
12449/680, 1
12451/82, 1
12457/40, 1
124609/528, 1
12466/123, 1
12471/373, 1
12478/63, 1
12481/74, 1
12487/189, 2
12492/35, 1
125015/602, 1
12503/301, 1
125067/443, 1
12508/291, 1
1251/6955, 1
125172/403, 1
12523/100, 1
12524/243, 1
12529/149, 1
12530/83, 2
125302/1991, 1
125355/367, 1
12536/419, 1
12541/778, 1
125429/530, 1
125459/372, 1
12547/264, 1
125503/398, 1
125517/391, 1
12552/43, 1
12557/190, 1
125586/689, 1
125650/683, 1
12572/51, 2
12575/323, 1
12577/90, 1
12579/94, 1
12584/985, 1
12588/385, 1
125908/543, 1
12599/96, 1
12602/205, 1
12602/723, 1
126059/368, 1
126164/405, 1
12625/83, 1
126347/374, 1
12637/298, 1
12640/429, 1
12645/497, 1
126487/364, 1
12667/47, 1
12671/99, 2
12674/1239, 1
126770/397, 1
12681/167, 1
126855/446, 1
12689/250, 1
12694/123, 1
12695/178, 1
126981/415, 1
12699/1151, 1
12705/782, 1
127113/514, 1
12717/110, 1
12724/841, 1
12734/185, 1
12741/133, 1
127439/440, 1
12746/341, 1
127579/389, 1
127593/355, 1
127615/639, 1
127673/405, 1
12768/241, 1
12769/281, 1
12773/160, 1
12787/2135, 1
127883/479, 1
127952/403, 1
12797/51, 1
127989/385, 1
128035/882, 1
12809/700, 1
12812/101, 1
12814/141, 1
128161/425, 1
12824/213, 1
12829/979, 1
12834/2975, 2
12834/919, 1
12834/97, 1
128345/367, 1
128348/401, 1
12835/92, 1
128399/777, 1
12841/2510, 1
128585/512, 1
12860/137, 1
128612/403, 1
12863/47, 1
12864/47, 1
12886/699, 1
12890/49, 1
12892/43, 1
128925/529, 1
12905/211, 1
12917/125, 1
129197/819, 1
129238/483, 1
12931/412, 1
12932/107, 1
129359/378, 1
12943/38, 1
12943/51, 1
129483/437, 1
12949/895, 1
129491/671, 1
12951/241, 1
12952/149, 1
129551/1116, 1
129636/1801, 1
12981/257, 1
129883/367, 1
12999/53, 1
13001/47, 1
130061/659, 1
13009/351, 1
130093/634, 1
13013/267, 1
13015/49, 1
130152/467, 1
13021/201, 1
13024/349, 1
13025/116, 1
13027/46, 1
130332/871, 1
130354/501, 1
13037/1220, 1
13041/589, 1
13043/77, 1
130521/560, 1
13067/426, 1
130723/414, 2
13086/139, 1
130871/417, 1
13089/175, 1
13119/113, 1
131221/801, 1
131233/392, 1
13124/183, 1
131345/583, 1
131410/751, 1
13143/251, 2
13148/43, 1
13150/69, 1
13167/365, 1
13167/584, 1
13169/103, 1
13171/205, 1
131732/409, 1
131746/1167, 1
131763/497, 1
13177/286, 1
13183/580, 1
13190/47, 1
13194/1343, 1
13199/5433, 1
13204/143, 1
13206/493, 1
13217/148, 1
132194/443, 1
132195/547, 1
13227/50, 1
132347/739, 1
13240/39, 1
132403/500, 1
13243/127, 1
132476/2469, 1
13250/611, 1
13252/73, 1
13255/41, 1
132599/515, 1
132607/505, 1
132678/487, 1
132698/697, 1
13275/206, 1
13280/211, 1
13289/78, 1
13289/80, 1
133079/411, 1
13323/158, 1
13325/654, 1
13328/239, 1
13331/45, 1
13336/677, 1
13339/55, 1
1334/3937, 1
133448/557, 1
13355/506, 1
13356/797, 1
133625/443, 1
13367/362, 1
13385/54, 1
13394/1331, 1
133961/4678, 1
13399/67, 1
134008/417, 1
134069/413, 1
13417/437, 1
13427/687, 1
134311/807, 1
13433/526, 1
134391/778, 1
13444/61, 1
134451/1520, 2
134451/512, 1
13447/881, 1
13453/654, 1
134583/8192, 1
13461/118, 1
13466/139, 1
13467/151, 1
13470/1577, 1
13472/53, 1
134821/403, 1
13494/137, 1
13494/529, 1
13495/1327, 1
13499/360, 1
13499/526, 3
135013/778, 1
13505/776, 1
13506/43, 2
135071/490, 1
13511/787, 1
135242/393, 1
135259/512, 1
13530/853, 1
13532/923, 1
13543/150, 1
13543/40, 1
135489/490, 1
135499/436, 1
13559/374, 1
135673/788, 1
135691/509, 1
13579/792, 1
13583/1180, 1
135953/456, 1
13601/164, 1
13607/629, 1
136093/475, 1
13614/103, 1
13618/91, 1
13622/223, 1
13623/113, 1
136263/475, 1
13631/279, 1
136348/531, 1
13636/83, 1
136523/612, 1
13656/61, 1
13659/59, 1
13661/258, 1
13666/85, 1
13671/40, 1
136753/528, 1
136811/1349, 1
136987/397, 1
13703/129, 1
13706/1009, 1
13706/201, 1
13708/863, 1
137087/448, 1
13711/358, 1
137136/403, 1
13715/383, 1
137242/519, 1
137285/446, 1
137327/426, 1
13735/214, 1
13742/275, 1
13743/175, 1
13746/137, 1
13751/1241, 1
137590/711, 1
137639/512, 1
13769/773, 1
13773/40, 1
13774/55, 1
13775/313, 1
13781/474, 1
13783/261, 1
137871/449, 1
13789/849, 1
13791/104, 1
13794/41, 1
138144/727, 1
13819/74, 1
13821/451, 1
13826/113, 1
138261/524, 1
138307/446, 1
13831/121, 1
13835/317, 1
13837/399, 1
13841/913, 1
13842/59, 1
13843/90, 1
13844/45, 1
13847/465, 1
13848/803, 1
13853/321, 1
13855/407, 1
138576/523, 1
13861/263, 1
13863/331, 1
138767/958, 1
13877/169, 1
138889/2048, 1
138970/487, 1
138975/524, 1
139/1, 1
13906/105, 1
1391/735, 1
139124/509, 1
13915/446, 1
13917/295, 1
13921/663, 1
13931/679, 1
139346/895, 1
13943/617, 1
13945/156, 1
13955/152, 1
13957/64, 1
139585/508, 1
139627/430, 1
139639/756, 1
13967/54, 1
13969/1458, 1
139693/442, 1
1397/15, 1
13973/52, 1
13974/55, 1
139750/599, 1
13991/196, 1
13995/119, 1
139991/569, 1
14005/74, 1
140086/493, 1
14015/53, 1
140275/1154, 1
1403/4, 1
14035/52, 1
14037/2048, 1
140551/585, 1
14063/604, 1
14072/577, 2
14075/91, 1
140805/3109, 1
14087/45, 1
14089/54, 2
140903/696, 1
14101/180, 1
14106/61, 1
14108/41, 1
14122/279, 1
14133/151, 1
14153/369, 1
141559/832, 1
141569/1909, 1
14163/46, 1
14163/59, 1
141689/441, 1
14173/232, 1
141799/639, 1
141899/409, 1
1419/37, 1
141953/398, 1
141987/1354, 1
14203/304, 1
14204/441, 1
14228/87, 1
142361/1001, 1
14241/59, 1
14244/271, 1
14249/303, 1
142531/592, 1
142533/980, 1
142562/433, 1
142585/708, 1
14261/167, 1
14262/55, 1
142633/5540, 1
14265/178, 1
14275/489, 1
142794/727, 1
14281/69, 1
14284/243, 1
14285/967, 1
14287/536, 1
14293/138, 1
14293/573, 1
14299/204, 1
143/5, 1
14305/91, 1
14309/141, 1
14311/43, 1
14316/455, 1
14327/273, 1
14329/333, 1
143308/419, 1
14337/47, 1
143381/417, 1
143450/891, 1
14353/5991, 1
14355/259, 1
143591/540, 1
14364/841, 1
143643/565, 1
14367/41, 1
14373/296, 1
143733/1037, 1
14377/151, 1
14378/489, 1
14383/256, 1
14389/301, 1
14389/470, 1
143895/409, 1
14397/344, 1
144007/2964, 1
14411/151, 1
144117/508, 1
14417/194, 1
14417/470, 1
14419/57, 1
14429/60, 1
14429/643, 1
144322/441, 1
14439/191, 1
144428/559, 1
14449/166, 1
14455/41, 1
14460/79, 1
14463/259, 1
14464/1587, 1
1447/1568, 1
14474/103, 1
14478/215, 1
14491/53, 1
144912/1369, 1
144925/411, 1
145034/761, 1
145074/829, 2
14521/1373, 1
14526/703, 1
145351/535, 1
14539/1233, 1
14541/265, 1
14543/124, 1
145514/677, 1
14552/371, 1
14559/2651, 1
14563/397, 1
14565/737, 1
14575/607, 1
145775/552, 1
14583/61, 1
145837/478, 1
14591/153, 1
14605/74, 1
14617/46, 1
14626/5345, 1
146278/625, 1
14633/256, 1
14636/399, 1
146569/455, 1
14659/52, 1
146625/464, 1
146645/524, 1
14675/79, 1
14677/697, 1
146831/561, 1
14686/683, 1
146944/489, 1
146965/682, 1
14703/428, 1
147035/447, 1
14723/126, 1
14723/160, 1
14729/87, 1
147352/423, 1
14737/166, 1
147371/1133, 1
14749/253, 1
14783/129, 1
147873/587, 1
14802/647, 1
148025/803, 1
14805/176, 1
14806/79, 1
148103/1091, 1
14813/763, 1
