ifdg_GPSImgDirection ,Count
, 1283888
-35/100, 1
0/0, 3640
0/1, 202
0/100, 315
0/1000000, 8
1/1, 11
10/1, 9
100/1, 18
100/100, 18
1000/100, 20
10000/100, 10
10000/491, 1
100000/327, 1
10001/69, 1
100012/445, 1
100013/320, 1
100013/761, 1
100016/579, 1
100017/278, 1
100019/292, 1
100034/591, 1
10004/217, 1
10005/211, 1
10005/53, 1
100056/313, 1
10006/245, 1
100060/283, 1
100062/479, 1
1000632/2849, 1
100069/1768, 1
100069/350, 1
100075/346, 1
100088/325, 1
100089/293, 1
10009/598, 1
100093/552, 1
1001/4, 1
10010/261, 1
100100/361, 1
100105/766, 1
100109/1210, 1
10011/118, 1
10011/136, 1
100115/624, 1
100117/288, 1
100119/746, 1
10012/117, 1
100143/689, 1
10015/178, 1
10015/187, 1
10015/2087, 1
10016/79, 1
100167/319, 1
10017/100, 2
10017/118, 1
10017/146, 1
100177/425, 1
10018/275, 1
10018/49, 1
100181/293, 1
100199/659, 1
10020/229, 1
100203/332, 1
100213/872, 1
10022/1567, 1
10022/271, 1
100223/350, 2
100226/1035, 1
100226/599, 1
10023/593, 1
100233/323, 1
100236/305, 1
10025/100, 9
10025/158, 1
100253/756, 1
100264/639, 1
100277/287, 1
100277/488, 1
100281/325, 1
10029/100, 2
10029/34, 1
100292/301, 1
100292/475, 1
100299/331, 1
100299/829, 1
10031/572, 1
100311/280, 1
100317/667, 1
10032/100, 1
10032/761, 1
100322/287, 1
10033/102, 1
10033/415, 1
10034/443, 1
100343/663, 1
100344/611, 1
100345/444, 1
10037/176, 1
10037/540, 1
10038/89, 1
10039/207, 1
10039/522, 1
100391/759, 1
100397/655, 1
10040/100, 1
10040/61, 1
10041/187, 1
10041/193, 1
100411/380, 1
100421/368, 1
10043/50, 1
10043/56, 1
100435/344, 1
10044/205, 1
10044/299, 1
10044/73, 1
100441/366, 1
100445/689, 1
100447/282, 1
10045/57, 1
10045/87, 1
10045/93, 1
10046/51, 1
10046/873, 1
100467/341, 1
10047/67, 1
100471/396, 1
10048/293, 1
100489/323, 1
10049/242, 1
10050/100, 15
10050/37, 2
100503/491, 2
100504/441, 1
100509/583, 1
10051/148, 1
10051/51, 1
10052/677, 1
10052/85, 1
100523/432, 1
100528/339, 1
10053/229, 1
100533/338, 1
100546/417, 1
100546/425, 1
100549/319, 1
10055/101, 1
10055/857, 1
10055/862, 1
100559/492, 2
10056/43, 1
100564/299, 1
100569/296, 1
100571/533, 1
100576/2035, 1
100578/287, 1
100593/695, 1
100597/426, 1
100606/301, 1
100618/923, 1
10062/617, 1
100621/289, 1
100625/283, 1
10063/147, 1
10063/212, 1
10063/370, 1
10063/55, 1
100645/786, 1
100649/649, 1
10066/29, 1
100662/371, 1
100664/373, 1
10067/39, 1
100671/346, 1
100676/1171, 1
100677/320, 1
10069/232, 1
10069/267, 1
100693/519, 1
1007/4, 1
10071/464, 1
100717/416, 1
100719/335, 1
10072/725, 1
100721/410, 1
100729/442, 1
10073/1243, 1
10075/100, 3
10075/116, 1
10075/288, 1
10075/58, 1
100757/386, 1
100757/415, 1
100758/697, 1
10076/1193, 1
10076/85, 1
100768/349, 1
10077/1358, 1
10077/895, 1
10078/71, 1
100780/487, 1
100793/1261, 1
100793/1308, 1
100813/302, 1
10083/1067, 1
100831/287, 1
100831/321, 1
100839/446, 1
100841/297, 1
100841/541, 1
100843/289, 1
10085/1456, 1
10085/263, 1
10085/451, 1
100851/566, 1
100869/389, 1
10087/681, 1
100876/445, 1
10088/309, 1
100894/505, 2
100903/310, 1
100903/455, 1
100906/501, 1
10091/100, 1
10091/224, 1
10091/79, 1
100911/467, 1
10092/445, 1
100921/3791, 1
100921/574, 1
100922/399, 1
10093/126, 1
10093/59, 1
10094/37, 1
100945/1351, 1
10095/103, 1
10095/92, 1
10096/303, 1
100966/739, 1
10097/195, 1
10098/100, 1
100986/8177, 1
100987/577, 1
10099/100, 1
101/1, 9
10100/100, 26
10100/171, 1
10100/51, 1
101001/488, 1
101007/311, 1
10101/4096, 1
101015/326, 1
101025/578, 1
101037/373, 1
101049/6530, 1
10105/393, 1
10105/69, 1
10105/726, 1
101052/659, 1
10106/127, 1
10106/239, 1
101067/359, 1
101069/1132, 2
101072/319, 1
101075/918, 1
101091/340, 1
1011/100, 1
10110/53, 1
101105/712, 1
101107/696, 1
101108/1213, 1
10111/133, 1
10111/180, 1
10111/292, 1
10112/167, 1
101125/408, 1
101126/337, 1
10113/34, 1
101130/1133, 1
101156/355, 1
101165/579, 1
10117/59, 1
101178/697, 2
101179/282, 1
101181/349, 1
101187/316, 1
101189/414, 1
101189/520, 1
10119/1334, 1
10119/41, 1
101193/290, 1
101199/506, 1
10120/941, 1
101201/390, 1
101203/337, 1
10121/457, 1
10121/690, 1
101228/409, 1
101236/441, 1
101246/399, 1
101246/831, 1
101247/320, 1
10125/100, 8
10126/10853, 1
10126/185, 1
101267/422, 1
101273/418, 1
10129/54, 1
101293/2048, 1
101296/347, 1
1013/100, 1
10130/263, 1
101305/534, 1
101308/331, 1
10131/49, 1
10132/2303, 1
10133/35, 1
10134/67, 1
101345/502, 1
10135/376, 1
10135/858, 1
101350/357, 1
10136/257, 1
10136/269, 1
10136/319, 1
101369/304, 1
10137/100, 1
101370/317, 1
101370/421, 1
101373/313, 1
101374/1485, 1
10138/57, 1
101383/866, 1
101387/289, 1
10139/100, 1
10139/216, 1
10139/288, 1
101390/403, 1
101391/1025, 1
10140/1817, 1
101401/409, 1
10141/86, 1
101417/569, 2
10142/645, 1
101420/1341, 1
101431/391, 1
10144/101, 1
10144/1517, 1
10144/45, 1
10147/183, 1
10148/73, 1
10149/145, 1
10150/100, 6
10150/241, 1
10151/106, 1
10152/157, 1
101521/302, 1
101533/426, 1
10155/43, 2
101559/1253, 1
10156/805, 1
10157/118, 1
101585/294, 1
101587/415, 3
10159/224, 1
101598/317, 1
10160/77, 1
101600/787, 1
101603/1442, 1
101607/665, 1
10161/679, 1
101617/750, 1
101626/393, 1
101627/323, 1
10163/2670, 1
10163/51, 1
10164/100, 1
10165/376, 1
101655/2729, 2
101657/284, 1
101657/328, 1
10166/165, 1
101662/477, 1
101662/665, 1
10167/125, 1
10167/247, 1
10167/472, 1
101685/349, 1
10169/75, 2
10169/90, 1
10169/96, 1
101696/699, 1
10170/1087, 1
10170/89, 1
101707/308, 1
10171/141, 1
10171/221, 1
101714/557, 1
10172/105, 1
10173/173, 1
10173/89, 1
101733/932, 1
10175/100, 12
10175/172, 1
10175/42, 1
101772/2723, 1
101783/331, 1
10179/751, 1
10179/968, 1
101798/375, 1
101798/497, 1
101801/587, 1
