ifdg_GPSLatitude ,Count
, 1219726
0 deg 0 0.000, 6043
0 deg 0 1.140, 1
0 deg 0 10.200, 1
0 deg 0 3.870, 1
0 deg 0 3.970, 1
0 deg 0 4.200, 1
0 deg 0 6.944, 1
0 deg 0 7.800, 1
0 deg 1 19.730, 1
0 deg 1 19.740, 1
0 deg 1 20.430, 1
0 deg 1 24.510, 1
0 deg 1 54.564, 1
0 deg 10 18.000, 1
0 deg 10 27.600, 1
0 deg 10 28.200, 2
0 deg 10 28.800, 1
0 deg 10 36.000, 1
0 deg 10 49.200, 1
0 deg 10 59.710, 1
0 deg 11 11.870, 2
0 deg 11 12.000, 14
0 deg 11 12.600, 1
0 deg 11 13.870, 1
0 deg 11 14.400, 2
0 deg 11 15.600, 4
0 deg 11 24.820, 3
0 deg 11 25.610, 1
0 deg 11 25.640, 1
0 deg 11 27.010, 3
0 deg 11 27.350, 1
0 deg 11 30.370, 1
0 deg 11 46.800, 1
0 deg 11 55.806, 1
0 deg 11 58.140, 1
0 deg 11 7.200, 6
0 deg 11 8.870, 1
0 deg 12 11.550, 2
0 deg 12 11.760, 1
0 deg 12 15.000, 1
0 deg 12 36.130, 1
0 deg 12 49.200, 2
0 deg 12 50.459, 1
0 deg 12 52.900, 1
0 deg 12 53.750, 1
0 deg 12 54.250, 2
0 deg 12 54.920, 1
0 deg 13 11.130, 3
0 deg 13 11.190, 1
0 deg 13 11.580, 1
0 deg 13 11.940, 2
0 deg 13 14.150, 1
0 deg 13 14.660, 1
0 deg 13 14.950, 2
0 deg 13 15.370, 2
0 deg 13 19.650, 1
0 deg 13 29.840, 1
0 deg 13 37.690, 1
0 deg 13 39.680, 1
0 deg 13 40.860, 1
0 deg 13 41.170, 2
0 deg 13 42.780, 1
0 deg 13 52.360, 1
0 deg 13 52.470, 1
0 deg 13 52.510, 1
0 deg 13 52.600, 1
0 deg 13 52.610, 1
0 deg 13 52.930, 1
0 deg 14 1.580, 1
0 deg 14 2.480, 2
0 deg 14 2.490, 1
0 deg 14 2.690, 1
0 deg 14 48.190, 1
0 deg 17 12.600, 1
0 deg 19 42.000, 1
0 deg 2 24.600, 1
0 deg 2 45.600, 1
0 deg 2 46.200, 1
0 deg 23 53.010, 3
0 deg 23 53.840, 3
0 deg 23 55.610, 1
0 deg 23 56.830, 1
0 deg 23 57.010, 1
0 deg 23 58.310, 2
0 deg 23 59.740, 2
0 deg 24 0.350, 1
0 deg 24 2.100, 1
0 deg 24 2.240, 1
0 deg 24 35.526, 1
0 deg 25 11.790, 1
0 deg 25 18.600, 1
0 deg 25 19.200, 3
0 deg 25 20.400, 1
0 deg 25 36.250, 1
0 deg 25 42.630, 1
0 deg 25 5.189, 1
0 deg 25 51.420, 1
0 deg 25 53.630, 1
0 deg 25 54.790, 1
0 deg 25 55.900, 1
0 deg 25 56.240, 1
0 deg 25 58.930, 1
0 deg 25 8.400, 5
0 deg 26 1.050, 1
0 deg 26 1.340, 1
0 deg 26 1.380, 1
0 deg 26 15.370, 1
0 deg 26 16.050, 1
0 deg 26 16.390, 1
0 deg 26 43.630, 4
0 deg 26 45.600, 1
0 deg 26 8.090, 1
0 deg 27 44.370, 1
0 deg 27 51.590, 1
0 deg 27 53.800, 1
0 deg 27 54.940, 1
0 deg 29 27.600, 1
0 deg 3 14.650, 1
0 deg 3 14.860, 1
0 deg 3 15.210, 1
0 deg 3 15.310, 2
0 deg 3 3.290, 3
0 deg 3 3.840, 1
0 deg 3 4.240, 1
0 deg 30 21.600, 1
0 deg 31 43.117, 1
0 deg 31 45.633, 3
0 deg 31 46.940, 1
0 deg 31 47.160, 1
0 deg 31 47.509, 3
0 deg 31 47.524, 1
0 deg 31 49.041, 3
0 deg 31 49.444, 4
0 deg 31 50.640, 1
0 deg 31 50.666, 4
0 deg 31 53.112, 2
0 deg 31 53.157, 1
0 deg 31 7.100, 1
0 deg 31 9.130, 1
0 deg 32 19.860, 1
0 deg 32 9.063, 7
0 deg 34 28.800, 3
0 deg 34 30.000, 1
0 deg 34 30.600, 1
0 deg 34 32.400, 1
0 deg 34 33.000, 1
0 deg 34 33.600, 1
0 deg 34 37.200, 1
0 deg 34 56.940, 3
0 deg 34 57.640, 1
0 deg 34 59.400, 1
0 deg 35 0.340, 1
0 deg 35 1.660, 1
0 deg 35 1.830, 1
0 deg 35 34.000, 1
0 deg 35 5.630, 1
0 deg 35 6.000, 2
0 deg 35 6.210, 2
0 deg 35 9.730, 2
0 deg 36 53.520, 1
0 deg 36 53.590, 1
0 deg 36 53.910, 3
0 deg 36 53.920, 2
0 deg 37 39.170, 1
0 deg 37 39.610, 2
0 deg 37 40.010, 2
0 deg 38 55.630, 1
0 deg 39 13.720, 1
0 deg 39 16.570, 1
0 deg 39 23.400, 1
0 deg 39 28.320, 1
0 deg 39 30.800, 2
0 deg 39 32.020, 1
0 deg 39 37.820, 6
0 deg 4 13.105, 3
0 deg 4 37.220, 1
0 deg 4 37.350, 1
0 deg 4 42.850, 6
0 deg 41 15.990, 1
0 deg 41 18.180, 1
0 deg 41 18.280, 1
0 deg 41 18.990, 1
0 deg 41 21.450, 1
0 deg 44 27.270, 1
0 deg 44 27.620, 5
0 deg 44 32.190, 2
0 deg 44 36.330, 2
0 deg 45 51.610, 2
0 deg 45 52.880, 1
0 deg 45 53.660, 1
0 deg 45 54.820, 1
