ifdg_GPSLongitude ,Count
, 1219729
0 deg 0 -0.000, 1
0 deg 0 0.000, 6078
0 deg 0 1.000, 2
0 deg 0 1.224, 1
0 deg 0 1.398, 1
0 deg 0 1.518, 2
0 deg 0 10.000, 2
0 deg 0 10.710, 1
0 deg 0 10.990, 1
0 deg 0 11.070, 3
0 deg 0 11.300, 7
0 deg 0 11.340, 1
0 deg 0 11.400, 2
0 deg 0 11.410, 1
0 deg 0 12.000, 1
0 deg 0 12.110, 1
0 deg 0 12.310, 1
0 deg 0 12.563, 2
0 deg 0 12.600, 2
0 deg 0 13.000, 1
0 deg 0 13.290, 1
0 deg 0 13.580, 1
0 deg 0 13.766, 3
0 deg 0 13.830, 1
0 deg 0 13.860, 1
0 deg 0 13.979, 1
0 deg 0 14.000, 1
0 deg 0 14.220, 1
0 deg 0 14.340, 1
0 deg 0 14.440, 1
0 deg 0 14.460, 1
0 deg 0 14.550, 1
0 deg 0 14.570, 1
0 deg 0 14.600, 1
0 deg 0 14.794, 4
0 deg 0 15.000, 2
0 deg 0 15.456, 1
0 deg 0 15.497, 1
0 deg 0 15.535, 1
0 deg 0 15.600, 5
0 deg 0 15.610, 9
0 deg 0 15.691, 1
0 deg 0 15.704, 1
0 deg 0 15.843, 2
0 deg 0 15.930, 1
0 deg 0 15.960, 1
0 deg 0 16.000, 4
0 deg 0 16.059, 1
0 deg 0 16.113, 1
0 deg 0 16.324, 1
0 deg 0 16.435, 2
0 deg 0 16.800, 1
0 deg 0 17.000, 3
0 deg 0 17.334, 3
0 deg 0 17.580, 2
0 deg 0 17.903, 1
0 deg 0 18.000, 17
0 deg 0 18.196, 1
0 deg 0 18.390, 1
0 deg 0 18.600, 3
0 deg 0 18.736, 1
0 deg 0 18.740, 2
0 deg 0 18.816, 1
0 deg 0 18.966, 1
0 deg 0 18.987, 1
0 deg 0 19.000, 3
0 deg 0 19.102, 3
0 deg 0 19.200, 1
0 deg 0 19.413, 1
0 deg 0 19.434, 1
0 deg 0 19.863, 1
0 deg 0 20.000, 9
0 deg 0 20.400, 1
0 deg 0 21.000, 2
0 deg 0 21.384, 1
0 deg 0 22.000, 1
0 deg 0 23.400, 9
0 deg 0 24.000, 1
0 deg 0 24.563, 4
0 deg 0 24.600, 3
0 deg 0 25.175, 1
0 deg 0 25.200, 2
0 deg 0 25.470, 2
0 deg 0 25.800, 1
0 deg 0 25.973, 1
0 deg 0 26.400, 2
0 deg 0 27.180, 1
0 deg 0 27.306, 1
0 deg 0 28.000, 3
0 deg 0 28.070, 1
0 deg 0 28.200, 2
0 deg 0 28.262, 1
0 deg 0 28.440, 1
0 deg 0 28.500, 5
0 deg 0 28.800, 3
0 deg 0 29.000, 4
0 deg 0 29.293, 1
0 deg 0 29.400, 1
0 deg 0 29.830, 1
0 deg 0 3.060, 1
0 deg 0 3.240, 1
0 deg 0 3.900, 1
0 deg 0 30.000, 5
0 deg 0 30.598, 1
0 deg 0 30.940, 1
0 deg 0 31.000, 1
0 deg 0 31.230, 1
0 deg 0 31.800, 1
0 deg 0 32.000, 1
0 deg 0 33.000, 2
0 deg 0 33.590, 1
0 deg 0 33.600, 7
0 deg 0 33.960, 1
0 deg 0 34.000, 1
0 deg 0 34.200, 1
0 deg 0 34.525, 1
0 deg 0 34.529, 1
0 deg 0 34.570, 1
0 deg 0 34.800, 4
0 deg 0 35.000, 3
0 deg 0 35.010, 2
0 deg 0 35.070, 2
0 deg 0 35.090, 4
0 deg 0 35.107, 1
0 deg 0 35.160, 1
0 deg 0 35.170, 1
0 deg 0 35.220, 1
0 deg 0 35.400, 1
0 deg 0 35.522, 1
0 deg 0 35.539, 1
0 deg 0 35.898, 2
0 deg 0 36.000, 2
0 deg 0 36.600, 2
0 deg 0 37.000, 1
0 deg 0 37.200, 2
0 deg 0 37.370, 1
0 deg 0 37.800, 1
0 deg 0 37.959, 1
0 deg 0 38.270, 1
0 deg 0 38.400, 2
0 deg 0 39.000, 1
0 deg 0 39.176, 1
0 deg 0 39.600, 1
0 deg 0 39.652, 3
0 deg 0 39.960, 1
0 deg 0 39.978, 1
0 deg 0 4.000, 3
0 deg 0 4.500, 1
0 deg 0 4.740, 1
0 deg 0 40.000, 1
0 deg 0 40.200, 1
0 deg 0 42.000, 3
0 deg 0 42.071, 1
0 deg 0 42.600, 2
0 deg 0 42.846, 3
0 deg 0 43.000, 1
0 deg 0 43.200, 3
0 deg 0 43.249, 1
0 deg 0 43.376, 1
0 deg 0 43.800, 1
0 deg 0 44.000, 3
0 deg 0 44.939, 1
0 deg 0 45.000, 1
0 deg 0 45.330, 1
0 deg 0 45.445, 1
0 deg 0 45.467, 1
0 deg 0 45.600, 3
0 deg 0 46.000, 2
0 deg 0 46.037, 1
0 deg 0 46.124, 1
0 deg 0 46.800, 1
0 deg 0 46.858, 1
0 deg 0 46.880, 1
0 deg 0 47.000, 2
0 deg 0 47.400, 7
0 deg 0 47.840, 1
0 deg 0 48.000, 8
0 deg 0 48.010, 2
0 deg 0 48.084, 1
0 deg 0 48.534, 2
0 deg 0 48.600, 2
0 deg 0 48.940, 1
0 deg 0 49.000, 1
0 deg 0 49.200, 5
0 deg 0 49.474, 1
0 deg 0 49.596, 4
0 deg 0 49.660, 2
0 deg 0 49.800, 2
0 deg 0 5.400, 1
0 deg 0 5.466, 1
0 deg 0 50.000, 2
0 deg 0 50.400, 1
0 deg 0 51.000, 7
0 deg 0 51.600, 1
0 deg 0 51.843, 1
0 deg 0 52.000, 8
0 deg 0 52.124, 1
0 deg 0 52.200, 1
0 deg 0 52.410, 1
0 deg 0 52.775, 1
0 deg 0 52.800, 3
0 deg 0 53.000, 1
0 deg 0 54.000, 4
0 deg 0 54.211, 1
0 deg 0 54.600, 3
0 deg 0 54.693, 2
0 deg 0 55.000, 1
0 deg 0 55.200, 2
0 deg 0 55.800, 3
0 deg 0 55.940, 1
0 deg 0 55.980, 1
0 deg 0 56.000, 1
0 deg 0 56.005, 1
0 deg 0 56.160, 1
0 deg 0 56.200, 1
0 deg 0 56.620, 1
0 deg 0 57.000, 1
0 deg 0 57.498, 1
0 deg 0 57.882, 1
0 deg 0 58.000, 1
0 deg 0 58.200, 1
0 deg 0 59.000, 3
0 deg 0 59.400, 1
0 deg 0 6.000, 4
0 deg 0 6.180, 1
0 deg 0 6.600, 1
0 deg 0 7.000, 2
0 deg 0 7.800, 1
0 deg 0 8.000, 4
0 deg 0 8.357, 1
0 deg 0 9.000, 2
0 deg 0 9.600, 2
0 deg 1 0.000, 4
0 deg 1 0.600, 1
0 deg 1 0.690, 1
0 deg 1 1.000, 5
0 deg 1 1.140, 1
0 deg 1 1.162, 2
0 deg 1 1.319, 1
0 deg 1 1.330, 1
0 deg 1 1.500, 1
0 deg 1 1.620, 1
0 deg 1 1.800, 3
0 deg 1 10.000, 1
0 deg 1 10.800, 3
0 deg 1 11.000, 2
0 deg 1 11.718, 1
0 deg 1 12.000, 1
0 deg 1 12.162, 1
0 deg 1 12.330, 1
0 deg 1 12.600, 2
0 deg 1 12.792, 1
0 deg 1 13.000, 5
0 deg 1 13.326, 1
0 deg 1 13.794, 1
0 deg 1 14.400, 1
0 deg 1 15.000, 2
0 deg 1 16.000, 2
0 deg 1 16.800, 2
0 deg 1 17.000, 4
0 deg 1 17.400, 1
0 deg 1 18.000, 12
0 deg 1 18.600, 1
0 deg 1 18.880, 1
0 deg 1 19.000, 11
0 deg 1 19.250, 1
0 deg 1 2.000, 1
0 deg 1 2.202, 1
0 deg 1 2.400, 1
0 deg 1 2.614, 1
0 deg 1 20.000, 4
0 deg 1 21.000, 5
0 deg 1 21.923, 1
0 deg 1 22.000, 5
0 deg 1 22.350, 1
0 deg 1 23.000, 2
0 deg 1 23.060, 1
0 deg 1 23.400, 1
0 deg 1 23.720, 1
0 deg 1 23.890, 1
0 deg 1 24.000, 5
0 deg 1 25.000, 3
0 deg 1 25.200, 2
0 deg 1 25.590, 1
0 deg 1 25.650, 1
0 deg 1 25.800, 2
0 deg 1 26.400, 4
0 deg 1 27.000, 2
0 deg 1 27.682, 1
0 deg 1 28.200, 2
0 deg 1 28.270, 1
0 deg 1 28.480, 1
0 deg 1 28.600, 1
0 deg 1 28.800, 1
0 deg 1 29.280, 1
0 deg 1 29.634, 1
0 deg 1 3.000, 8
0 deg 1 3.588, 1
0 deg 1 3.600, 2
0 deg 1 3.666, 1
0 deg 1 30.000, 2
0 deg 1 31.200, 1
0 deg 1 31.739, 1
0 deg 1 33.000, 1
0 deg 1 33.600, 1
0 deg 1 34.260, 1
0 deg 1 34.710, 1
0 deg 1 34.750, 1
0 deg 1 35.030, 1
0 deg 1 35.140, 1
0 deg 1 35.410, 1
0 deg 1 36.600, 2
0 deg 1 36.860, 1
0 deg 1 37.000, 1
0 deg 1 37.200, 2
0 deg 1 37.410, 1
0 deg 1 37.520, 1
0 deg 1 37.800, 4
0 deg 1 38.020, 1
0 deg 1 38.110, 8
0 deg 1 38.140, 1
0 deg 1 38.190, 1
0 deg 1 38.240, 1
0 deg 1 38.400, 1
0 deg 1 38.470, 1
0 deg 1 38.700, 2
0 deg 1 38.730, 2
0 deg 1 38.870, 1
0 deg 1 39.000, 1
0 deg 1 39.600, 1
0 deg 1 39.940, 2
0 deg 1 4.000, 8
0 deg 1 4.200, 3
0 deg 1 4.476, 6
0 deg 1 4.554, 3
0 deg 1 4.788, 1
0 deg 1 4.800, 1
0 deg 1 40.200, 1
0 deg 1 40.262, 1
0 deg 1 41.076, 1
0 deg 1 41.862, 1
0 deg 1 42.000, 2
0 deg 1 43.200, 2
0 deg 1 44.000, 1
0 deg 1 47.000, 1
0 deg 1 48.102, 1
0 deg 1 48.198, 1
0 deg 1 48.354, 1
0 deg 1 48.474, 1
0 deg 1 48.504, 1
0 deg 1 48.612, 1
0 deg 1 49.430, 1
0 deg 1 49.800, 1
0 deg 1 5.010, 5
0 deg 1 5.400, 1
0 deg 1 51.000, 1
0 deg 1 51.024, 1
0 deg 1 51.906, 1
0 deg 1 52.000, 2
0 deg 1 53.000, 1
0 deg 1 53.400, 1
0 deg 1 54.000, 3
0 deg 1 54.600, 6
0 deg 1 55.000, 1
0 deg 1 55.200, 2
0 deg 1 55.494, 1
0 deg 1 55.734, 1
0 deg 1 55.800, 2
0 deg 1 56.044, 2
0 deg 1 57.000, 3
0 deg 1 57.580, 1
0 deg 1 58.000, 1
0 deg 1 58.200, 1
0 deg 1 58.800, 1
0 deg 1 59.000, 1
0 deg 1 6.000, 3
0 deg 1 6.514, 1
0 deg 1 7.000, 1
0 deg 1 7.128, 1
0 deg 1 7.200, 3
0 deg 1 7.308, 1
0 deg 1 7.800, 3
0 deg 1 8.000, 3
0 deg 1 8.090, 1
0 deg 1 8.400, 2
0 deg 1 9.000, 12
0 deg 1 9.070, 1
0 deg 1 9.600, 1
0 deg 10 0.000, 3
0 deg 10 0.600, 3
0 deg 10 1.200, 4
0 deg 10 1.781, 1
0 deg 10 10.200, 1
0 deg 10 10.800, 5
0 deg 10 11.400, 1
0 deg 10 11.429, 1
0 deg 10 11.750, 1
0 deg 10 12.390, 1
0 deg 10 12.600, 2
0 deg 10 13.200, 1
0 deg 10 13.240, 1
