ifdg_GPSProcessingMethod ,Count
, 1354073
!., 1
&,-, 1
.#., 1
.*., 1
..., 1
0x[00000000 00000000 00000000, 1
0x[0000], 18
0x[00], 83
0x[41534349 49000000 00000000, 2
0x[41534349 49000000 00], 578
0x[41534349 49000000 29], 1
0x[41534349 49000000 3F], 3
0x[41534349 49000000 41534349, 4
0x[41534349 49000000 41804980, 1
0x[41534349 49000000 43454C4C, 48
0x[41534349 49000000 46555345, 16
0x[41534349 49000000 47505300, 4707
0x[41534349 49000000 4750532D, 91
0x[41534349 49000000 47505357, 10
0x[41534349 49000000 475053], 1511
0x[41534349 49000000 48594252, 1164
0x[41534349 49000000 4E455457, 2846
0x[41534349 49000000 55555555, 3
0x[41534349 49000000 556E6B6E, 340
0x[41534349 49000000 574C414E, 35
0x[41534349 49000000 60], 1
0x[41534349 49000000 66757365, 46
0x[41534349 49000000 677073], 2
0x[41534349 49000000 6E657477, 10
0x[41534349 49000000 88818781, 10
0x[41534349 49000000 8D], 2
0x[41534349 49000000 948292], 1
0x[41534349 49000000], 3385
0x[41534349 4900], 1
0x[47005000 53000000], 42
0x[47505300], 92
0x[475053], 3895
0x[48505331], 7
0x[48505332], 22
0x[4E004500 54005700 4F005200, 3
0x[4E455457 4F524B00], 21
0x[677073], 7
0x[6E657477 6F726B], 4
0x[], 241
5.., 2
:#., 1
@.>, 1
ASCII, 729
ASCII   GPS, 243
ASCIIFUSED, 1120
ASCIIGPS, 2838
ASCIINETWORK, 2535
ASCIIUnknown, 144
GPS, 34
NETWORK, 8
Unknown, 6
}.., 1
