ifdg_GPSSpeed ,Count
, 1351773
-0.000, 2
0.000, 9229
0.001, 4
0.002, 5
0.003, 3
0.004, 1
0.005, 2
0.007, 2
0.008, 1
0.009, 1
0.010, 6
0.012, 2
0.013, 2
0.014, 2
0.015, 2
0.016, 1
0.017, 1
0.018, 4
0.020, 5
0.021, 2
0.022, 4
0.023, 3
0.024, 1
0.025, 3
0.026, 1
0.027, 4
0.028, 1
0.029, 1
0.030, 3
0.031, 1
0.033, 1
0.035, 4
0.036, 16
0.037, 2
0.038, 3
0.039, 1
0.040, 11
0.041, 1
0.042, 1
0.043, 3
0.044, 3
0.045, 1
0.046, 2
0.047, 1
0.048, 5
0.049, 2
0.050, 9
0.051, 4
0.052, 1
0.053, 4
0.054, 1
0.055, 2
0.056, 1
0.059, 2
0.060, 2
0.061, 2
0.062, 2
0.063, 1
0.064, 1
0.065, 1
0.066, 1
0.067, 1
0.068, 1
0.069, 4
0.070, 2
0.071, 1
0.072, 19
0.073, 5
0.074, 1
0.075, 2
0.076, 7
0.077, 1
0.078, 3
0.079, 3
0.080, 3
0.083, 2
0.085, 1
0.086, 2
0.087, 2
0.088, 2
0.089, 1
0.090, 6
0.091, 1
0.092, 3
0.093, 3
0.095, 3
0.096, 3
0.097, 1
0.098, 1
0.099, 1
0.100, 394
0.101, 1
0.102, 3
0.103, 4
0.104, 3
0.105, 2
0.106, 5
0.107, 2
0.108, 22
0.109, 4
0.110, 27
0.111, 2
0.112, 4
0.113, 1
0.114, 1
0.115, 5
0.116, 3
0.117, 3
0.118, 4
0.119, 1
0.120, 6
0.121, 2
0.122, 2
0.123, 1
0.124, 1
0.125, 2
0.126, 1
0.127, 2
0.128, 1
0.129, 2
0.130, 5
0.131, 1
0.132, 2
0.133, 2
0.135, 4
0.136, 1
0.137, 1
0.138, 3
0.139, 2
0.140, 2
0.141, 3
0.142, 1
0.143, 3
0.144, 27
0.146, 5
0.147, 2
0.148, 1
0.149, 4
0.150, 30
0.151, 1
0.153, 1
0.154, 1
0.155, 4
0.156, 3
0.157, 2
0.158, 4
0.159, 2
0.160, 34
0.161, 1
0.162, 4
0.163, 5
0.164, 2
0.165, 6
0.166, 4
0.167, 2
0.168, 1
0.169, 3
0.170, 27
0.171, 4
0.172, 1
0.173, 2
0.174, 1
0.175, 7
0.176, 1
0.177, 1
0.178, 5
0.179, 2
0.180, 59
0.181, 2
0.182, 1
0.183, 5
0.186, 2
0.187, 2
0.188, 2
0.189, 1
0.190, 32
0.191, 4
0.192, 1
0.193, 2
0.194, 2
0.195, 2
0.196, 1
0.198, 1
0.199, 1
0.200, 580
0.201, 2
0.204, 1
0.205, 2
0.206, 2
0.207, 2
0.208, 3
0.210, 35
0.213, 5
0.215, 3
0.216, 31
0.217, 2
0.218, 7
0.220, 27
0.221, 1
0.222, 1
0.223, 3
0.224, 1
0.225, 1
0.226, 3
0.227, 5
0.229, 4
0.230, 30
0.232, 3
0.233, 2
0.234, 3
0.235, 3
0.236, 3
0.237, 2
0.238, 4
0.239, 3
0.240, 30
0.243, 1
0.245, 1
0.246, 1
0.247, 3
0.248, 6
0.249, 1
0.250, 30
0.251, 2
0.252, 42
0.253, 3
0.254, 3
0.255, 3
0.256, 1
0.257, 1
0.258, 3
0.259, 1
0.260, 35
0.261, 2
0.263, 2
0.264, 3
0.265, 5
0.266, 4
0.267, 3
0.268, 1
0.269, 1
0.270, 27
0.271, 4
0.272, 2
0.273, 3
0.274, 1
0.275, 3
0.276, 1
0.277, 4
0.278, 6
0.279, 2
0.280, 23
0.281, 2
0.283, 2
0.284, 2
0.285, 3
0.286, 1
0.287, 2
0.288, 31
0.289, 1
0.290, 34
0.291, 1
0.292, 1
0.293, 3
0.294, 4
0.295, 2
0.297, 1
0.298, 2
0.299, 3
0.300, 510
0.301, 3
0.302, 2
0.303, 2
0.304, 2
0.306, 1
0.307, 2
0.308, 1
0.309, 7
0.310, 20
0.311, 5
0.312, 2
0.313, 3
0.314, 3
0.315, 1
0.316, 2
0.317, 1
0.318, 1
0.319, 3
0.320, 25
0.321, 1
0.322, 3
0.323, 3
0.324, 44
0.326, 1
0.327, 3
0.328, 2
0.330, 28
0.333, 3
0.334, 2
0.336, 4
0.337, 3
0.338, 5
0.339, 2
0.340, 16
0.341, 1
0.342, 3
0.343, 1
0.344, 7
0.345, 4
0.346, 2
0.347, 3
0.348, 3
0.349, 1
0.350, 28
0.351, 5
0.352, 3
0.353, 4
0.354, 2
0.355, 2
0.356, 4
0.359, 2
0.360, 69
0.361, 3
0.362, 1
0.363, 2
0.364, 1
0.365, 4
0.366, 6
0.367, 3
0.368, 2
0.369, 5
0.370, 24
0.371, 1
0.372, 1
0.373, 2
0.374, 4
0.375, 2
0.377, 4
0.378, 4
0.379, 2
0.380, 26
0.381, 4
0.382, 1
0.384, 5
0.385, 1
0.386, 1
0.388, 1
0.389, 1
0.390, 22
0.391, 1
0.392, 1
0.393, 2
0.394, 2
0.395, 4
0.396, 34
0.397, 2
0.398, 4
0.399, 2
0.400, 454
0.401, 5
0.402, 4
0.403, 2
0.404, 2
0.405, 2
0.406, 2
0.408, 3
0.409, 6
0.410, 17
0.411, 2
0.412, 3
0.413, 4
0.414, 3
0.415, 1
0.416, 3
0.417, 2
0.418, 3
0.419, 5
0.420, 17
0.421, 6
0.422, 4
0.423, 5
0.424, 3
0.425, 2
0.426, 5
0.427, 3
0.428, 1
0.429, 3
0.430, 14
0.431, 2
0.432, 42
0.434, 2
0.435, 7
0.436, 1
0.438, 1
0.439, 3
0.440, 17
0.443, 3
0.444, 1
0.445, 3
0.447, 2
0.448, 1
0.449, 3
0.450, 21
0.451, 4
0.453, 2
0.454, 3
0.455, 2
0.456, 3
0.457, 5
0.459, 1
0.460, 15
0.461, 2
0.462, 2
0.464, 1
0.465, 2
0.466, 5
0.467, 1
0.468, 42
0.469, 4
0.470, 13
0.471, 2
0.472, 1
0.473, 3
0.474, 2
0.476, 2
0.477, 1
0.478, 2
0.479, 3
0.480, 20
0.481, 4
0.482, 3
0.483, 2
0.484, 4
0.485, 1
0.486, 3
0.487, 5
0.488, 2
0.489, 2
0.490, 19
0.491, 3
0.492, 4
0.493, 1
0.494, 1
0.495, 3
0.496, 1
0.497, 1
0.498, 2
0.499, 5
0.500, 423
0.501, 1
0.502, 5
0.503, 3
0.504, 44
0.505, 3
0.506, 2
0.507, 2
0.509, 2
0.510, 9
0.511, 3
0.512, 1
0.513, 5
0.514, 1
0.515, 2
0.516, 6
0.518, 5
0.520, 24
0.521, 3
0.522, 2
0.523, 1
0.524, 3
0.525, 3
0.526, 4
0.527, 2
0.528, 1
0.529, 6
0.530, 19
0.531, 4
0.532, 3
0.533, 2
0.534, 2
0.535, 2
0.536, 1
0.537, 2
0.538, 2
0.540, 75
0.541, 2
0.542, 4
0.543, 2
0.544, 2
0.545, 1
0.546, 3
0.547, 3
0.548, 3
0.549, 5
0.550, 20
0.551, 4
0.552, 3
0.553, 1
0.554, 1
0.555, 1
0.556, 4
0.557, 2
0.558, 5
0.559, 3
0.560, 11
0.561, 1
0.562, 1
0.563, 4
0.564, 1
0.565, 2
0.566, 2
0.567, 2
0.568, 2
0.569, 1
0.570, 18
0.571, 1
0.572, 3
0.573, 1
0.574, 2
0.575, 2
0.576, 60
0.577, 4
0.578, 2
0.579, 2
0.580, 13
0.581, 1
0.582, 2
0.583, 2
0.584, 3
0.585, 3
0.586, 1
0.587, 3
0.588, 2
0.589, 5
0.590, 20
0.591, 5
0.592, 4
0.593, 2
0.594, 2
0.595, 3
0.596, 6
0.597, 1
0.598, 2
0.599, 2
0.600, 446
0.601, 2
0.602, 2
0.603, 3
0.604, 5
0.605, 2
0.606, 3
0.607, 2
0.608, 4
0.610, 13
0.611, 1
0.612, 46
0.613, 4
0.615, 4
0.616, 2
0.617, 1
0.618, 3
0.619, 1
0.620, 22
0.622, 3
0.623, 1
0.624, 3
0.625, 5
0.626, 2
0.627, 1
0.628, 3
0.629, 3
0.630, 18
0.631, 2
0.632, 5
0.633, 3
0.634, 1
0.635, 2
0.636, 3
0.637, 1
0.638, 1
0.639, 1
0.640, 8
0.641, 3
0.642, 5
0.643, 2
0.644, 4
0.646, 1
0.647, 4
0.648, 52
0.649, 3
0.650, 14
0.651, 1
0.652, 1
0.653, 5
0.654, 1
0.656, 1
0.657, 2
0.658, 1
0.660, 12
0.661, 1
0.662, 4
0.663, 2
0.664, 2
0.665, 3
0.666, 9
0.667, 4
0.668, 2
0.669, 2
0.670, 12
0.671, 2
0.672, 2
0.673, 4
0.675, 3
0.676, 2
0.677, 1
0.678, 4
0.679, 4
0.680, 11
0.681, 2
0.683, 3
0.684, 48
0.685, 2
0.686, 4
0.687, 2
0.689, 3
0.690, 15
0.692, 2
0.693, 1
0.694, 1
0.695, 2
0.696, 4
0.698, 3
0.699, 3
0.700, 345
0.701, 4
0.702, 2
0.703, 1
0.704, 1
0.705, 1
0.706, 2
0.707, 2
0.709, 1
0.710, 10
0.711, 1
0.712, 2
0.713, 1
0.714, 2
0.716, 5
0.717, 1
0.718, 2
0.719, 2
0.720, 72
0.721, 3
0.722, 1
0.723, 3
0.724, 2
0.725, 2
0.726, 1
0.728, 2
0.730, 11
0.731, 4
0.733, 4
0.734, 2
0.735, 3
0.736, 4
0.737, 2
0.738, 1
0.739, 3
0.740, 7
0.741, 3
0.742, 1
0.743, 1
0.744, 3
0.745, 3
0.746, 1
0.747, 2
0.748, 2
0.749, 3
0.750, 12
0.751, 1
0.752, 2
0.753, 2
0.754, 3
0.755, 4
0.756, 59
0.757, 2
0.758, 1
0.759, 2
0.760, 10
0.761, 1
0.762, 5
0.763, 4
0.764, 1
0.765, 2
0.766, 4
0.767, 2
0.768, 2
0.769, 2
0.770, 13
0.771, 2
0.772, 3
0.773, 2
0.774, 5
0.775, 1
0.776, 3
0.777, 3
0.778, 2
0.779, 2
0.780, 6
0.781, 1
0.782, 3
0.783, 2
0.784, 3
0.785, 2
0.786, 3
0.787, 2
0.788, 2
0.789, 2
0.790, 7
0.792, 52
0.793, 2
0.794, 1
0.795, 2
0.797, 2
0.798, 4
0.799, 1
0.800, 238
0.802, 1
0.803, 4
0.804, 1
0.805, 3
0.806, 1
0.807, 1
0.808, 1
0.809, 1
0.810, 73
0.811, 2
0.813, 4
0.814, 2
0.815, 1
0.816, 1
0.817, 2
0.818, 2
0.819, 3
0.820, 6
0.821, 3
0.822, 2
0.824, 2
0.825, 1
0.826, 2
0.827, 3
0.828, 53
0.829, 2
0.830, 8
0.831, 1
0.833, 1
0.835, 3
0.838, 2
0.839, 2
0.840, 7
0.842, 4
0.843, 1
0.844, 1
0.845, 1
0.846, 1
0.847, 3
0.848, 3
0.849, 3
0.850, 9
0.851, 1
0.853, 1
0.854, 4
0.855, 3
0.856, 1
0.857, 2
0.858, 2
0.859, 1
0.860, 12
0.861, 1
0.862, 3
0.863, 1
0.864, 57
0.865, 2
0.866, 1
0.867, 3
0.868, 2
0.870, 15
0.871, 1
0.872, 2
0.873, 4
0.874, 2
0.875, 1
0.876, 1
0.877, 1
0.878, 2
0.879, 1
0.880, 10
0.881, 3
0.882, 3
0.883, 2
0.884, 2
0.886, 1
0.887, 3
0.888, 7
0.889, 1
0.890, 7
0.891, 3
0.892, 1
0.893, 6
0.894, 2
0.897, 2
0.898, 3
0.899, 1
0.900, 361
0.903, 1
0.904, 1
0.905, 1
0.906, 2
0.907, 2
0.909, 2
0.910, 6
0.911, 2
0.913, 2
0.914, 3
0.915, 2
0.916, 3
0.918, 1
0.920, 10
0.922, 3
0.923, 1
0.924, 3
0.925, 2
0.927, 2
0.928, 1
0.929, 1
0.930, 10
0.931, 2
0.932, 1
0.933, 1
0.935, 2
0.936, 57
0.937, 1
0.938, 2
0.940, 11
0.941, 1
0.942, 1
0.944, 1
0.945, 1
0.948, 5
0.949, 1
0.950, 7
0.952, 4
0.953, 3
0.954, 2
0.955, 2
0.956, 1
0.958, 1
0.959, 1
0.960, 7
0.961, 3
0.962, 1
0.963, 3
0.965, 2
0.966, 2
0.967, 1
0.968, 1
0.969, 2
0.970, 11
0.972, 59
0.973, 3
0.974, 1
0.975, 2
0.976, 2
0.977, 1
0.978, 2
0.979, 2
0.980, 9
0.981, 2
0.982, 3
0.985, 1
0.986, 2
0.987, 3
0.988, 2
0.989, 1
0.990, 7
0.991, 3
0.992, 4
0.993, 3
0.995, 1
0.996, 1
0.998, 2
0.999, 2
1.000, 254
1.001, 3
1.002, 1
1.003, 6
1.004, 1
1.006, 1
1.007, 2
1.008, 55
1.010, 6
1.012, 2
1.013, 2
1.014, 1
1.016, 1
1.017, 2
1.019, 1
1.020, 6
1.021, 2
1.023, 2
1.024, 2
1.025, 3
1.026, 1
1.027, 2
1.030, 8
1.032, 2
1.033, 1
1.034, 3
1.035, 2
1.036, 1
1.037, 1
1.038, 2
1.040, 4
1.041, 2
1.042, 3
1.043, 2
1.044, 54
1.045, 1
1.046, 2
1.047, 2
1.050, 9
1.052, 1
1.053, 2
1.058, 1
1.059, 2
1.060, 7
1.061, 1
1.062, 1
1.063, 2
1.064, 1
1.065, 1
1.066, 1
1.067, 3
1.068, 1
1.069, 3
1.070, 4
1.071, 2
1.072, 2
1.073, 1
1.074, 2
1.075, 1
1.076, 1
1.077, 2
1.078, 1
1.079, 1
1.080, 55
1.084, 1
1.085, 3
1.088, 2
1.090, 10
1.091, 2
1.092, 2
1.093, 2
1.094, 1
1.095, 1
1.097, 2
1.099, 1
1.100, 225
1.101, 1
1.103, 1
1.104, 2
1.105, 1
1.106, 2
1.107, 1
1.108, 1
1.109, 1
1.110, 9
1.111, 2
1.112, 2
1.113, 2
1.114, 1
1.115, 1
1.116, 63
1.117, 1
1.118, 2
1.120, 3
1.121, 4
1.122, 1
1.123, 5
1.124, 1
1.126, 2
1.127, 1
1.128, 1
1.129, 2
1.130, 6
1.131, 1
1.134, 1
1.135, 1
1.139, 3
1.140, 5
1.141, 1
1.142, 2
1.144, 3
1.146, 1
1.148, 1
1.149, 1
1.150, 14
1.152, 69
1.154, 4
1.155, 2
1.158, 3
1.159, 3
1.160, 5
1.162, 2
1.163, 1
1.165, 1
1.167, 1
1.168, 1
1.169, 1
1.170, 4
1.171, 1
1.172, 1
1.175, 1
1.176, 1
1.177, 2
1.179, 2
1.180, 10
1.181, 2
1.184, 1
1.185, 1
1.187, 1
1.188, 54
