ifdg_GPSTimeStamp ,Count
, 1371999
0, 9
00, 104
01,25,14,11,22,30, 1
03, 144
03,06,19,22,18,16,21,07,30,15, 1
03,19,22,18,,,,,,,,,, 1
03,19,22,18,16,21,07,15,,,,,, 5
03,19,22,18,16,21,07,30,15,,,, 1
03,19,22,18,16,21,15,,,,,,, 1
03,19,22,18,16,21,30,15,,,,,, 1
03,19,22,18,21,07,15,,,,,,, 4
03,19,22,18,21,15,,,,,,,, 2
04, 341
05, 396
06, 332
07, 300
08, 231
09, 274
10, 240
10,1,10,137,0,6,6,1,0,14,34,5, 1
10,2,14,125,46,8,12,48,0,9,7,, 1
10,2,17,300,49,4,51,292,49,8,, 1
10,2,21,291,31,4,63,267,33,9,, 1
10,3,8,302,0,6,13,294,0,9,54,, 1
10,4,30,316,52,7,4,3,0,8,31,3, 1
10,4,34,313,32,7,1,5,0,8,26,3, 1
11, 259
11,1,42,129,0,12,8,141,50,14,, 1
11,2,16,296,0,4,58,279,34,8,1, 1
11,28,68,248,0,20,65,100,26,3, 2
11,28,68,252,34,20,65,104,0,3, 1
11,3,57,0,41,6,62,20,37,7,3,2, 1
11,3,70,5,45,6,72,40,48,7,11,, 1
12, 573
12,07,78,190,25,08,63,321,34,, 1
12,19,69,358,44,11,48,206,34,, 1
12,22,49,160,23,31,43,346,38,, 1
12,3,0,12,0,7,17,63,34,8,56,6, 1
12,3,19,21,37,8,57,115,40,10,, 1
12,31,58,94,30,16,52,289,37,6, 1
12,31,64,56,28,16,56,280,34,2, 1
12,5,10,218,0,9,69,268,30,11,, 1
13, 3
13,1,22,315,35,2,36,97,32,4,2, 1
13,1,39,270,32,2,29,66,50,4,1, 1
13,1,41,284,51,2,27,77,0,4,18, 1
14, 4
3, 1353
4, 2477
5, 956
5,15,60,148,42,18,46,228,52,2, 1
5,15,61,148,43,18,45,229,52,2, 1
6, 493
7, 249
7,5,41,114,49,9,7,129,52,12,3, 1
8, 108
9, 82
9,1,14,222,0,2,58,224,35,4,58, 1
9,1,62,189,36,12,13,140,0,16,, 1
9,5,26,101,51,6,2,218,0,15,74, 1
9,6,68,203,30,16,58,313,30,3,, 1
9,6,74,207,37,16,60,324,34,3,, 1
Accuracy: 5.00m, 1
Accuracy: 65.00m, 2
tilt:0.000, 14
