ifdg_GPSTrack ,Count
, 1362432
0.00, 1757
0.02, 1
0.04, 1
0.08, 1
0.14, 1
0.19, 1
0.21, 1
0.22, 1
0.24, 1
0.28, 1
0.36, 1
0.37, 1
0.45, 3
0.47, 3
0.49, 3
0.52, 4
0.55, 1
0.57, 1
0.59, 1
0.60, 1
0.67, 1
0.68, 1
0.71, 1
0.72, 1
0.75, 1
0.76, 1
0.77, 1
0.90, 13
0.94, 1
0.96, 2
0.98, 1
1.02, 1
1.12, 1
1.16, 1
1.17, 1
1.18, 1
1.20, 1
1.22, 1
1.23, 1
1.25, 1
1.26, 1
1.29, 1
1.33, 1
1.35, 1
1.39, 5
1.40, 1
1.41, 1
1.42, 1
1.46, 2
1.50, 1
1.51, 1
1.52, 1
1.62, 1
1.63, 1
1.64, 9
1.66, 1
1.73, 3
1.74, 1
1.76, 1
1.77, 1
1.81, 1
1.82, 1
1.89, 1
1.90, 1
1.91, 1
1.93, 2
1.97, 1
10.01, 2
10.05, 1
10.10, 1
10.11, 1
10.19, 1
10.20, 1
10.21, 1
10.22, 1
10.28, 8
10.35, 1
10.44, 1
10.45, 2
10.47, 1
10.51, 2
10.52, 1
10.56, 29
10.58, 2
10.60, 4
10.69, 1
10.71, 1
10.77, 2
10.80, 1
10.93, 1
10.95, 1
10.97, 1
10.99, 1
100.00, 3
100.01, 1
100.02, 1
100.06, 1
100.07, 2
100.08, 1
100.10, 1
100.22, 1
100.25, 1
100.29, 3
100.30, 1
100.34, 2
100.40, 3
100.44, 2
100.48, 1
100.52, 1
100.55, 1
100.64, 1
100.65, 2
100.80, 1
100.81, 1
100.82, 2
100.87, 1
100.91, 1
100.93, 1
100.94, 1
100.98, 2
101.00, 3
101.02, 3
101.05, 1
101.10, 1
101.20, 1
101.22, 1
101.29, 1
101.34, 1
101.38, 1
101.39, 1
101.43, 1
101.50, 1
101.52, 1
101.56, 1
101.59, 1
101.63, 1
101.72, 2
101.73, 1
101.74, 1
101.79, 3
101.82, 1
101.87, 1
101.89, 1
101.90, 2
101.97, 2
101.99, 1
102.00, 1
102.08, 1
102.31, 1
102.41, 2
102.44, 2
102.47, 1
102.50, 1
102.55, 1
102.65, 1
102.67, 2
102.81, 1
102.93, 1
103.00, 1
103.01, 1
103.06, 2
103.10, 1
103.12, 1
103.17, 1
103.24, 1
103.26, 1
103.28, 1
103.33, 1
103.35, 2
103.37, 1
103.40, 1
103.43, 3
103.46, 2
103.56, 2
103.61, 3
103.63, 1
103.69, 1
103.72, 11
103.74, 1
103.76, 1
103.77, 1
103.80, 1
103.83, 1
103.90, 2
103.91, 1
104.00, 4
104.03, 1
104.09, 1
104.14, 1
104.19, 1
104.32, 1
104.35, 1
104.46, 1
104.47, 2
104.48, 1
104.55, 1
104.56, 2
104.65, 1
104.66, 1
104.76, 1
104.77, 1
104.79, 3
104.87, 2
104.88, 1
104.98, 1
105.00, 2
105.01, 2
105.02, 1
105.03, 1
105.07, 1
105.08, 2
105.11, 1
105.25, 1
105.39, 1
105.54, 1
105.55, 1
105.67, 1
105.69, 1
105.71, 2
105.73, 2
105.75, 1
105.79, 1
105.80, 1
105.87, 1
105.94, 3
106.00, 1
106.02, 1
106.06, 1
106.11, 1
106.12, 1
106.18, 1
106.33, 1
106.37, 1
106.45, 3
106.50, 1
106.55, 1
106.59, 1
106.61, 1
106.62, 4
106.64, 2
106.71, 6
106.83, 1
106.90, 1
106.92, 1
106.95, 1
106.96, 1
106.97, 1
107.07, 2
107.08, 1
107.09, 1
107.16, 1
107.27, 1
107.30, 1
107.39, 1
107.41, 1
107.50, 1
107.51, 2
107.58, 1
107.87, 1
107.89, 1
107.94, 1
107.96, 1
108.00, 2
108.11, 1
108.20, 1
108.24, 1
108.26, 2
108.32, 1
108.33, 1
108.34, 1
108.39, 1
108.44, 1
108.53, 1
108.58, 1
108.65, 1
108.71, 1
108.72, 1
108.74, 1
108.79, 1
108.82, 1
108.85, 2
108.91, 1
109.00, 2
109.01, 1
109.19, 1
109.32, 2
109.48, 1
109.50, 1
109.71, 1
109.75, 1
109.90, 6
109.94, 1
109.97, 1
11.01, 1
11.02, 1
11.05, 1
11.10, 1
11.13, 2
11.14, 5
11.27, 1
11.28, 2
11.29, 1
11.31, 1
11.32, 4
11.36, 1
11.41, 1
11.50, 4
11.54, 1
11.56, 1
11.57, 1
11.59, 1
11.66, 1
11.69, 1
11.71, 1
11.73, 1
11.76, 1
11.78, 1
11.83, 1
11.92, 1
110.05, 1
110.07, 1
110.11, 1
110.21, 1
110.28, 1
110.33, 1
110.38, 1
110.43, 1
110.50, 1
110.51, 1
110.56, 1
110.60, 1
110.61, 2
110.62, 1
110.64, 1
110.67, 1
110.68, 1
110.72, 1
110.78, 1
110.80, 2
110.91, 1
110.94, 1
110.97, 2
111.00, 1
111.01, 2
111.07, 1
111.15, 3
111.18, 1
111.19, 1
111.26, 1
111.31, 2
111.33, 3
111.43, 1
111.49, 3
111.54, 1
111.55, 2
111.56, 1
111.57, 2
111.60, 2
111.64, 1
111.67, 2
111.71, 1
111.72, 1
111.74, 1
111.75, 2
111.76, 1
111.79, 1
111.85, 1
111.86, 2
111.87, 1
111.93, 1
111.94, 1
111.97, 2
112.05, 1
112.08, 3
112.15, 1
112.16, 1
112.18, 1
112.19, 1
112.25, 1
112.26, 3
112.28, 7
112.30, 3
112.32, 4
112.34, 1
112.36, 2
112.37, 2
112.38, 1
112.39, 1
112.40, 1
112.43, 1
112.45, 1
112.47, 1
112.48, 2
112.50, 3
112.58, 1
112.59, 1
112.65, 1
112.68, 1
112.69, 4
112.72, 1
112.74, 1
112.78, 1
112.79, 1
112.80, 1
112.83, 1
112.85, 1
112.87, 1
112.88, 1
112.93, 1
112.94, 2
112.99, 1
113.00, 2
113.02, 1
113.09, 1
113.12, 1
113.15, 1
113.23, 1
113.30, 2
113.38, 1
113.53, 1
113.55, 2
113.56, 1
113.71, 1
113.74, 1
113.75, 2
113.90, 1
113.93, 1
113.95, 3
113.98, 2
114.12, 2
114.14, 1
114.16, 1
114.21, 1
114.24, 1
114.31, 1
114.36, 1
114.39, 1
114.46, 1
114.61, 1
114.64, 1
114.65, 1
114.71, 1
114.76, 1
114.77, 1
114.78, 1
114.79, 4
114.87, 1
114.91, 1
114.92, 1
114.93, 1
114.94, 1
115.00, 2
115.01, 1
115.02, 1
115.08, 1
115.10, 1
115.14, 1
115.15, 2
115.16, 2
115.19, 3
115.27, 1
115.29, 1
115.32, 3
115.46, 1
115.47, 1
115.52, 1
115.53, 1
115.54, 2
115.69, 1
115.77, 1
115.82, 2
115.84, 1
115.85, 1
115.91, 1
116.00, 1
116.06, 1
116.07, 1
116.21, 1
116.25, 1
116.26, 1
116.28, 1
116.32, 1
116.34, 1
116.38, 2
116.44, 2
116.45, 1
116.48, 1
116.51, 1
116.52, 1
116.77, 1
116.80, 1
116.81, 9
116.86, 2
116.90, 1
116.91, 1
116.92, 2
116.97, 1
117.03, 1
117.05, 1
117.11, 1
117.15, 2
117.16, 1
117.19, 1
117.22, 2
117.32, 2
117.40, 1
117.44, 1
117.45, 2
117.52, 2
117.53, 1
117.54, 1
117.67, 1
117.68, 2
117.69, 1
117.70, 1
117.75, 2
117.77, 1
117.79, 5
117.80, 1
117.83, 1
118.09, 1
118.11, 1
118.13, 2
118.17, 1
118.18, 1
118.20, 1
118.26, 1
118.33, 1
118.35, 2
118.40, 1
118.46, 1
118.50, 2
118.51, 1
118.55, 1
118.56, 2
118.61, 1
118.66, 2
118.73, 5
118.75, 2
118.79, 1
118.81, 2
118.82, 2
118.88, 1
118.92, 30
118.95, 1
118.99, 1
119.09, 1
119.10, 1
119.11, 1
119.12, 1
119.15, 1
119.25, 1
119.26, 1
119.34, 1
119.41, 1
119.42, 2
119.43, 1
119.50, 2
119.52, 1
119.53, 2
119.55, 1
119.57, 1
119.63, 1
119.70, 1
119.71, 1
119.76, 7
119.86, 2
119.88, 1
119.89, 1
119.97, 1
119.99, 1
12.03, 1
12.09, 1
12.19, 1
12.25, 4
12.26, 1
12.32, 1
12.35, 1
12.40, 1
12.47, 1
12.48, 4
12.49, 2
12.54, 2
12.55, 2
12.58, 2
12.64, 1
12.66, 3
12.67, 2
12.68, 1
12.69, 1
12.70, 3
12.75, 1
12.78, 1
12.79, 2
12.86, 2
12.88, 21
12.90, 1
12.94, 1
12.98, 3
120.00, 1
120.01, 1
120.03, 1
120.08, 2
120.14, 1
120.18, 1
120.26, 1
120.32, 2
120.37, 1
120.43, 1
120.45, 1
120.46, 2
120.47, 1
120.48, 2
120.51, 2
120.53, 1
120.61, 2
120.64, 1
120.65, 1
120.69, 5
120.70, 1
120.77, 1
120.78, 1
120.85, 2
120.89, 1
120.93, 1
120.94, 1
120.96, 1
120.97, 1
121.01, 1
121.03, 1
121.04, 1
121.05, 1
121.19, 1
121.23, 3
121.25, 1
121.28, 2
121.29, 10
121.31, 2
121.37, 1
121.41, 1
121.44, 2
121.48, 1
121.50, 1
121.51, 1
121.53, 2
121.54, 1
121.56, 1
121.59, 1
121.60, 1
121.61, 1
121.62, 1
121.66, 2
121.67, 1
121.69, 2
121.73, 1
121.81, 1
121.99, 1
122.00, 3
122.02, 2
122.03, 3
122.13, 1
122.15, 1
122.18, 4
122.19, 2
122.21, 1
122.28, 3
122.30, 1
122.32, 3
122.34, 1
122.39, 1
122.41, 1
122.50, 1
122.54, 1
122.56, 1
122.65, 1
122.70, 1
122.72, 2
122.80, 1
122.91, 1
122.93, 2
122.96, 1
123.00, 2
123.14, 1
123.17, 1
123.20, 1
123.21, 1
123.22, 1
123.32, 1
123.33, 1
123.36, 1
123.41, 1
123.42, 1
123.46, 2
123.47, 1
123.49, 1
123.52, 1
123.53, 2
123.54, 1
123.57, 1
123.58, 2
123.66, 1
123.76, 1
123.85, 1
123.87, 1
123.89, 1
123.90, 1
123.95, 1
123.98, 1
123.99, 2
124.00, 1
124.01, 1
124.07, 2
124.20, 1
124.23, 1
124.26, 1
124.34, 1
124.36, 4
124.37, 1
124.38, 1
124.42, 2
124.43, 2
124.48, 1
124.50, 2
124.53, 1
124.54, 1
124.55, 2
124.56, 1
124.60, 3
124.61, 1
124.62, 1
124.64, 1
124.66, 2
124.67, 3
124.68, 1
124.70, 2
124.72, 4
124.76, 1
124.77, 2
124.80, 1
124.83, 1
124.86, 3
124.89, 4
124.90, 1
124.91, 1
125.00, 1
125.01, 3
125.03, 1
125.04, 2
125.08, 1
125.13, 2
125.20, 1
125.26, 1
125.29, 1
125.33, 1
125.34, 1
125.37, 1
125.40, 1
125.49, 1
125.50, 1
125.63, 3
125.68, 1
125.69, 2
125.70, 5
125.72, 1
125.73, 1
125.79, 1
125.84, 12
125.92, 1
125.93, 1
125.97, 1
126.03, 4
126.06, 1
126.10, 1
126.14, 1
126.21, 1
126.22, 1
