ifdg_bit ,Count
0000000000000000000000000000000, 1107802
0000000000000000000000000000010, 3
0000000000000000110000000000000, 786
0000000000010000110000000000000, 5
0000000001000000111000000000001, 1
0000001000000000000000000000000, 46
0000001000000000000000000000010, 2017
0000001000000000000000000001010, 4
0000001000000000110000000000010, 405
0000001001000000111000000000011, 250
0000001001110000000000000001110, 3
0000010010000000000000000000000, 281
0000010010000000110000000000000, 1
0000010100000000001000000000000, 59
0010000000000000000000000000000, 1
0010000000000000000000000001000, 1
0010100000000000000000000000000, 3
0010100010000000000000000000000, 123
0010101000000000000000000000000, 2
0010101010000000000000000001010, 8
0010111010000000110000000000000, 5
0101000000000000000000000000010, 5
0110000000000000000000000001000, 1
0110100000000000000000000001000, 1
0111100000000000000000000000000, 5666
0111100000100000001000000000000, 2
0111100001000000110000000000100, 1
0111100010000000000000000000000, 80
0111100010000000000000000001000, 3
0111100010000001000000000000000, 28
0111100010010000000000000000000, 3
0111101000000000000000000000000, 3702
0111101000000000000000000000010, 64
0111101000000000000000000001010, 43
0111101000000000100000000000000, 14
0111101000000000110000000000000, 5551
0111101000000000110000000000010, 3
0111101000001100000000000000010, 9
0111101000001100110000011000010, 66
0111101000010000000000000000000, 271
0111101000010000110000000000000, 200
0111101001000000001000000000000, 42
0111101001110000001000000001110, 1
0111101001111111111000000000011, 3
0111101010000000000000000000010, 200
0111101010000000000000000001010, 2
0111101010000000110000000000000, 9
0111101010001100000000000000010, 123
0111101010001111000000000000010, 140
0111101010010000000000000000000, 1
0111101010010000110000000000000, 1
0111101101110000001000000000010, 25
0111110010000000000000000000000, 1140
0111110010000000000000000000010, 17
0111110010000000000000000001000, 216
0111110010000000000000000001010, 36
0111110010000000001000000000000, 7
0111110010000000110000000000000, 80
0111110010001100000000000000000, 73
0111110010001111000000000000000, 23
0111110010100000001000000000000, 9
0111110010110000001000000000000, 3
0111110110000000000000000000000, 3
0111111010000000000000000000000, 5342
0111111010000000000000000000010, 667
0111111010000000000000000001010, 4590
0111111010000000001000000000000, 14
0111111010000000001000000001010, 33
0111111010000000100000000000000, 9
0111111010000000110000000000000, 50204
0111111010000000110000000000010, 1568
0111111010000000110000000001010, 2150
0111111010001100000000000000010, 397
0111111010001100110000011000010, 8941
0111111010010000000000000000000, 413
0111111010010000110000000000000, 617
0111111011110000111000000000010, 2
0111111011111111001000000000011, 4
0111111011111111110111111110000, 7
0111111011111111111000000000011, 441
0111111110000000011000000000010, 16
0111111110000000111000000000010, 2
0111111111110000111000000001110, 1
1000000000000000000000000000000, 98471
1000000000000000001000000000000, 790
1000000000000000110000000000000, 395
1000000000010000001000000000000, 68
1000000001000000000000000000000, 360
1000000001000000001000000000000, 96
1000000001000000001000000000001, 1351
1000000001000000010000000000000, 54
1000000001000000110000000000000, 98
1000000001000000111000000000000, 1
1000000001000000111000000000001, 2920
1000000100000000111000000000000, 23
1000001000000000000000000000000, 2
1000001000000000000000000000010, 739
1000001000000000110000000000010, 2
1000001001000000111000000000000, 10
1000001001000000111000000000011, 2180
1000010010000000000000000000000, 2
1000010010000000110000000000000, 503
1000010100000000001000000001100, 1
1000011010000000000000000000010, 1
1000011010000000001000000001010, 1
1010111010000000101000000000000, 3
1010111010000000110000000000000, 2
1101011010000000001000000001010, 2
1111100000000000000000000000000, 1383
1111100000000000000000011000000, 4
1111100000000000001000000000000, 299
1111100000000000110000000000000, 1
1111100000000000110000011010000, 6
1111100000000011001000000001000, 1
1111100000010000001000000000000, 23
1111100000100000001000000000000, 5
1111100001000000000000000000100, 20
1111100001000000110000000000100, 800
1111100001000000111000000000001, 163
1111100010000000000000000000000, 488
1111100010000100000000000000000, 9
1111100010000111001000000000000, 84
1111100010100000001000000000000, 29
1111100100000000110000000110000, 14
1111101000000000000000000000000, 15
1111101000000000000000000000010, 169
1111101000000000000000000001010, 148
1111101000000000001000000000010, 339
1111101000000000001000000001010, 5
1111101000011100001000000000010, 5
1111101000100000001000000000010, 4
1111101000100000111000000000010, 1
1111101001000000001000000000000, 45
1111101001000000001000000000010, 1677
1111101001000000001000000000011, 1
1111101001110000001000000000000, 1
1111101001110000001000000000010, 2
1111101001110000001000000001110, 988
1111101001110000111000000001110, 8
1111101001111111001000000000011, 56
1111101001111111111000000000000, 1
1111101001111111111000000000011, 157
1111101100000000001000000000010, 1
1111101100001100001000000000010, 2
1111101101110000001000000000000, 175
1111101101110000001000000001010, 3912
1111101101110000001000000001110, 1155
1111101101111111001000000000011, 3
1111110000000000000000000000000, 13
1111110010000000000000000000000, 3337
1111110010000000001000000000000, 476
1111110010000000110000000000000, 2
1111110010000000111000000000000, 1
1111110010001100000000000000000, 755
1111110010001100110000000000000, 132
1111110010001111000000000000000, 403
1111110010001111001000000001000, 90
1111110010100000001000000000000, 424
1111110010110000000000000000000, 4383
1111110010110000001000000000000, 3706
1111110011000000000000000000000, 6
1111110011000000110000000000000, 118
1111110110000000111000000000000, 64
1111111000000000000000000000000, 4
1111111000000000001000000000000, 1
1111111000000000001000000000010, 1
1111111000000000001000000001010, 435
1111111000000000110000000000000, 42
1111111010000000000000000000000, 8
1111111010000000000000000000010, 2871
1111111010000000000000000001010, 6639
1111111010000000001000000000000, 24
1111111010000000001000000000010, 935
1111111010000000001000000001010, 4454
1111111010000000011000000000010, 2
1111111010000000110000000000000, 76
1111111010000000110000000000010, 1
1111111010000000110000000001010, 187
1111111010000000111000000000010, 2
1111111010001100000000000000010, 2
1111111010001100001000000000010, 54
1111111010001100110000011000010, 28
1111111010001100111000000000010, 26
1111111010110000000000000001010, 42
1111111011000000001000000000000, 3
1111111011000000001000000000010, 570
1111111011000000001000000001010, 49
1111111011100000001000000000010, 8
1111111011101111001000000000000, 1
1111111011101111001000000000011, 4449
1111111011101111111000000000000, 6
1111111011101111111000000000011, 2498
1111111011110000001000000001110, 8
1111111011110000111000000000010, 114
1111111011110000111000000001110, 1239
1111111011111111001000000000000, 50
1111111011111111001000000000011, 2533
1111111011111111110111111110000, 8
1111111011111111111000000000000, 105
1111111011111111111000000000011, 7392
1111111110000000001000000000010, 360
1111111110000000101000000000010, 27
1111111110000000111000000000000, 44
1111111110000000111000000000010, 5576
1111111110001100001000000000010, 5
1111111111100000001000000000010, 22
1111111111100000111000000000010, 188
1111111111101111111000000001010, 12
1111111111110000111000000001110, 434
1111111111110000111000000001111, 68
1111111111111100111000000000010, 61
1111111111111111001000000000011, 30
1111111111111111111000011110011, 7
1111111111111111111111111110000, 4
1111111111111111111111111111111, 14
