ifdi_RelatedImageWidth ,Count
, 1188925
0x[00000000] / 0, 319
0x[000000A0] / 160, 36
0x[00000140] / 320, 8
0x[00000190] / 400, 1
0x[00000280] / 640, 3
0x[000003C9] / 969, 1
0x[000003E8] / 1000, 4
0x[00000400] / 1024, 12
0x[00000446] / 1094, 1
0x[000004AA] / 1194, 1
0x[000004B0] / 1200, 2
0x[000004DA] / 1242, 1
0x[00000600] / 1536, 23
0x[00000640] / 1600, 411
0x[00000771] / 1905, 1
0x[00000792] / 1938, 1
0x[00000798] / 1944, 3
0x[000007C2] / 1986, 1
0x[000007D7] / 2007, 1
0x[00000800] / 2048, 388
0x[00000834] / 2100, 1
0x[00000840] / 2112, 21
0x[00000860] / 2144, 1
0x[000008D0] / 2256, 1
0x[000008E0] / 2272, 79
0x[00000900] / 2304, 15
0x[000009BA] / 2490, 1
0x[00000A20] / 2592, 212
0x[00000A28] / 2600, 1
0x[00000A82] / 2690, 1
0x[00000B00] / 2816, 80
0x[00000B14] / 2836, 1
0x[00000B3B] / 2875, 1
0x[00000B50] / 2896, 1
0x[00000BC0] / 3008, 8
0x[00000C00] / 3072, 189
0x[00000CC0] / 3264, 19
0x[00000D50] / 3408, 3
0x[00000D80] / 3456, 4
0x[00000DA7] / 3495, 1
0x[00000E40] / 3648, 79
0x[00000E70] / 3696, 8
0x[00000F3C] / 3900, 1
0x[00000FA0] / 4000, 221
0x[00000FC0] / 4032, 1
0x[000010E0] / 4320, 150
0x[000011F0] / 4592, 1
0x[00001340] / 4928, 3
1000, 10
1009, 1
1013, 2
1022, 6
1023, 1
1024, 2139
1028, 1
1029, 2
1030, 1
1033, 1
1036, 2
1037, 2
1039, 1
1043, 1
1044, 1
1045, 3
1050, 1
1051, 1
1052, 2
1057, 2
1060, 2
1067, 1
1068, 3
1071, 1
1072, 2
1075, 4
1078, 1
1080, 3
1083, 2
1090, 2
1094, 1
1098, 1
1100, 2
1104, 2
1110, 1
1113, 2
1118, 2
1123, 1
1128, 1
1129, 2
1131, 1
1132, 9
1133, 1
1136, 2
1137, 3
1139, 1
1144, 5
1146, 1
1149, 1
1152, 21
1155, 1
1160, 4
1161, 1
1162, 1
1165, 1
1166, 1
1167, 1
1168, 2
1170, 1
1174, 1
1175, 1
1180, 1
1183, 1
1184, 1
1187, 1
1188, 2
1190, 3
1195, 1
1196, 2
1197, 1
1198, 3
1199, 1
1200, 893
1203, 2
1204, 3
1210, 3
1213, 2
1217, 3
1222, 1
1223, 1
1228, 38
1229, 1
1230, 1
1236, 2
1242, 1
1243, 1
1244, 2
1245, 1
1249, 2
1250, 2
1252, 4
1253, 1
1255, 1
1259, 1
1260, 1
1265, 1
1267, 1
1269, 1
1270, 1
1271, 1
1274, 1
1275, 2
1277, 2
1278, 1
1280, 243
1281, 2
1283, 2
1285, 2
1288, 1
1290, 2
1291, 2
1294, 2
1296, 1
1298, 3
1299, 1
1300, 1
1303, 1
1305, 1
1306, 1
1307, 3
1308, 1
1309, 1
1311, 1
1312, 2
1313, 6
1314, 2
1315, 1
1318, 1
1319, 2
1320, 1
1321, 2
1323, 2
1327, 1
1329, 6
1330, 2
1331, 1
1332, 1
1333, 3
1334, 1
1336, 1
1338, 1
1339, 1
1342, 1
1343, 1
1344, 2
1345, 1
1346, 1
1347, 1
1348, 1
1349, 2
1350, 1
1352, 3
1353, 1
1355, 1
1358, 1
1359, 3
1360, 49
1361, 1
1362, 3
1365, 3
1366, 2
1367, 7
1368, 3
1370, 1
1374, 3
1375, 2
1381, 1
1382, 2
1383, 2
1385, 2
1386, 2
1387, 1
1389, 1
1390, 3
1398, 2
1400, 1
1402, 1
1404, 1
1405, 5
1406, 2
1407, 4
1408, 2
1412, 1
1413, 1
1415, 1
1418, 2
1419, 1
1420, 2
1425, 1
1428, 4
1429, 1
1431, 1
1432, 1
1434, 1
1435, 1
1436, 3
1437, 1
1438, 1
1440, 2
1443, 1
1444, 4
1445, 1
1447, 1
1449, 1
1452, 1
1454, 1
1458, 2
1459, 4
1460, 4
1461, 1
1462, 1
1465, 1
1466, 2
1467, 1
1468, 1
1469, 1
1472, 2
1474, 3
1475, 1
1476, 2
1477, 1
1480, 1
1482, 5
1486, 1
1489, 1
1490, 4
1491, 1
1493, 3
1497, 1
1498, 5
1499, 1
1500, 5
1501, 1
1503, 1
1504, 8
1505, 1
1506, 1
1508, 2
1509, 1
1512, 150
1513, 5
1514, 2
1515, 1
1516, 2
1517, 2
1519, 1
1521, 2
1523, 2
1524, 1
1525, 1
1526, 2
1527, 1
1529, 1
1530, 1
1531, 3
1533, 1
1534, 3
1536, 928
1537, 1
1540, 2
1541, 1
1544, 2
1546, 1
1547, 2
1548, 1
1549, 3
1550, 1
1551, 2
1552, 3
1555, 3
1559, 1
1560, 1
1561, 2
1562, 1
1566, 1
1567, 3
1568, 2
1570, 1
1571, 1
1572, 2
1574, 2
1575, 4
1576, 1
1577, 1
1578, 2
1579, 2
1580, 2
1582, 1
1583, 1
1586, 1
1587, 1
1588, 2
1590, 1
1591, 2
1592, 2
1594, 1
1596, 2
1597, 4
1598, 3
1599, 1
1600, 29829
1604, 1
1605, 2
1606, 2
1608, 4
1609, 2
1611, 1
1612, 1
1613, 3
1615, 4
1618, 2
1619, 1
1620, 9
1621, 2
1626, 2
1627, 1
1628, 2
1629, 2
1632, 5
1634, 1
1636, 2
1637, 1
1638, 121
1643, 1
1644, 2
1648, 1
1652, 4
1653, 1
1654, 1
1655, 1
1657, 2
1658, 1
1659, 3
1660, 2
1664, 3
1665, 1
1666, 2
1669, 1
1670, 1
1671, 1
1672, 1
1675, 2
1678, 1
1679, 2
1680, 2
1681, 1
1682, 4
1684, 1
1687, 1
1690, 2
1691, 1
1692, 1
1693, 1
1696, 1
1697, 1
1698, 2
1699, 1
1702, 1
1704, 617
1705, 1
1706, 5
1708, 1
1711, 1
1713, 1
1718, 3
1719, 1
1720, 1
1721, 2
1723, 1
1724, 1
1726, 1
1727, 1
1728, 19
1729, 2
1731, 3
1732, 4
1740, 1
1741, 2
1742, 1
1743, 4
1744, 1
1747, 1
1750, 2
1751, 1
1752, 2
1753, 1
1754, 1
1755, 1
1758, 3
1760, 17
1761, 1
1762, 2
1766, 2
1767, 2
1772, 1
1774, 3
1779, 1
1781, 1
1782, 1
1783, 1
1785, 2
1786, 2
1788, 1
1792, 1
1793, 1
1796, 2
1797, 1
1798, 2
1799, 2
1800, 386
1802, 1
1804, 2
1807, 1
1810, 1
1812, 3
1813, 3
1815, 3
1818, 5
1819, 1
1820, 1
1821, 1
1824, 656
1826, 1
1827, 1
1828, 4
183, 1
1830, 3
1832, 1
1833, 1
1836, 4
1838, 2
1840, 1
1842, 1
1843, 1
1844, 4
1845, 2
1846, 2
1851, 3
1854, 1
1856, 34
1858, 2
1859, 2
1860, 1
1861, 1
1862, 1
1864, 1
1866, 3
1867, 2
1869, 1
1870, 2
1872, 1
1874, 4
1875, 2
1876, 3
1877, 2
1880, 42
1881, 2
1882, 1
1883, 1
1885, 1
1888, 1
1890, 1
1891, 2
1892, 2
1897, 1
1898, 2
1899, 2
1900, 3
1901, 1
1903, 1
1904, 2
1905, 1
1908, 2
1910, 2
1918, 2
1920, 221
1926, 1
1927, 2
1928, 1
1931, 1
1933, 2
1934, 1
1935, 1
1936, 3
1937, 2
1938, 2
1939, 1
1940, 1
1944, 625
1945, 2
1946, 3
1948, 1
1950, 3
1951, 2
1952, 1
1953, 1
1955, 2
1959, 2
1960, 2
1961, 1
1964, 1
1966, 4
1967, 1
1969, 1
1970, 1
1971, 1
1972, 1
1973, 1
1974, 1
1975, 2
1978, 2
1980, 2
1981, 3
1982, 1
1983, 2
1984, 1
1986, 1
1991, 3
1992, 2
1993, 1
1994, 1
1996, 2
2000, 9
2001, 2
2004, 2
2005, 3
2006, 1
2007, 1
2009, 1
2010, 2
2011, 2
2012, 4
2014, 3
2016, 3
2017, 1
2022, 2
2024, 2
2025, 1
2026, 1
2027, 3
2028, 3
2029, 1
2030, 1
2031, 1
2034, 2
2035, 2
2036, 1
2039, 1
2040, 1
2041, 1
2042, 1
2043, 1
2044, 2
2045, 1
2046, 1
2047, 2
2048, 17714
2050, 1
2051, 1
2052, 1
2053, 1
2054, 2
2056, 2
2058, 5
