ifds_ApertureValue ,Count
, 725096
-1/-1, 1
-2147483648/1, 380
-65536/65536, 7
0/0, 1387
0/1, 3427
0/10, 6
0/100, 40
0/10000, 9
0/1000000, 252
0/256, 1
0/536870912, 5
0/65536, 26
0/8, 2
1/1, 82
1/100, 2
10/2, 3
10/56, 367
100/1, 4
100/100, 102
1001/256, 1
100340/65536, 1
100352/65536, 25
1006/256, 2
1009/256, 1
101/12, 1
101/32, 2658
1012/256, 1
1013/256, 10
1016/256, 1
1018/256, 4
1019/256, 2
1021/256, 1
1029/256, 1
1033985/100000, 1
1034/256, 21
1035/256, 5
104/100, 372
104/32, 502
1045/256, 2
1047/256, 1
1049/256, 1
1057/256, 1
1059/256, 2
106/32, 14
1062/256, 6
1064/256, 6
106496/65536, 1628
1068/256, 3
1069/256, 1
107/25, 2
107/32, 12702
1076/256, 1
1085/256, 3
1088/256, 139
1097/256, 1
1099/256, 5
11/2, 5
11/4, 1
110/10, 22
1103/256, 8
1105/256, 7
1106/256, 2
111/12, 1
1110/256, 5
1111/256, 3
111149/65536, 597
1118/256, 19
1122/256, 1
11243/5000, 4
1126/256, 2
113/32, 1129
1130/256, 2
1131/256, 7
1132/256, 1
1137/256, 1
1139/256, 1
1143/256, 2
1145/256, 1
1146/256, 3
115/32, 12
1151/256, 4
1155/256, 1
1157/256, 5
1159/256, 8
116/25, 4
116/32, 12401
1164/256, 329
1167/256, 5
1172/256, 2
1175/256, 1
1176/256, 1
1179/256, 1
118/32, 346
1182/256, 24
11858/2693, 4
119/25, 2
1192/256, 18
1195/256, 6
1195787588/1397377352, 6
1198/256, 6
120/32, 6
1201/256, 3
1203/256, 89
121/32, 10
1221/256, 1
1225/256, 25
123/32, 423
12313/4008, 2
1234/256, 4
1241/256, 2
12457083/4194304, 54
125/32, 18
1250/256, 2
1251/256, 33
1253/256, 5
126/32, 184
1263/500, 17
1265/256, 6
1273/256, 3
1276/256, 1
1279/256, 1
128/32, 25509
1281/256, 2
1282/256, 13
1283/256, 1
1284/256, 2
1285/256, 1
1290/256, 1
1291/256, 16
1295/256, 1
13/5, 14
13/8, 15
130/32, 795
1301/256, 2
1302/256, 1
1303/256, 1
131/32, 6
131072/65536, 943
132/32, 16
1331/256, 26
134/32, 5
135/32, 384
1353/256, 1
1356/256, 1
1359/256, 3
136/32, 8
1361/256, 1
1362/256, 1
1367/256, 2
1368/256, 2
1374/256, 3
1377/256, 1
1382/256, 6
1388/256, 6
139/32, 8706
1391/256, 2
1392/256, 1
1394/256, 1
1396/256, 2
14/5, 6
140/100, 88
1406/256, 1
141/32, 5
1412/256, 1
1415/256, 18
1418/256, 1
1426/256, 2
1431/256, 2
1437226410/1437226410, 2
1438/256, 3
1438348347/300054311, 1
1441/256, 3
1447/256, 2
145/32, 2090
1469/256, 1
147/32, 6346
1479/256, 1
148/32, 1
14819/5375, 5
1485/256, 1
149/32, 4150
149095/65536, 84
1493/256, 1
149504/65536, 4
150/32, 78
1500/256, 12
1515/256, 6
152/32, 1
153/32, 1
1530/256, 2
154/32, 331
1550/256, 1
1553/524, 1
155648/65536, 256
1559/256, 2
156/32, 71
1560/256, 3
1568/256, 2
157/32, 1296
1576/256, 1
1584/256, 45
1589/256, 1
159/32, 8640
1591/256, 2
1594506623/536870912, 29
16/10, 8
16/5, 3
16/8, 4
161/32, 530
1617/256, 1
162/32, 1495
1623/256, 1
163/32, 64
163/50, 17
163840/65536, 26
164/32, 164
165/32, 62
165548/65536, 4
165888/65536, 2
166/100, 15
16799/2428, 3
1685/256, 2
169/100, 71
1695994/1000000, 64
1695999/1000000, 8
17/10, 13
17/5, 176
170/100, 9
170/32, 1804
171/32, 124
172032/65536, 273
173/25, 1
173/32, 24
173268/65536, 121
174/32, 2
174080/65536, 4
174775/65536, 2
176/32, 21
178/25, 2
178/32, 53
17819/2825, 1
17882/4947, 1
179/32, 4
1793/256, 1
180/32, 12
1806/256, 1
180684/65536, 78
181/32, 5357
182/32, 4
1820/256, 1
183/32, 3
18325/3649, 8
1833/256, 2
184/32, 148
1848/500, 1
185/32, 66
18500/100, 16
1851998/1000000, 92
187/32, 5
187821/65536, 290
188/32, 21
189/32, 3
19/10, 701
19/5, 1
190/100, 91
190464/65536, 3
191/32, 179
191/50, 1
192/32, 10590
193/100, 621
194/32, 2
194560/65536, 17
194694/65534, 4
194697/65536, 69
194698/65536, 2601
195/32, 3
196608/65536, 4513
2/1, 707
20/10, 85
200/100, 1829
200000/100000, 197
2000000/1000000, 5284
200704/65536, 1
201/32, 6
201334/65536, 43
20173/5713, 1
203/32, 1621
20329/4008, 1
207/32, 1
207744/65536, 1
20914/5137, 1
21/10, 62
21/8, 4
211/100, 50
21157/3257, 8
213/32, 927
213945/65536, 4
217/50, 2
219136/65536, 3
219944/65534, 2
219948/65536, 292
22/10, 35
22/100, 294
220/100, 155
221/100, 25
221/32, 446
221184/65536, 1254
225767/65536, 76
227/100, 3708
227/32, 6
2275/1000, 12
227500/100000, 20
2275007/1000000, 1146
228/100, 4091
229376/65536, 25
23/10, 101
23/5, 43
23/8, 1
230/100, 58
230000/100000, 12
23029/4196, 4
231412/65536, 4
233985/100000, 218
23673/3734, 1
236890/65534, 2
236894/65536, 3347
237/32, 330
237568/65536, 6439
24/10, 15
24/8, 3
240/100, 222
240000/100000, 413
242/100, 1
242221/65536, 37
24361/8200, 7
244/32, 152
245/100, 119
24580/1, 1
24581/1, 1
24582/1, 1
246/32, 1
247402/65536, 5
25/10, 869
250/100, 16
25121/4114, 1
252/100, 2180
252445/65536, 8
252600/100000, 350
252606/100000, 311
2526068/1000000, 741
2526069/1000000, 21
25261/10000, 3
253/100, 460
255/100, 1117
256/32, 27
257356/65536, 5
259/100, 29
26/10, 834
260/100, 56
2617/1036, 5
262/32, 1
262144/65536, 17811
262145/131072, 12
263/100, 1
264/100, 44
26438/10000, 27
2643856/1000000, 1
265/100, 26
266/100, 2
2663/1000, 1
266813/65536, 5
267/32, 7
27/10, 25
27/5, 26
27/8, 2
27077/5287, 1
271370/65536, 14
2729/549, 1
275/100, 2152
2756/1000, 5
2757/1000, 70
275700/100000, 1
27573/10000, 47
275820/65536, 8
276/100, 9492
277/32, 2
279/100, 28
28/10, 536
28/28, 1
280/100, 3109
280167/65536, 2
281/100, 11173
28102/10000, 422
28119/10000, 2
283/100, 65
284416/65536, 3471
284672/65536, 8
286/100, 1097
2865919/1000000, 5
2866/1000, 98
