ifds_CompressedBitsPerPixel ,Count
, 510172
-1000/200, 31
0, 1
0/0, 4161
0/1, 3185
0/100, 25
0/1000000, 89
1/0, 70
1/1, 16834
10/1, 40
10/10, 28
10000240/5038848, 1
10000504/4915200, 1
10000832/5038848, 1
10001336/5038848, 1
10001504/4085760, 1
10001680/5947392, 1
10002360/4915200, 1
10002584/5038848, 1
10002984/5038848, 1
10003248/4915200, 1
10003248/5038848, 1
10003416/4915200, 1
1000395/393216, 1
10003968/4915200, 1
10004192/5038848, 1
10004248/5038848, 1
10004440/5038848, 1
10004504/5038848, 1
10004640/4915200, 1
10004896/5038848, 1
10005144/4915200, 1
10005408/5038848, 1
10005432/4915200, 1
10005576/5038848, 1
10005784/5038848, 1
10005888/4915200, 1
10005944/5038848, 1
10006072/4085760, 1
10006360/4915200, 1
10006400/5028352, 1
10006624/3145728, 1
10006800/7990272, 1
10007456/4915200, 1
10007952/4915200, 1
10008384/4915200, 1
10008688/7077888, 1
10008752/5038848, 1
10008984/5038848, 1
10009056/4915200, 1
10009240/5038848, 2
10009304/5038848, 1
10009456/4915200, 1
10009464/5038848, 1
10009584/5038848, 1
10009680/5038848, 1
10009896/4085760, 1
10009984/4085760, 1
10010160/5038848, 1
10010232/5038848, 1
10010488/4085760, 1
10010576/5038848, 1
10010608/5038848, 1
10010656/5038848, 1
10011072/4915200, 1
10011160/4915200, 1
10011216/4915200, 1
10011824/4915200, 1
10011896/5038848, 1
10011912/4915200, 1
10011920/4915200, 1
10011928/5038848, 1
10011936/5038848, 1
10012104/5038848, 1
10012200/5038848, 1
10012648/5038848, 1
10012720/5038848, 1
10012904/5038848, 1
10013024/5038848, 1
10013336/5038848, 1
10013568/5038848, 1
10014064/5038848, 1
10014496/4085760, 1
10014680/4915200, 1
10015104/3871488, 1
10015280/5038848, 1
10015288/5038848, 1
10015304/4915200, 1
10015360/5038848, 1
10015368/4085760, 1
10015624/5038848, 1
10015928/5038848, 1
10015992/5038848, 1
10016000/5038848, 1
10016104/5038848, 1
10016200/4915200, 1
10016248/4915200, 1
10016392/4085760, 1
10016456/5038848, 1
10016504/4915200, 1
10017568/5038848, 1
10017616/5038848, 1
10017664/4915200, 1
10017856/5038848, 1
10017928/7077888, 1
10018072/5038848, 1
10018192/4085760, 1
10018328/5038848, 2
10018456/4915200, 1
10018648/5038848, 1
10018936/5038848, 1
1001944/786432, 1
10019552/5038848, 1
10019856/5038848, 2
10020/3821, 1
10020472/4915200, 1
10020560/4915200, 1
10020600/5038848, 1
10020832/5038848, 1
10020952/4915200, 1
10021144/5038848, 1
10021200/4915200, 1
10021256/5038848, 1
10021264/5038848, 1
10021304/4915200, 1
10021448/4915200, 1
1002159/663552, 1
10021800/5038848, 1
10021976/5038848, 1
10022408/5038848, 1
10022840/5038848, 1
10022880/4085760, 1
10022880/7485696, 1
10022888/4915200, 1
1002334/663552, 1
10023584/5038848, 1
10023600/5038848, 1
1002368/786432, 1
10023872/4915200, 1
10024192/5038848, 1
10024248/5038848, 1
10024328/4915200, 1
10024560/5038848, 1
10024576/5038848, 1
10024776/5038848, 1
10025104/4915200, 1
10025152/5038848, 1
10025168/5038848, 1
10025416/4915200, 1
10025736/5038848, 1
10025784/5038848, 1
10025832/5038848, 1
10025952/5038848, 1
10026136/5038848, 1
10026248/5038848, 1
10026440/5038848, 1
10026496/4085760, 1
10026712/4915200, 1
10026872/5038848, 1
10027256/5038848, 1
10027264/5038848, 1
10027360/5038848, 1
10027504/5038848, 1
10028040/5038848, 1
10028048/5038848, 1
10028344/5038848, 1
10028632/5038848, 1
10029272/4085760, 1
10029280/5038848, 1
10029528/4915200, 1
10029736/5038848, 1
10029816/5038848, 1
10029824/4085760, 1
10029864/4915200, 1
10030016/4085760, 1
10030032/5038848, 1
10030040/5038848, 1
10030312/5038848, 1
10030440/4915200, 1
1003064/786432, 1
10030984/9980928, 1
10031072/4085760, 1
10031088/4915200, 1
10031824/5038848, 1
10031880/2601440, 1
10032216/5038848, 1
10032448/4915200, 1
10032632/5038848, 1
10032896/4915200, 1
10033000/4915200, 1
10033008/7485696, 1
10033200/4085760, 1
1003328/786432, 1
10033592/5038848, 1
10033664/13996800, 1
10033904/5038848, 1
10033984/7077888, 1
10034096/5038848, 1
10034184/5038848, 1
10034248/4915200, 1
10034288/4915200, 1
10034344/5038848, 1
10034584/5038848, 1
10034800/5038848, 1
10034936/5038848, 1
10034952/4915200, 1
10035032/5038848, 1
10035168/7485696, 1
10035336/4915200, 1
10035376/4085760, 1
10035592/4915200, 1
10035848/5038848, 1
10035856/4915200, 1
10036160/4915200, 1
10036224/4915200, 1
10036400/5038848, 1
10036560/5038848, 1
10037112/5038848, 1
10037216/5038848, 1
10038296/5038848, 1
10038304/4915200, 1
10038472/5038848, 1
10038536/4915200, 1
10038744/7990272, 1
10039208/5038848, 1
1003936/393216, 1
10040768/4915200, 1
10041064/5038848, 1
10041120/4915200, 1
10041200/4085760, 1
10041224/5038848, 1
10041648/4085760, 1
