ifds_Contrast ,Count
, 755710
0, 582858
1, 13566
10000, 1
10528, 1
10784, 1
11664, 1
11888, 1
12992, 1
14624, 1
14736, 1
19888, 1
2, 28729
2416, 2
25, 3
2560, 1
2688, 1
2704, 3
2752, 1
2768, 1
2784, 2
2832, 1
2912, 2
2976, 1
2992, 1
3104, 1
3184, 1
3232, 1
3360, 1
3472, 2
3536, 1
3744, 1
3760, 1
3872, 1
3936, 1
3952, 1
3968, 1
4016, 1
4032, 1
4048, 3
4352, 1
4496, 1
4528, 1
4704, 1
4800, 1
50912, 1
51072, 2
51344, 1
51600, 1
51760, 1
51840, 1
51936, 1
5200, 1
52000, 1
52160, 2
52240, 1
52352, 1
52448, 1
5248, 1
52672, 1
52736, 1
53040, 1
53104, 1
5312, 1
53168, 1
5376, 1
55568, 1
5616, 1
5632, 1
5648, 1
5840, 1
5872, 1
5904, 1
5952, 1
6000, 1
6032, 1
6080, 1
6128, 1
6144, 1
6176, 1
6208, 1
62464, 1
6368, 1
6448, 2
6576, 1
6800, 1
6848, 1
6880, 1
6992, 1
7040, 1
7088, 1
7152, 1
7216, 1
7280, 1
7328, 1
7344, 1
7408, 1
7440, 2
7456, 1
7520, 1
7536, 1
7584, 1
7824, 1
7872, 1
7888, 2
7904, 1
7936, 1
7952, 1
8016, 1
8032, 1
8040, 1
8048, 1
8448, 1
8800, 1
8848, 1
8928, 1
9232, 1
9616, 1
9936, 1
9968, 1
