ifds_DeviceSettingDescription ,Count
, 1368628
0x[00000000], 4540
0x[00010001 20203631 41302020, 110
0x[00010001 20203731 41302020, 3
0x[00010002 20203631 41302020, 127
0x[00010002 20203731 41302020, 3
0x[00010004 20202030 41302020, 1
0x[00010005 20202030 41302020, 42
0x[0001000F 20202030 41302020, 96
0x[00], 246
0x[01000F00 30303030 41303030, 1960
0x[01001300 20202030 41302020, 35
0x[01002B00 30303030 41303030, 90
0x[45D8D7F3 00040000], 1
0x[650DBCF3 00040000], 3
0x[B6E2D7F3 00040000], 2
0x[B8D7D7F3 00040000], 1
0x[], 5104
5000, 5006, 103, 1, 64, 781, , 1
5000, 5006, 112, 1, 53, 130, , 1
