ifds_DigitalZoomRatio ,Count
, 636948
-1/-1, 493
-1/-2049, 1
-1043659800/1000, 1
-16385/-2049, 1
-4097/-8388609, 1
-750803710/809852081, 1
-750811902/809852081, 1
0/0, 31611
0/1, 10235
0/10, 117107
0/100, 104549
0/1000, 8
0/1000000, 2901
0/1024, 20
0/15, 11
0/16, 1768
0/16777216, 6
0/2144, 1
0/2304, 40
0/31, 10
0/3648, 33
0/40, 4
0/65536, 310
0/65538, 13
1/0, 874
1/1, 112375
1/10, 1
1/110, 18
1/12, 194
10/1, 1
10/10, 12175
100/100, 96751
1000/1000, 573
10000/100, 1031
10000/10000, 1970
1000000/1000000, 40
1001/331, 2
10032/4897, 1
1005/227, 1
10057/2264, 1
101/100, 5
101/45, 2
101/53, 2
101/65, 1
101/75, 2
1010/341, 1
1013/371, 4
1013/442, 1
10133/2276, 1
1015/333, 1
1015/566, 1
10151/4393, 1
1017/331, 1
1017/371, 1
1018/513, 1
10180/5723, 5
1019/331, 1
102/100, 8
102/101, 2
102/23, 3
102/25, 3
102/29, 7
102/31, 15
102/35, 1
102/37, 4
102/41, 3
102/43, 6
102/47, 6
102/49, 4
102/53, 6
102/55, 3
102/59, 5
102/60, 20
102/61, 7
102/65, 4
102/67, 2
102/71, 2
102/77, 4
102/79, 3
102/97, 1
1020/1024, 6
1021/325, 1
1021795/1000000, 1
10219/4900, 1
1022509/1000000, 5
1023/325, 2
1024/1003, 1
1024/1024, 5709
1024/256, 11
1024/307, 1
1024/327, 1
1024/333, 1
1024/345, 1
1024/423, 1
1024/431, 1
1024/445, 2
1024/465, 1
1024/467, 3
1024/511, 1
1024/527, 4
1024/591, 2
1024/657, 2
1024/711, 3
1024/715, 1
1024/793, 1
1024/827, 2
1024/832, 2
1024/877, 1
10240/7257, 1
1025/752, 1
10253/4358, 1
10259/4371, 1
1027/333, 1
1027/430, 1
1027/849, 1
10277/3121, 2
102892/65535, 18
102892/65536, 2
1029/331, 2
10299/6662, 1
103/100, 8
103/37, 2
103/73, 1
103/84, 12
1031/333, 2
1031/929, 1
1033/675, 1
10333/5574, 1
10339/2434, 1
10347/4541, 1
10355/2556, 3
10357/2870, 1
1036/256, 5
104/100, 113
1040/100, 1
10400/100, 1
10429/2649, 1
1045/331, 1
1046753/1000000, 13
10468/4989, 6
1047/331, 1
1049/462, 2
105/100, 20
1051/737, 1
1052/809, 1
10523/7612, 1
10546/3513, 1
1055/693, 1
10550/6603, 1
1057/219, 1
10574/3797, 1
10581/3317, 1
106/100, 8
10601/5206, 1
10609/4846, 1
1061/1000, 10
106168/65535, 11
106168/65536, 1
106213/65535, 2
1063/331, 3
10632/8291, 1
106496/65536, 1
10664/4453, 1
10669/2365, 1
1067/567, 2
10685/6469, 1
10687/8183, 1
107/100, 115
107/37, 1
1071/331, 1
1071443/1000000, 15
10729/4535, 1
10729/7342, 1
1073/724, 1
1073/839, 1
1073/867, 1
1073741824/1073741824, 23
1075/707, 1
1077/371, 2
10772/3903, 2
10778/4529, 1
1079/1030, 1
108/100, 18
108/101, 4
108/29, 1
108/43, 3
108/89, 1
108/97, 1
1080/1079, 52
10801/6290, 1
1081/331, 1
10822/4229, 1
1084/535, 1
10853/7266, 1
1087/331, 1
10871/6096, 1
109/100, 15
109/45, 1
109/73, 2
1090/507, 1
1091/1065, 1
1091/237, 1
10910/6061, 1
1092/1024, 1
1093/225, 1
1093/331, 1
1093/84, 1
10931/5472, 1
10940/4907, 1
10945/4513, 1
1095969/1000000, 4
