ifds_ExifImageHeight ,Count
, 6540
0, 551
0x[00000000] / 0, 6559
0x[00000001] / 1, 927
0x[00000078] / 120, 31
0x[00000080] / 128, 1
0x[00000087] / 135, 2
0x[00000088] / 136, 1
0x[00000097] / 151, 1
0x[000000A0] / 160, 1
0x[000000B0] / 176, 1
0x[000000B4] / 180, 2
0x[000000B7] / 183, 1
0x[000000C5] / 197, 1
0x[000000C8] / 200, 5
0x[000000D0] / 208, 1
0x[000000D8] / 216, 1
0x[000000EC] / 236, 1
0x[000000EF] / 239, 1
0x[000000F0] / 240, 524
0x[000000F1] / 241, 1
0x[000000FA] / 250, 1
0x[000000FB] / 251, 2
0x[00000100] / 256, 1
0x[00000104] / 260, 2
0x[0000010A] / 266, 1
0x[00000110] / 272, 1
0x[0000011A] / 282, 1
0x[00000120] / 288, 3
0x[0000012B] / 299, 2
0x[0000012C] / 300, 6
0x[00000130] / 304, 1
0x[00000138] / 312, 1
0x[00000139] / 313, 1
0x[0000013C] / 316, 3
0x[00000140] / 320, 151
0x[00000142] / 322, 3
0x[00000144] / 324, 1
0x[0000014A] / 330, 1
0x[0000014E] / 334, 2
0x[00000150] / 336, 6
0x[00000151] / 337, 1
0x[00000152] / 338, 3
0x[00000156] / 342, 1
0x[00000158] / 344, 1
0x[0000015C] / 348, 1
0x[0000015E] / 350, 2
0x[00000160] / 352, 1
0x[00000163] / 355, 1
0x[00000166] / 358, 2
0x[00000168] / 360, 47
0x[00000169] / 361, 2
0x[0000016A] / 362, 1
0x[0000016B] / 363, 1
0x[0000016C] / 364, 1
0x[00000170] / 368, 5
0x[00000172] / 370, 1
0x[00000173] / 371, 1
0x[00000174] / 372, 1
0x[00000176] / 374, 1
0x[00000177] / 375, 45
0x[00000178] / 376, 1
0x[00000179] / 377, 1
0x[0000017D] / 381, 1
0x[00000180] / 384, 65
0x[00000181] / 385, 1
0x[00000185] / 389, 1
0x[00000186] / 390, 1
0x[00000188] / 392, 1
0x[0000018A] / 394, 3
0x[0000018C] / 396, 3
0x[0000018D] / 397, 1
0x[0000018F] / 399, 7
0x[00000190] / 400, 23
0x[00000192] / 402, 4
0x[00000193] / 403, 2
0x[00000195] / 405, 1
0x[00000198] / 408, 26
0x[0000019D] / 413, 4
0x[0000019F] / 415, 1
0x[000001A0] / 416, 74
0x[000001A1] / 417, 2
0x[000001A2] / 418, 1
0x[000001A4] / 420, 1
0x[000001A5] / 421, 3
0x[000001A6] / 422, 4
0x[000001A7] / 423, 1
0x[000001A8] / 424, 7
0x[000001A9] / 425, 7
0x[000001AA] / 426, 6
0x[000001AB] / 427, 10
0x[000001AD] / 429, 1
0x[000001AE] / 430, 6
0x[000001AF] / 431, 1
0x[000001B0] / 432, 89
0x[000001B1] / 433, 4
0x[000001B3] / 435, 1
0x[000001B4] / 436, 1
0x[000001B6] / 438, 2
0x[000001B8] / 440, 1
0x[000001B9] / 441, 1
0x[000001BA] / 442, 1
0x[000001BC] / 444, 2
0x[000001BE] / 446, 1
0x[000001C0] / 448, 32
0x[000001C1] / 449, 1
0x[000001C2] / 450, 103
0x[000001C3] / 451, 1
0x[000001C4] / 452, 6
0x[000001C5] / 453, 2
0x[000001C8] / 456, 3
0x[000001CA] / 458, 2
0x[000001CC] / 460, 2
0x[000001CD] / 461, 6
0x[000001CF] / 463, 2
0x[000001D0] / 464, 26
0x[000001D3] / 467, 3
0x[000001D4] / 468, 1
0x[000001D5] / 469, 2
0x[000001D8] / 472, 4
0x[000001D9] / 473, 1
0x[000001DA] / 474, 2
0x[000001DB] / 475, 3
0x[000001DC] / 476, 1
0x[000001DE] / 478, 1
0x[000001DF] / 479, 8
0x[000001E0] / 480, 12402
0x[000001E3] / 483, 2
0x[000001E4] / 484, 1
0x[000001E5] / 485, 2
0x[000001E6] / 486, 4
0x[000001E7] / 487, 1
0x[000001E8] / 488, 20
0x[000001EA] / 490, 2
0x[000001ED] / 493, 2
0x[000001EE] / 494, 1
0x[000001EF] / 495, 2
0x[000001F0] / 496, 4
0x[000001F2] / 498, 3
0x[000001F3] / 499, 3
0x[000001F4] / 500, 56
0x[000001F5] / 501, 1
0x[000001F6] / 502, 91
0x[000001F8] / 504, 2
0x[000001F9] / 505, 1
0x[000001FA] / 506, 1
0x[000001FB] / 507, 25
0x[000001FC] / 508, 3
0x[000001FD] / 509, 2
0x[000001FE] / 510, 214
0x[00000200] / 512, 17
0x[00000201] / 513, 1
0x[00000202] / 514, 3
0x[00000203] / 515, 1
0x[00000205] / 517, 1
0x[00000206] / 518, 12
0x[00000207] / 519, 2
0x[0000020A] / 522, 4
0x[0000020B] / 523, 2
0x[0000020C] / 524, 10
0x[0000020D] / 525, 32
0x[0000020E] / 526, 2
0x[0000020F] / 527, 1
0x[00000210] / 528, 3
0x[00000211] / 529, 7
0x[00000212] / 530, 4
0x[00000213] / 531, 1
0x[00000214] / 532, 5
0x[00000215] / 533, 22
0x[00000216] / 534, 9
0x[00000217] / 535, 5
0x[00000218] / 536, 8
0x[0000021A] / 538, 2
0x[0000021B] / 539, 5
0x[0000021C] / 540, 1
0x[0000021E] / 542, 3
0x[0000021F] / 543, 6
0x[00000220] / 544, 607
0x[00000221] / 545, 1
0x[00000222] / 546, 2
0x[00000223] / 547, 1
0x[00000224] / 548, 2
0x[00000225] / 549, 1
0x[00000226] / 550, 2
0x[00000227] / 551, 2
0x[00000228] / 552, 1
0x[00000229] / 553, 2
0x[0000022B] / 555, 2
0x[0000022C] / 556, 2
0x[0000022D] / 557, 1
0x[0000022E] / 558, 2
0x[0000022F] / 559, 1
0x[00000230] / 560, 28
0x[00000232] / 562, 6
0x[00000233] / 563, 73
0x[00000235] / 565, 4
0x[00000236] / 566, 3
0x[00000237] / 567, 2
0x[0000023A] / 570, 2
0x[0000023B] / 571, 2
0x[0000023C] / 572, 3
0x[0000023D] / 573, 3
0x[0000023E] / 574, 1
0x[0000023F] / 575, 5
0x[00000240] / 576, 21
0x[00000241] / 577, 3
0x[00000242] / 578, 2
0x[00000243] / 579, 2
0x[00000244] / 580, 1
0x[00000246] / 582, 1
0x[00000247] / 583, 1
0x[00000248] / 584, 4
0x[00000249] / 585, 17
0x[0000024A] / 586, 3
0x[0000024B] / 587, 2
0x[0000024C] / 588, 1
0x[0000024D] / 589, 2
0x[0000024E] / 590, 1
0x[00000250] / 592, 4
0x[00000251] / 593, 2
0x[00000252] / 594, 1
0x[00000253] / 595, 3
0x[00000255] / 597, 4
0x[00000256] / 598, 4
0x[00000257] / 599, 7
0x[00000258] / 600, 1011
0x[00000259] / 601, 2
0x[0000025A] / 602, 6
0x[0000025B] / 603, 2
0x[0000025C] / 604, 6
0x[0000025D] / 605, 3
0x[0000025E] / 606, 18
0x[0000025F] / 607, 1
0x[00000260] / 608, 15
0x[00000261] / 609, 2
0x[00000262] / 610, 1
0x[00000264] / 612, 1
0x[00000265] / 613, 5
0x[00000266] / 614, 1
0x[00000267] / 615, 6
0x[00000268] / 616, 1
0x[00000269] / 617, 2
0x[0000026A] / 618, 1
0x[0000026B] / 619, 1
0x[0000026C] / 620, 6
0x[0000026E] / 622, 3
0x[0000026F] / 623, 2
0x[00000270] / 624, 14
0x[00000271] / 625, 2
0x[00000273] / 627, 2
0x[00000274] / 628, 2
0x[00000275] / 629, 1
0x[00000276] / 630, 118
0x[00000277] / 631, 1
0x[00000278] / 632, 2
0x[00000279] / 633, 3
0x[0000027A] / 634, 1
0x[0000027B] / 635, 1
0x[0000027C] / 636, 5
0x[0000027E] / 638, 4
0x[0000027F] / 639, 4
0x[00000280] / 640, 920
0x[00000281] / 641, 4
0x[00000282] / 642, 1
0x[00000283] / 643, 2
0x[00000286] / 646, 2
0x[00000288] / 648, 2
0x[0000028A] / 650, 11
0x[0000028B] / 651, 2
0x[0000028C] / 652, 3
0x[0000028D] / 653, 4
0x[0000028E] / 654, 1
0x[0000028F] / 655, 1
0x[00000290] / 656, 1
0x[00000291] / 657, 3
0x[00000292] / 658, 4
0x[00000296] / 662, 28
0x[00000298] / 664, 3
0x[00000299] / 665, 8
0x[0000029A] / 666, 1
0x[0000029B] / 667, 7
0x[0000029C] / 668, 2
0x[0000029D] / 669, 1
0x[0000029E] / 670, 2
0x[0000029F] / 671, 1
0x[000002A0] / 672, 13
0x[000002A1] / 673, 2
0x[000002A3] / 675, 14
0x[000002A5] / 677, 1
0x[000002A6] / 678, 2
0x[000002A7] / 679, 1
0x[000002A8] / 680, 7
0x[000002A9] / 681, 2
0x[000002AA] / 682, 4
0x[000002AB] / 683, 5
0x[000002AC] / 684, 3
0x[000002AD] / 685, 4
0x[000002AF] / 687, 2
0x[000002B0] / 688, 1
0x[000002B1] / 689, 1
0x[000002B2] / 690, 1
0x[000002B3] / 691, 3
0x[000002B4] / 692, 1
0x[000002B6] / 694, 3
0x[000002B7] / 695, 3
0x[000002B8] / 696, 1
0x[000002B9] / 697, 2
0x[000002BA] / 698, 2
0x[000002BB] / 699, 1
0x[000002BC] / 700, 18
0x[000002BF] / 703, 1
0x[000002C0] / 704, 5
0x[000002C2] / 706, 3
0x[000002C4] / 708, 5
0x[000002C5] / 709, 3
0x[000002C6] / 710, 3
0x[000002C8] / 712, 1
0x[000002C9] / 713, 2
0x[000002CC] / 716, 1
0x[000002CD] / 717, 1
0x[000002CE] / 718, 1
0x[000002CF] / 719, 1
0x[000002D0] / 720, 388
0x[000002D1] / 721, 1
0x[000002D4] / 724, 2
0x[000002D5] / 725, 3
0x[000002D6] / 726, 119
0x[000002D8] / 728, 1
0x[000002DA] / 730, 1
0x[000002DC] / 732, 2
0x[000002DD] / 733, 4
0x[000002E0] / 736, 116
0x[000002E1] / 737, 1
0x[000002E2] / 738, 2
0x[000002E5] / 741, 2
0x[000002E8] / 744, 6
0x[000002E9] / 745, 2
0x[000002EC] / 748, 3
0x[000002ED] / 749, 2
0x[000002EE] / 750, 56
0x[000002F0] / 752, 2
0x[000002F1] / 753, 3
0x[000002F8] / 760, 16
0x[000002F9] / 761, 3
0x[000002FA] / 762, 3
0x[000002FC] / 764, 1
0x[000002FD] / 765, 2
0x[000002FF] / 767, 2
0x[00000300] / 768, 7907
0x[00000301] / 769, 10
0x[00000302] / 770, 1
0x[00000303] / 771, 1
0x[00000304] / 772, 2
0x[00000306] / 774, 2
0x[00000308] / 776, 3
0x[00000309] / 777, 6
0x[0000030A] / 778, 8
0x[0000030B] / 779, 1
0x[0000030C] / 780, 6
0x[0000030D] / 781, 3
0x[0000030E] / 782, 1
0x[0000030F] / 783, 1
0x[00000310] / 784, 6
0x[00000312] / 786, 1
0x[00000313] / 787, 2
0x[00000315] / 789, 1
0x[00000316] / 790, 2
0x[00000318] / 792, 5
0x[00000319] / 793, 1
0x[0000031B] / 795, 5
0x[0000031C] / 796, 10
0x[0000031D] / 797, 2
0x[0000031F] / 799, 6
0x[00000320] / 800, 163
0x[00000321] / 801, 2
0x[00000323] / 803, 1
0x[00000324] / 804, 117
0x[00000325] / 805, 2
0x[00000326] / 806, 1
0x[00000327] / 807, 8
0x[00000328] / 808, 3
0x[0000032A] / 810, 46
0x[0000032C] / 812, 2
0x[0000032F] / 815, 2
0x[00000330] / 816, 4
0x[00000331] / 817, 1
0x[00000332] / 818, 5
0x[00000334] / 820, 7
0x[00000336] / 822, 1
0x[00000337] / 823, 1
0x[00000338] / 824, 2
0x[00000339] / 825, 1
0x[0000033A] / 826, 71
0x[0000033B] / 827, 2
0x[0000033C] / 828, 16
0x[0000033D] / 829, 1
0x[0000033F] / 831, 1
0x[00000340] / 832, 1
0x[00000341] / 833, 1
0x[00000343] / 835, 1
0x[00000344] / 836, 2
0x[00000346] / 838, 1
0x[00000347] / 839, 17
0x[00000348] / 840, 420
0x[00000349] / 841, 3
0x[0000034A] / 842, 17
0x[0000034B] / 843, 4
0x[0000034C] / 844, 1
0x[0000034D] / 845, 8
0x[0000034E] / 846, 9
0x[0000034F] / 847, 2
0x[00000350] / 848, 3
0x[00000352] / 850, 1
0x[00000353] / 851, 17
0x[00000354] / 852, 9
0x[00000355] / 853, 2
0x[00000356] / 854, 2
0x[00000357] / 855, 2
0x[00000358] / 856, 4
0x[00000359] / 857, 2
0x[0000035A] / 858, 1
0x[0000035B] / 859, 1
0x[0000035C] / 860, 2
0x[0000035D] / 861, 2
0x[0000035E] / 862, 1
0x[0000035F] / 863, 3
0x[00000360] / 864, 275
0x[00000363] / 867, 1
0x[00000365] / 869, 3
0x[00000366] / 870, 2
0x[00000367] / 871, 1
0x[0000036A] / 874, 1
0x[0000036C] / 876, 1
0x[0000036D] / 877, 1
0x[00000370] / 880, 6
0x[00000371] / 881, 2
0x[00000372] / 882, 1
0x[00000373] / 883, 1
0x[00000374] / 884, 2
0x[00000376] / 886, 1
0x[00000378] / 888, 3
0x[0000037C] / 892, 1
0x[0000037D] / 893, 2
0x[0000037F] / 895, 1
0x[00000380] / 896, 13
0x[00000383] / 899, 2
0x[00000384] / 900, 85
