ifds_ExifImageWidth ,Count
, 6540
0, 551
0x[00000000] / 0, 6559
0x[00000001] / 1, 927
0x[00000077] / 119, 1
0x[00000085] / 133, 1
0x[000000A0] / 160, 32
0x[000000B0] / 176, 1
0x[000000B6] / 182, 1
0x[000000C8] / 200, 1
0x[000000CB] / 203, 2
0x[000000DE] / 222, 1
0x[000000DF] / 223, 1
0x[000000E1] / 225, 1
0x[000000E6] / 230, 1
0x[000000F0] / 240, 157
0x[000000F6] / 246, 1
0x[0000010A] / 266, 1
0x[0000010D] / 269, 1
0x[00000114] / 276, 1
0x[0000011A] / 282, 1
0x[00000121] / 289, 1
0x[00000126] / 294, 1
0x[0000012C] / 300, 4
0x[00000137] / 311, 1
0x[00000138] / 312, 2
0x[0000013A] / 314, 4
0x[0000013B] / 315, 2
0x[0000013C] / 316, 2
0x[0000013F] / 319, 2
0x[00000140] / 320, 187
0x[00000141] / 321, 1
0x[00000144] / 324, 1
0x[0000014C] / 332, 1
0x[0000014E] / 334, 2
0x[00000152] / 338, 2
0x[00000154] / 340, 1
0x[00000156] / 342, 1
0x[00000157] / 343, 1
0x[00000158] / 344, 1
0x[0000015B] / 347, 1
0x[0000015F] / 351, 1
0x[00000160] / 352, 1
0x[00000165] / 357, 1
0x[00000166] / 358, 1
0x[00000168] / 360, 10
0x[0000016C] / 364, 1
0x[0000016F] / 367, 1
0x[00000170] / 368, 1
0x[00000173] / 371, 1
0x[00000176] / 374, 1
0x[00000177] / 375, 24
0x[00000178] / 376, 3
0x[0000017B] / 379, 2
0x[0000017C] / 380, 1
0x[00000180] / 384, 19
0x[00000181] / 385, 1
0x[00000182] / 386, 1
0x[00000183] / 387, 1
0x[0000018A] / 394, 1
0x[0000018B] / 395, 1
0x[0000018E] / 398, 1
0x[00000190] / 400, 361
0x[00000194] / 404, 1
0x[00000198] / 408, 1
0x[0000019C] / 412, 1
0x[0000019E] / 414, 1
0x[000001A0] / 416, 5
0x[000001A6] / 422, 3
0x[000001A8] / 424, 2
0x[000001A9] / 425, 3
0x[000001AB] / 427, 1
0x[000001AD] / 429, 1
0x[000001AE] / 430, 2
0x[000001B0] / 432, 6
0x[000001B1] / 433, 1
0x[000001B3] / 435, 1
0x[000001B5] / 437, 1
0x[000001C0] / 448, 14
0x[000001C1] / 449, 1
0x[000001C2] / 450, 19
0x[000001C4] / 452, 1
0x[000001C5] / 453, 1
0x[000001C6] / 454, 1
0x[000001CC] / 460, 4
0x[000001CD] / 461, 5
0x[000001D0] / 464, 3
0x[000001D1] / 465, 1
0x[000001D2] / 466, 1
0x[000001DA] / 474, 2
0x[000001DC] / 476, 2
0x[000001DD] / 477, 2
0x[000001DF] / 479, 3
0x[000001E0] / 480, 901
0x[000001E2] / 482, 1
0x[000001E5] / 485, 1
0x[000001E6] / 486, 1
0x[000001E7] / 487, 1
0x[000001E8] / 488, 7
0x[000001EC] / 492, 2
0x[000001ED] / 493, 1
0x[000001EE] / 494, 2
0x[000001EF] / 495, 2
0x[000001F2] / 498, 1
0x[000001F3] / 499, 3
0x[000001F4] / 500, 82
0x[000001F5] / 501, 1
0x[000001F6] / 502, 27
0x[000001F7] / 503, 1
0x[000001F8] / 504, 1
0x[000001F9] / 505, 1
0x[000001FB] / 507, 15
0x[000001FD] / 509, 2
0x[000001FE] / 510, 2
0x[00000200] / 512, 58
0x[00000202] / 514, 1
0x[00000203] / 515, 1
0x[00000205] / 517, 1
0x[00000206] / 518, 1
0x[00000208] / 520, 1
0x[0000020A] / 522, 3
0x[0000020B] / 523, 1
0x[0000020C] / 524, 5
0x[0000020D] / 525, 14
0x[0000020E] / 526, 2
0x[00000210] / 528, 2
0x[00000214] / 532, 1
0x[00000215] / 533, 11
0x[00000217] / 535, 1
0x[00000218] / 536, 2
0x[00000219] / 537, 1
0x[0000021A] / 538, 1
0x[0000021B] / 539, 2
0x[0000021C] / 540, 3
0x[0000021F] / 543, 1
0x[00000220] / 544, 27
0x[00000222] / 546, 2
0x[00000224] / 548, 3
0x[00000226] / 550, 5
0x[00000227] / 551, 1
0x[00000229] / 553, 1
0x[0000022A] / 554, 1
0x[0000022D] / 557, 1
0x[0000022E] / 558, 1
0x[0000022F] / 559, 1
0x[00000232] / 562, 4
0x[00000233] / 563, 2
0x[00000234] / 564, 1
0x[00000235] / 565, 1
0x[00000237] / 567, 1
0x[00000238] / 568, 1
0x[00000239] / 569, 1
0x[0000023A] / 570, 4
0x[0000023B] / 571, 1
0x[0000023E] / 574, 1
0x[0000023F] / 575, 1
0x[00000240] / 576, 17
0x[00000241] / 577, 1
0x[00000242] / 578, 1
0x[00000245] / 581, 1
0x[00000247] / 583, 6
0x[0000024A] / 586, 1
0x[0000024B] / 587, 1
0x[0000024E] / 590, 1
0x[00000252] / 594, 1
0x[00000253] / 595, 2
0x[00000255] / 597, 3
0x[00000256] / 598, 1
0x[00000257] / 599, 3
0x[00000258] / 600, 253
0x[00000259] / 601, 1
0x[0000025C] / 604, 1
0x[0000025D] / 605, 1
0x[0000025E] / 606, 1
0x[0000025F] / 607, 1
0x[00000260] / 608, 3
0x[00000264] / 612, 1
0x[00000265] / 613, 1
0x[00000266] / 614, 8
0x[00000267] / 615, 1
0x[00000268] / 616, 4
0x[00000269] / 617, 1
0x[0000026A] / 618, 2
0x[0000026C] / 620, 4
0x[0000026E] / 622, 3
0x[0000026F] / 623, 1
0x[00000270] / 624, 1
0x[00000274] / 628, 1
0x[00000275] / 629, 1
0x[00000276] / 630, 17
0x[0000027F] / 639, 2
0x[00000280] / 640, 12333
0x[00000282] / 642, 1
0x[00000283] / 643, 1
0x[00000284] / 644, 2
0x[00000285] / 645, 1
0x[00000286] / 646, 1
0x[00000288] / 648, 6
0x[00000289] / 649, 1
0x[0000028A] / 650, 28
0x[0000028D] / 653, 1
0x[0000028E] / 654, 2
0x[00000290] / 656, 2
0x[00000292] / 658, 1
0x[00000293] / 659, 3
0x[00000294] / 660, 21
0x[00000296] / 662, 91
0x[00000298] / 664, 2
0x[00000299] / 665, 5
0x[0000029A] / 666, 3
0x[0000029C] / 668, 1
0x[0000029E] / 670, 1
0x[0000029F] / 671, 2
0x[000002A0] / 672, 16
0x[000002A3] / 675, 8
0x[000002A6] / 678, 1
0x[000002A7] / 679, 1
0x[000002A8] / 680, 214
0x[000002A9] / 681, 1
0x[000002AB] / 683, 2
0x[000002AC] / 684, 3
0x[000002B0] / 688, 4
0x[000002B1] / 689, 1
0x[000002B2] / 690, 1
0x[000002B4] / 692, 6
0x[000002B8] / 696, 2
0x[000002B9] / 697, 1
0x[000002BC] / 700, 77
0x[000002BD] / 701, 2
0x[000002BE] / 702, 2
0x[000002C0] / 704, 8
0x[000002C1] / 705, 2
0x[000002C2] / 706, 14
0x[000002C4] / 708, 7
0x[000002C5] / 709, 1
0x[000002C6] / 710, 2
0x[000002C8] / 712, 3
0x[000002CB] / 715, 1
0x[000002CC] / 716, 2
0x[000002CD] / 717, 1
0x[000002CE] / 718, 3
0x[000002CF] / 719, 2
0x[000002D0] / 720, 19
0x[000002D1] / 721, 1
0x[000002D2] / 722, 1
0x[000002D3] / 723, 3
0x[000002D5] / 725, 1
0x[000002D7] / 727, 1
0x[000002D8] / 728, 1
0x[000002D9] / 729, 2
0x[000002DA] / 730, 2
0x[000002DB] / 731, 1
0x[000002DC] / 732, 1
0x[000002DD] / 733, 1
0x[000002E0] / 736, 12
0x[000002E1] / 737, 1
0x[000002E2] / 738, 1
0x[000002E3] / 739, 1
0x[000002E4] / 740, 5
0x[000002E7] / 743, 1
0x[000002E8] / 744, 1
0x[000002EA] / 746, 1
0x[000002EB] / 747, 1
0x[000002ED] / 749, 2
0x[000002EE] / 750, 26
0x[000002F0] / 752, 2
0x[000002F1] / 753, 2
0x[000002F2] / 754, 2
0x[000002F3] / 755, 2
0x[000002F4] / 756, 1
0x[000002F6] / 758, 1
0x[000002F7] / 759, 1
0x[000002F8] / 760, 24
0x[000002F9] / 761, 1
0x[000002FA] / 762, 1
0x[000002FB] / 763, 1
0x[000002FC] / 764, 1
0x[000002FD] / 765, 2
0x[000002FE] / 766, 2
0x[00000300] / 768, 855
0x[00000302] / 770, 2
0x[00000303] / 771, 1
0x[00000304] / 772, 2
0x[00000306] / 774, 14
0x[00000307] / 775, 1
0x[00000308] / 776, 1
0x[00000309] / 777, 2
0x[0000030A] / 778, 2
0x[0000030B] / 779, 2
0x[0000030C] / 780, 15
0x[0000030D] / 781, 1
0x[0000030F] / 783, 1
0x[00000311] / 785, 2
0x[00000312] / 786, 1
0x[00000314] / 788, 2
0x[00000315] / 789, 1
0x[00000316] / 790, 2
0x[0000031A] / 794, 2
0x[0000031B] / 795, 2
0x[0000031D] / 797, 1
0x[0000031E] / 798, 1
0x[0000031F] / 799, 7
0x[00000320] / 800, 1267
0x[00000321] / 801, 1
0x[00000323] / 803, 2
0x[00000324] / 804, 56
0x[00000325] / 805, 1
0x[00000326] / 806, 3
0x[00000327] / 807, 6
0x[0000032A] / 810, 2
0x[0000032B] / 811, 2
0x[0000032C] / 812, 1
0x[0000032E] / 814, 1
0x[00000330] / 816, 20
0x[00000334] / 820, 8
0x[00000336] / 822, 3
0x[0000033A] / 826, 62
0x[0000033C] / 828, 1
0x[0000033D] / 829, 2
0x[0000033E] / 830, 3
0x[0000033F] / 831, 1
0x[00000340] / 832, 14
0x[00000341] / 833, 1
0x[00000344] / 836, 1
0x[00000345] / 837, 1
0x[00000347] / 839, 66
0x[00000348] / 840, 28
0x[00000349] / 841, 1
0x[0000034A] / 842, 118
0x[0000034B] / 843, 1
0x[0000034D] / 845, 4
0x[0000034E] / 846, 1
0x[00000350] / 848, 5
0x[00000351] / 849, 1
0x[00000352] / 850, 5
0x[00000353] / 851, 5
0x[00000354] / 852, 4
0x[00000358] / 856, 1
0x[00000359] / 857, 1
0x[0000035A] / 858, 469
0x[00000360] / 864, 49
0x[00000361] / 865, 3
0x[00000362] / 866, 2
0x[00000364] / 868, 1
0x[00000366] / 870, 2
0x[00000368] / 872, 2
0x[0000036C] / 876, 1
0x[0000036D] / 877, 2
0x[00000370] / 880, 2
0x[00000372] / 882, 2
0x[0000037D] / 893, 1
0x[00000380] / 896, 4
0x[00000383] / 899, 3
0x[00000384] / 900, 34
0x[00000386] / 902, 3
0x[00000387] / 903, 2
0x[00000388] / 904, 1
0x[00000389] / 905, 1
0x[0000038A] / 906, 1
0x[0000038B] / 907, 1
0x[0000038E] / 910, 1
0x[00000390] / 912, 5
0x[00000391] / 913, 1
0x[00000395] / 917, 1
0x[00000396] / 918, 1
0x[00000397] / 919, 2
0x[00000398] / 920, 4
0x[00000399] / 921, 1
0x[0000039A] / 922, 1
0x[0000039D] / 925, 3
0x[0000039F] / 927, 1
0x[000003A0] / 928, 1
0x[000003A3] / 931, 2
0x[000003A8] / 936, 1
0x[000003AA] / 938, 1
0x[000003AC] / 940, 1
0x[000003B0] / 944, 7
0x[000003B1] / 945, 1
0x[000003B3] / 947, 1
0x[000003B4] / 948, 1
0x[000003B5] / 949, 1
0x[000003B6] / 950, 2
0x[000003BC] / 956, 1
0x[000003BD] / 957, 1
0x[000003BF] / 959, 2
0x[000003C0] / 960, 1650
0x[000003C3] / 963, 2
0x[000003C5] / 965, 1
0x[000003C7] / 967, 2
0x[000003C8] / 968, 2
0x[000003C9] / 969, 1
0x[000003CA] / 970, 1
0x[000003CB] / 971, 1
0x[000003CF] / 975, 1
0x[000003D0] / 976, 4
0x[000003D2] / 978, 1
0x[000003D4] / 980, 3
0x[000003D8] / 984, 1
0x[000003DB] / 987, 2
0x[000003DC] / 988, 1
0x[000003DF] / 991, 1
0x[000003E0] / 992, 7
0x[000003E2] / 994, 3
0x[000003E3] / 995, 1
0x[000003E4] / 996, 3
0x[000003E5] / 997, 1
0x[000003E6] / 998, 2
0x[000003E7] / 999, 1
0x[000003E8] / 1000, 141
0x[000003E9] / 1001, 3
0x[000003EA] / 1002, 1
0x[000003EB] / 1003, 1
0x[000003EC] / 1004, 1
0x[000003ED] / 1005, 1
0x[000003F0] / 1008, 2
0x[000003F1] / 1009, 2
0x[000003F2] / 1010, 2
0x[000003F4] / 1012, 1
0x[000003F7] / 1015, 2
0x[000003F9] / 1017, 1
0x[000003FA] / 1018, 1
0x[000003FC] / 1020, 2
0x[000003FF] / 1023, 3
0x[00000400] / 1024, 8453
0x[00000401] / 1025, 2
0x[00000403] / 1027, 2
0x[00000405] / 1029, 2
0x[00000406] / 1030, 1
0x[00000408] / 1032, 1
0x[00000409] / 1033, 1
0x[0000040A] / 1034, 1
0x[0000040C] / 1036, 9
0x[0000040D] / 1037, 5
0x[00000410] / 1040, 16
0x[00000413] / 1043, 1
0x[00000414] / 1044, 4
0x[00000415] / 1045, 1
0x[00000416] / 1046, 1
0x[00000417] / 1047, 2
0x[00000418] / 1048, 1
0x[00000419] / 1049, 2
0x[0000041C] / 1052, 2
0x[0000041E] / 1054, 8
