ifds_ExifInteroperabilityOffset ,Count
, 256420
@ 0x0008, 72
@ 0x0080, 66
@ 0x00A6, 2
@ 0x00BC, 153
@ 0x00D4, 470
@ 0x00E9, 6
@ 0x00EC, 6
@ 0x00FD, 97
@ 0x0100, 9
@ 0x0104, 168
@ 0x010C, 7
@ 0x010E, 46
@ 0x0115, 1
@ 0x0116, 16
@ 0x0118, 47
@ 0x011A, 2
@ 0x011C, 6
@ 0x011D, 112
@ 0x011E, 348
@ 0x011F, 10
@ 0x0120, 979
@ 0x0122, 179
@ 0x0124, 816
@ 0x0126, 196
@ 0x0128, 73
@ 0x012A, 363
@ 0x012B, 10
@ 0x012C, 389
@ 0x012E, 348
@ 0x0130, 86
@ 0x0132, 15
@ 0x0134, 700
@ 0x0136, 207
@ 0x0138, 1396
@ 0x013A, 596
@ 0x013C, 85
@ 0x013E, 804
@ 0x0140, 546
@ 0x0142, 550
@ 0x0143, 1
@ 0x0144, 1983
@ 0x0146, 616
@ 0x0148, 340
@ 0x0149, 299
@ 0x014A, 205
@ 0x014C, 203
@ 0x014D, 1
@ 0x014E, 302
@ 0x0150, 149
@ 0x0154, 600
@ 0x0155, 2
@ 0x0156, 81
@ 0x0158, 362
@ 0x015A, 621
@ 0x015C, 714
@ 0x015E, 26
@ 0x0160, 637
@ 0x0161, 44
@ 0x0164, 278
@ 0x0166, 37
@ 0x0167, 8
@ 0x0168, 932
@ 0x016A, 7
@ 0x016B, 1
@ 0x016C, 4
@ 0x016D, 1
@ 0x016E, 152
@ 0x0170, 170
@ 0x0172, 86
@ 0x0174, 154
@ 0x0175, 6
@ 0x0176, 776
@ 0x0178, 10
@ 0x017A, 10
@ 0x017C, 12
@ 0x017E, 15
@ 0x0180, 17
@ 0x0182, 426
@ 0x0184, 127
@ 0x0186, 340
@ 0x0188, 62
@ 0x018A, 2
@ 0x018B, 6
@ 0x018C, 29
@ 0x018E, 1460
@ 0x0190, 1486
@ 0x0192, 40
@ 0x0194, 204
@ 0x0196, 50
@ 0x0198, 3
@ 0x019A, 6
@ 0x019C, 108
@ 0x019E, 190
@ 0x01A0, 868
@ 0x01A2, 22
@ 0x01A4, 390
@ 0x01A6, 54
@ 0x01A7, 18
@ 0x01A8, 14
@ 0x01AA, 64
@ 0x01AC, 642
@ 0x01AF, 8
@ 0x01B0, 1391
@ 0x01B2, 101
@ 0x01B4, 506
@ 0x01B6, 21
@ 0x01B7, 6
@ 0x01B8, 35
@ 0x01BA, 65
@ 0x01BC, 3
@ 0x01BD, 12
@ 0x01BE, 2
@ 0x01C0, 10
@ 0x01C2, 177
@ 0x01C6, 165
@ 0x01C8, 150
@ 0x01CA, 202
@ 0x01CC, 443
@ 0x01CD, 52
@ 0x01CE, 135
@ 0x01CF, 125
@ 0x01D0, 508
@ 0x01D2, 445
@ 0x01D3, 1
@ 0x01D4, 238
@ 0x01D8, 234
@ 0x01DA, 22
@ 0x01DC, 84
@ 0x01DE, 34
@ 0x01E0, 134
@ 0x01E2, 482
@ 0x01E4, 667
@ 0x01E6, 18
@ 0x01E8, 18
@ 0x01EA, 9
@ 0x01EC, 3
@ 0x01F0, 509
@ 0x01F2, 2
@ 0x01F4, 385
@ 0x01F5, 51
@ 0x01F6, 1
@ 0x01F8, 1
@ 0x01FA, 3
@ 0x01FC, 177
@ 0x01FE, 27
@ 0x0200, 32
@ 0x0201, 514
@ 0x0202, 90
@ 0x0204, 83
@ 0x0208, 34
@ 0x020A, 85
@ 0x020C, 61
@ 0x020E, 39
@ 0x0210, 493
@ 0x0212, 149
@ 0x0213, 1
@ 0x0214, 331
@ 0x0216, 302
@ 0x0218, 289
@ 0x021A, 201
@ 0x021C, 735
@ 0x021E, 949
@ 0x0220, 157
@ 0x0222, 143
@ 0x0224, 526
@ 0x0226, 291
@ 0x0228, 488
@ 0x022A, 8
@ 0x022B, 26
@ 0x022C, 173
@ 0x022D, 2
@ 0x022E, 65
@ 0x022F, 42
@ 0x0230, 247
@ 0x0231, 1
@ 0x0232, 311
@ 0x0233, 17
@ 0x0234, 147
@ 0x0235, 3
@ 0x0236, 138
@ 0x0237, 6
@ 0x0238, 300
@ 0x023A, 81
@ 0x023C, 1631
@ 0x023E, 49
@ 0x023F, 22
@ 0x0240, 42
@ 0x0242, 68
@ 0x0243, 30
@ 0x0244, 516
@ 0x0245, 5
@ 0x0246, 982
@ 0x0248, 105
@ 0x0249, 1
@ 0x024B, 1
@ 0x024C, 134
@ 0x024D, 265
@ 0x024E, 589
@ 0x0250, 197
@ 0x0251, 31
@ 0x0252, 749
@ 0x0253, 3
@ 0x0254, 767
@ 0x0255, 9
@ 0x0256, 618
@ 0x0258, 11340
@ 0x025A, 142
@ 0x025B, 3
@ 0x025C, 285
@ 0x025D, 197
@ 0x025E, 63
@ 0x025F, 9
@ 0x0260, 214
@ 0x0262, 68
@ 0x0264, 1504
@ 0x0266, 3706
@ 0x0267, 22
@ 0x0268, 8
@ 0x026A, 13
@ 0x026C, 1463
@ 0x026D, 1
@ 0x026F, 6
@ 0x0270, 154
@ 0x0272, 1575
@ 0x0274, 4
@ 0x0276, 159
@ 0x0278, 4215
@ 0x027A, 2
@ 0x027B, 18
@ 0x027C, 887
@ 0x027E, 639
@ 0x0281, 1
@ 0x0282, 2153
@ 0x0283, 6
@ 0x0284, 381
@ 0x0285, 8
@ 0x0286, 356
@ 0x0288, 206
