ifds_ExifVersion ,Count
, 12362
.ä, 4
0, 4
01.00, 2
01.20, 1
02.00, 1431
02.10, 43515
02.2, 2
02.20, 538453
02.21, 645906
02.30, 135968
12.20, 262
2, 29
22.0, 113
6.3, 2
Â, 12
à.ã, 3
b, 1
c, 4
Ð.=, 1
d, 1741
Ð.3, 4
dd., 1
ð}.ã, 1
e, 50
ÈÈ., 2
f, 8
g, 5
h, 34
i, 20
j, 1
k, 12
m, 2
o, 7
p, 2
Q, 3
r, 1
S, 85
t, 9
Ú, 14
v, 284
w, 3
X, 8
y, 47
z, 12
å, 1
[DateTimeOriginal, 121
_, 29
{, 99
}, 1
~, 5
‚, 7
ƒ, 1
„, 10
…, 1
‡, 28
ˆ, 1
Š, 164
‘, 6
’, 1
“, 3
–, 1
—, 1
™, 1
š, 4
 , 7
 .3, 2
  ., 5
£, 1
¥, 2
§, 3
©, 9
¬, 1
¯, 1
°.ã, 4
³, 3
µ, 32
¶, 2
º, 3
¼, 2
¿, 1
