ifds_ExposureBiasValue ,Count
, 187148
-0.00 eV, 58
-0.02 eV, 1
-0.10 eV, 48
-0.17 eV, 2
-0.18 eV, 2
-0.20 eV, 16
-0.25 eV, 1
-0.27 eV, 1
-0.30 eV, 9057
-0.33 eV, 13396
-0.38 eV, 2
-0.40 eV, 1
-0.47 eV, 1
-0.50 eV, 2167
-0.56 eV, 1
-0.57 eV, 1
-0.60 eV, 75
-0.63 eV, 2
-0.66 eV, 1388
-0.67 eV, 7628
-0.70 eV, 6993
-0.75 eV, 5
-0.80 eV, 28
-0.81 eV, 1
-0.90 eV, 12
-0.99 eV, 1
-1.00 eV, 10874
-1.20 eV, 25
-1.25 eV, 2
-1.30 eV, 999
-1.33 eV, 1985
-1.37 eV, 1
-1.40 eV, 4
-1.50 eV, 662
-1.60 eV, 3
-1.66 eV, 205
-1.67 eV, 1119
-1.70 eV, 441
-1.75 eV, 2
-1.80 eV, 1
-1.83 eV, 3
-1.90 eV, 3
-12.03 eV, 1
-13.10 eV, 1
-17.56 eV, 1
-2.00 eV, 4596
-2.10 eV, 3
-2.30 eV, 21
-2.33 eV, 59
-2.50 eV, 7
-2.66 eV, 5
-2.67 eV, 47
-2.70 eV, 14
-2.75 eV, 1
-2.83 eV, 2
-3.00 eV, 122
-3.30 eV, 1
-3.33 eV, 58
-3.36 eV, 1
-3.50 eV, 2
-3.67 eV, 13
-4.00 eV, 34
-4.17 eV, 1
-4.33 eV, 5
-4.50 eV, 1
-4.67 eV, 33
-5.00 eV, 117
-9.09 eV, 1
0.00 eV, 1077586
0.01 eV, 3
0.04 eV, 1
0.09 eV, 105
0.10 eV, 9
0.11 eV, 146
0.16 eV, 7
0.17 eV, 1
0.18 eV, 1
0.19 eV, 1
0.20 eV, 8
0.22 eV, 1
0.25 eV, 26
0.28 eV, 1
0.29 eV, 6
0.30 eV, 7624
0.31 eV, 2
0.33 eV, 15942
0.38 eV, 7
0.46 eV, 2
0.50 eV, 1702
0.52 eV, 2
0.53 eV, 3
0.55 eV, 2
0.56 eV, 48
0.60 eV, 261
0.63 eV, 14
0.64 eV, 1
0.65 eV, 1
0.66 eV, 1704
0.67 eV, 6367
0.70 eV, 4437
0.71 eV, 168
0.74 eV, 1
0.75 eV, 10
0.76 eV, 1
0.88 eV, 6
0.90 eV, 18
0.94 eV, 1
0.96 eV, 1
0.97 eV, 1
0.98 eV, 1
0.99 eV, 1
1.00 eV, 7779
1.01 eV, 1
1.05 eV, 1
1.07 eV, 1
1.08 eV, 2
1.10 eV, 1
1.20 eV, 17
1.30 eV, 1004
1.32 eV, 2
1.33 eV, 1213
1.36 eV, 1
1.38 eV, 5
1.50 eV, 190
1.52 eV, 1
1.60 eV, 2
1.63 eV, 2
1.66 eV, 83
1.67 eV, 345
1.70 eV, 310
1.80 eV, 7
1.89 eV, 1
10.00 eV, 17
10.10 eV, 1
10.20 eV, 8
10.30 eV, 3
10.40 eV, 3
10.50 eV, 6
10.60 eV, 5
10.70 eV, 4
10.90 eV, 5
11.00 eV, 3
11.10 eV, 5
11.20 eV, 6
11.30 eV, 3
11.40 eV, 8
11.50 eV, 4
11.60 eV, 7
11.70 eV, 5
11.80 eV, 2
11.90 eV, 5
1156409.00 eV, 2
12.00 eV, 3
12.10 eV, 1
12.20 eV, 2
12.30 eV, 3
12.40 eV, 1
12.50 eV, 1
12.60 eV, 3
12.70 eV, 5
12.80 eV, 1
12.90 eV, 1
13.10 eV, 2
13.20 eV, 1
13.30 eV, 4
13.40 eV, 4
13.50 eV, 4
13.60 eV, 5
13.70 eV, 2
13.80 eV, 1
13.90 eV, 1
14.00 eV, 2
14.10 eV, 1
14.20 eV, 2
14.30 eV, 2
14.40 eV, 1
14.50 eV, 1
14.60 eV, 5
14.70 eV, 1
14.80 eV, 3
14.90 eV, 1
1467705.00 eV, 1
15.10 eV, 3
15.20 eV, 3
15.30 eV, 2
15.40 eV, 3
15.50 eV, 1
15.60 eV, 2
15.70 eV, 1
1520953.00 eV, 2
16.10 eV, 1
1920.00 eV, 1
2.00 eV, 2664
2.30 eV, 29
2.33 eV, 124
2.50 eV, 7
2.66 eV, 14
2.67 eV, 32
2.70 eV, 14
2.99 eV, 1
24.00 eV, 1
3.00 eV, 199
3.21 eV, 1
3.33 eV, 8
3.67 eV, 66
3.70 eV, 2
30.00 eV, 4
4.00 eV, 48
4.30 eV, 18
4.33 eV, 10
4.40 eV, 1
4.50 eV, 3
4.67 eV, 10
4478481.00 eV, 60
5.00 eV, 413
5.10 eV, 3
5.20 eV, 1
5.40 eV, 90
5.50 eV, 1
5.60 eV, 1
5.67 eV, 1
5.80 eV, 3
5.90 eV, 1
6.00 eV, 3
6.10 eV, 1
6.20 eV, 4
6.30 eV, 2
6.40 eV, 6
6.50 eV, 1
6.60 eV, 69
6.70 eV, 3
6.80 eV, 2
6.90 eV, 4
686.00 eV, 77
7.00 eV, 6
7.20 eV, 1
7.40 eV, 4
7.50 eV, 5
7.60 eV, 1
7.70 eV, 4
7.80 eV, 1
7.90 eV, 2
8.00 eV, 5
8.10 eV, 1
8.20 eV, 3
8.30 eV, 3
8.40 eV, 4
8.50 eV, 4
8.60 eV, 5
8.70 eV, 3
8.80 eV, 1
8.90 eV, 6
9.00 eV, 6
9.10 eV, 3
9.20 eV, 4
9.30 eV, 5
9.40 eV, 1
9.50 eV, 6
9.60 eV, 3
9.70 eV, 2
9.80 eV, 4
9.90 eV, 3
