ifds_ExposureIndex1 ,Count
, 1303307
-13682662/-13680906, 1
-176481424/-436206038, 1
-1992937830/-22011741, 1
0/0, 7518
0/1, 255
0/1000000, 271
0/128, 2
1/1, 45074
10/1, 3
100/1, 5097
100/128, 1
1000/1, 40
1000000/1000000, 2
101/1, 10
102/1, 22
103/1, 12
104/1, 6
105/1, 68
106/1, 8
107/1, 13
1073741824/1073741824, 4
1073741824/16777216, 6
108/1, 6
109/1, 7
11/1, 2
110/1, 7
111/1, 7
112/1, 8
113/1, 6
114/1, 9
115/1, 7
116/1, 21
117/1, 5
118/1, 3
119/1, 19
12/1, 1679
120/1, 403
121/1, 11
122/1, 5
123/1, 4
124/1, 7
125/1, 191
1250/1, 29
126/1, 10
127/1, 10
128/1, 8
129/1, 2
13/1, 2
130/1, 16
131/1, 5
132/1, 7
133/1, 9
134/1, 7
1342177280/16777216, 17
135/1, 8
136/1, 15
137/1, 7
138/1, 14
139/1, 3
140/1, 2407
141/1, 7
142/1, 4
143/1, 8
144/1, 8
145/1, 6
146/1, 9
147/1, 6
148/1, 11
149/1, 5
150/1, 4
151/1, 4
152/1, 6
153/1, 4
154/1, 5
155/1, 3
156/1, 9
157/1, 6
158/1, 12
159/1, 8
160/1, 1047
1600/1, 104
161/1, 4
162/1, 10
163/1, 8
164/1, 6
165/1, 7
166/1, 7
167/1, 3
1677721600/16777216, 54
168/1, 3
169/1, 5
170/1, 20
171/1, 10
172/1, 9
173/1, 2
174/1, 4
175/1, 3
176/1, 5
177/1, 5
178/1, 6
179/1, 3
18/1, 1
180/1, 6
181/1, 5
182/1, 4
183/1, 6
184/1, 2
185/1, 8
186/1, 4
187/1, 2
188/1, 3
189/1, 5
190/1, 9
191/1, 4
192/1, 5
193/1, 10
194/1, 6
195/1, 4
196/1, 1
197/1, 5
198/1, 2
199/1, 117
200/1, 1569
2000/1, 6
201/1, 2
2013265920/16777216, 19
203/1, 2
204/1, 1
205/1, 2
206/1, 1
207/1, 1
210/1, 1
211/1, 5
213/1, 3
215/1, 3
216/1, 3
217/1, 2
218/1, 2
219/1, 3
220/1, 12
221/1, 2
222/1, 1
225/1, 3
226/1, 2
227/1, 2
228/1, 3
229/1, 2
230/1, 3
231/1, 2
233/1, 5
234/1, 1
237/1, 1
238/1, 2
239/1, 1
240/1, 18
241/1, 3
242/1, 3
243/1, 1
244/1, 3
245/1, 5
246/1, 1
247/1, 2
248/1, 2
249/1, 2
250/1, 71
2500/1, 8
251/1, 1
252/1, 1
253/1, 4
254/1, 2
255/1, 1
258/1, 1
259/1, 4
260/1, 4
261/1, 2
262/1, 5
263/1, 2
264/1, 1
265/1, 2
266/1, 2
267/1, 2
268/1, 2
269/1, 2
270/1, 1
272/1, 3
274/1, 2
275/1, 3
276/1, 3
277/1, 1
278/1, 1
279/1, 4
280/1, 6
281/1, 1
282/1, 3
283/1, 3
284/1, 2
286/1, 7
287/1, 1
288/1, 1
289/1, 3
290/1, 1
292/1, 4
293/1, 3
293601280/2097152, 135
294/1, 4
295/1, 1
296/1, 3
298/1, 6
299/1, 1
3/1, 2
300/1, 2
301/1, 3
303/1, 3
304/1, 1
305/1, 4
306/1, 2
307/1, 1
308/1, 1
309/1, 3
310/1, 2
311/1, 2
312/1, 2
313/1, 4
314/1, 5
315/1, 4
316/1, 3
317/1, 1
318/1, 1
319/1, 4
320/1, 167
3200/1, 59
321/1, 2
322/1, 5
323/1, 2
324/1, 1
325/1, 1
326/1, 1
327/1, 2
328/1, 1
329/1, 1
330/1, 2
332/1, 5
334/1, 4
337/1, 5
338/1, 2
339/1, 1
340/1, 4
341/1, 2
342/1, 4
343/1, 2
344/1, 1
346/1, 1
347/1, 1
348/1, 1
349/1, 4
350/1, 1
351/1, 3
352/1, 3
353/1, 1
354/1, 2
355/1, 1
357/1, 1
359/1, 4
36/1, 1
361/1, 4
362/1, 2
364/1, 1
365/1, 2
366/1, 1
367/1, 2
368/1, 7
369/1, 2
370/1, 2
372/1, 1
373/1, 1
375/1, 4
376/1, 2
377/1, 2
378/1, 2
379/1, 1
38/1, 4
380/1, 2
381/1, 1
382/1, 1
383/1, 1
384/1, 1
385/1, 2
386/1, 3
387/1, 1
388/1, 10
39/1, 1
390/1, 1
391/1, 2
392/1, 1
393/1, 2
394/1, 1
396/1, 13
398/1, 2
399/1, 1
4/1024, 50
400/1, 433
401/1, 5
402/1, 3
409/1, 1
41/1, 1
411/1, 1
412/1, 5
422/1, 2
429/1, 1
43/1, 1
430/1, 1
432/1, 2
433/1, 1
446/1, 1
453/1, 2
457/1, 1
46/1, 2
466/1, 1
47/1, 1
473/1, 1
481/1, 1
487/1, 1
49/1, 28
494/1, 1
495/1, 1
5/128, 1
50/1, 291
500/1, 19
51/1, 80
52/1, 25
526/1, 1
528/1, 1
53/1, 12
530/1, 2
537/1, 1
54/1, 5
546/1, 1
55/1, 14
56/1, 17
57/1, 13
576/1, 1
585/1, 1
59/1, 23
6/1, 1
60/1, 5
603/1, 2
609/1, 1
61/1, 1
616/1, 1
618/-2103640059, 1
62/1, 149
63/1, 11
631/1, 1
636/1, 1
64/1, 1435
640/1, 30
65/1, 26
66/1, 22
661/1, 1
669/1, 1
67/1, 2
68/1, 22
682/1, 1
688/1, 1
69/1, 15
709/1, 1
71/1, 49
72/1, 2
73/1, 9
736/1, 1
74/1, 4
742/1, 1
75/1, 10
750/1, 1
754/1, 1
76/1, 6
77/1, 4
78/1, 7
782/1, 1
79/1, 4
791/1, 1
794/1, 23
8/1, 1
80/1, 6817
800/1, 284
81/1, 14
82/1, 3
82/128, 1
83/1, 1
84/1, 4
85/1, 2
86/1, 6
87/1, 4
88/1, 8
89/1, 8
9/1, 5
90/1, 4
91/1, 5
92/1, 8
93/1, 9
94/1, 4
95/1, 5
96/1, 52
97/1, 5
98/1, 2
99/1, 6
