ifds_ExposureMode ,Count
, 173301
10016, 1
10096, 1
10144, 1
10176, 1
10304, 1
10352, 1
10432, 2
10448, 1
10480, 1
10512, 1
10544, 1
10624, 1
10640, 1
10720, 1
10752, 1
10768, 1
10848, 1
11008, 2
11040, 1
11056, 1
11104, 1
11136, 1
11152, 1
11344, 1
11472, 3
11520, 1
11552, 1
11712, 1
11728, 2
11808, 1
11856, 4
11952, 1
12160, 1
12176, 2
12192, 1
12208, 1
12608, 1
13088, 1
13184, 1
13376, 1
13792, 1
14160, 1
14304, 1
15792, 1
16640, 1
2224, 1
2256, 1
2320, 1
2400, 1
2560, 1
2592, 1
2608, 3
2672, 1
2704, 1
2736, 2
2816, 1
2832, 2
2880, 1
2928, 1
2992, 2
3, 4
3008, 1
3056, 3
3088, 1
3152, 1
3264, 1
3328, 1
3360, 1
3408, 1
3440, 1
3472, 1
3488, 1
3520, 1
3536, 1
3600, 4
3632, 1
3648, 1
3664, 2
3680, 1
3776, 1
3808, 2
3840, 1
3856, 2
3872, 1
41987, 185
4400, 3
4432, 2
4512, 2
4608, 1
4640, 1
4704, 1
4720, 3
4768, 1
4800, 1
4896, 1
5008, 1
5024, 1
50816, 1
50976, 2
5104, 1
51248, 1
51504, 1
5152, 1
51664, 1
5168, 3
51744, 1
5184, 2
51840, 1
51904, 1
52064, 2
52144, 1
5216, 2
52256, 1
52352, 1
52576, 1
52640, 1
52944, 1
53008, 1
53072, 1
5328, 2
5360, 1
5376, 1
5424, 1
5472, 1
5520, 4
5584, 2
5616, 3
5664, 1
56784, 1
5744, 1
5776, 1
5808, 1
5824, 1
5856, 2
5904, 1
5936, 1
5952, 1
5984, 1
6032, 1
6048, 1
6080, 2
6112, 1
61344, 1
61360, 2
6256, 3
6272, 1
6320, 3
6352, 2
6384, 1
6496, 1
64960, 1
6528, 1
6544, 1
6576, 1
6640, 1
6672, 1
6704, 1
6752, 2
6784, 2
6848, 2
6880, 2
6896, 1
6960, 1
6976, 1
7040, 1
7056, 1
7120, 1
7152, 1
7200, 1
7232, 2
7248, 1
7264, 1
7312, 1
7360, 3
7424, 4
7440, 1
7472, 3
7488, 2
7552, 1
7760, 1
7792, 2
7808, 1
7840, 2
7856, 2
7888, 1
7920, 1
7936, 2
7952, 1
8096, 1
8496, 1
8592, 3
8848, 1
8864, 1
8912, 1
9104, 1
9120, 1
9136, 1
9248, 1
9280, 1
9344, 1
9584, 1
9616, 1
9808, 2
9840, 1
Auto bracket, 5929
Auto exposure, 1104011
Manual exposure, 97293
