ifds_ExposureTime ,Count
, 66244
-2145995847/268435456 s, 1
-2147483263/0 s, 2
-405/0 s, 2
0/0 s, 473
0/1 s, 5222
0/1000 s, 9
0/100000 s, 1
0/1000000 s, 239
0/1024 s, 51
0/512000000 s, 1
0x[0000000F] / 15 s, 1
0x[00000016] / 22 s, 1
0x[0000001E] / 30 s, 4
0x[00000025] / 37 s, 1
0x[00000176] / 374 s, 1
0x[00000744] / 1860 s, 1
1/-1 s, 11
1/0 s, 472
1/1 s, 918
1/10 s, 7812
1/100 s, 28096
1/1000 s, 17205
1/10000 s, 31
1/1000000 s, 262
1/1001 s, 30
1/1002 s, 14
1/1003 s, 34
1/1004 s, 151
1/1005 s, 130
1/10055 s, 22
1/1006 s, 14
1/1007 s, 4
1/1008 s, 9
1/1009 s, 1
1/101 s, 116
1/1010 s, 38
1/10101 s, 3
1/1011 s, 1
1/10112 s, 1
1/1012 s, 17
1/1013 s, 2
1/1014 s, 32
1/1015 s, 13
1/1016 s, 8
1/1017 s, 1
1/10176 s, 1
1/1018 s, 11
1/1019 s, 1
1/102 s, 37
1/1020 s, 4
1/10204 s, 1
1/1021 s, 7
1/1022 s, 152
1/10235 s, 1
1/1024 s, 103
1/1025 s, 11
1/1026 s, 44
1/1027 s, 2
1/1028 s, 18
1/1029 s, 2
1/103 s, 54
1/1030 s, 12
1/10309 s, 27
1/1031 s, 42
1/1032 s, 19
1/1033 s, 2
1/1034 s, 15
1/1035 s, 2
1/1036 s, 11
1/1037 s, 2
1/1039 s, 3
1/104 s, 246
1/1040 s, 148
1/1041 s, 20
1/1042 s, 71
1/1043 s, 115
1/1044 s, 17
1/1045 s, 4
1/1046 s, 5
1/1047 s, 2
1/1048 s, 13
1/10486 s, 9
1/1049 s, 7
1/105 s, 71
1/1050 s, 9
1/1051 s, 3
1/1052 s, 25
1/1053 s, 35
1/1054 s, 8
1/1056 s, 10
1/1057 s, 3
1/1058 s, 9
1/10587 s, 1
1/1059 s, 12
1/106 s, 33
1/1060 s, 43
1/1061 s, 4
1/1062 s, 67
1/1063 s, 118
1/1064 s, 9
1/1066 s, 4
1/1067 s, 3
1/1068 s, 19
1/1069 s, 2
1/107 s, 45
1/1070 s, 42
1/1071 s, 17
1/1072 s, 25
1/10720 s, 1
1/1073 s, 7
1/1074 s, 1
1/1075 s, 22
1/1076 s, 9
1/1077 s, 133
1/1078 s, 4
1/1079 s, 5
1/10797 s, 1
1/108 s, 69
1/1080 s, 68
1/1081 s, 3
1/1082 s, 81
1/1083 s, 2
1/1084 s, 10
1/1085 s, 106
1/1086 s, 6
1/1087 s, 1
1/10870 s, 18
1/1088 s, 5
1/1089 s, 6
1/109 s, 82
1/1090 s, 28
1/1091 s, 7
1/1092 s, 16
1/1093 s, 6
1/1094 s, 1
1/1095 s, 5
1/1096 s, 10
1/1097 s, 5
1/10976 s, 1
1/1098 s, 13
1/1099 s, 13
1/11 s, 305
1/110 s, 121
1/1100 s, 12
1/1101 s, 5
1/1102 s, 2
1/1103 s, 3
1/1104 s, 89
1/1105 s, 8
1/1106 s, 84
1/1107 s, 23
1/1108 s, 26
1/1109 s, 33
1/111 s, 203
1/1111 s, 52
1/11111 s, 25
1/1112 s, 11
1/1114 s, 4
1/11141 s, 1
1/1116 s, 22
1/1117 s, 122
1/1119 s, 1
1/112 s, 37
1/1120 s, 41
1/1121 s, 41
1/1122 s, 3
1/1123 s, 5
1/11235 s, 2
1/1124 s, 16
1/11246 s, 1
1/1125 s, 3
1/1126 s, 77
1/1127 s, 3
1/1128 s, 22
1/1129 s, 4
1/113 s, 47
1/1130 s, 122
1/1131 s, 2
1/1132 s, 10
1/1133 s, 3
1/1134 s, 3
1/11347 s, 1
1/1135 s, 1
1/1136 s, 42
1/1137 s, 5
1/1138 s, 5
1/1139 s, 3
1/114 s, 53
1/1140 s, 49
1/1141 s, 6
1/1142 s, 7
1/1143 s, 3
1/1144 s, 17
1/1145 s, 5
1/1146 s, 1
1/1147 s, 3
1/1148 s, 13
1/1149 s, 8
1/115 s, 54
1/1150 s, 32
1/1151 s, 83
1/1152 s, 17
1/1153 s, 119
1/1154 s, 6
1/1155 s, 2
1/1156 s, 18
1/1157 s, 2
1/1158 s, 7
1/1159 s, 3
1/116 s, 33
1/1160 s, 206
1/1162 s, 9
1/1163 s, 36
1/1164 s, 7
1/1165 s, 3
1/11655 s, 1
1/1166 s, 2
1/1167 s, 2
1/1168 s, 5
1/1169 s, 4
1/117 s, 69
1/1170 s, 1
1/1171 s, 2
1/1172 s, 52
1/1173 s, 5
1/1174 s, 2
1/11747 s, 5
1/1175 s, 78
1/1176 s, 29
1/11764 s, 1
1/1177 s, 3
1/1178 s, 98
1/1179 s, 7
1/118 s, 23
1/1180 s, 8
1/1181 s, 9
1/1182 s, 10
1/1183 s, 2
1/1184 s, 13
1/11840 s, 2
1/1186 s, 4
1/1187 s, 2
1/1188 s, 40
1/1189 s, 2
1/119 s, 175
1/1190 s, 8
1/1191 s, 3
1/1192 s, 17
1/1193 s, 57
1/1194 s, 1
1/1195 s, 2
1/1196 s, 13
1/1197 s, 2
1/1198 s, 1
1/1199 s, 25
1/11994 s, 1
1/12 s, 563
1/120 s, 6470
1/1200 s, 124
1/1201 s, 3
1/1202 s, 4
1/1204 s, 21
1/1205 s, 112
1/1206 s, 4
1/1207 s, 161
1/1208 s, 51
1/1209 s, 18
1/121 s, 134
1/1211 s, 3
1/1212 s, 17
1/1214 s, 2
1/1215 s, 2
1/1216 s, 6
1/12161 s, 1
1/1218 s, 17
1/1219 s, 9
1/122 s, 124
1/1220 s, 14
1/1224 s, 15
1/1225 s, 2
1/1226 s, 3
1/1227 s, 94
1/1228 s, 9
1/1229 s, 1
1/123 s, 110
1/1230 s, 36
1/1231 s, 5
1/1232 s, 135
1/1233 s, 10
1/1234 s, 14
1/1235 s, 34
1/1236 s, 40
1/1237 s, 1
1/1238 s, 2
1/124 s, 117
1/1240 s, 12
1/1241 s, 1
1/1242 s, 1
1/1243 s, 2
1/1244 s, 49
1/1245 s, 3
1/1246 s, 2
1/1247 s, 1
1/1248 s, 15
1/12480 s, 1
1/125 s, 32646
1/1250 s, 9476
1/12500 s, 2
1/1251 s, 2
1/1252 s, 14
1/1253 s, 2
1/1254 s, 5
1/1255 s, 87
1/1256 s, 16
1/1257 s, 155
1/1258 s, 8
1/12584 s, 5
1/1259 s, 27
1/126 s, 108
1/1260 s, 17
1/1261 s, 136
1/1262 s, 4
1/1263 s, 3
1/1264 s, 10
1/1265 s, 5
1/1266 s, 2
1/1268 s, 13
1/1269 s, 2
1/127 s, 127
1/1270 s, 3
1/1271 s, 4
1/1272 s, 9
1/1273 s, 4
1/1274 s, 4
1/1275 s, 2
1/1276 s, 38
1/1278 s, 32
1/1279 s, 2
