ifds_FNumber ,Count
, 61743
F0.0, 6022
F0.2, 1
F0.3, 10
F1.0, 766
F1.1, 2
F1.2, 323
F1.3, 1
F1.4, 3328
F1.5, 14
F1.6, 531
F1.7, 2496
F1.8, 9022
F1.9, 1248
F10.0, 20365
F10.1, 64
F10.2, 57
F10.3, 22
F10.4, 97
F10.5, 60
F10.6, 88
F10.7, 31
F10.8, 106
F10.9, 24
F11.0, 14961
F11.1, 20
F11.2, 60
F11.3, 61
F11.4, 134
F11.5, 17
F11.6, 24
F11.7, 17
F11.8, 111
F11.9, 18
F12.0, 110
F12.1, 18
F12.2, 3
F12.3, 15
F12.4, 73
F12.5, 10
F12.6, 26
F12.7, 3
F12.8, 9
F12.9, 56
F13.0, 8004
F13.1, 42
F13.2, 10
F13.3, 6
F13.4, 34
F13.5, 3
F13.6, 74
F13.7, 8
F13.8, 13
F13.9, 5
F14.0, 5173
F14.1, 14
F14.2, 8
F14.3, 2
F14.4, 3
F14.5, 4
F14.6, 2
F14.7, 13
F14.8, 19
F15.0, 12
F15.1, 18
F15.2, 10
F15.3, 4
F15.4, 8
F15.5, 6
F15.6, 1
F15.7, 3
F15.8, 11
F15.9, 4
F16.0, 3801
F16.1, 2
F16.2, 9
F16.3, 8
F16.4, 5
F16.6, 3
F17.0, 5
F17.1, 1
F17.7, 1
F17.8, 23
F18.0, 1492
F18.4, 1
F18.6, 1
F18.7, 1
F19.0, 74
F19.9, 1
F2.0, 20098
F2.1, 392
F2.2, 27382
F2.3, 610
F2.4, 67366
F2.5, 8017
F2.6, 33259
F2.7, 23717
F2.8, 274061
F2.9, 5304
F20.0, 1414
F20.6, 1
F22.0, 2713
F22.6, 1
F24.0, 7
F24.6, 1
F25.0, 388
F27.0, 56
F29.0, 414
F3.0, 9479
F3.1, 14410
F3.2, 44350
F3.3, 27489
F3.4, 6672
F3.5, 84957
F3.6, 7552
F3.7, 4504
F3.8, 6532
F3.9, 6116
F30.0, 1
F32.0, 323
F34.0, 1
F36.0, 182
F38.0, 11
F4.0, 97039
F4.1, 3968
F4.2, 7059
F4.3, 6477
F4.4, 5490
F4.5, 51965
F4.6, 4974
F4.7, 3676
F4.8, 14083
F4.9, 13073
F40.0, 13
F45.0, 17
F492.3, 16
F5.0, 39257
F5.1, 2464
F5.2, 6699
F5.3, 5135
F5.4, 2896
F5.5, 4160
F5.6, 110513
F5.7, 1935
F5.8, 4274
F5.9, 3524
F57.0, 7
F6.0, 990
F6.1, 345
F6.2, 548
F6.3, 28157
F6.4, 2171
F6.5, 781
F6.6, 1450
F6.7, 4888
F6.8, 725
F6.9, 682
F7.0, 5302
F7.1, 35191
F7.2, 956
F7.3, 648
F7.4, 993
F7.5, 627
F7.6, 1013
F7.7, 460
F7.8, 958
F7.9, 1343
F8.0, 57919
F8.1, 141
F8.2, 563
F8.3, 281
F8.4, 500
F8.5, 781
F8.6, 209
F8.7, 638
F8.8, 665
F8.9, 612
F9.0, 19623
F9.1, 320
F9.2, 132
F9.3, 282
F9.4, 147
F9.5, 1459
F9.6, 215
F9.7, 153
F9.8, 155
F9.9, 361
F95.0, 7
