ifds_FlashEnergyUnsigned ,Count
, 1377079
0/1, 2495
0/1257, 7
10/1, 9
100/1, 308
1000/1, 313
101/1, 1
102/1, 4
103/1, 2
104/1, 2
105/1, 1
106/1, 3
107/1, 1
108/1, 2
109/1, 4
11/1, 1
110/1, 1
111/1, 2
112/1, 1
113/1, 1
114/1, 1
115/1, 1
116/1, 1
118/1, 1
119/1, 3
120/1, 2
121/1, 2
123/1, 1
124/1, 1
125/1, 5
126/1, 2
127/1, 2
128/1, 2
129/1, 4
13/1, 3
130/1, 3
131/1, 1
132/1, 1
133/1, 1
134/1, 4
135/1, 2
136/1, 1
137/1, 2
138/1, 1
14/1, 3
140/1, 1
141/1, 2
143/1, 2
144/1, 1
145/1, 2
146/1, 4
147/1, 2
148/1, 2
149/1, 4
15/1, 4
151/1, 2
152/1, 1
153/1, 1
154/1, 1
156/1, 3
157/1, 1
158/1, 2
159/1, 1
16/1, 1
160/1, 1
162/1, 1
164/1, 1
165/1, 1
166/1, 1
167/1, 2
168/1, 2
169/1, 1
17/1, 4
171/1, 3
173/1, 1
175/1, 2
176/1, 2
179/1, 1
18/1, 7
1800/1, 208
182/1, 1
183/1, 1
184/1, 1
187/1, 2
188/1, 2
19/1, 5
190/1, 1
191/1, 1
192/1, 2
194/1, 2
195/1, 2
196/1, 1
197/1, 1
20/1, 1
200/1, 1
201/1, 1
202/1, 1
205/1, 1
209/1, 1
21/1, 4
212/1, 1
215/1, 1
218/1, 1
22/1, 1
220/1, 2
222/1, 1
226/1, 1
227/1, 1
23/1, 5
230/1, 1
236/1, 1
238/1, 1
24/1, 4
242/1, 1
243/1, 1
245/1, 1
248/1, 1
249/1, 1
25/1, 7
250/1, 1
254/1, 1
26/1, 6
263/1, 1
264/1, 1
269/1, 1
27/1, 1
271/1, 1
273/1, 2
276/1, 1
28/1, 1
282/1, 1
288/1, 2
29/1, 2
290/1, 2
30/1, 6
31/1, 1
312/1, 1
32/1, 3
328/1, 1
33/1, 8
336/1, 1
34/1, 6
35/1, 5
351/1, 1
352/1, 1
358/1, 1
36/1, 1
368/1, 1
37/1, 4
371/1, 1
373/1, 1
378/1, 1
38/1, 2
384/1, 1
39/1, 1
392/1, 1
4/1, 44
40/1, 3
405/1, 1
406/1, 1
41/1, 6
418/1, 1
42/1, 5
423/1, 1
427/1, 1
43/1, 2
430/1, 1
436/1, 2
44/1, 5
444/1, 2
446/1, 2
45/1, 2
450/1, 1
454/1, 1
458/1, 2
459/1, 1
46/1, 4
47/1, 6
471/1, 1
475/1, 1
479/1, 1
48/1, 4
49/1, 2
492/1, 1
496/1, 1
50/1, 1
51/1, 6
52/1, 3
526/1, 1
53/1, 2
54/1, 4
55/1, 7
557/1, 1
57/1, 4
58/1, 6
59/1, 2
598/1, 1
60/1, 5
601/1, 1
61/1, 4
62/1, 2
621/1, 1
63/1, 5
64/1, 2
641/1, 1
65/1, 1
66/1, 2
67/1, 2
68/1, 2
69/1, 3
70/1, 2
700/1, 1
71/1, 3
72/1, 5
73/1, 7
74/1, 8
75/1, 9
76/1, 4
77/1, 5
78/1, 2
79/1, 1
8/1, 3
80/1, 3
807/1, 1
81/1, 3
82/1, 2
83/1, 3
84/1, 5
85/1, 7
87/1, 1
88/1, 5
89/1, 3
9/1, 1
90/1, 5
91/1, 14
92/1, 3
93/1, 4
94/1, 2
95/1, 1
96/1, 1
97/1, 2
98/1, 1
989/1, 1
99/1, 2
