ifds_FocalLength ,Count
, 96322
-0 mm, 2
-100 mm, 15
-24528 mm, 1
-8 mm, 2
-8440 mm, 2
-9 mm, 1
0 mm, 6895
1 mm, 286
10 mm, 24987
100 mm, 3395
1000 mm, 10
101 mm, 31
102 mm, 332
103 mm, 46
104 mm, 118
105 mm, 4041
106 mm, 229
107 mm, 41
108 mm, 616
109 mm, 194
11 mm, 15664
110 mm, 820
111 mm, 40
112 mm, 421
113 mm, 90
114 mm, 127
115 mm, 258
116 mm, 301
117 mm, 57
118 mm, 37
119 mm, 152
12 mm, 15743
120 mm, 1486
121 mm, 35
122 mm, 244
123 mm, 118
124 mm, 58
125 mm, 841
126 mm, 297
127 mm, 77
128 mm, 65
129 mm, 96
13 mm, 11342
130 mm, 759
131 mm, 110
132 mm, 47
133 mm, 119
134 mm, 78
135 mm, 3382
136 mm, 34
137 mm, 52
138 mm, 113
139 mm, 33
14 mm, 22011
140 mm, 580
14087 mm, 2
141 mm, 79
142 mm, 54
143 mm, 66
144 mm, 415
145 mm, 464
146 mm, 77
147 mm, 110
148 mm, 60
149 mm, 121
15 mm, 11206
150 mm, 2042
151 mm, 27
152 mm, 6
153 mm, 20
154 mm, 193
155 mm, 452
156 mm, 5
157 mm, 15
158 mm, 40
159 mm, 55
16 mm, 13871
160 mm, 634
161 mm, 50
162 mm, 45
163 mm, 100
164 mm, 11
165 mm, 261
166 mm, 10
167 mm, 27
168 mm, 175
169 mm, 39
17 mm, 23169
170 mm, 811
171 mm, 91
172 mm, 9
173 mm, 38
174 mm, 12
175 mm, 223
176 mm, 85
177 mm, 9
178 mm, 42
179 mm, 84
18 mm, 58767
180 mm, 980
181 mm, 9
182 mm, 14
183 mm, 20
184 mm, 34
185 mm, 305
186 mm, 4
187 mm, 72
188 mm, 13
189 mm, 41
19 mm, 15060
190 mm, 534
191 mm, 13
192 mm, 43
193 mm, 5
194 mm, 39
195 mm, 153
196 mm, 1
197 mm, 10
198 mm, 8
199 mm, 7
2 mm, 734
20 mm, 16057
200 mm, 8884
201 mm, 2
202 mm, 22
203 mm, 2
204 mm, 2
205 mm, 69
208 mm, 43
209 mm, 49
21 mm, 9202
210 mm, 679
212 mm, 20
213 mm, 3
214 mm, 104
215 mm, 53
216 mm, 9
217 mm, 2
218 mm, 39
219 mm, 8
22 mm, 10066
220 mm, 392
221 mm, 2
222 mm, 9
223 mm, 2
224 mm, 2
225 mm, 54
226 mm, 19
227 mm, 5
228 mm, 32
229 mm, 21
23 mm, 9699
230 mm, 253
231 mm, 1
232 mm, 22
233 mm, 1
234 mm, 1
235 mm, 118
236 mm, 2
238 mm, 64
239 mm, 13
24 mm, 18929
240 mm, 314
241 mm, 1
242 mm, 3
243 mm, 4
244 mm, 2
245 mm, 4
246 mm, 9
247 mm, 9
248 mm, 22
249 mm, 5
25 mm, 9195
250 mm, 1518
251 mm, 2
252 mm, 19
253 mm, 12
255 mm, 50
258 mm, 1
259 mm, 19
26 mm, 6198
260 mm, 204
261 mm, 18
263 mm, 56
264 mm, 4
265 mm, 15
266 mm, 11
267 mm, 3
268 mm, 9
27 mm, 4130
270 mm, 347
271 mm, 32
272 mm, 1
273 mm, 1
274 mm, 1
275 mm, 72
277 mm, 7
28 mm, 13384
280 mm, 283
281 mm, 1
282 mm, 5
283 mm, 1
284 mm, 1
285 mm, 53
286 mm, 14
287 mm, 2
288 mm, 3
289 mm, 6
29 mm, 5139
290 mm, 28
295 mm, 1
297 mm, 1
299 mm, 1
3 mm, 16491
30 mm, 9098
300 mm, 6128
30200 mm, 8
303 mm, 1
304 mm, 13
305 mm, 5
307 mm, 5
309 mm, 1
31 mm, 5037
310 mm, 45
312 mm, 1
313 mm, 23
315 mm, 2
317 mm, 1
319 mm, 1
32 mm, 5873
320 mm, 57
323 mm, 2
324 mm, 6
328 mm, 3
33 mm, 3796
330 mm, 47
331 mm, 1
332 mm, 2
336 mm, 4
337 mm, 1
34 mm, 4213
340 mm, 57
342 mm, 15
35 mm, 18740
350 mm, 43
352 mm, 2
359 mm, 8
36 mm, 2533
360 mm, 74
363 mm, 6
365 mm, 20
37 mm, 2740
370 mm, 25
372 mm, 15
373 mm, 1
374 mm, 1
375 mm, 29
378 mm, 10
38 mm, 4412
380 mm, 23
383 mm, 7
384 mm, 2
385 mm, 24
3852 mm, 1
39 mm, 2095
390 mm, 11
395 mm, 3
397 mm, 2
398 mm, 5
4 mm, 185577
40 mm, 6449
400 mm, 1061
403 mm, 6
408 mm, 3
409 mm, 5
41 mm, 1869
413 mm, 1
415 mm, 1
416 mm, 1
417 mm, 7
42 mm, 4997
420 mm, 115
425 mm, 3
427 mm, 1
43 mm, 2574
432 mm, 3
439 mm, 2
44 mm, 2783
440 mm, 5
442 mm, 12
45 mm, 5148
450 mm, 5
456 mm, 3
46 mm, 2314
47 mm, 2077
470 mm, 1
48 mm, 2941
480 mm, 11
49 mm, 2193
5 mm, 130618
50 mm, 19571
500 mm, 353
51 mm, 1582
52 mm, 2171
53 mm, 1288
54 mm, 955
55 mm, 23700
550 mm, 1
56 mm, 936
560 mm, 2
57 mm, 729
576 mm, 1
58 mm, 1293
59 mm, 542
6 mm, 230651
60 mm, 3516
600 mm, 39
61 mm, 440
62 mm, 1458
63 mm, 2005
64 mm, 412
65 mm, 1137
650 mm, 1
65330 mm, 2
65535 mm, 14
66 mm, 745
67 mm, 514
68 mm, 677
69 mm, 752
7 mm, 62911
70 mm, 10591
700 mm, 11
71 mm, 422
72 mm, 2544
73 mm, 377
74 mm, 193
740 mm, 1
75 mm, 2845
75520 mm, 1
76 mm, 271
77 mm, 311
78 mm, 894
79 mm, 239
8 mm, 75534
80 mm, 2682
800 mm, 31
81 mm, 219
82 mm, 492
83 mm, 290
84 mm, 782
85 mm, 3491
850 mm, 7
86 mm, 928
87 mm, 139
88 mm, 306
89 mm, 487
9 mm, 19769
90 mm, 1872
91 mm, 90
92 mm, 598
93 mm, 188
94 mm, 92
95 mm, 847
96 mm, 290
97 mm, 110
98 mm, 423
99 mm, 73
