ifds_FocalLengthIn35mmFilm ,Count
, 841415
0, 7999
0x[0000001B] / 27, 119
0x[0000001F] / 31, 2720
0x[00000020] / 32, 13
1, 1
10, 17
100, 1559
1000, 106
1003, 5
101, 222
1013, 11
102, 1321
1029, 1
103, 604
10304, 1
104, 437
1040, 2
10480, 1
105, 9118
1050, 9
1053, 1
1056, 6
106, 538
1064, 1
1069, 2
107, 244
108, 967
1080, 2
1085, 1
10880, 1
109, 244
10992, 1
11, 1
110, 245
1100, 4
111, 824
112, 2087
1123, 6
113, 639
1134, 2
114, 2443
1140, 1
1144, 1
115, 514
11548, 10
1155, 2
1159, 1
116, 394
1166, 3
117, 1040
118, 177
119, 313
1199, 1
12, 30
120, 1995
1200, 11
12000, 1
121, 156
1210, 2
1215, 1
122, 178
1220, 1
12208, 1
12240, 1
123, 441
124, 217
1248, 9
125, 214
126, 229
1264, 1
127, 1276
1275, 7
128, 444
129, 417
130, 346
131, 102
1315, 1
132, 245
1320, 1
1325, 2
133, 123
134, 177
1349, 1
135, 1276
1356, 4
136, 124
1365, 2
137, 192
1373, 3
138, 347
139, 227
13904, 1
13968, 1
14, 234
140, 599
1400, 9
1404, 1
1408, 1
141, 296
142, 621
143, 74
144, 247
1440, 1
1444, 1
145, 234
14592, 1
146, 77
147, 487
1470, 4
148, 159
149, 87
1490, 2
1492, 4
1498, 1
15, 4548
150, 1276
15083, 1
151, 74
152, 108
1520, 11
153, 206
154, 181
155, 181
156, 80
157, 2628
1573, 2
1575, 1
158, 194
159, 89
16, 1418
160, 150
1600, 1
161, 123
162, 159
1622, 2
1627, 1
163, 45
16336, 1
16392, 2
164, 40
165, 563
1650, 1
1652, 1
1656, 7
166, 40
167, 89
168, 451
1686, 15
169, 209
17, 294
170, 182
171, 151
172, 151
173, 41
174, 492
1747, 1
175, 239
176, 78
1760, 1
1763, 1
17637/100, 1
177, 89
178, 86
179, 23
18, 454
180, 1094
1800, 6
181, 24
182, 180
183, 252
184, 123
18420, 1
1847, 1
185, 86
186, 45
187, 506
1872, 1
188, 95
189, 181
1890, 1
1898, 4
19, 263
190, 195
1904/10, 1
191, 36
192, 37
193, 54
194, 50
1944, 1
195, 397
196, 219
197, 65
198, 44
199, 147
1995, 1
2, 150
20, 495
200, 574
2000, 38
20048, 1
201, 67
202, 1720
203, 31
2034, 1
204, 52
205, 43
20508, 1
206, 47
207, 24
208, 41
209, 66
21, 778
210, 395
2100, 10
2106, 1
211, 15
212, 135
2129, 1
213, 32
214, 93
215, 33
21533, 2
216, 65
21664, 1
217, 316
2170, 2
218, 76
2181/10, 1
219, 45
21930, 2
22, 344
220, 60
221, 70
222, 365
2223, 3
223, 62
223/10, 23
224, 58
2246, 2
225, 985
226, 41
227, 19
228, 81
229, 94
23, 1121
230, 100
2305, 3
231, 34
232, 287
233, 19
234, 25
2340, 1
235, 52
236, 48
2368, 1
237, 31
2371, 2
238, 73
239, 45
24, 14626
240, 638
241, 17
242, 75
243, 21
244, 52
2441, 3
245, 11
246, 19
247, 266
248, 24
249, 54
2496, 12
25, 14493
250, 47
251, 16
252, 37
253, 25
254, 13
255, 522
256, 71
257, 15
2576, 2
258, 34
259, 33
26, 3405
260, 92
261, 14
262, 219
263, 36
264, 104
2640, 1
265, 29
2656, 3
266, 76
26604, 8
267, 21
268, 53
