ifds_FocalPlaneXResolution ,Count
, 1003964
-1979318272/16777216, 1
-604002688/16794368, 10
-604009216/16794368, 1
-604037504/16794368, 1
-604041609/33571584, 1
-604041609/50348800, 2
-604042351/16794368, 1
-656943403/-471672103, 6
0/1000000, 252
1/1, 10
10000000/243, 5
10000000/244, 27
10000000/291, 7
10023/1, 2
10032000/241, 3
10032000/292, 1
10033/1, 15
10065/1, 5
1007/1, 12
10083136/224, 2
10131/1, 3
1014285714/100000, 1
1020000/225, 1
10200000/291, 1
10208/1, 25
1024000/173, 15
1024000/175, 28
1024000/176, 6
1024000/179, 8
1024000/188, 16
1024000/206, 514
1024000/207, 31
1024000/208, 574
1024000/210, 114
1024000/224, 115
1024000/278, 49
1024000/280, 518
1024000/283, 76
1024000/347, 2
1024000/595, 53
1024000/81, 12
1024000/97, 3
1036800/181, 8
1036800/194, 1
10368000/225, 37
10368000/243, 6
10368000/244, 6
10368000/284, 13
10368000/286, 6
10368000/292, 10
1039/1, 1
10396800/226, 1
10396800/241, 41
10396800/287, 6
10396800/292, 13
10404000/225, 24
10404000/286, 3
1044/1, 3
10497600/283, 14
10588594/284, 2
1066/1, 32
1075/1, 8
1087/1, 55
1090/1, 9
1090559/158, 1
1090559/210, 5
10944000/181, 2
10944000/215, 1
1096/1, 54
10979/10, 1
1111/1, 4
11187/1, 2
1119/1, 1
1120/1, 9
1121649/100, 2
1122/1, 32
112513/10, 5
112640/9, 22
1126400/225, 1
11264000/225, 14
11264000/241, 5
11264000/287, 2
1132866/101, 1
1134/1, 1
11520/1, 40
1152000/113, 15
1152000/213, 2
1152000/582, 112
1152000/590, 17
1154430/100, 1
1162161792/262144, 5
11664000/229, 4
11664000/243, 1
1179/1, 82
11849143/242, 1
1196/1, 5
1198/1, 11
1200000/130, 1
1200000/131, 13
1200000/141, 57
1200000/145, 4
1200000/155, 420
1200000/156, 254
1200000/158, 24
1200000/168, 463
1200000/169, 577
1200000/171, 1
1200000/181, 125
1200000/182, 11
1200000/183, 57
1200000/209, 19
1200000/210, 409
1200000/212, 208
1200000/213, 37
1200000/214, 10
1200000/215, 29
1200000/219, 32
1200000/260, 4
1204/1, 14
1208/1, 2
12126316/241, 1
12126316/244, 1
1213/1, 28
12188160/292, 10
1220/1, 1
1221/1, 33
12224/1, 2
1227/1, 28
1228800/225, 2
12288000/224, 11
12288000/225, 39
12288000/243, 1
12288000/284, 26
1231/1, 15
1234411/32, 2
12375149/1024, 11
12500000/243, 4
12500000/244, 10
12500000/291, 2
125241/71, 1
12549445/284, 1
12623/1, 3
1270/1, 32
1277/8009, 6
1280000/103, 2
1280000/126, 3
1280000/127, 2
1280000/141, 44
1280000/145, 1
1280000/167, 1
1280000/176, 3
1280000/206, 148
1280000/207, 20
1280000/208, 18
1280000/209, 9
1280000/246, 2
12883/1, 1
12904959/224, 1
1296000/225, 1
1296384/283, 1
12996000/241, 14
12996000/287, 1
12996000/292, 12
13018/1, 8
1304/1, 2
13056000/225, 83
13056000/244, 5
13056000/286, 19
13056000/291, 2
13097/1, 1
1310719/175, 1
1310719/208, 1
1310720/208, 1
13114329/292, 2
1322/1, 372
1344/1, 7
1360000/595, 143
1363199/158, 3
1363199/210, 1
1365333/100, 5
1365504/100, 1
13824000/229, 14
1390/1, 1
13984/1, 4
14003/1, 1
1420160/280, 1
1422222/169, 1
14222222/293, 1
1440000/213, 1
1440000/595, 1
14405/1, 51
1451356/100, 1
1454079/210, 2
1454079/280, 2
1454080/224, 1
1456000/168, 2
14592000/226, 5
14592000/241, 85
14592000/287, 5
14592000/292, 36
14745600/242, 2
1477/1, 44
1488/1, 1
14926/1, 1
1493/1, 1
1504000/584, 62
1511111/169, 1
1511111/214, 1
1518750/212, 1
15235200/292, 6
1535999/131, 1
1536000/131, 59
1536000/135, 54
1536000/145, 1
1536000/155, 1
1536000/156, 815
1536000/168, 226
1536000/169, 522
1536000/209, 36
1536000/212, 256
1536000/213, 150
1536000/214, 10
1536000/224, 1
1536000/892, 333
15360000/241, 16
153863/13, 38
1540/1, 1
15430/1, 1
15440000/35285, 24
1556766/100, 11
1568000/593, 35
1568000/597, 3
1575039/208, 1
157516/49, 4
1575384/175, 1
1584000/169, 3
15871/1, 1
160000/894, 2
1600000/126, 144
1600000/146, 130
1600000/173, 168
1600000/175, 56
1600000/179, 47
1600000/188, 431
1600000/194, 42
1600000/206, 4743
1600000/207, 227
1600000/208, 1838
1600000/210, 93
1600000/224, 2066
1600000/225, 10271
1600000/226, 35
1600000/229, 30
1600000/241, 2146
1600000/242, 43
1600000/243, 266
1600000/244, 456
1600000/246, 68
1600000/278, 409
1600000/280, 2408
1600000/283, 902
1600000/284, 646
1600000/286, 207
1600000/287, 180
1600000/291, 702
1600000/292, 893
1600000/293, 36
1600000/347, 18
16000000/243, 16
16000000/244, 29
16000000/291, 18
1605/1, 1
1613/1, 13
1632000/145, 2
1632000/167, 1
1638400/175, 1
1638400/207, 1
1638400/208, 1
1649476/100, 1
1650000/169, 2
1664000/582, 187
1664000/942, 9
1667/1, 111
1671/1, 3
1674/1, 310
16892/1, 1
1693/1, 10
1696000/590, 8
1696744/241, 1
1703999/210, 3
1704000/141, 16
1704000/158, 43
1704000/168, 145
1704000/169, 11
1704000/171, 4
1704000/210, 486
1704000/260, 12
1704192/210, 1
1712/1, 6
1728000/169, 19
1728000/437, 2
1728000/595, 8
1728000/874, 998
1728000/885, 471
1744896/215, 1
1744896/286, 2
1747692/224, 1
1751351/244, 2
1753/1, 2
17664000/292, 24
1769472/907, 1
1786/1, 16
1795/1, 1
1815/1, 1
1817599/210, 2
1817599/280, 6
18203/1, 2
1820444/169, 3
1821/1, 302
1823/1, 1
