ifds_FocalPlaneYResolution ,Count
, 1003959
-2029649920/16777216, 1
-404298268/-219485720, 6
-603996288/16794368, 32
-603997184/16794368, 1
-604009216/671105792, 1
-604015360/33571584, 7
-604020928/33571584, 1
-604030464/16794368, 1
-604045248/33571584, 1
0/1000000, 252
10023/1, 2
10033/1, 15
10065/1, 5
1007/1, 12
10131/1, 3
1014285714/100000, 1
10208/1, 25
1024000/175, 19
1024000/179, 1
1024000/188, 6
1024000/206, 38
1024000/207, 6
1024000/208, 54
1024000/210, 130
1024000/224, 41
1024000/278, 2
1024000/280, 199
1024000/283, 2
1024000/595, 333
1024000/81, 5
10240000/23400, 24
102433/23, 1
10368000/171, 14
10368000/225, 2
1039/1, 1
104201/18, 20
1044/1, 3
10497600/283, 1
1065120/210, 1
1066/1, 32
10666667/220, 1
1075/1, 8
1080000/117, 145
1080000/125, 7
1080000/156, 16
1080000/181, 10
1080000/94, 1
1087/1, 55
1090/1, 9
1090559/158, 2
1090559/210, 2
1090560/168, 1
10944000/170, 5
10944000/181, 85
10944000/215, 5
10944000/219, 36
1096/1, 54
10978/10, 1
11059200/182, 2
1111/1, 4
11187/1, 2
1119/1, 1
1120/1, 9
1122/1, 32
112513/10, 5
11264000/225, 1
1134/1, 1
11426400/219, 6
1152000/168, 1
1152000/582, 998
1152000/590, 471
1154430/100, 1
1157143/100, 1
1167486720/262144, 5
1179/1, 82
1179648/605, 1
118047/20, 3
1181279/156, 1
1181538/131, 1
1196/1, 5
1198/1, 11
120000/593, 2
1200000/108, 130
1200000/130, 168
1200000/131, 56
1200000/135, 47
1200000/141, 431
1200000/145, 42
1200000/155, 4743
1200000/156, 2065
1200000/158, 93
1200000/168, 6416
1200000/169, 5921
1200000/170, 35
1200000/171, 30
1200000/181, 2146
1200000/182, 291
1200000/183, 456
1200000/184, 68
1200000/209, 409
1200000/210, 2408
1200000/212, 902
1200000/213, 646
1200000/214, 207
1200000/215, 180
1200000/219, 1595
1200000/220, 36
1200000/260, 18
1200000/78, 144
12000000/182, 16
12000000/183, 29
12000000/219, 18
1204/1, 14
1208/1, 2
1213/1, 28
1220/1, 1
1221/1, 33
12224/1, 2
1224000/108, 2
1224000/125, 1
1227/1, 28
1228800/131, 1
1228800/156, 2
1228800/284, 1
12288000/224, 1
12288000/225, 1
12288000/284, 1
1231/1, 15
1234411/32, 2
12623/1, 3
1270/1, 32
1272558/181, 1
1280000/126, 1
1280000/141, 67
1280000/176, 2
1280000/206, 45
1280000/207, 2
1280000/209, 1
1280000/595, 29
1288000/582, 648
1288000/583, 790
1288000/736, 151
12883/1, 1
1296000/108, 1
1296000/225, 1
1296000/88, 7
12996000/241, 1
13018/1, 8
1304/1, 2
1305600/225, 1
13056000/243, 1
13097/1, 1
1310719/208, 2
1310769/168, 1
1313513/183, 2
1322/1, 372
13248000/219, 24
134378/47, 4
1344/1, 7
1360000/595, 1321
1363199/158, 2
1363199/210, 6
1365504/100, 1
1368000/219, 680
13824000/182, 11
1390/1, 1
1392000/189, 34
1392640/610, 4
13984/1, 4
14003/1, 1
1413170/1, 1
1422222/169, 15
1422222/213, 5
1440000/168, 2
1440000/595, 215
14405/1, 51
1441281/220, 10
145/34489, 23
1451356/100, 1
1454079/210, 1
1454079/280, 5
1456000/145, 14
1456000/168, 27
14592000/241, 2
14592000/287, 1
1470588/182, 1
1470588/183, 1
1470588/219, 5
1470588/220, 2
1472727/183, 3
1477/1, 44
1488/1, 1
14926/1, 1
1493/1, 1
1500000/130, 9
1500000/155, 5
1500000/183, 1
1504000/584, 944
1510799/260, 2
1511111/169, 4
1512000/78, 2
1518750/168, 5
1519200/212, 4
1535999/131, 2
1535999/156, 12
1535999/168, 2
1536000/125, 125
1536000/131, 392
1536000/135, 446
1536000/145, 103
1536000/155, 4
1536000/156, 6165
1536000/168, 2211
1536000/169, 3444
1536000/209, 712
1536000/212, 1084
1536000/213, 1361
1536000/214, 239
1536000/284, 2
1536000/892, 53
153863/13, 38
15430/1, 1
1547/1, 1
1556766/100, 11
1568000/593, 695
1568000/597, 377
1575000/108, 32
1584000/169, 673
15871/1, 1
158763/41, 21
160000/81, 4
1600000/173, 1
1600000/175, 13
1600000/188, 57
1600000/194, 4
1600000/206, 420
1600000/207, 56
1600000/208, 198
1600000/210, 24
1600000/224, 286
1600000/225, 754
1600000/229, 1
1600000/241, 125
1600000/243, 12
1600000/244, 57
1600000/278, 19
1600000/280, 409
1600000/283, 208
1600000/284, 37
1600000/286, 10
1600000/287, 29
1600000/291, 28
1600000/292, 4
1600000/347, 4
1605/1, 1
1608000/182, 3
1613/1, 13
1620000/182, 1
1632000/836, 198
1649476/100, 1
1650000/169, 5
1664000/582, 2572
1664000/942, 16
1667/1, 111
1671/1, 310
1674/1, 3
1675862/183, 2
16843009/16843009, 13
1688888/170, 2
1688888/181, 29
1688888/215, 1
1688888/219, 13
16892/1, 1
1693/1, 10
1693983/1, 1
1696000/590, 478
1696000/754, 55
1696000/756, 37
1703999/168, 6
1703999/210, 9
1704000/141, 886
1704000/158, 947
1704000/168, 4083
1704000/169, 2892
1704000/170, 28
1704000/171, 22
1704000/181, 1505
1704000/210, 8021
1704000/215, 475
1704000/219, 496
1704000/260, 218
1704192/210, 2
1710000/181, 1
1712/1, 6
1728000/168, 60
1728000/169, 730
1728000/182, 40
1728000/595, 1745
1728000/874, 112
1728000/885, 17
1736000/150, 104
1744896/215, 16
1753/1, 2
1786/1, 16
1795/1, 1
1800000/168, 2
1800000/169, 16
1800000/213, 5
1806818/183, 1
1815/1, 1
1817599/210, 3
1817599/280, 1
18203/1, 2
1820444/169, 10
1820444/213, 4
1821/1, 302
1823/1, 1
1832000/169, 579
1832000/214, 121
1840/1, 2
1851851/183, 1
1851851/219, 2
1856000/945, 2
1856000/958, 924
1861/1, 245
18645/1, 1
18674/1, 2
1875000/130, 7
1875000/155, 9
1875599/155, 1
1880000/582, 2082
1880000/583, 1016
1880000/736, 2
1887/1, 4
1896296/225, 1
1912500/169, 9
1912500/214, 2
1920000/131, 1
1920000/155, 2
1920000/156, 19
1920000/168, 1
1920000/169, 1
1920000/181, 3
1920000/284, 1
1934222/169, 16
1936/1, 6
1942/1, 1
1944000/145, 413
1944000/168, 6784
1944000/169, 4245
1944000/171, 325
1944000/182, 268
1944000/183, 1286
1944000/212, 4639
1944000/213, 1402
1944000/214, 334
1944000/219, 905
19634/1, 1
1963636/182, 3
1966079/156, 34
1966079/168, 1
1966079/209, 3
1966080/156, 3
196613/568459264, 77
1988/1, 3
1990656/215, 7
1992/1, 1
2/1, 10
