ifds_GainControl ,Count
, 964471
0, 222197
0/1024, 9
1, 107640
10, 6
10512, 1
11, 4
11344, 1
11744, 1
12, 5
12272, 1
126, 1
12816, 1
129, 13
14, 3
14416, 1
14480, 1
15, 13
16, 1
17, 1
175, 2
180, 9
185, 1
186, 74
19, 1
194, 8
195, 12
196, 1
19600, 1
196608/-2116943872, 1
196608/-2119041024, 1
196608/-2146041856, 1
196608/1647837184, 1
196608/1654784000, 1
196608/1659502592, 1
196608/1660289024, 1
196608/1662779392, 1
196608/1665400832, 1
196608/1668284416, 1
196608/1668677632, 1
196608/1673789440, 1
196608/1683881984, 1
196608/1685716992, 1
196608/1703542784, 1
196608/1707474944, 1
196608/1709703168, 1
196608/1711800320, 1
196608/1712193536, 1
196608/1718616064, 1
196608/1718878208, 1
196608/1719009280, 1
196608/1719402496, 1
196608/1729101824, 1
196608/1735262208, 1
196608/1738014720, 1
196608/1747451904, 1
196608/1747714048, 1
196608/1748893696, 1
196608/1750204416, 1
196608/1756102656, 1
196608/1757544448, 1
196608/1765670912, 1
196608/1766588416, 1
196608/1773142016, 1
196608/1774321664, 1
196608/1774977024, 1
196608/1778253824, 1
196608/1784807424, 1
196608/1789132800, 1
196608/1790836736, 1
196608/1794768896, 1
196608/1805516800, 1
196608/1816133632, 1
196608/1817575424, 1
196608/1825439744, 1
196608/1827799040, 1
196608/1838546944, 1
196608/1843265536, 1
196608/1848115200, 1
196608/1848246272, 1
196608/1851916288, 1
196608/1853882368, 1
196608/1854930944, 1
196608/1856634880, 1
196608/1858732032, 1
196608/1862402048, 1
196608/1868169216, 1
196608/1870790656, 1
196608/1878130688, 1
196608/1899757568, 1
196608/1900937216, 1
196608/1902379008, 1
196608/1903165440, 1
196608/1903689728, 1
196608/1904214016, 1
196608/1905393664, 1
196608/1905655808, 1
196608/1906966528, 1
196608/1908539392, 1
196608/1911554048, 1
196608/1912209408, 1
196608/1913257984, 1
196608/1914437632, 1
196608/1915224064, 1
196608/1916010496, 1
196608/1918107648, 1
196608/1918631936, 1
196608/1918763008, 1
196608/1919025152, 1
196608/1920073728, 1
196608/1920466944, 1
196608/1921908736, 1
196608/1922039808, 1
196608/1922957312, 1
196608/1925054464, 1
196608/1926889472, 1
196608/1927020544, 1
196608/1931214848, 2
196608/1931345920, 1
196608/1935409152, 1
196608/1935802368, 1
196608/1936588800, 1
196608/1939734528, 1
196608/1943666688, 1
196608/1944846336, 1
196608/1945239552, 1
196608/1950220288, 1
196608/1950351360, 1
196608/1953628160, 1
196608/1958215680, 1
196608/1960050688, 1
196608/1964376064, 1
196608/1966473216, 1
196608/1968308224, 1
196608/1970405376, 1
196608/1972109312, 1
196608/1974337536, 1
196608/1974992896, 1
196608/1975517184, 1
196608/1978138624, 1
196608/1979187200, 1
196608/1979842560, 1
196608/1982464000, 1
196608/1987182592, 1
196608/1988362240, 1
196608/1988755456, 1
196608/1989410816, 1
196608/1989935104, 1
196608/1992556544, 1
196608/1993474048, 1
196608/1993736192, 2
196608/1995702272, 1
196608/2000814080, 1
196608/2007105536, 1
196608/2009071616, 1
196608/2011561984, 1
196608/2011955200, 1
196608/2012348416, 1
196608/2012872704, 1
196608/2013790208, 1
196608/2020737024, 1
196608/2023620608, 1
196608/2026766336, 1
196608/2028601344, 1
196608/2029912064, 1
196608/2038693888, 1
196608/2041315328, 1
196608/2053111808, 1
196608/2054160384, 1
196608/2054553600, 1
196608/2056388608, 1
196608/2061500416, 1
196608/2063728640, 1
196608/2065825792, 1
196608/2068709376, 1
196608/2071592960, 1
196608/2072772608, 1
196608/2075000832, 1
196608/2077622272, 1
196608/2079588352, 1
196608/2079850496, 1
196608/2082471936, 1
196608/2090074112, 1
196608/2090205184, 1
196608/2090991616, 1
196608/2093613056, 1
196608/2095316992, 1
196608/2097414144, 1
196608/2105933824, 1
196608/2109341696, 1
196608/2117861376, 1
196608/2130444288, 1
196608/2131886080, 1
196608/2136604672, 1
196608/2145517568, 1
197, 26
2, 82085
20, 2
202, 1
204, 1
207, 2
21, 2
215, 1
217, 1
22, 2
235, 1
24, 7
2400, 1
250, 1
2544, 1
256, 646
2576, 1
258, 1
260, 1
265, 118
2672, 1
2688, 3
27, 1
272, 2
273, 1
2752, 1
2768, 2
28, 1
2816, 1
286, 2
289, 2
2896, 1
293, 3
2960, 1
297, 1
2976, 1
3, 960
301, 4
304, 1
3088, 1
311, 1
312, 1
315, 1
3168, 1
322, 1
329, 1
3344, 2
336, 2
337, 1
34, 5
345, 2
3488, 1
3520, 1
358, 20
3584, 1
367, 3
369, 4
372, 2
3728, 1
3744, 1
376, 2
3856, 1
39, 1
3904, 1
3920, 1
3936, 1
394, 3
3968, 1
4, 2233
4016, 2
4032, 3
415, 1
437, 8
4480, 1
4512, 1
4688, 1
4784, 1
5, 17
50896, 1
51056, 2
51328, 1
51584, 1
51744, 1
51824, 1
5184, 1
51920, 1
51984, 1
52144, 2
52224, 1
52336, 1
52432, 1
52656, 1
52720, 1
5296, 1
53024, 1
53088, 1
53152, 1
548, 3
5600, 1
5824, 1
5856, 1
5888, 1
5936, 1
5984, 1
6, 15
6016, 1
6064, 1
6112, 1
6128, 1
6160, 1
6192, 1
62192, 1
6352, 1
6432, 2
6560, 1
6784, 1
6832, 1
6864, 1
6896, 1
6976, 1
7, 14
7136, 1
7200, 1
7312, 1
7328, 1
7392, 1
7424, 1
7440, 1
7504, 1
7520, 1
7568, 1
7664, 1
7872, 2
7888, 1
7920, 1
7936, 1
8, 22
8000, 1
8016, 1
8032, 1
