ifds_ISOSpeedRatings ,Count
, 212121
0, 3436
0, 0, 128
0, 0, 0, 1
1, 21
10, 2
100, 274912
100, 0, 0, 345
100, 100, 24
1000, 11553
1000, 0, 0, 1
10000, 29
1001, 8
10016, 1
10032, 1
1004, 3
1005, 1
1008, 13
10080, 1
101, 718
1010, 2
1011, 1
10112, 2
1012, 3
1014, 1
1016, 109
1018, 15
102, 461
1022, 2
1023, 1
1024, 1
10240, 0, 0, 1
1027, 1
1028, 3
10288, 1
103, 348
1030, 1
1032, 3
1034, 3
1036, 1
1037, 1
10384, 2
104, 450
1040, 2
10448, 1
1046, 1
10464, 1
1048, 4
105, 817
1050, 1
1051, 1
10528, 1
1053, 1
1054, 4
1055, 2
1056, 10
1056, 0, 0, 13
10576, 1
106, 164
1060, 2
1061, 4
1064, 1
1065, 1
10656, 1
1068, 1
1069, 1
107, 381
107, 0, 0, 5
1071, 1
1073, 4
1074, 2
10768, 1
1077, 1
1078, 4
10784, 1
1079, 2
108, 156
1080, 1
1085, 2
1086, 2
109, 360
1090, 1
1092, 3
1093, 1
1097, 1
1099, 4
10992, 1
110, 758
1100, 323
1105, 1
1106, 1
11072, 1
1108, 3
111, 172
1110, 1
1111, 3
1112, 4
11136, 1
1116, 1
1117, 1
1118, 3
112, 414
1120, 1
1125, 6
1126, 16
1128, 1
11280, 2
113, 266
1131, 35
1131, 0, 0, 1
1138, 2
114, 218
114, 0, 0, 3
1140, 1
11400, 1
11408, 3
1142, 1
1143, 1
1145, 3
1147, 1
11488, 1
1149, 1
115, 222
1150, 2
1151, 1
1153, 1
1156, 3
1158, 1
1159, 1
116, 256
1162, 1
1164, 1
1166, 3
1167, 1
117, 195
1171, 2
1172, 1
1173, 1
1174, 1
11744, 1
1176, 4
1178, 6
1179, 1
11792, 3
118, 166
1180, 3
1181, 2
1183, 1
1184, 1
11888, 2
119, 170
1190, 1
1193, 2
1194, 2
1195, 2
1196, 1
11968, 1
1197, 1
120, 1845
1200, 90
12000, 1
1201, 1
1203, 1
1205, 8
1206, 1
12064, 1
1209, 1
121, 172
1212, 1
1212, 0, 0, 13
1214, 1
1216, 1
12160, 2
1219, 1
122, 156
1221, 1
1222, 5
1223, 1
1224, 3
1226, 4
12272, 1
1229, 6
123, 416
123, 0, 0, 6
1230, 1
1232, 1
1233, 1
1234, 1
1236, 1
124, 107
1244, 2
1245, 28
125, 51924
125, 0, 0, 133
125, 125, 3
1250, 5092
1250, 0, 0, 6
1250, 1250, 1
12500, 3
1251, 2
1257, 1
1258, 2
126, 123
1261, 1
1265, 6
1266, 2
1267, 1
127, 103
1272, 1
1274, 1
1276, 1
128, 338
12800, 165
