ifds_MakerNote ,Count
, 181938
@ 0x0000, 4163
@ 0x0002, 2
@ 0x0008, 89
@ 0x000C, 1
@ 0x0030, 4
@ 0x0078, 1
@ 0x0088, 249
@ 0x008A, 134
@ 0x008C, 694
@ 0x009A, 2
@ 0x00AA, 7
@ 0x00C6, 54
@ 0x00CC, 25
@ 0x00D2, 342
@ 0x00DE, 1809
@ 0x00F6, 55
@ 0x00FE, 383
@ 0x0100, 31
@ 0x011A, 1
@ 0x0122, 168
@ 0x0144, 11
@ 0x0146, 1
@ 0x014E, 36
@ 0x014F, 5
@ 0x0154, 37
@ 0x0156, 176
@ 0x015A, 31
@ 0x015B, 32
@ 0x015E, 2
@ 0x0160, 4
@ 0x0162, 541
@ 0x0167, 1
@ 0x016C, 3
@ 0x0170, 80
@ 0x0172, 1
@ 0x0174, 6
@ 0x0176, 615
@ 0x0178, 36
@ 0x017C, 5
@ 0x017E, 10
@ 0x0182, 180
@ 0x0184, 177
@ 0x0186, 1
@ 0x0187, 1
@ 0x0188, 2
@ 0x018A, 4
@ 0x018C, 607
@ 0x018E, 4
@ 0x0192, 6
@ 0x0196, 1
@ 0x0198, 9
@ 0x019A, 23
@ 0x019C, 18
@ 0x019E, 6
@ 0x01A0, 2
@ 0x01A2, 4
@ 0x01A4, 20
@ 0x01A8, 37
@ 0x01AC, 176
@ 0x01AE, 15
@ 0x01AF, 2
@ 0x01B0, 156
@ 0x01B2, 1
@ 0x01B4, 361
@ 0x01B6, 11
@ 0x01B7, 6
@ 0x01B8, 21
@ 0x01BA, 132
@ 0x01BC, 102
@ 0x01BD, 1
@ 0x01BF, 18
@ 0x01C0, 169
@ 0x01C2, 111
@ 0x01C4, 115
@ 0x01C6, 24
@ 0x01C7, 6
@ 0x01C8, 203
@ 0x01CA, 10
@ 0x01CC, 7
@ 0x01CE, 26
@ 0x01D0, 49
@ 0x01D1, 1
@ 0x01D4, 84
@ 0x01D6, 17
@ 0x01D8, 2
@ 0x01DA, 271
@ 0x01DC, 41
@ 0x01DE, 102
@ 0x01E1, 2
@ 0x01E2, 4
@ 0x01E4, 2
@ 0x01E6, 144
@ 0x01E8, 28
@ 0x01EA, 238
@ 0x01EB, 66
@ 0x01ED, 47
@ 0x01EE, 8932
@ 0x01F1, 1
@ 0x01F2, 475
@ 0x01F4, 866
@ 0x01F6, 1995
@ 0x01F8, 336
@ 0x01FA, 2244
@ 0x01FC, 641
@ 0x01FD, 6
@ 0x01FE, 68
@ 0x0200, 713
@ 0x0201, 3
@ 0x0202, 628
@ 0x0204, 329
@ 0x0206, 197
@ 0x0208, 125
@ 0x0209, 1
@ 0x020A, 718
@ 0x020C, 59
@ 0x020D, 1
@ 0x020E, 34
@ 0x0210, 117
@ 0x0212, 11
@ 0x0214, 96
@ 0x0215, 1
@ 0x0216, 280
@ 0x0218, 928
@ 0x0219, 1
@ 0x021A, 2
@ 0x021C, 74
@ 0x021E, 281
@ 0x0220, 1715
@ 0x0221, 66
@ 0x0222, 150
@ 0x0224, 344
@ 0x0225, 310
@ 0x0226, 2
@ 0x0228, 157
@ 0x0229, 9
@ 0x022A, 44
@ 0x022B, 1
@ 0x022C, 77
@ 0x022D, 101
@ 0x022E, 78
@ 0x022F, 1
@ 0x0230, 73
@ 0x0231, 2
@ 0x0232, 552
@ 0x0234, 167
@ 0x0236, 555
@ 0x0237, 1
@ 0x0238, 1769
@ 0x0239, 2
@ 0x023A, 217
@ 0x023B, 7
@ 0x023C, 315
@ 0x023D, 21
@ 0x023E, 155
@ 0x023F, 2
@ 0x0240, 247
@ 0x0242, 46
@ 0x0243, 1
@ 0x0244, 714
@ 0x0245, 44
@ 0x0246, 168
@ 0x0247, 3
@ 0x0248, 631
@ 0x0249, 68
@ 0x024A, 90
@ 0x024B, 1
@ 0x024C, 2804
@ 0x024D, 1
@ 0x024E, 112
@ 0x024F, 8
@ 0x0250, 409
@ 0x0252, 1797
@ 0x0253, 2
@ 0x0254, 1543
@ 0x0255, 14
@ 0x0256, 835
@ 0x0257, 48
@ 0x0258, 1372
@ 0x025A, 3573
@ 0x025C, 361
@ 0x025D, 217
@ 0x025E, 462
@ 0x025F, 26
@ 0x0260, 2702
@ 0x0262, 149
@ 0x0264, 47
@ 0x0265, 389
@ 0x0266, 2460
@ 0x0267, 1
@ 0x0268, 296
@ 0x0269, 283
@ 0x026A, 645
@ 0x026B, 42
@ 0x026C, 911
@ 0x026D, 12
@ 0x026E, 934
@ 0x0270, 147
@ 0x0271, 2
@ 0x0272, 36979
@ 0x0274, 3700
@ 0x0275, 120
@ 0x0276, 289
@ 0x0278, 417
@ 0x027A, 1440
@ 0x027B, 1
@ 0x027C, 352
@ 0x027D, 1
@ 0x027E, 1307
@ 0x027F, 18
@ 0x0280, 66
@ 0x0281, 19
@ 0x0282, 176
@ 0x0283, 263
@ 0x0284, 903
@ 0x0285, 146
@ 0x0286, 1636
@ 0x0287, 35
@ 0x0288, 164
@ 0x028A, 885
@ 0x028B, 4
@ 0x028C, 781
@ 0x028D, 23
@ 0x028E, 519
@ 0x028F, 27
@ 0x0290, 352
@ 0x0291, 159
@ 0x0292, 2087
@ 0x0293, 2
@ 0x0294, 3061
@ 0x0295, 3
@ 0x0296, 21457
@ 0x0298, 6000
@ 0x0299, 26
@ 0x029A, 4045
@ 0x029B, 14
@ 0x029C, 1135
@ 0x029D, 326
@ 0x029E, 1801
@ 0x029F, 98
@ 0x02A0, 3119
@ 0x02A1, 47
@ 0x02A2, 15410
@ 0x02A4, 6260
@ 0x02A5, 1
@ 0x02A6, 65086
@ 0x02A7, 9
@ 0x02A8, 2994
@ 0x02A9, 10
@ 0x02AA, 872
@ 0x02AB, 38
@ 0x02AC, 942
@ 0x02AD, 7
