ifds_MaxApertureValue ,Count
, 383528
-2147483648/1, 35
-604045309/16794368, 1
-664/100, 8
0/0, 156
0/1, 34
0/10, 2328
0/100, 813
0/10000, 34
0/1000000, 19
0/256, 3509
0/65536, 71
0/8, 2
1/1, 266
1/100, 1
10/10, 3455
10/3, 17
100/100, 1076
1000/256, 2
1000/65562, 4
1001/256, 12
1002/256, 12
1006/256, 16
1007/256, 7
1009/256, 1
101/32, 3269
1012/256, 6
1013/256, 35
1017/256, 4
1018/256, 7
1019/256, 15
102/32, 1
1020/256, 6
1024/256, 6844
1025/256, 16
1029/256, 1
1031/256, 73
1032/256, 2
1033/256, 7
1037/256, 17
1038/256, 32
1039/256, 2
104/32, 996
1041/256, 3
1042/256, 20
1043/256, 31
1045/256, 4
1046/256, 4
1048/256, 35
1049/256, 33
1054/256, 3
1055/256, 1
1056/256, 35
1057/256, 4
1058/256, 8
1059/256, 11
106/32, 14
1060/256, 23
1061/256, 2
1062/256, 25
1064/256, 22
1065/256, 3
107/32, 15946
10717/2018, 1
1072/256, 35
1074/256, 15
1075/256, 24
1077/256, 17
1081/256, 46
1082/256, 31
1083/256, 4
1085/256, 1
1089/256, 1
1091/256, 98
1094/256, 26
1095/256, 31
1096/256, 7
11/4, 3
11/5, 20
1101/256, 9
1103/256, 55
1107/256, 50
1108/256, 8
1109/256, 1
1110/256, 3088
1111/256, 58
111149/65536, 287
1113/256, 4
1114/256, 4
1115/256, 50
1116/256, 6
1117/256, 3
1118/256, 11
1119/256, 23
112/100, 31
1120/256, 4
1122/256, 1
1123/256, 13
1124/256, 3
1125/256, 9
1127/256, 5
1128/256, 14
1129/256, 1
113/32, 1543
1130/256, 67
1131/256, 32
1133/256, 1
1134/256, 1
1137/256, 2
1137/625, 43
1138/256, 18
1139/256, 1
1140/256, 1
1143/256, 73
1144/256, 5
1146/256, 6
1148/256, 82
1149/256, 2
115/32, 12
1150/256, 1
1152/256, 5
1153/256, 10
1154/256, 2
1155/256, 31
1158/256, 52
1159/256, 13
116/25, 24
116/32, 15110
1165/256, 50
1167/256, 45
1171/256, 5
1172/256, 4
1174/256, 310
1175/256, 6
1177/256, 14
1178/256, 10
118/32, 529
1180/256, 32
1181/256, 40
1182/256, 77
11858/2693, 1
1186/256, 17
1188/256, 1914
1189/256, 37
119/25, 2
1192/256, 2
1193/256, 8
1194/256, 2
11943/2428, 4
1195/256, 43
1199/256, 71
12/10, 1
120/32, 6
1201/256, 14
1202/256, 1
1203/256, 2
1204/256, 6
1207/256, 6
1208/256, 10
1209/256, 4
121/32, 18
1210/256, 33
1212/256, 6
1214/256, 58
1215/256, 3
1216/256, 1
1218/256, 15
1222/256, 5
1223/256, 44
1224/256, 31
1225/256, 2
1227/256, 108
1229/256, 3
123/32, 650
1232/256, 21
1234/256, 40
1235/256, 11
1236/256, 5
1237/256, 6
1238/256, 7
1239/256, 31
124/128, 410
1242/256, 2
1243/256, 6
1244/256, 30
1245/256, 2
1246/256, 6
1247/256, 3
1248/256, 6
1249/256, 8
125/32, 19
1250/256, 1
1251/256, 1
1252/256, 25
1253/256, 26
1254/256, 4
1257/256, 10
1258/256, 6
1259/256, 29
126/32, 216
1261/256, 6
1262/256, 3
1263/256, 33
1264/256, 29
1266/256, 4
1268/256, 15
1269/256, 4
1270/256, 4
1271/256, 43
1272/256, 3356
1273/256, 725
1274/256, 423
128/32, 7373
1286/256, 8
1298/256, 198
130/32, 903
13073/3463, 1
131/32, 9
1310/256, 129
131072/65536, 2144
1311/256, 9
13166/7763, 14
132/32, 17
134/32, 5
13461/10000, 150
135/32, 402
1359/256, 2
136/32, 11
1360/256, 657
138/32, 1
1382/256, 13
139/32, 6167
14/5, 23
140/100, 23
140/50, 27
1404/256, 38
141/32, 5
143/32, 5
14304/100, 16
145/32, 2331
147/32, 6980
14819/5375, 5
149/32, 2074
15/10, 3
15/4, 31
15/5, 1
150/100, 25
150/128, 42
150/32, 79
15172/3549, 3
153/100, 156
153/32, 2
1531250/1000000, 17
1536/256, 1
154/32, 343
156/32, 67
157/32, 1339
159/32, 1129
16/10, 4000
16/5, 265
16/8, 16
16003/3085, 1
1603/1000, 312
161/32, 544
162/32, 1457
16205/3734, 5
163/50, 36
164/32, 147
166/100, 49
16875/10000, 4
169/64, 4
17/10, 2586
17/5, 138
170/100, 3705
170/32, 22
173/32, 21
173268/65536, 69
174/128, 20
178/32, 55
18/10, 7
18/5, 93
180791/65536, 5
181/32, 10
181/50, 135
1825361152/1073741824, 1
18325/3649, 3
1852/1000, 91
187/100, 224
187820/65536, 1193
19/10, 17
19/5, 13
190/100, 1462
192/32, 11
193/100, 1
194694/65534, 977
194698/65536, 5573
196/128, 26
196608/65536, 6
19789/2752512, 168
2/1, 608
20/10, 10009
200/100, 3870
200000/100000, 90
2000000/1000000, 3359
20173/5713, 1
206/100, 178
2083/5000, 2
21/10, 1
21/5, 12
211/100, 54
212/100, 39
21272/4525, 2
215/64, 382
217/128, 431
217/50, 78
218/100, 1
219948/65536, 4
22/10, 70
22/5, 18
221/32, 1
225/100, 26
227/100, 2854
227/32, 6
227500/100000, 20
228/100, 5569
23/10, 193
23/5, 16
23/8, 2
233985/100000, 218
23621/4687, 2
236890/65534, 3
236894/65536, 2175
237/100, 15
237/128, 14
23930/4973, 1
24/10, 357
24/5, 17
24/8, 15
240/100, 1353
240000/100000, 413
24122/4453, 2
243/100, 24
24331/5306, 2
24335/7064, 19
24361/8200, 67
245/100, 119
246/32, 1
248/256, 131
249/256, 68
249/50, 25
249/64, 7
25/10, 1912
250/100, 1657
252/100, 314
2526/1000, 19
252600/100000, 350
252606/100000, 311
2526069/1000000, 21
25261/10000, 14
253/100, 68
256/100, 11
256/128, 13
256/256, 1331
25781/8133, 29
259/100, 29
26/10, 4356
260/100, 740
262/100, 18
262140/65534, 183
262144/65536, 1330
263/64, 1
264/100, 37
265/100, 27
265/64, 1
266/100, 1
2662/1024, 50
2663/1000, 1
268/100, 2
27/10, 1473
274/128, 9
275/100, 2152
2756/1000, 13
2757/1000, 222
275700/100000, 1
276/100, 10653
2760/1000, 6
2764/1024, 1
2765/1024, 50
28/10, 16217
280/100, 5339
2800/1000, 5
281/100, 11167
28102/10000, 422
283/100, 3
284412/65534, 8
284416/65536, 855
286/100, 1531
2866/1000, 441
2867/1024, 5
28672/10240, 3
28692/7763, 1
287/100, 504
289/100, 69
29/10, 7949
29/8, 69
290/100, 238
291/128, 27
291/32, 1
293/100, 60
293/64, 1
2967/1000, 5
296875/100000, 9
297/100, 30112
297/64, 71
2970/1000, 342
29708/10000, 182
2971/1000, 2737
298/100, 457
299/100, 6
3/1, 9732
3/2, 465
30/10, 95338
300/100, 28632
3000000/1000000, 8
301/64, 7
3010/1000, 1
302/100, 30
303/200, 1364
304/100, 2
304335/65534, 1
304340/65536, 634
305/100, 528
3050/1000, 25
306/100, 353
307/100, 1662
3072/1000, 61
3072/1024, 1
308/100, 6
308/128, 42
3082/1000, 370
31/10, 3287
31/20, 485
310/100, 412
311/100, 1
312/100, 18
3125/1000, 1
313/64, 1
314/100, 16
315/64, 2
3157/2000, 248
316/100, 355
317/100, 1312
3171/1000, 693
318/100, 1
3180/1000, 36
319/100, 46
319/64, 1
32/10, 7435
32/16, 1
320/100, 458
3200/1000, 71
321/100, 9
322/100, 26
323/100, 166
324/100, 7
325/100, 1
325764/65534, 2
325770/65536, 1705
326/100, 7805
3260/1000, 2
3263/1000, 76
3264/1000, 340
3265/1000, 39
327/100, 66
3276/1024, 435
329/100, 27
329/64, 2
33/10, 13691
33/16, 4127
330/100, 1543
331/100, 28
332/100, 5
334/100, 6
335/100, 834
3356/1000, 6364
3357/1000, 11
336/100, 1365
337/100, 41
3375/1000, 2
338/128, 40
339/100, 32
34/10, 12680
340/100, 2898
341/100, 12
342/100, 1
343/100, 342
343/64, 1
344/100, 25545
3445/1000, 84
345/100, 25
346/100, 5
347/100, 10
348036/65534, 2
348042/65536, 25
349/100, 7
35/10, 5436
35/8, 3
350/100, 878
351/100, 1
353/100, 1170
3530/1000, 4
3531/1000, 2
354/100, 10
356/100, 34
357/100, 19
35753/10653, 12
3577/1000, 982
358/100, 6
36/10, 33921
360/100, 4543
3600000/1000000, 79
361/100, 16268
3610000/1000000, 7
3614/1000, 6
3615/1000, 26
362/100, 1601
3625/1000, 14
363/100, 1
364/100, 30
366/100, 104
367/100, 222
367/128, 3
368/100, 5
369/100, 486
369098752/134217728, 1
3696/1000, 30
37/10, 12684
370/100, 664
3700000/1000000, 14
371/100, 43
372/100, 4
3720/1000, 8
373/100, 15
374/100, 2
375/100, 17
377/100, 101
3774/1000, 1
378/100, 244
379/100, 4
38/10, 4751
380/100, 1298
380/128, 1428
3800000/1000000, 32
381/100, 5
382/100, 7
383/100, 10
384/100, 3
384/125, 8
385/100, 456
3852/1000, 10
386/100, 74
387/100, 32
3871/1000, 37
388/100, 9
389/100, 5
389231424/134217728, 8
39/10, 5350
39/8, 2
390/100, 738
3900000/1000000, 2
391/100, 11
392/100, 367
392/256, 4301
3926/1000, 12
393/100, 360
393/128, 26
394/100, 2
396/100, 4
398/100, 2
398458880/134217728, 1
398626656/134217728, 3
4/1, 806
40/10, 9282
40/16, 1589
40/8, 6
400/100, 7384
4000000/1000000, 28
401/100, 12
402/100, 7
4022/1000, 50
402653184/134217728, 109
404/100, 4
405/100, 11
406/100, 15
406/128, 53
407/100, 169
40761/8200, 30
408/100, 3
409/100, 3
41/10, 3796
41/8, 7
410/100, 8
4100000/1000000, 13
412/100, 25
4125/1000, 3
413/100, 9
414/100, 297
4140/1000, 17
415/100, 1
416/100, 16
416074944/134217728, 1
4167/1000, 42
4176/1000, 22
418/100, 7
418/128, 648
419/100, 1
42/10, 2658
420/100, 106
4200000/1000000, 10
4208/1000, 5
421/100, 3
422/100, 52
425/100, 34
4258/1000, 24
426/100, 9
427/100, 86
4274/1000, 2
428/100, 199
429496736/134217728, 14
43/10, 7561
430/100, 85
430/128, 139
4300000/1000000, 38
4301/1000, 31
431/100, 20
433/100, 435
434/100, 4740
434/256, 6224
4340/1000, 15
4340000/1000000, 1
434375/100000, 8
4348/1000, 12
435/100, 4
436207616/134217728, 1
437/100, 58
4375/1000, 32
438/100, 2
439/100, 7
44/10, 3485
44/16, 2182
440/100, 271
4404/1000, 20
441/100, 41
441/128, 4197
4419/1000, 34
442/100, 4
442918496/134217728, 3
443/100, 24
443/128, 29
4444/1000, 15
445/100, 7
446/100, 83
4466/1000, 1
447/100, 12
45/10, 5278
450/100, 90
4505/1000, 28
451/100, 1
452/100, 401
452/128, 229
4526/1000, 8
453/100, 125
4542/1000, 12
455/100, 4
456/128, 28
456340288/134217728, 9
4569/1000, 34
458/100, 681
4586/1000, 4
459/100, 2
459375/100000, 1
46/10, 2747
46/16, 8284
460/100, 14
462/100, 3
463/100, 3
463/128, 649
4632/1000, 3
4635/1000, 26
464/100, 1916
466/100, 2
467/100, 5
4679/1313, 5
468/100, 12
469/100, 3
469762048/134217728, 11
47/10, 3190
47/16, 3389
470/100, 352
4700/1000, 16
4701/1000, 73
471/128, 43
472/100, 1
473/128, 155
475/100, 26
4756/1000, 10
476/100, 435
479/100, 2
48/10, 3869
48/16, 66823
480/100, 5
481/100, 67
4812/1000, 6
482/100, 3
483/100, 2
483/128, 192
483183808/134217728, 3
484/128, 33
4845/1918, 8
486/100, 32
4866/1000, 10
487/100, 11
4875/1000, 1
49/10, 2509
49/32, 52
490/100, 1
491/100, 67
4918/1000, 1
4927/2500, 159
493/100, 2
493/128, 147
495/100, 11
4954/1000, 237
496/100, 57
496605600/134217728, 6
496875/100000, 135
497/100, 7361
4970/1000, 53
4970000/1000000, 2
4971/1000, 2
498/100, 289
498/128, 40
5/1, 173
5/10, 4
5/2, 2
5/4, 51
50/10, 16674
500/100, 60
5000/1683, 8
5000000/1000000, 5
502/100, 33
503/128, 298
503316480/167772160, 5
505/128, 24
507/100, 327
5072/1000, 4
508/100, 8
5097/1000, 3
51/10, 278
51/16, 8
510/100, 23
510027360/134217728, 3
511/100, 3
512/100, 191
512/128, 211
512/256, 4146
5122/1000, 58
513/100, 59
517/128, 26
5170/1000, 2
52/10, 69
521/128, 150
523449152/134217728, 2
5248/1000, 7
525/100, 49
526/100, 10
526/128, 19
53/10, 702
53/20, 2
530/100, 3
530/128, 39
531/100, 691
5310/1000, 6
532/100, 14
533/100, 1
5357/1482, 37
5365/1872, 9
536870912/134217728, 12
539/128, 103
5399/1000, 8
54/32, 135
5400/1000, 4
547/128, 128
548/256, 6
549/100, 1
55/10, 4
55/16, 9390
550292672/134217728, 1
5545/1000, 8
555/128, 142
555661376/134217728, 1
556/128, 109
56/10, 4
563/128, 27
564/128, 93
5678/1000, 9
57/10, 4
57/16, 6
57/25, 1
572/128, 170
577136256/134217728, 3
579/128, 96
5797/1000, 4
58/16, 38126
581162752/134217728, 34
582/256, 102
587/128, 186
587202560/167772160, 2
5882/1000, 6
590/100, 2
590/256, 7
591/128, 15
594/128, 156
5947/1000, 5
597/128, 17
6/1, 5
6/2, 5
60/10, 185
600/100, 73
600/256, 1
6012/1000, 5
602/128, 127
603979776/134217728, 27
603979776/167772160, 2
605/128, 22
609/128, 268
6090/1000, 4
61/20, 384
612/128, 14
615/128, 21
615/256, 12
616/128, 125
617/128, 10
6172/1000, 9
619/128, 48
62/16, 894
620/128, 4
62040/100, 1
621/128, 20
623/128, 156
6232/1909, 14
624/128, 21
626/128, 22
6262/1000, 8
630/128, 98
633/128, 13
634/100, 1
6358/1000, 7
636/100, 154
636/128, 121
63624/65534, 17
63626/65536, 286
637/128, 1
638/128, 10
64/32, 3857
643/128, 69
6456/1000, 4
646/256, 13
647/256, 1
649/128, 65
65/10, 2
65/16, 1
6545/1000, 1
655/128, 5
655/256, 1
656/128, 352
658/128, 19
6614/1000, 26
662/128, 15
67/20, 1
672/128, 4
672/256, 1
674/128, 11
676/256, 30
677/256, 1774
679/128, 5
680/128, 5
686/128, 129
69/16, 5
69/25, 114
691/128, 19
7/10, 1
7/2, 50
706/256, 558
71/16, 1
73/10, 10
73/32, 539
734/256, 7
738263040/1677721600, 1
751/256, 1
7549747/2097152, 1
756/100, 112
760/256, 5557
761/256, 3890
765/256, 1
768/256, 950
77/16, 4
77/20, 1
770/256, 208
774/256, 1
774216/65534, 1
777/256, 123
778/256, 24
779/256, 36
780/256, 128
781/256, 226
782/256, 154
783/256, 11
784/256, 92
79/25, 2
797/256, 6
798/256, 2
8/5, 28
802/256, 1
803/256, 1
8074/3549, 19
81/16, 5
81/32, 298
81/50, 51
812/256, 8
823/256, 1
826/256, 12
827/256, 7
829/256, 1
836/256, 9
84/25, 1
842/256, 2
843/256, 4
845/256, 6
846/256, 12
847/256, 1
849/256, 9
85/16, 32
85/32, 374
850/256, 6
851/256, 1
858/256, 14
859/256, 13
86/25, 67
860/256, 2751
861/256, 2
862/256, 5
8681/1918, 5
8747/5713, 2
877/256, 32
88/32, 9214
881/256, 14
882/256, 3025
887/256, 5
888/256, 6
889/256, 2
9/2, 44
90/32, 170
904/256, 11
905/256, 3
906/256, 2
910/256, 2
911/256, 2
917504/327680, 4
92/32, 6265
922/256, 1
923/256, 13
924/256, 7
925/256, 12108
926/256, 7442
929/256, 1162
9297/2002, 4
931/256, 38
935/256, 1
936/256, 31
941/256, 1
942/256, 9
943/256, 22
949/256, 27
95/32, 89747
950/256, 5
951/256, 9
952/256, 1
955/256, 1
957/256, 3
96/32, 8
960/256, 3
962/256, 12
966/256, 1
967/256, 94
97/100, 5
971/256, 4
98/100, 11
98/32, 160
980/100, 2
983/256, 8
986/256, 13
991/256, 32
992/256, 10
993/256, 74
994/256, 9
995/256, 7
998/256, 12
