ifds_MeteringMode ,Count
, 107658
10000, 1
10064, 1
10112, 1
10128, 1
10192, 1
10256, 1
10272, 1
10336, 1
10400, 1
10512, 1
10608, 1
10688, 1
11024, 3
11104, 1
11232, 1
11248, 1
11264, 1
11280, 1
11360, 1
11392, 1
11408, 3
11504, 1
11712, 1
11888, 2
11952, 1
12160, 1
12192, 2
1280, 23
13344, 1
14304, 1
14768, 1
14816, 1
15568, 1
15920, 1
16160, 1
16368, 3
16768, 1
17, 3
2336, 1
2416, 1
2448, 2
2512, 2
2528, 1
2560, 2
2608, 4
2656, 1
2688, 1
2704, 1
2784, 2
2816, 2
2848, 1
2880, 1
2912, 1
2944, 2
2960, 1
3024, 1
3040, 1
3072, 1
3120, 1
3136, 1
3152, 4
3168, 1
3184, 1
3232, 1
3248, 2
3312, 1
3328, 2
3360, 2
3392, 1
3408, 2
3440, 1
3504, 1
3520, 1
3552, 2
3632, 1
3648, 1
3664, 1
3728, 1
3760, 1
3776, 1
3792, 1
3808, 2
3824, 1
3840, 2
3936, 1
3984, 1
4000, 1
4016, 1
4048, 2
4064, 3
4080, 2
4352, 1
4384, 1
4448, 1
4576, 1
4704, 1
4720, 3
4752, 1
4768, 1
4784, 1
4832, 1
4896, 1
4912, 2
4976, 4
5024, 1
5040, 1
5072, 1
5088, 1
50928, 1
51184, 1
51344, 1
5136, 2
51424, 1
51520, 1
51584, 1
5168, 3
51744, 2
51824, 1
5184, 1
51936, 1
52032, 1
5216, 2
52256, 1
52320, 1
5248, 1
52624, 1
52688, 1
52752, 1
52992, 1
53072, 1
5312, 2
53136, 1
5424, 1
5520, 1
55264, 1
5536, 2
5568, 1
5584, 2
5632, 2
5648, 1
5664, 1
5680, 1
5712, 2
5792, 1
5808, 3
5824, 1
5840, 1
5872, 3
5888, 1
5984, 1
6032, 1
6048, 1
6080, 2
6144, 1
6160, 1
6176, 1
6192, 1
62112, 1
6224, 1
6304, 1
6384, 1
6432, 1
6480, 1
65535, 7
6576, 1
6592, 1
6656, 1
6704, 1
6752, 1
6800, 1
6832, 1
6896, 1
6976, 3
6992, 1
7008, 1
7024, 2
7040, 3
7120, 1
7136, 1
7200, 1
7264, 1
7344, 1
7392, 1
7440, 1
7472, 1
7488, 2
7520, 1
7552, 1
7568, 1
7600, 1
7616, 1
7632, 1
7664, 3
7696, 1
7712, 1
7792, 2
7840, 1
7872, 1
7888, 1
7920, 1
7936, 2
7968, 1
8048, 1
8080, 1
8128, 1
8512, 1
8672, 1
8784, 1
8800, 2
8816, 1
8832, 1
9072, 1
9136, 1
9280, 1
9296, 1
9312, 2
9472, 2
9536, 1
9552, 1
9632, 1
9680, 2
9696, 1
9728, 1
9776, 1
9808, 1
9904, 2
Average, 35509
CenterWeightedAverage, 141425
MultiSpot, 6069
Other, 5537
Partial, 8416
Pattern, 1024546
Spot, 47758
Unknown, 3753
