ifds_Saturation ,Count
, 741531
0, 589879
1, 6824
10118, 1
10144, 1
10186, 1
10224, 1
1024, 4
10242, 3
1026, 2
1044, 1
10544, 1
10759, 1
11056, 1
11200, 1
11264, 1
11400, 3
11568, 1
11717, 1
11803, 4
11960, 1
11984, 1
1216, 1
12160, 1
1217, 5
12291, 5
12326, 9
12374, 2
12480, 1
12502, 1
12528, 1
12530, 1
12532, 1
12582, 2
12594, 1
12651, 3
12659, 1
128, 6
1280, 1
12833, 1
1288, 8
13048, 3
13074, 1
13105, 1
13179, 1
13190, 1
132, 1
13216, 1
13424, 19
13556, 1
13849, 1
14, 1
14194, 6
14255, 1
14336, 2
144, 2
14584, 3
1472, 1
14896, 1
15040, 1
15096, 1
15232, 1
15355, 1
1545, 1
16, 1
1622, 1
16243, 1
16254, 1
16377, 5
16379, 2
16384, 5
16400, 3
16416, 3
16636, 1
16640, 2
16852, 1
1689, 1
16896, 2
17408, 1
175, 1
17561, 3
17577, 1
17600, 3
17704, 1
17792, 1
17824, 51
17832, 2
18052, 1
18073, 5
18075, 1
18113, 2
18137, 3
18565, 1
18603, 1
19008, 1
191, 1
19116, 2
192, 3
19207, 3
193, 3
19455, 1
19588, 2
2, 40305
20100, 2
20208, 1
20236, 10
20480, 7
20482, 2
20497, 4
2052, 1
20554, 1
20576, 2
20616, 3
20717, 1
20729, 1
20731, 1
20735, 2
20736, 2
2080, 2
20816, 1
20883, 1
20969, 1
20992, 3
21025, 1
21028, 1
21041, 1
21203, 1
21396, 3
21506, 3
21634, 1
21659, 1
21672, 2
2176, 1
22098, 1
22169, 1
22213, 1
22221, 5
22234, 1
22984, 4
2303, 1
2336, 1
2377, 7
23788, 1
23836, 1
2416, 1
242, 1
243, 1
2432, 5
246, 1
247, 3
24704, 2
24728, 2
24729, 1
24772, 4
24816, 1
249, 4
251, 3
25211, 8
25240, 1
25241, 3
2528, 1
25433, 1
255, 65
25567, 1
256, 4
2560, 9
2570, 1
2575, 2
25753, 5
2576, 1
25769, 5
25785, 1
25869, 1
26009, 1
26025, 4
2607, 2
26129, 2
26136, 2
26137, 6
26139, 1
26194, 1
26248, 4
26257, 5
26259, 2
26265, 53
26267, 7
26297, 1
26299, 1
26523, 1
26634, 1
26852, 4
2689, 1
27001, 4
2704, 1
27161, 2
2720, 3
27289, 5
2737, 4
2752, 1
2784, 1
2800, 2
2848, 1
28710, 1
2880, 1
28800, 1
28802, 1
28920, 1
28927, 2
28966, 1
29147, 1
2928, 1
29409, 1
29478, 3
29482, 1
29563, 1
29690, 3
2992, 1
3, 1
30037, 1
30047, 2
30232, 1
30355, 6
30363, 1
30521, 3
30617, 2
30649, 1
30750, 1
30758, 2
3085, 2
31097, 1
31099, 1
3120, 1
31607, 1
3167, 1
31719, 1
31743, 2
32, 3
320, 1
3200, 1
32371, 1
32558, 1
32575, 1
32627, 4
32635, 1
32639, 2
32699, 2
32703, 1
32751, 1
32759, 1
32767, 14
32768, 2
32816, 1
329, 2
32902, 2
33029, 1
33158, 1
33280, 1
3360, 2
33647, 1
3376, 2
338, 1
33984, 1
33986, 3
35072, 1
35328, 2
35331, 1
35362, 1
3552, 1
3568, 1
36, 1
3615, 1
3616, 1
3680, 1
36898, 1
36914, 1
36960, 2
37045, 2
37113, 1
37119, 1
37149, 4
37508, 1
3776, 1
3792, 1
3855, 3
38593, 1
386, 2
3885, 2
3888, 1
390, 1
39110, 1
3924, 1
3952, 1
39520, 1
3968, 1
3983, 1
4, 2
4048, 2
4064, 3
40844, 1
4096, 18
40971, 2
40992, 2
40996, 1
41026, 2
41203, 6
41209, 5
41211, 1
4128, 1
4144, 2
4160, 4
4163, 1
4195, 1
42397, 1
4291, 1
4320, 2
4342, 3
4343, 1
4347, 2
4351, 3
43645, 2
4368, 1
44198, 1
44527, 2
4466, 2
4512, 1
45170, 1
45174, 6
45224, 4
4544, 1
45816, 1
4608, 1
46192, 3
468, 2
46967, 1
4720, 1
47352, 1
47864, 7
47903, 1
47923, 1
48, 1
48057, 4
48063, 1
48119, 1
4816, 2
4864, 1
48947, 1
48999, 1
49019, 1
49151, 4
49290, 5
49664, 1
49665, 1
50232, 3
50332, 1
50402, 2
50592, 9
50704, 1
50928, 1
51088, 2
512, 1
51208, 3
51360, 1
51609, 1
51616, 1
