ifds_SensingMethod ,Count
, 722922
0, 889
100, 7
10032, 3
101, 2
102, 5
103, 7
10352, 1
104, 16
105, 7
10576, 1
106, 6
10640, 1
107, 3
10784, 1
108, 14
10800, 1
109, 2
110, 5
111, 4
112, 5
11248, 1
114, 4
115, 3
11664, 2
11680, 1
117, 4
118, 10
119, 8
11984, 1
120, 26
121, 12
12112, 1
12144, 2
122, 12
123, 68
124, 43
125, 76
12544, 1
126, 71
12688, 1
127, 77
128, 66
129, 63
130, 49
131, 45
13120, 1
132, 44
133, 63
134, 112
135, 88
136, 41
137, 46
138, 45
13808, 1
139, 25
140, 38
141, 17
14176, 1
142, 12
143, 10
144, 21
145, 4
146, 3
147, 4
148, 4
149, 3
150, 5
151, 6
152, 4
153, 3
154, 1
155, 2
156, 3
15648, 1
158, 2
161, 1
164, 1
167, 1
19, 1
191, 1
19568, 1
2240, 1
2512, 1
2528, 3
2592, 1
263, 1
2656, 1
2800, 1
2880, 1
2928, 1
3024, 1
31, 1
3152, 1
3168, 1
3248, 1
33, 1
3312, 1
3328, 1
337, 1
3376, 1
3424, 1
3456, 1
3488, 1
3568, 1
3584, 1
3600, 1
3632, 1
3696, 1
3744, 1
3760, 2
3792, 1
3920, 1
4032, 1
4064, 3
42, 1
4352, 1
45, 1
4544, 1
46, 2
4672, 1
47, 3
4704, 1
48, 1
4848, 1
49, 2
4976, 2
50, 1
5088, 1
51, 1
5120, 1
5136, 2
5152, 1
52, 2
5232, 2
53, 1
5312, 1
54, 1
55, 2
5568, 1
5584, 1
5616, 1
5632, 1
5664, 1
57, 6
5712, 2
5728, 1
5760, 1
58, 6
5808, 1
5856, 1
5872, 1
5888, 1
59, 2
5904, 1
5952, 1
5968, 1
60, 3
6016, 1
6032, 1
61, 7
6192, 1
62, 6
6288, 1
63, 8
64, 8
6432, 1
65, 15
6528, 1
6544, 2
65531, 1
66, 3
67, 4
68, 4
6848, 1
69, 7
6976, 1
6992, 1
70, 8
71, 12
7168, 1
72, 11
7280, 1
73, 11
7344, 1
74, 15
7408, 1
7424, 1
7440, 1
7488, 1
75, 11
7504, 1
76, 10
77, 13
7712, 2
7776, 1
78, 11
7840, 1
7856, 1
7872, 1
79, 14
80, 14
8032, 1
8064, 1
81, 12
8112, 1
82, 16
83, 9
84, 23
85, 14
86, 9
8640, 1
87, 14
8720, 1
88, 8
8816, 1
89, 9
90, 16
9072, 1
91, 16
9168, 1
92, 13
9232, 1
9264, 1
9296, 1
93, 16
9360, 1
94, 6
9472, 1
9488, 1
95, 10
9536, 2
96, 3
97, 12
9760, 2
98, 9
99, 7
9936, 1
Color sequential area sensor, 4
Not defined, 2324
One-chip color area sensor, 652937
Three-chip color area sensor, 1
