ifds_Sharpness ,Count
, 666313
0, 620384
1, 22726
10080, 1
10288, 1
10416, 1
10560, 1
10672, 1
11296, 1
11440, 1
11792, 1
12176, 1
12656, 1
13520, 1
15120, 1
15264, 1
15536, 1
16383, 1
19440, 1
2, 71281
2018, 1
2048, 1
2143, 1
2383, 1
239, 1
2448, 1
25, 3
2528, 1
255, 10
2576, 2
2592, 1
2704, 1
2720, 1
2736, 3
2752, 1
27676, 1
2784, 1
2800, 2
2816, 2
2864, 1
28784, 2
2944, 1
3008, 1
3136, 1
3184, 1
3216, 1
3232, 2
32639, 1
32767, 5
3392, 1
3568, 1
3632, 1
3648, 1
3680, 1
3712, 1
3776, 1
3792, 1
3888, 1
3904, 1
3939, 1
3968, 1
3984, 2
4032, 1
4064, 1
4080, 2
4368, 1
4384, 1
4416, 1
4432, 1
4528, 1
4560, 1
46316, 1
46318, 1
46334, 1
4736, 1
4832, 2
48366, 1
5088, 1
50944, 1
51104, 2
51376, 1
51632, 1
51792, 1
51872, 1
51968, 1
52032, 1
52192, 2
52272, 1
5232, 2
52384, 1
52480, 1
52704, 1
52768, 1
53072, 1
53136, 1
53200, 1
5344, 1
5408, 1
5600, 1
56064, 1
56400, 2
5648, 1
56784, 1
5728, 2
5872, 1
5904, 1
5920, 1
5936, 1
5984, 1
6000, 1
6032, 1
6064, 1
6080, 1
6112, 1
61405, 1
6160, 1
6176, 1
6208, 1
6240, 1
62448, 1
63344, 1
63584, 1
6400, 1
64176, 1
64480, 1
64592, 1
6480, 2
64891, 1
65279, 1
6528, 1
65280, 12
65344, 1
65408, 1
65494, 1
65495, 1
65501, 1
65527, 3
65535, 74
6608, 1
6624, 1
6832, 1
6880, 1
6912, 1
7024, 1
7120, 1
7184, 2
7248, 1
7312, 1
7328, 1
7360, 1
7376, 1
7440, 2
7472, 1
7488, 1
7552, 1
7568, 1
7616, 1
7792, 1
7920, 2
7936, 1
7968, 1
7984, 1
8040, 1
8048, 1
8064, 1
8080, 1
8480, 1
8640, 1
9136, 1
9264, 1
9328, 1
9488, 1
95, 1
9968, 1
