ifds_SpatialFrequencyResponse1 ,Count
, 1375862
0x[00000000] / 0, 344
0x[0000000A] / 10, 9
0x[0000000B] / 11, 1
0x[00000011] / 17, 4
0x[0000001A] / 26, 1
0x[0000001B] / 27, 2
0x[0000001C] / 28, 2
0x[0000001D] / 29, 1
0x[0000001F] / 31, 2
0x[00000064] / 100, 10
0x[00000069] / 105, 7
0x[00000077] / 119, 1
0x[00000078] / 120, 101
0x[0000007E] / 126, 26
0x[00000097] / 151, 3
0x[00000098] / 152, 1
0x[00000099] / 153, 1
0x[000000A5] / 165, 2
0x[000000B5] / 181, 7
0x[000000CA] / 202, 13
0x[000000E3] / 227, 25
0x[000000F7] / 247, 24
0x[000000FE] / 254, 24
0x[0000010A] / 266, 7
0x[00000113] / 275, 20
0x[00000130] / 304, 9
0x[00000131] / 305, 14
0x[00000132] / 306, 2
0x[00000154] / 340, 4
0x[00000155] / 341, 11
0x[0000016A] / 362, 6
0x[000001A1] / 417, 13
0x[000001A8] / 424, 14
0x[000001D2] / 466, 5
0x[000001DE] / 478, 4
0x[000001EE] / 494, 50
0x[000001EF] / 495, 5
0x[0000021D] / 541, 10
0x[00000222] / 546, 3
0x[00000248] / 584, 31
0x[00000250] / 592, 119
0x[00000288] / 648, 3
0x[00000289] / 649, 3
0x[00000293] / 659, 7
0x[00000294] / 660, 1
0x[00000297] / 663, 27
0x[0000029B] / 667, 18
0x[0000029C] / 668, 9
0x[0000029D] / 669, 4
0x[000002DC] / 732, 43
0x[000002DD] / 733, 6
0x[000002E1] / 737, 1
0x[000002E9] / 745, 4
0x[000002EA] / 746, 4
0x[000002F7] / 759, 18
0x[00000300] / 768, 1
0x[00000313] / 787, 7
0x[00000348] / 840, 35
0x[00000349] / 841, 26
0x[0000034B] / 843, 29
0x[00000351] / 849, 6
0x[0000035C] / 860, 25
0x[0000035D] / 861, 12
0x[00000361] / 865, 7
0x[00000377] / 887, 1
0x[0000038F] / 911, 37
0x[00000395] / 917, 24
0x[000003CB] / 971, 5
0x[000003D8] / 984, 3
0x[000003DA] / 986, 4
0x[000003E6] / 998, 13
0x[0000044C] / 1100, 12
0x[00000834] / 2100, 26
0x[00000C1C] / 3100, 17
0x[00001004] / 4100, 17
0x[00001BBC] / 7100, 15
0x[00001FA4] / 8100, 15
0x[00002774] / 10100, 10
0x[00002F44] / 12100, 1
0x[0000332D] / 13101, 32
0x[0000332E] / 13102, 29
0x[000042CC] / 17100, 2
0x[00005654] / 22100, 26
0x[00005655] / 22101, 26
0x[00005656] / 22102, 21
0x[00005657] / 22103, 27
0x[00006DCA] / 28106, 1
0x[0000A476] / 42102, 1
0x[0000A85F] / 43103, 4
0x[0000AC48] / 44104, 2
0x[0000B419] / 46105, 2
0x[0000D401] / 54273, 1
0x[0000F67C] / 63100, 1
0x[0001026D] / 66157, 4
0x[00010A04] / 68100, 1
0x[00010DED] / 69101, 2
0x[000111D6] / 70102, 3
0x[000115BF] / 71103, 13
0x[00011D91] / 73105, 14
0x[0001217A] / 74106, 8
0x[00012563] / 75107, 8
0x[0001294C] / 76108, 21
0x[00012D35] / 77109, 4
0x[0001311E] / 78110, 23
0x[00013507] / 79111, 13
0x[00014884] / 84100, 1
0x[00014885] / 84101, 2
0x[0001543C] / 87100, 3
0x[00015825] / 88101, 4
0x[00018ED6] / 102102, 1
0x[0001B5E4] / 112100, 7
0x[0001B5E5] / 112101, 6
0x[0002560C] / 153100, 6
0x[0002560D] / 153101, 8
0x[0002560E] / 153102, 3
0x[0002CB3C] / 183100, 7
0x[0002CB3D] / 183101, 4
0x[0002D6F4] / 186100, 2
0x[0002DADC] / 187100, 2
0x[0002FE04] / 196100, 38
0x[000305D4] / 198100, 33
0x[000305D5] / 198101, 24
0x[00030DA4] / 200100, 32
0x[0003196C] / 203116, 4
0x[000328FC] / 207100, 22
0x[000328FD] / 207101, 22
0x[000328FE] / 207102, 16
0x[000328FF] / 207103, 18
0x[00032900] / 207104, 16
0x[000353F4] / 218100, 4
0x[00038E92] / 233106, 1
0x[00039E34] / 237108, 2
0x[0003B1B4] / 242100, 9
0x[0003B59C] / 243100, 2
0x[0003CD0C] / 249100, 1
0x[0003CD0E] / 249102, 2
0x[0003CD0F] / 249103, 2
0x[0003CD10] / 249104, 3
0x[0003CD12] / 249106, 3
0x[000403BC] / 263100, 14
0x[00042ADC] / 273116, 3
0x[00043A6C] / 277100, 21
