ifds_SubSecTime ,Count
, 1180682
(.., 1
., 5
.%.., 1
..., 2
...., 3
.?., 1
/.., 1
0, 146
00, 38868
000, 37
000142, 1
001, 11
002, 13
002279, 1
002502, 1
002986, 1
002994, 1
003, 13
004, 8
005, 14
005467, 1
006, 14
007, 10
008, 13
009, 13
01, 1795
010, 10
010183, 1
011, 11
011161, 1
012, 14
012230, 1
012451, 1
013, 9
014, 9
014157, 1
015, 12
016, 9
017, 9
017054, 1
018, 17
018186, 1
018605, 1
018857, 1
019, 17
019531, 1
019819, 1
02, 3493
020, 8
021, 12
021026, 1
021458, 1
021881, 1
022, 13
022463, 1
022908, 1
023, 13
023630, 1
024, 9
024293, 1
025, 13
026, 9
027, 8
028, 15
028198, 1
029, 8
029196, 1
03, 6847
030, 8
031, 11
032, 7
032288, 1
032388, 1
032531, 1
033, 17
034, 11
035, 12
036, 8
037, 7
038, 10
038677, 1
039, 9
04, 1287
040, 12
040224, 1
041, 17
041180, 1
042, 7
042001, 1
042053, 1
042848, 1
043, 13
043859, 1
044, 17
044236, 1
044928, 1
045, 11
045118, 1
045600, 1
046, 10
047, 5
047485, 1
047531, 1
048, 14
048249, 1
049, 7
05, 887
050, 7
051, 13
051488, 1
052, 7
053, 6
054, 11
054199, 1
054814, 1
055, 8
056, 8
056519, 1
057, 10
057841, 1
058, 14
058109, 1
059, 11
059538, 1
06, 757
060, 6
060633, 1
060866, 1
061, 15
061509, 1
062, 7
062581, 1
063, 14
064, 14
064038, 1
064665, 1
064704, 1
065, 19
065185, 1
065215, 1
066, 7
066203, 1
067, 18
067692, 1
068, 13
068650, 1
068726, 1
068886, 1
069, 7
069498, 1
07, 723
070, 11
070612, 1
071, 10
071325, 1
072, 14
072021, 1
072142, 1
072686, 1
073, 7
074, 12
075, 7
076, 9
076751, 1
077, 12
077392, 1
078, 5
078935, 1
079, 13
079018, 1
08, 1585
080, 10
081, 14
081451, 1
082, 10
082085, 1
082928, 1
083, 11
084, 15
085, 9
085148, 1
085249, 1
086, 12
086426, 1
086494, 1
086835, 1
087, 10
088, 7
088416, 1
089, 11
089080, 1
09, 645
090, 5
090903, 1
091, 10
091223, 1
092, 9
093, 15
093724, 1
093879, 1
094, 12
095, 8
095614, 1
096, 6
097, 10
097253, 1
098, 10
099, 10
0x[3000], 507
0x[3100], 2
10, 8415
100, 10
100551, 1
100578, 1
100731, 1
101, 13
102, 10
102233, 1
102864, 1
103, 11
103151, 1
104, 6
105, 14
106, 16
106064, 1
106321, 1
107, 6
107238, 1
108, 10
109, 13
11, 696
110, 9
110588, 1
111, 16
112, 7
112228, 1
113, 8
113219, 1
114, 13
114478, 1
114745, 1
114827, 1
115, 15
116, 7
116454, 1
117, 11
118, 12
119, 12
12, 734
120, 12
120025, 2
120695, 1
121, 6
122, 9
123, 7
123962, 1
124, 6
124183, 1
124877, 1
124960, 1
125, 8
126, 8
127, 15
127594, 1
128, 8
128428, 1
129, 9
13, 733
130, 13
130759, 1
131, 10
131983, 1
132, 13
133, 10
133486, 1
134, 18
135, 14
135236, 1
135932, 1
136, 14
136779, 1
136991, 1
137, 4
137350, 1
138, 12
139, 13
139312, 1
14, 802
140, 17
140511, 1
141, 11
141201, 1
141530, 1
141872, 1
142, 10
142247, 1
143, 15
143886, 1
144, 13
144953, 1
145, 13
145220, 1
145444, 1
146, 11
147, 10
148, 9
149, 8
149233, 1
15, 760
150, 13
150872, 1
151, 5
151320, 1
152, 14
152965, 1
153, 7
154, 8
154022, 1
155, 5
155598, 1
156, 11
157, 14
157976, 1
158, 11
158083, 1
158531, 1
159, 7
16, 1451
160, 7
160191, 1
161, 7
162, 15
162589, 1
162951, 1
163, 6
164, 15
165, 14
165099, 1
165311, 1
166, 15
167, 16
167159, 1
167748, 1
168, 12
169, 9
169800, 1
169952, 2
17, 902
170, 8
171, 14
171456, 1
172, 15
172241, 1
172820, 1
173, 6
173549, 1
174, 7
175, 12
175577, 1
176, 10
176066, 1
176471, 1
176670, 1
176678, 1
176679, 1
177, 16
177989, 1
178, 11
179, 9
18, 708
180, 5
180917, 1
180999, 1
181, 13
182, 19
182048, 1
183, 17
183544, 1
183767, 1
184, 9
185, 9
186, 5
187, 6
187091, 1
187212, 1
187360, 2
188, 8
189, 9
19, 683
190, 14
191, 12
191086, 1
192, 11
192693, 1
192801, 1
193, 9
193584, 1
194, 6
194280, 1
194356, 1
194484, 1
195, 11
196, 5
196852, 1
197, 12
197570, 1
198, 6
198174, 1
199, 15
199622, 1
2, 1
20, 7228
200, 8
200701, 1
201, 9
201660, 1
201830, 1
202, 5
203, 10
203968, 1
204, 9
204864, 1
205, 12
205047, 1
205261, 1
205558, 1
206, 9
207, 10
207508, 1
207809, 1
208, 1
208993, 1
209, 8
209683, 1
21, 753
210, 12
210250, 1
210726, 1
211, 8
211982, 1
212, 6
213, 15
213016, 1
213592, 1
214, 15
214412, 1
215, 11
216, 12
216019, 1
216078, 1
216159, 1
217, 7
218, 14
218525, 1
219, 11
219511, 1
219636, 1
22, 793
220, 8
221, 14
222, 12
222447, 1
222717, 1
223, 14
223870, 1
224, 3
224105, 1
224119, 1
225, 8
226, 6
227, 15
227529, 1
227569, 1
228, 12
228936, 1
228998, 1
229, 8
23, 738
230, 5
231, 16
231033, 1
232, 8
232584, 1
233, 11
233153, 1
233404, 1
234, 12
235, 14
236, 14
237, 9
238, 13
238204, 1
238631, 1
238675, 1
239, 10
239181, 1
24, 1168
240, 8
241, 8
241058, 1
241617, 1
241775, 1
242, 4
243, 7
244, 9
244143, 1
245, 9
245073, 1
246, 4
247, 16
247262, 1
247332, 1
248, 9
248826, 1
249, 10
249236, 1
25, 1055
250, 12
251, 9
251603, 1
252, 11
252324, 1
253, 11
253689, 1
253969, 1
254, 8
255, 11
255846, 1
256, 10
256059, 1
256661, 1
257, 20
257019, 1
258, 12
258421, 1
259, 10
259678, 1
26, 659
260, 11
260209, 1
260589, 1
261, 10
261007, 1
261245, 1
261657, 1
261843, 1
262, 11
263, 14
263341, 1
264, 6
264747, 1
265, 13
266, 14
266752, 1
266905, 1
267, 12
268, 12
269, 7
27, 665
27., 1
270, 11
270065, 1
270772, 1
271, 11
271568, 1
272, 15
272053, 1
272493, 1
272611, 1
273, 6
273213, 1
273375, 1
