ifds_SubSecTimeDigitized ,Count
, 1147037
., 4
.%.., 1
..., 3
...., 2
.?., 1
/.., 1
0, 146
0..., 1
00, 39383
000, 617
000142, 1
001, 38
002, 42
002279, 1
002502, 1
002986, 1
002994, 1
003, 41
004, 44
005, 44
005467, 1
006, 56
007, 32
008, 48
009, 42
01, 1800
010, 39
010183, 1
011, 37
011161, 1
012, 51
012230, 1
012451, 1
013, 46
014, 49
014157, 1
015, 45
016, 36
017, 35
017054, 1
018, 50
018186, 1
018605, 1
018857, 1
019, 46
019531, 1
019819, 1
02, 3501
020, 41
021, 53
021026, 1
021458, 1
021881, 1
022, 41
022463, 1
022908, 1
023, 42
023630, 1
024, 33
024293, 1
025, 45
026, 45
027, 31
028, 42
028198, 1
029, 37
029196, 1
03, 6874
030, 45
031, 49
032, 38
032288, 1
032388, 1
032531, 1
033, 52
034, 40
035, 43
036, 40
037, 48
038, 44
038677, 1
039, 36
04, 1296
040, 43
040224, 1
041, 47
041180, 1
042, 39
042001, 1
042053, 1
042848, 1
043, 56
043859, 1
044, 62
044236, 1
044928, 1
045, 37
045118, 1
045600, 1
046, 52
047, 40
047485, 1
047531, 1
048, 39
048249, 1
049, 35
05, 892
050, 44
051, 38
051488, 1
052, 37
053, 42
054, 53
054199, 1
054814, 1
055, 45
056, 41
056519, 1
057, 40
057841, 1
058, 49
058109, 1
059, 41
059538, 1
06, 760
060, 39
060633, 1
060866, 1
061, 41
061509, 1
062, 46
062581, 1
063, 50
064, 42
064038, 1
064665, 1
064704, 1
065, 59
065185, 1
065215, 1
066, 22
066203, 1
067, 48
067692, 1
068, 48
068650, 1
068726, 1
068886, 1
069, 37
069498, 1
07, 724
070, 51
070612, 1
071, 56
071325, 1
072, 39
072021, 1
072142, 1
072686, 1
073, 29
074, 43
075, 42
076, 37
076751, 1
077, 44
077392, 1
078, 40
078935, 1
079, 54
079018, 1
08, 1593
080, 34
081, 49
081451, 1
082, 34
082085, 1
082928, 1
083, 44
084, 50
085, 47
085148, 1
085249, 1
086, 43
086426, 1
086494, 1
086835, 1
087, 49
088, 43
088416, 1
089, 40
089080, 1
09, 649
090, 39
090903, 1
091, 41
091223, 1
092, 51
093, 41
093724, 1
093879, 1
094, 43
095, 38
095614, 1
096, 37
097, 42
097253, 1
098, 45
099, 48
10, 8469
100, 44
100551, 1
100578, 1
100731, 1
101, 43
102, 49
102233, 1
102864, 1
103, 38
103151, 1
104, 38
105, 65
106, 46
106064, 1
106321, 1
107, 44
107238, 1
108, 38
109, 43
11, 698
110, 41
110588, 1
111, 47
112, 38
112228, 1
113, 42
113219, 1
114, 62
114478, 1
114745, 1
114827, 1
115, 52
116, 34
116454, 1
117, 48
118, 48
119, 47
12, 734
120, 45
120025, 2
120695, 1
121, 47
122, 46
123, 35
123962, 1
124, 52
124183, 1
124877, 1
124960, 1
125, 38
126, 32
127, 56
127594, 1
128, 46
128428, 1
129, 44
13, 737
130, 49
130759, 1
131, 48
131983, 1
132, 44
133, 48
133486, 1
134, 56
135, 34
135236, 1
135932, 1
136, 59
136779, 1
136991, 1
137, 38
137350, 1
138, 53
139, 42
139312, 1
14, 803
140, 47
140511, 1
141, 40
141201, 1
141530, 1
141872, 1
142, 45
142247, 1
143, 39
143886, 1
144, 48
144953, 1
145, 40
145220, 1
145444, 1
146, 31
147, 52
148, 36
149, 34
149233, 1
15, 758
150, 53
150872, 1
151, 41
151320, 1
152, 52
152965, 1
153, 32
154, 47
154022, 1
155, 36
155598, 1
156, 40
157, 47
157976, 1
158, 44
158083, 1
158531, 1
159, 34
16, 1464
160, 56
160191, 1
161, 37
162, 36
162589, 1
162951, 1
163, 40
164, 46
165, 39
165099, 1
165311, 1
166, 45
