ifds_SubSecTimeOriginal ,Count
, 1141003
., 2
.%.., 1
..., 3
...., 2
..?., 1
./.., 1
0, 146
0(.., 1
00, 39340
000, 621
000142, 1
001, 42
002, 44
002279, 1
002502, 1
002986, 1
002994, 1
003, 45
004, 49
005, 45
005467, 1
006, 62
007, 39
008, 53
009, 45
01, 1814
010, 43
010183, 1
011, 41
011161, 1
012, 55
012230, 1
012451, 1
013, 50
014, 52
014157, 1
015, 47
016, 41
017, 39
017054, 1
018, 51
018186, 1
018605, 1
018857, 1
019, 48
019531, 1
019819, 1
02, 3518
020, 42
021, 58
021026, 1
021458, 1
021881, 1
022, 46
022463, 1
022908, 1
023, 45
023630, 1
024, 36
024293, 1
025, 48
026, 47
027, 32
028, 49
028198, 1
029, 40
029196, 1
03, 6885
030, 56
031, 51
032, 43
032288, 1
032388, 1
032531, 1
033, 57
034, 42
035, 46
036, 46
037, 53
038, 51
038677, 1
039, 39
04, 1311
040, 49
040224, 1
041, 50
041180, 1
042, 44
042001, 1
042053, 1
042848, 1
043, 59
043859, 1
044, 63
044236, 1
044928, 1
045, 43
045118, 1
045600, 1
046, 56
047, 43
047485, 1
047531, 1
048, 44
048249, 1
049, 38
05, 903
050, 52
051, 44
051488, 1
052, 43
053, 46
054, 59
054199, 1
054814, 1
055, 52
056, 49
056519, 1
057, 47
057841, 1
058, 51
058109, 1
059, 47
059538, 1
06, 773
060, 47
060633, 1
060866, 1
061, 46
061509, 1
062, 51
062581, 1
063, 53
064, 50
064038, 1
064665, 1
064704, 1
065, 70
065185, 1
065215, 1
066, 28
066203, 1
067, 50
067692, 1
068, 55
068650, 1
068726, 1
068886, 1
069, 41
069498, 1
07, 741
070, 54
070612, 1
071, 59
071325, 1
072, 43
072021, 1
072142, 1
072686, 1
073, 30
074, 49
075, 46
076, 39
076751, 1
077, 49
077392, 1
078, 50
078935, 1
079, 60
079018, 1
08, 1602
080, 38
081, 57
081451, 1
082, 40
082085, 1
082928, 1
083, 48
084, 61
085, 53
085148, 1
085249, 1
086, 49
086426, 1
086494, 1
086835, 1
087, 54
088, 46
088416, 1
089, 50
089080, 1
09, 661
090, 44
090903, 1
091, 46
091223, 1
092, 53
093, 47
093724, 1
093879, 1
094, 48
095, 40
095614, 1
096, 43
097, 48
097253, 1
098, 51
099, 55
10, 8509
100, 48
100551, 1
100578, 1
100731, 1
101, 44
102, 56
102233, 1
102864, 1
103, 46
103151, 1
104, 38
105, 68
106, 49
106064, 1
106321, 1
107, 49
107238, 1
108, 44
109, 51
11, 719
110, 43
110588, 1
111, 51
112, 44
112228, 1
113, 45
113219, 1
114, 67
114478, 1
114745, 1
114827, 1
115, 60
116, 35
116454, 1
117, 52
118, 52
119, 50
12, 755
120, 50
120025, 2
120695, 1
121, 49
122, 51
123, 38
123962, 1
124, 55
124183, 1
124877, 1
124960, 1
125, 42
126, 35
127, 59
127594, 1
128, 51
128428, 1
129, 48
13, 750
130, 52
130759, 1
131, 51
131983, 1
132, 54
133, 53
133486, 1
134, 63
135, 36
135236, 1
135932, 1
136, 64
136779, 1
136991, 1
137, 42
137350, 1
138, 56
139, 50
139312, 1
14, 817
140, 55
140511, 1
141, 45
141201, 1
141530, 1
141872, 1
142, 51
142247, 1
143, 42
143886, 1
144, 52
144953, 1
145, 45
145220, 1
145444, 1
146, 37
147, 53
148, 44
149, 40
149233, 1
15, 770
150, 56
150872, 1
151, 45
151320, 1
152, 58
152965, 1
153, 35
154, 55
154022, 1
155, 39
155598, 1
156, 44
157, 49
157976, 1
158, 44
158083, 1
158531, 1
159, 35
16, 1482
160, 59
160191, 1
161, 40
162, 46
162589, 1
162951, 1
163, 44
164, 51
165, 44
165099, 1
165311, 1
166, 51
167, 53
167159, 1
167748, 1
168, 47
169, 37
169800, 1
169952, 2
17, 911
170, 42
171, 57
171456, 1
172, 53
172241, 1
172820, 1
173, 46
173549, 1
174, 60
175, 61
175577, 1
176, 43
176066, 1
176471, 1
176670, 1
176678, 1
176679, 1
177, 49
177989, 1
178, 39
179, 46
18, 721
180, 42
180917, 1
180999, 1
181, 48
182, 61
182048, 1
183, 52
183544, 1
183767, 1
184, 56
185, 47
186, 47
187, 40
187091, 1
187212, 1
187360, 2
188, 47
189, 45
19, 692
190, 50
191, 50
191086, 1
192, 55
192693, 1
192801, 1
193, 56
193584, 1
194, 40
194280, 1
194356, 1
194484, 1
195, 47
196, 45
196852, 1
197, 63
197570, 1
198, 49
198174, 1
199, 49
199622, 1
2, 1
20, 7311
200, 49
200701, 1
201, 59
201660, 1
201830, 1
202, 42
203, 51
203968, 1
204, 41
204864, 1
205, 52
205047, 1
205261, 1
205558, 1
206, 36
207, 51
207508, 1
207809, 1
208, 36
208993, 1
209, 41
209683, 1
21, 763
210, 46
210250, 1
210726, 1
211, 52
211982, 1
212, 53
213, 49
213016, 1
213592, 1
214, 43
214412, 1
215, 45
216, 44
216019, 1
216078, 1
216159, 1
217, 36
218, 49
218525, 1
219, 47
219511, 1
219636, 1
22, 818
220, 45
221, 58
222, 51
222447, 1
222717, 1
223, 51
223870, 1
224, 49
224105, 1
224119, 1
225, 43
226, 43
227, 58
227529, 1
227569, 1
228, 45
228936, 1
228998, 1
229, 49
23, 749
230, 46
231, 56
231033, 1
232, 51
232584, 1
233, 50
233153, 1
233404, 1
234, 47
235, 52
236, 44
237, 49
238, 52
238204, 1
238631, 1
238675, 1
239, 44
239181, 1
24, 1186
240, 37
241, 46
241058, 1
241617, 1
241775, 1
242, 37
243, 50
244, 50
244143, 1
245, 52
245073, 1
246, 38
247, 43
247262, 1
247332, 1
248, 46
248826, 1
249, 58
249236, 1
25, 1064
250, 40
251, 40
251603, 1
252, 52
252324, 1
253, 49
253689, 1
253969, 1
254, 50
255, 49
255846, 1
256, 49
256059, 1
256661, 1
257, 73
257019, 1
258, 38
258421, 1
259, 42
259678, 1
26, 675
260, 37
260209, 1
260589, 1
261, 65
261007, 1
261245, 1
261657, 1
261843, 1
262, 47
263, 46
263341, 1
264, 47
264747, 1
265, 51
266, 54
266752, 1
266905, 1
267, 45
268, 57
269, 41
27, 681
27., 1
270, 47
270065, 1
270772, 1
271, 56
271568, 1
272, 50
272053, 1
272493, 1
272611, 1
273, 36
273213, 1
273375, 1
274, 49
274444, 1
275, 58
276, 49
276360, 1
276458, 1
276959, 1
277, 50
278, 45
279, 53
279706, 1
279741, 1
28, 663
280, 48
281, 49
281418, 1
281497, 1
282, 53
283, 49
283937, 1
283980, 1
284, 53
284026, 1
284126, 1
284752, 1
284966, 1
285, 51
285098, 1
285598, 1
286, 40
286723, 1
286952, 1
287, 50
287714, 1
288, 43
288090, 1
288173, 1
289, 54
289622, 1
