ifds_SubjectDistance ,Count
, 1353623
-1/1, 14
-1/100, 133
-1/1000, 64
-18994/1000, 1
-41264/1000, 1
-53054/1000, 1
0/0, 4806
0/1, 9512
0/100, 396
0/1000, 348
0/10000, 2829
0/1000000, 273
1/0, 1
1/1, 317
1/1000, 1
10/1, 1
10/100, 2
100/100, 3
100/1000, 15
1000/100, 47
1000/1000, 12
10000/100, 83
10000/1000, 577
100000/1000, 27
1000000/1000, 73
1003/1000, 35
10030/1000, 1
1005/1000, 1
1006/1000, 7
1009/1000, 2
101/100, 1
1011/1000, 1
1012/1000, 7
1013/1000, 2
1014/100, 1
1015/1000, 1
1018/1000, 4
102/1000, 1
1020/1000, 3
10222/1000, 1
1024/1000, 1
1025/1000, 28
1026/1000, 1
103/100, 1
103/1000, 5
1030/1000, 1
1031/1000, 2
103158/1000, 1
1032/1000, 9
103371/1000, 1
103384/1000, 1
1034/1000, 3
1036/1000, 2
1038/1000, 1
1039/1000, 6
10395/1000, 1
103983/1000, 1
104/100, 1
104/1000, 1
1040/1000, 1
1042/1000, 1
10422/1000, 1
1043/1000, 1
1044/1000, 1
1045/1000, 7
10453/1000, 7
1046/1000, 1
1048/1000, 4
1050/1000, 1
1051/1000, 18
10526/1000, 1
105539/1000, 1
1056/1000, 1
1057/1000, 6
1058/1000, 4
106/1000, 1
106061/1000, 1
1061/1000, 1
106594/1000, 3
1067/1000, 3
106742/1000, 1
1070/1000, 3
10707/1000, 1
1072/1000, 2
10750/1000, 1
1076/1000, 1
1077/1000, 2
107726/1000, 1
107965/1000, 2
108/100, 3
108/1000, 2
10807/1000, 3
1082/1000, 1
1084/1000, 1
1085/1000, 1
1086/1000, 1
1087/1000, 3
108971/1000, 3
109/100, 1
109031/1000, 1
1092/1000, 1
10921/1000, 1
1093/1000, 1
109474/1000, 1
1096/1000, 16
10969/1000, 1
1098/1000, 1
109891/1000, 6
11/10, 2
11/100, 4
110/100, 4
110/1000, 1
1100/1000, 3
11003/1000, 1
1101/1000, 3
110113/1000, 5
110151/1000, 1
1107/1000, 1
1108/1000, 1
11082/1000, 1
111/100, 3
1111/100, 6
1111/1000, 8
1113/1000, 1
1114/1000, 1
1115/1000, 1
11161/1000, 1
1118/1000, 2
111947/1000, 4
11196/1000, 8
112/100, 2
1125/1000, 1
1126/1000, 1
1128/1000, 3
1129/1000, 2
113/100, 2
113/1000, 2
1130/1000, 2
1131/1000, 6
113187/1000, 3
1133/1000, 5
113484/1000, 1
1136/1000, 4
11375/1000, 2
1139/1000, 2
114/10, 1
1143/1000, 1
1147/100, 4
1147/1000, 5
115/100, 1
115/1000, 2
11527/1000, 1
11545/1000, 6
1155/1000, 3
1157/1000, 3
1159/1000, 6
115930/1000, 2
116/100, 1
116/1000, 1
1161/1000, 1
11637/1000, 1
1165/1000, 1
1166/1000, 1
1167/1000, 2
116854/1000, 1
11691/1000, 4
117/100, 1
117/1000, 4
1170/1000, 9
1172/1000, 1
1177/1000, 1
117941/1000, 2
1180/1000, 9
1181/1000, 8
1182/1000, 1
1185/1000, 59
1186/1000, 1
1189/1000, 2
1190/1000, 2
1192/1000, 2
119231/1000, 1
1193/1000, 2
1194/1000, 3
119425/1000, 1
11945/1000, 1
119781/1000, 1
12/1000, 1
120/1000, 2
1203/1000, 1
12053/1000, 8
1206/1000, 4
1210/1000, 2
121071/1000, 3
12188/1000, 2
1219/1000, 4
122/100, 1
122/1000, 1
1222/1000, 2
1223/1000, 1
12259/1000, 1
1228/1000, 1
12296/1000, 1
123/1000, 1
1230/1000, 2
12302/1000, 1
1231/1000, 7
1232/1000, 1
1234/1000, 2
123596/1000, 1
1236/1000, 8
123894/1000, 2
12392/1000, 3
124/100, 8
1240/1000, 4
1241/1000, 4
1243/1000, 2
1244/1000, 3
1245/1000, 1
1246/1000, 1
1247/1000, 1
1249/1000, 1
125/1000, 4
1250/100, 13
1250/1000, 8
1251/1000, 2
1254/1000, 1
1258/1000, 7
126/10, 2
126/100, 1
12606/1000, 2
126374/1000, 1
12657/1000, 1
1266/1000, 1
1267/100, 1
1267/1000, 1
12676/1000, 2
1269/1000, 2
126967/1000, 1
1271/1000, 5
127273/1000, 1
1273/1000, 1
1277/1000, 1
12787/1000, 1
1279/1000, 2
128125/1000, 1
12837/1000, 1
1285/1000, 4
12854/1000, 1
1288/1000, 2
128929/1000, 1
129/1000, 1
1290/1000, 2
1292/1000, 5
12920/1000, 10
1295/1000, 1
129671/1000, 1
1297/1000, 1
1299/1000, 1
130/100, 4
130/1000, 4
1300/100, 1
1300/1000, 2
1301/100, 1
130101/1000, 1
130338/1000, 3
13053/1000, 2
1306/1000, 1
1307/1000, 1
1309/1000, 3
131/1000, 2
1310/1000, 2
1315/1000, 2
1316/1000, 1
131641/1000, 1
1317/1000, 12
131859/1000, 2
132/1000, 3
1320/1000, 2
